DYG|BRU,|BRU|IST|URC|CSX|DYG|
DYG|OUA,|OUA|NIM|IST|URC|CSX|DYG|
DYG|JED,|JED|IST|URC|CSX|DYG|
DYG|CPH,|CPH|AMS|CTU|CSX|DYG|
DYG|YYZ,|YYZ|PEK|DYG|
DYG|DEN,|DEN|YVR|PEK|DYG|
DYG|YUL,|YUL|YYZ|PEK|DYG|
DYG|NBO,|NBO|CAN|DYG|
DYG|ICN,|ICN|CSX|DYG|
DYG|NRT,|NRT|ICN|CSX|DYG|
DYG|YHZ,|YHZ|YYZ|PEK|DYG|
DYG|YOW,|YOW|YYZ|PEK|DYG|
DYG|BJM,|BJM|BRU|IST|URC|CSX|DYG|
DYG|COO,|COO|BRU|IST|URC|CSX|DYG|
DYG|DKR,|DKR|BRU|IST|URC|CSX|DYG|
DYG|DLA,|DLA|IST|URC|CSX|DYG|
DYG|KGL,|KGL|IST|URC|CSX|DYG|
DYG|LAD,|LAD|BRU|IST|URC|CSX|DYG|
DYG|ABJ,|ABJ|OUA|NIM|IST|URC|CSX|DYG|
DYG|AMS,|AMS|CTU|CSX|DYG|
DYG|OSL,|OSL|CPH|AMS|CTU|CSX|DYG|
DYG|VNO,|VNO|IST|URC|CSX|DYG|
DYG|WAW,|WAW|IST|URC|CSX|DYG|
DYG|YYC,|YYC|YVR|PEK|DYG|
DYG|ATL,|ATL|ORD|PEK|DYG|
DYG|MSY,|MSY|ORD|PEK|DYG|
DYG|YEG,|YEG|YVR|PEK|DYG|
DYG|YMM,|YMM|YVR|PEK|DYG|
DYG|YQR,|YQR|YVR|PEK|DYG|
DYG|YVR,|YVR|PEK|DYG|
DYG|YWG,|YWG|YVR|PEK|DYG|
DYG|YXE,|YXE|YVR|PEK|DYG|
DYG|CKY,|CKY|DKR|BRU|IST|URC|CSX|DYG|
DYG|FIH,|FIH|IST|URC|CSX|DYG|
DYG|SCL,|SCL|YYZ|PEK|DYG|
DYG|LCA,|LCA|FRA|TSE|URC|CSX|DYG|
DYG|NAP,|NAP|IST|URC|CSX|DYG|
DYG|VLC,|VLC|FRA|TSE|URC|CSX|DYG|
DYG|BKK,|BKK|CSX|DYG|
DYG|ADD,|ADD|IST|URC|CSX|DYG|
DYG|FRA,|FRA|TSE|URC|CSX|DYG|
DYG|IST,|IST|URC|CSX|DYG|
DYG|EBB,|EBB|KGL|IST|URC|CSX|DYG|
DYG|YLW,|YLW|YVR|PEK|DYG|
DYG|YYT,|YYT|LHR|CAN|DYG|
DYG|GUA,|GUA|IAH|PEK|DYG|
DYG|EWR,|EWR|PEK|DYG|
DYG|IAD,|IAD|PEK|DYG|
DYG|IAH,|IAH|PEK|DYG|
DYG|ORD,|ORD|PEK|DYG|
DYG|SOF,|SOF|IST|URC|CSX|DYG|
DYG|YQB,|YQB|YYZ|PEK|DYG|
DYG|YXU,|YXU|YYZ|PEK|DYG|
DYG|EZE,|EZE|GRU|IST|URC|CSX|DYG|
DYG|YYJ,|YYJ|YVR|PEK|DYG|
DYG|YYY,|YYY|YUL|YYZ|PEK|DYG|
DYG|YQQ,|YQQ|YBL|YVR|PEK|DYG|
DYG|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|DYG|
DYG|LHR,|LHR|CAN|DYG|
DYG|SFO,|SFO|PEK|DYG|
DYG|YQU,|YQU|YEG|YVR|PEK|DYG|
DYG|YZF,|YZF|YEG|YVR|PEK|DYG|
DYG|YGR,|YGR|YGP|YQB|YYZ|PEK|DYG|
DYG|YGP,|YGP|YQB|YYZ|PEK|DYG|
DYG|BOS,|BOS|YYZ|PEK|DYG|
DYG|YDF,|YDF|YYZ|PEK|DYG|
DYG|YFC,|YFC|YYZ|PEK|DYG|
DYG|YQM,|YQM|YYZ|PEK|DYG|
DYG|YQX,|YQX|YHZ|YYZ|PEK|DYG|
DYG|YQY,|YQY|YYZ|PEK|DYG|
DYG|YSJ,|YSJ|YYZ|PEK|DYG|
DYG|YYG,|YYG|YYZ|PEK|DYG|
DYG|LAX,|LAX|PEK|DYG|
DYG|DCA,|DCA|YYZ|PEK|DYG|
DYG|LGA,|LGA|YYZ|PEK|DYG|
DYG|YZV,|YZV|YQB|YYZ|PEK|DYG|
DYG|YWL,|YWL|YVR|PEK|DYG|
DYG|AZS,|AZS|YYZ|PEK|DYG|
DYG|BDL,|BDL|YYZ|PEK|DYG|
DYG|CCC,|CCC|YYZ|PEK|DYG|
DYG|CDG,|CDG|IST|URC|CSX|DYG|
DYG|CUN,|CUN|IAH|PEK|DYG|
DYG|CZM,|CZM|IAH|PEK|DYG|
DYG|FDF,|FDF|YUL|YYZ|PEK|DYG|
DYG|FLL,|FLL|ORD|PEK|DYG|
DYG|GVA,|GVA|IST|URC|CSX|DYG|
DYG|HOG,|HOG|YYZ|PEK|DYG|
DYG|LAS,|LAS|SEA|PEK|DYG|
DYG|MBJ,|MBJ|ATL|ORD|PEK|DYG|
DYG|MCO,|MCO|ORD|PEK|DYG|
DYG|MUC,|MUC|IST|URC|CSX|DYG|
DYG|PAP,|PAP|YUL|YYZ|PEK|DYG|
DYG|PTP,|PTP|YUL|YYZ|PEK|DYG|
DYG|PUJ,|PUJ|EWR|PEK|DYG|
DYG|SNU,|SNU|YYZ|PEK|DYG|
DYG|VRA,|VRA|YYZ|PEK|DYG|
DYG|YBC,|YBC|YUL|YYZ|PEK|DYG|
DYG|YBG,|YBG|YUL|YYZ|PEK|DYG|
DYG|YTZ,|YTZ|YUL|YYZ|PEK|DYG|
DYG|YUY,|YUY|YUL|YYZ|PEK|DYG|
DYG|YVO,|YVO|YUL|YYZ|PEK|DYG|
DYG|ZBF,|ZBF|YUL|YYZ|PEK|DYG|
DYG|ZRH,|ZRH|IST|URC|CSX|DYG|
DYG|ZSA,|ZSA|YUL|YYZ|PEK|DYG|
DYG|AKL,|AKL|CAN|DYG|
DYG|HKG,|HKG|CAN|DYG|
DYG|HND,|HND|HNL|NRT|ICN|CSX|DYG|
DYG|HNL,|HNL|NRT|ICN|CSX|DYG|
DYG|MEX,|MEX|YVR|PEK|DYG|
DYG|OGG,|OGG|HNL|NRT|ICN|CSX|DYG|
DYG|PDX,|PDX|SEA|PEK|DYG|
DYG|PEK,|PEK|DYG|
DYG|PVG,|PVG|CSX|DYG|
DYG|PVR,|PVR|SFO|PEK|DYG|
DYG|SEA,|SEA|PEK|DYG|
DYG|SYD,|SYD|CAN|DYG|
DYG|YBL,|YBL|YVR|PEK|DYG|
DYG|YCD,|YCD|YVR|PEK|DYG|
DYG|YCG,|YCG|YVR|PEK|DYG|
DYG|YKA,|YKA|YVR|PEK|DYG|
DYG|YPR,|YPR|YVR|PEK|DYG|
DYG|YQZ,|YQZ|YVR|PEK|DYG|
DYG|YXC,|YXC|YVR|PEK|DYG|
DYG|YXJ,|YXJ|YVR|PEK|DYG|
DYG|YXS,|YXS|YVR|PEK|DYG|
DYG|YXT,|YXT|YVR|PEK|DYG|
DYG|YXY,|YXY|YVR|PEK|DYG|
DYG|YYD,|YYD|YVR|PEK|DYG|
DYG|YYF,|YYF|YVR|PEK|DYG|
DYG|YZP,|YZP|YVR|PEK|DYG|
DYG|YQT,|YQT|YWG|YVR|PEK|DYG|
DYG|SJD,|SJD|SFO|PEK|DYG|
DYG|YQF,|YQF|YYC|YVR|PEK|DYG|
DYG|YQL,|YQL|YYC|YVR|PEK|DYG|
DYG|YXH,|YXH|YYC|YVR|PEK|DYG|
DYG|YWK,|YWK|YZV|YQB|YYZ|PEK|DYG|
DYG|ANU,|ANU|EWR|PEK|DYG|
DYG|AUA,|AUA|EWR|PEK|DYG|
DYG|AUH,|AUH|IST|URC|CSX|DYG|
DYG|BCN,|BCN|IST|URC|CSX|DYG|
DYG|BDA,|BDA|EWR|PEK|DYG|
DYG|BGI,|BGI|YYZ|PEK|DYG|
DYG|BNA,|BNA|ORD|PEK|DYG|
DYG|BOG,|BOG|MIA|ORD|PEK|DYG|
DYG|BWI,|BWI|YYZ|PEK|DYG|
DYG|CLE,|CLE|YYZ|PEK|DYG|
DYG|CLT,|CLT|YYZ|PEK|DYG|
DYG|CMH,|CMH|ORD|PEK|DYG|
DYG|CVG,|CVG|ORD|PEK|DYG|
DYG|DFW,|DFW|YVR|PEK|DYG|
DYG|DTW,|DTW|PEK|DYG|
DYG|DUB,|DUB|IST|URC|CSX|DYG|
DYG|FCO,|FCO|IST|URC|CSX|DYG|
DYG|GCM,|GCM|YYZ|PEK|DYG|
DYG|GGT,|GGT|YYZ|PEK|DYG|
DYG|GND,|GND|YYZ|PEK|DYG|
DYG|GRU,|GRU|IST|URC|CSX|DYG|
DYG|HAV,|HAV|YYZ|PEK|DYG|
DYG|IND,|IND|ORD|PEK|DYG|
DYG|JFK,|JFK|PEK|DYG|
DYG|KIN,|KIN|YYZ|PEK|DYG|
DYG|LIM,|LIM|IAH|PEK|DYG|
DYG|LIR,|LIR|IAH|PEK|DYG|
DYG|MCI,|MCI|DEN|YVR|PEK|DYG|
DYG|MDT,|MDT|YYZ|PEK|DYG|
DYG|MIA,|MIA|ORD|PEK|DYG|
DYG|MKE,|MKE|ORD|PEK|DYG|
DYG|MSP,|MSP|ORD|PEK|DYG|
DYG|NAS,|NAS|YYZ|PEK|DYG|
DYG|PHL,|PHL|YYZ|PEK|DYG|
DYG|PHX,|PHX|SEA|PEK|DYG|
DYG|PIT,|PIT|YYZ|PEK|DYG|
DYG|PLS,|PLS|EWR|PEK|DYG|
DYG|POP,|POP|EWR|PEK|DYG|
DYG|RDU,|RDU|YYZ|PEK|DYG|
DYG|ROC,|ROC|YYZ|PEK|DYG|
DYG|RSW,|RSW|ORD|PEK|DYG|
DYG|SAN,|SAN|LAX|PEK|DYG|
DYG|SJO,|SJO|IAH|PEK|DYG|
DYG|STL,|STL|ORD|PEK|DYG|
DYG|SYR,|SYR|YYZ|PEK|DYG|
DYG|TLV,|TLV|SAW|TBS|URC|CSX|DYG|
DYG|TPA,|TPA|ORD|PEK|DYG|
DYG|UVF,|UVF|EWR|PEK|DYG|
DYG|VIE,|VIE|IST|URC|CSX|DYG|
DYG|YAM,|YAM|YYZ|PEK|DYG|
DYG|YGK,|YGK|YYZ|PEK|DYG|
DYG|YQG,|YQG|YYZ|PEK|DYG|
DYG|YSB,|YSB|YYZ|PEK|DYG|
DYG|YTS,|YTS|YYZ|PEK|DYG|
DYG|YYB,|YYB|YYZ|PEK|DYG|
DYG|YZR,|YZR|YYZ|PEK|DYG|
DYG|CAN,|CAN|DYG|
DYG|URC,|URC|CSX|DYG|
DYG|CTU,|CTU|CSX|DYG|
DYG|HGH,|HGH|CSX|DYG|
DYG|XMN,|XMN|CSX|DYG|
DYG|CGO,|CGO|YTY|CSX|DYG|
DYG|CSX,|CSX|DYG|
DYG|SHE,|SHE|PEK|DYG|
DYG|SJW,|SJW|CSX|DYG|
DYG|WUH,|WUH|CAN|DYG|
DYG|SZX,|SZX|DYG|
DYG|CKG,|CKG|CSX|DYG|
DYG|KMG,|KMG|CSX|DYG|
DYG|FOC,|FOC|CSX|DYG|
DYG|NNG,|NNG|CSX|DYG|
DYG|SWA,|SWA|CSX|DYG|
DYG|ACX,|ACX|CAN|DYG|
DYG|AQG,|AQG|CAN|DYG|
DYG|AVA,|AVA|CAN|DYG|
DYG|BFJ,|BFJ|CAN|DYG|
DYG|BHY,|BHY|CSX|DYG|
DYG|BNE,|BNE|CAN|DYG|
DYG|CGD,|CGD|CAN|DYG|
DYG|CGK,|CGK|CAN|DYG|
DYG|CGQ,|CGQ|PEK|DYG|
DYG|CIH,|CIH|DAT|TYN|DYG|
DYG|CNX,|CNX|CAN|DYG|
DYG|CZX,|CZX|CSX|DYG|
DYG|DAC,|DAC|CAN|DYG|
DYG|DAD,|DAD|CAN|DYG|
