EBB|BRU,|BRU|EBB|
EBB|OUA,|OUA|NIM|IST|EBB|
EBB|JED,|JED|IST|EBB|
EBB|CPH,|CPH|IST|EBB|
EBB|YYZ,|YYZ|BRU|EBB|
EBB|DEN,|DEN|ORD|BRU|EBB|
EBB|YUL,|YUL|BRU|EBB|
EBB|NBO,|NBO|IST|EBB|
EBB|ICN,|ICN|IST|EBB|
EBB|NRT,|NRT|IST|EBB|
EBB|YHZ,|YHZ|LHR|IST|EBB|
EBB|YOW,|YOW|YUL|BRU|EBB|
EBB|BJM,|BJM|BRU|EBB|
EBB|COO,|COO|BRU|EBB|
EBB|DKR,|DKR|BRU|EBB|
EBB|DLA,|DLA|IST|EBB|
EBB|KGL,|KGL|IST|EBB|
EBB|LAD,|LAD|BRU|EBB|
EBB|ABJ,|ABJ|OUA|NIM|IST|EBB|
EBB|AMS,|AMS|IST|EBB|
EBB|OSL,|OSL|IST|EBB|
EBB|VNO,|VNO|IST|EBB|
EBB|WAW,|WAW|IST|EBB|
EBB|YYC,|YYC|FRA|IST|EBB|
EBB|ATL,|ATL|IAD|BRU|EBB|
EBB|MSY,|MSY|IAD|BRU|EBB|
EBB|YEG,|YEG|LHR|IST|EBB|
EBB|YMM,|YMM|YEG|LHR|IST|EBB|
EBB|YQR,|YQR|YWG|YUL|BRU|EBB|
EBB|YVR,|YVR|MUC|IST|EBB|
EBB|YWG,|YWG|YUL|BRU|EBB|
EBB|YXE,|YXE|YWG|YUL|BRU|EBB|
EBB|CKY,|CKY|DKR|BRU|EBB|
EBB|FIH,|FIH|IST|EBB|
EBB|SCL,|SCL|EZE|GRU|IST|EBB|
EBB|LCA,|LCA|FRA|IST|EBB|
EBB|NAP,|NAP|IST|EBB|
EBB|VLC,|VLC|IST|EBB|
EBB|BKK,|BKK|IST|EBB|
EBB|ADD,|ADD|IST|EBB|
EBB|FRA,|FRA|IST|EBB|
EBB|IST,|IST|EBB|
EBB|YLW,|YLW|YYC|FRA|IST|EBB|
EBB|YYT,|YYT|LHR|IST|EBB|
EBB|GUA,|GUA|EWR|BRU|EBB|
EBB|EWR,|EWR|BRU|EBB|
EBB|IAD,|IAD|BRU|EBB|
EBB|IAH,|IAH|YUL|BRU|EBB|
EBB|ORD,|ORD|BRU|EBB|
EBB|SOF,|SOF|IST|EBB|
EBB|YQB,|YQB|YUL|BRU|EBB|
EBB|YXU,|YXU|YYZ|BRU|EBB|
EBB|EZE,|EZE|GRU|IST|EBB|
EBB|YYJ,|YYJ|YVR|MUC|IST|EBB|
EBB|YYY,|YYY|YUL|BRU|EBB|
EBB|YQQ,|YQQ|YBL|YVR|MUC|IST|EBB|
EBB|YYR,|YYR|YYT|LHR|IST|EBB|
EBB|LHR,|LHR|IST|EBB|
EBB|SFO,|SFO|MUC|IST|EBB|
EBB|YQU,|YQU|YEG|LHR|IST|EBB|
EBB|YZF,|YZF|YEG|LHR|IST|EBB|
EBB|YGR,|YGR|YGP|YQB|YUL|BRU|EBB|
EBB|YGP,|YGP|YQB|YUL|BRU|EBB|
EBB|BOS,|BOS|YUL|BRU|EBB|
EBB|YDF,|YDF|YYT|LHR|IST|EBB|
EBB|YFC,|YFC|YHZ|LHR|IST|EBB|
EBB|YQM,|YQM|YHZ|LHR|IST|EBB|
EBB|YQX,|YQX|YYT|LHR|IST|EBB|
EBB|YQY,|YQY|YHZ|LHR|IST|EBB|
EBB|YSJ,|YSJ|YHZ|LHR|IST|EBB|
EBB|YYG,|YYG|YHZ|LHR|IST|EBB|
EBB|LAX,|LAX|IST|EBB|
EBB|DCA,|DCA|EWR|BRU|EBB|
EBB|LGA,|LGA|YUL|BRU|EBB|
EBB|YZV,|YZV|YWK|YYR|YYT|LHR|IST|EBB|
EBB|YWL,|YWL|YVR|MUC|IST|EBB|
EBB|AZS,|AZS|YUL|BRU|EBB|
EBB|BDL,|BDL|YUL|BRU|EBB|
EBB|CCC,|CCC|YUL|BRU|EBB|
EBB|CDG,|CDG|IST|EBB|
EBB|CUN,|CUN|EWR|BRU|EBB|
EBB|CZM,|CZM|YUL|BRU|EBB|
EBB|FDF,|FDF|YUL|BRU|EBB|
EBB|FLL,|FLL|EWR|BRU|EBB|
EBB|GVA,|GVA|IST|EBB|
EBB|HOG,|HOG|YUL|BRU|EBB|
EBB|LAS,|LAS|ORD|BRU|EBB|
EBB|MBJ,|MBJ|EWR|BRU|EBB|
EBB|MCO,|MCO|EWR|BRU|EBB|
EBB|MUC,|MUC|IST|EBB|
EBB|PAP,|PAP|YUL|BRU|EBB|
EBB|PTP,|PTP|YUL|BRU|EBB|
EBB|PUJ,|PUJ|YHZ|LHR|IST|EBB|
EBB|SNU,|SNU|YUL|BRU|EBB|
EBB|VRA,|VRA|YUL|BRU|EBB|
EBB|YBC,|YBC|YUL|BRU|EBB|
EBB|YBG,|YBG|YUL|BRU|EBB|
EBB|YTZ,|YTZ|YUL|BRU|EBB|
EBB|YUY,|YUY|YUL|BRU|EBB|
EBB|YVO,|YVO|YUL|BRU|EBB|
EBB|ZBF,|ZBF|YUL|BRU|EBB|
EBB|ZRH,|ZRH|IST|EBB|
EBB|ZSA,|ZSA|YUL|BRU|EBB|
EBB|AKL,|AKL|BKK|IST|EBB|
EBB|HKG,|HKG|IST|EBB|
EBB|HND,|HND|YVR|MUC|IST|EBB|
EBB|HNL,|HNL|YVR|MUC|IST|EBB|
EBB|MEX,|MEX|IAD|BRU|EBB|
EBB|OGG,|OGG|YVR|MUC|IST|EBB|
EBB|PDX,|PDX|SEA|FRA|IST|EBB|
EBB|PEK,|PEK|IST|EBB|
EBB|PVG,|PVG|IST|EBB|
EBB|PVR,|PVR|IAH|YUL|BRU|EBB|
EBB|SEA,|SEA|FRA|IST|EBB|
EBB|SYD,|SYD|BKK|IST|EBB|
EBB|YBL,|YBL|YVR|MUC|IST|EBB|
EBB|YCD,|YCD|YVR|MUC|IST|EBB|
EBB|YCG,|YCG|YYC|FRA|IST|EBB|
EBB|YKA,|YKA|YYC|FRA|IST|EBB|
EBB|YPR,|YPR|YVR|MUC|IST|EBB|
EBB|YQZ,|YQZ|YVR|MUC|IST|EBB|
EBB|YXC,|YXC|YYC|FRA|IST|EBB|
EBB|YXJ,|YXJ|YYC|FRA|IST|EBB|
EBB|YXS,|YXS|YYC|FRA|IST|EBB|
EBB|YXT,|YXT|YVR|MUC|IST|EBB|
EBB|YXY,|YXY|YVR|MUC|IST|EBB|
EBB|YYD,|YYD|YVR|MUC|IST|EBB|
EBB|YYF,|YYF|YVR|MUC|IST|EBB|
EBB|YZP,|YZP|YVR|MUC|IST|EBB|
EBB|YQT,|YQT|YYZ|BRU|EBB|
EBB|SJD,|SJD|ORD|BRU|EBB|
EBB|YQF,|YQF|YYC|FRA|IST|EBB|
EBB|YQL,|YQL|YYC|FRA|IST|EBB|
EBB|YXH,|YXH|YYC|FRA|IST|EBB|
EBB|YWK,|YWK|YYR|YYT|LHR|IST|EBB|
EBB|ANU,|ANU|EWR|BRU|EBB|
EBB|AUA,|AUA|EWR|BRU|EBB|
EBB|AUH,|AUH|IST|EBB|
EBB|BCN,|BCN|IST|EBB|
EBB|BDA,|BDA|EWR|BRU|EBB|
EBB|BGI,|BGI|YYZ|BRU|EBB|
EBB|BNA,|BNA|YYZ|BRU|EBB|
EBB|BOG,|BOG|JFK|BRU|EBB|
EBB|BWI,|BWI|EWR|BRU|EBB|
EBB|CLE,|CLE|YYZ|BRU|EBB|
EBB|CLT,|CLT|EWR|BRU|EBB|
EBB|CMH,|CMH|YYZ|BRU|EBB|
EBB|CVG,|CVG|YYZ|BRU|EBB|
EBB|DFW,|DFW|ORD|BRU|EBB|
EBB|DTW,|DTW|YYZ|BRU|EBB|
EBB|DUB,|DUB|IST|EBB|
EBB|FCO,|FCO|IST|EBB|
EBB|GCM,|GCM|EWR|BRU|EBB|
EBB|GGT,|GGT|FLL|EWR|BRU|EBB|
EBB|GND,|GND|YYZ|BRU|EBB|
EBB|GRU,|GRU|IST|EBB|
EBB|HAV,|HAV|YYZ|BRU|EBB|
EBB|IND,|IND|YYZ|BRU|EBB|
EBB|JFK,|JFK|BRU|EBB|
EBB|KIN,|KIN|YYZ|BRU|EBB|
EBB|LIM,|LIM|EWR|BRU|EBB|
EBB|LIR,|LIR|EWR|BRU|EBB|
EBB|MCI,|MCI|ORD|BRU|EBB|
EBB|MDT,|MDT|IAD|BRU|EBB|
EBB|MIA,|MIA|EWR|BRU|EBB|
EBB|MKE,|MKE|YYZ|BRU|EBB|
EBB|MSP,|MSP|YUL|BRU|EBB|
EBB|NAS,|NAS|EWR|BRU|EBB|
EBB|PHL,|PHL|IAD|BRU|EBB|
EBB|PHX,|PHX|ORD|BRU|EBB|
EBB|PIT,|PIT|YYZ|BRU|EBB|
EBB|PLS,|PLS|EWR|BRU|EBB|
EBB|POP,|POP|EWR|BRU|EBB|
EBB|RDU,|RDU|EWR|BRU|EBB|
EBB|ROC,|ROC|YYZ|BRU|EBB|
EBB|RSW,|RSW|EWR|BRU|EBB|
EBB|SAN,|SAN|ORD|BRU|EBB|
EBB|SJO,|SJO|EWR|BRU|EBB|
EBB|STL,|STL|ORD|BRU|EBB|
EBB|SYR,|SYR|EWR|BRU|EBB|
EBB|TLV,|TLV|IST|EBB|
EBB|TPA,|TPA|EWR|BRU|EBB|
EBB|UVF,|UVF|EWR|BRU|EBB|
EBB|VIE,|VIE|IST|EBB|
EBB|YAM,|YAM|YYZ|BRU|EBB|
EBB|YGK,|YGK|YYZ|BRU|EBB|
EBB|YQG,|YQG|YYZ|BRU|EBB|
EBB|YSB,|YSB|YYZ|BRU|EBB|
EBB|YTS,|YTS|YYZ|BRU|EBB|
EBB|YYB,|YYB|YYZ|BRU|EBB|
EBB|YZR,|YZR|YYZ|BRU|EBB|
EBB|CAN,|CAN|IST|EBB|
EBB|URC,|URC|IST|EBB|
EBB|CTU,|CTU|URC|IST|EBB|
EBB|HGH,|HGH|URC|IST|EBB|
EBB|XMN,|XMN|CSX|URC|IST|EBB|
EBB|CGO,|CGO|URC|IST|EBB|
EBB|CSX,|CSX|URC|IST|EBB|
EBB|SHE,|SHE|PEK|IST|EBB|
EBB|SJW,|SJW|URC|IST|EBB|
EBB|WUH,|WUH|URC|IST|EBB|
EBB|SZX,|SZX|CKG|URC|IST|EBB|
EBB|CKG,|CKG|URC|IST|EBB|
EBB|KMG,|KMG|CTU|URC|IST|EBB|
EBB|FOC,|FOC|XIY|URC|IST|EBB|
EBB|NNG,|NNG|KWE|URC|IST|EBB|
EBB|SWA,|SWA|CAN|IST|EBB|
EBB|ACX,|ACX|CAN|IST|EBB|
EBB|AQG,|AQG|CAN|IST|EBB|
EBB|AVA,|AVA|CAN|IST|EBB|
EBB|BFJ,|BFJ|CAN|IST|EBB|
EBB|BHY,|BHY|CKG|URC|IST|EBB|
EBB|BNE,|BNE|BKK|IST|EBB|
EBB|CGD,|CGD|PEK|IST|EBB|
EBB|CGK,|CGK|SIN|IST|EBB|
EBB|CGQ,|CGQ|HET|URC|IST|EBB|
EBB|CIH,|CIH|PEK|IST|EBB|
