ECP|BRU,|BRU|EWR|BWI|ECP|
ECP|OUA,|OUA|BRU|EWR|BWI|ECP|
ECP|JED,|JED|FRA|EWR|BWI|ECP|
ECP|CPH,|CPH|YYZ|BNA|ECP|
ECP|YYZ,|YYZ|BNA|ECP|
ECP|DEN,|DEN|STL|ECP|
ECP|YUL,|YUL|EWR|BWI|ECP|
ECP|NBO,|NBO|ZRH|BOS|BWI|ECP|
ECP|ICN,|ICN|YVR|DEN|STL|ECP|
ECP|NRT,|NRT|ORD|BNA|ECP|
ECP|YHZ,|YHZ|EWR|BWI|ECP|
ECP|YOW,|YOW|YYZ|BNA|ECP|
ECP|BJM,|BJM|BRU|EWR|BWI|ECP|
ECP|COO,|COO|BRU|EWR|BWI|ECP|
ECP|DKR,|DKR|IAD|BNA|ECP|
ECP|DLA,|DLA|BRU|EWR|BWI|ECP|
ECP|KGL,|KGL|BRU|EWR|BWI|ECP|
ECP|LAD,|LAD|BRU|EWR|BWI|ECP|
ECP|ABJ,|ABJ|BRU|EWR|BWI|ECP|
ECP|AMS,|AMS|EWR|BWI|ECP|
ECP|OSL,|OSL|EWR|BWI|ECP|
ECP|VNO,|VNO|CPH|YYZ|BNA|ECP|
ECP|WAW,|WAW|YYZ|BNA|ECP|
ECP|YYC,|YYC|ORD|BNA|ECP|
ECP|ATL,|ATL|STL|ECP|
ECP|MSY,|MSY|HOU|ECP|
ECP|YEG,|YEG|ORD|BNA|ECP|
ECP|YMM,|YMM|YEG|ORD|BNA|ECP|
ECP|YQR,|YQR|ORD|BNA|ECP|
ECP|YVR,|YVR|DEN|STL|ECP|
ECP|YWG,|YWG|ORD|BNA|ECP|
ECP|YXE,|YXE|ORD|BNA|ECP|
ECP|CKY,|CKY|DKR|IAD|BNA|ECP|
ECP|FIH,|FIH|DLA|BRU|EWR|BWI|ECP|
ECP|SCL,|SCL|YYZ|BNA|ECP|
ECP|LCA,|LCA|FRA|EWR|BWI|ECP|
ECP|NAP,|NAP|FRA|EWR|BWI|ECP|
ECP|VLC,|VLC|FRA|EWR|BWI|ECP|
ECP|BKK,|BKK|CGO|PEK|ORD|BNA|ECP|
ECP|ADD,|ADD|JED|FRA|EWR|BWI|ECP|
ECP|FRA,|FRA|EWR|BWI|ECP|
ECP|IST,|IST|BHX|EWR|BWI|ECP|
ECP|EBB,|EBB|KGL|BRU|EWR|BWI|ECP|
ECP|YLW,|YLW|YYC|ORD|BNA|ECP|
ECP|YYT,|YYT|EWR|BWI|ECP|
ECP|GUA,|GUA|IAH|AUS|HOU|ECP|
ECP|EWR,|EWR|BWI|ECP|
ECP|IAD,|IAD|BNA|ECP|
ECP|IAH,|IAH|AUS|HOU|ECP|
ECP|ORD,|ORD|BNA|ECP|
ECP|SOF,|SOF|MUC|EWR|BWI|ECP|
ECP|YQB,|YQB|EWR|BWI|ECP|
ECP|YXU,|YXU|YYZ|BNA|ECP|
ECP|EZE,|EZE|IAH|AUS|HOU|ECP|
ECP|YYJ,|YYJ|YVR|DEN|STL|ECP|
ECP|YYY,|YYY|YUL|EWR|BWI|ECP|
ECP|YQQ,|YQQ|YBL|YVR|DEN|STL|ECP|
ECP|YYR,|YYR|YHZ|EWR|BWI|ECP|
ECP|LHR,|LHR|EWR|BWI|ECP|
ECP|SFO,|SFO|LAS|HOU|ECP|
ECP|YQU,|YQU|YEG|ORD|BNA|ECP|
ECP|YZF,|YZF|YEG|ORD|BNA|ECP|
ECP|YGR,|YGR|YGP|YQB|EWR|BWI|ECP|
ECP|YGP,|YGP|YQB|EWR|BWI|ECP|
ECP|BOS,|BOS|BWI|ECP|
ECP|YDF,|YDF|YHZ|EWR|BWI|ECP|
ECP|YFC,|YFC|YUL|EWR|BWI|ECP|
ECP|YQM,|YQM|EWR|BWI|ECP|
ECP|YQX,|YQX|YHZ|EWR|BWI|ECP|
ECP|YQY,|YQY|YHZ|EWR|BWI|ECP|
ECP|YSJ,|YSJ|YUL|EWR|BWI|ECP|
ECP|YYG,|YYG|YHZ|EWR|BWI|ECP|
ECP|LAX,|LAX|HOU|ECP|
ECP|DCA,|DCA|CLE|BNA|ECP|
ECP|LGA,|LGA|BNA|ECP|
ECP|YZV,|YZV|YQB|EWR|BWI|ECP|
ECP|YWL,|YWL|YVR|DEN|STL|ECP|
ECP|AZS,|AZS|YYZ|BNA|ECP|
ECP|BDL,|BDL|BWI|ECP|
ECP|CCC,|CCC|YYZ|BNA|ECP|
ECP|CDG,|CDG|EWR|BWI|ECP|
ECP|CUN,|CUN|AUS|HOU|ECP|
ECP|CZM,|CZM|IAH|AUS|HOU|ECP|
ECP|FDF,|FDF|YUL|EWR|BWI|ECP|
ECP|FLL,|FLL|BNA|ECP|
ECP|GVA,|GVA|EWR|BWI|ECP|
ECP|HOG,|HOG|YYZ|BNA|ECP|
ECP|LAS,|LAS|HOU|ECP|
ECP|MBJ,|MBJ|IAH|AUS|HOU|ECP|
ECP|MCO,|MCO|BNA|ECP|
ECP|MUC,|MUC|EWR|BWI|ECP|
ECP|PAP,|PAP|YUL|EWR|BWI|ECP|
ECP|PTP,|PTP|YUL|EWR|BWI|ECP|
ECP|PUJ,|PUJ|IAD|BNA|ECP|
ECP|SNU,|SNU|YYZ|BNA|ECP|
ECP|VRA,|VRA|YYZ|BNA|ECP|
ECP|YBC,|YBC|YUL|EWR|BWI|ECP|
ECP|YBG,|YBG|YUL|EWR|BWI|ECP|
ECP|YTZ,|YTZ|YUL|EWR|BWI|ECP|
ECP|YUY,|YUY|YUL|EWR|BWI|ECP|
ECP|YVO,|YVO|YUL|EWR|BWI|ECP|
ECP|ZBF,|ZBF|YUL|EWR|BWI|ECP|
ECP|ZRH,|ZRH|BOS|BWI|ECP|
ECP|ZSA,|ZSA|YUL|EWR|BWI|ECP|
ECP|AKL,|AKL|LAX|HOU|ECP|
ECP|HKG,|HKG|ORD|BNA|ECP|
ECP|HND,|HND|YVR|DEN|STL|ECP|
ECP|HNL,|HNL|LAX|HOU|ECP|
ECP|MEX,|MEX|IAH|AUS|HOU|ECP|
ECP|OGG,|OGG|LAX|HOU|ECP|
ECP|PDX,|PDX|MCI|STL|ECP|
ECP|PEK,|PEK|ORD|BNA|ECP|
ECP|PVG,|PVG|ORD|BNA|ECP|
ECP|PVR,|PVR|IAH|AUS|HOU|ECP|
ECP|SEA,|SEA|DEN|STL|ECP|
ECP|SYD,|SYD|LAX|HOU|ECP|
ECP|YBL,|YBL|YVR|DEN|STL|ECP|
ECP|YCD,|YCD|YVR|DEN|STL|ECP|
ECP|YCG,|YCG|YYC|ORD|BNA|ECP|
ECP|YKA,|YKA|YYC|ORD|BNA|ECP|
ECP|YPR,|YPR|YVR|DEN|STL|ECP|
ECP|YQZ,|YQZ|YVR|DEN|STL|ECP|
ECP|YXC,|YXC|YYC|ORD|BNA|ECP|
ECP|YXJ,|YXJ|YYC|ORD|BNA|ECP|
