ELH|BRU,|BRU|EWR|PBI|ELH|
ELH|OUA,|OUA|BRU|EWR|PBI|ELH|
ELH|JED,|JED|FRA|EWR|PBI|ELH|
ELH|CPH,|CPH|AMS|EWR|PBI|ELH|
ELH|YYZ,|YYZ|FLL|ELH|
ELH|DEN,|DEN|TPA|PBI|ELH|
ELH|YUL,|YUL|EWR|PBI|ELH|
ELH|NBO,|NBO|ZRH|EWR|PBI|ELH|
ELH|ICN,|ICN|YVR|DEN|TPA|PBI|ELH|
ELH|NRT,|NRT|ORD|ATL|PBI|ELH|
ELH|YHZ,|YHZ|EWR|PBI|ELH|
ELH|YOW,|YOW|IAD|FLL|ELH|
ELH|BJM,|BJM|BRU|EWR|PBI|ELH|
ELH|COO,|COO|BRU|EWR|PBI|ELH|
ELH|DKR,|DKR|IAD|FLL|ELH|
ELH|DLA,|DLA|BRU|EWR|PBI|ELH|
ELH|KGL,|KGL|BRU|EWR|PBI|ELH|
ELH|LAD,|LAD|BRU|EWR|PBI|ELH|
ELH|ABJ,|ABJ|BRU|EWR|PBI|ELH|
ELH|AMS,|AMS|EWR|PBI|ELH|
ELH|OSL,|OSL|EWR|PBI|ELH|
ELH|VNO,|VNO|CPH|AMS|EWR|PBI|ELH|
ELH|WAW,|WAW|CPH|AMS|EWR|PBI|ELH|
ELH|YYC,|YYC|MCO|FLL|ELH|
ELH|ATL,|ATL|PBI|ELH|
ELH|MSY,|MSY|TPA|PBI|ELH|
ELH|YEG,|YEG|ORD|ATL|PBI|ELH|
ELH|YMM,|YMM|YEG|ORD|ATL|PBI|ELH|
ELH|YQR,|YQR|ORD|ATL|PBI|ELH|
ELH|YVR,|YVR|DEN|TPA|PBI|ELH|
ELH|YWG,|YWG|ORD|ATL|PBI|ELH|
ELH|YXE,|YXE|ORD|ATL|PBI|ELH|
ELH|CKY,|CKY|DKR|IAD|FLL|ELH|
ELH|FIH,|FIH|DLA|BRU|EWR|PBI|ELH|
ELH|SCL,|SCL|YYZ|FLL|ELH|
ELH|LCA,|LCA|FRA|EWR|PBI|ELH|
ELH|NAP,|NAP|FRA|EWR|PBI|ELH|
ELH|VLC,|VLC|FRA|EWR|PBI|ELH|
ELH|BKK,|BKK|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|ADD,|ADD|JED|FRA|EWR|PBI|ELH|
ELH|FRA,|FRA|EWR|PBI|ELH|
ELH|IST,|IST|BHX|EWR|PBI|ELH|
ELH|EBB,|EBB|KGL|BRU|EWR|PBI|ELH|
ELH|YLW,|YLW|YYC|MCO|FLL|ELH|
ELH|YYT,|YYT|EWR|PBI|ELH|
ELH|GUA,|GUA|IAH|PBI|ELH|
ELH|EWR,|EWR|PBI|ELH|
ELH|IAD,|IAD|FLL|ELH|
ELH|IAH,|IAH|PBI|ELH|
ELH|ORD,|ORD|ATL|PBI|ELH|
ELH|SOF,|SOF|MUC|EWR|PBI|ELH|
ELH|YQB,|YQB|EWR|PBI|ELH|
ELH|YXU,|YXU|YYZ|FLL|ELH|
ELH|EZE,|EZE|IAH|PBI|ELH|
ELH|YYJ,|YYJ|YVR|DEN|TPA|PBI|ELH|
ELH|YYY,|YYY|YUL|EWR|PBI|ELH|
ELH|YQQ,|YQQ|YBL|YVR|DEN|TPA|PBI|ELH|
ELH|YYR,|YYR|YHZ|EWR|PBI|ELH|
ELH|LHR,|LHR|EWR|PBI|ELH|
ELH|SFO,|SFO|LAS|TPA|PBI|ELH|
ELH|YQU,|YQU|YEG|ORD|ATL|PBI|ELH|
ELH|YZF,|YZF|YEG|ORD|ATL|PBI|ELH|
ELH|YGR,|YGR|YGP|YQB|EWR|PBI|ELH|
ELH|YGP,|YGP|YQB|EWR|PBI|ELH|
ELH|BOS,|BOS|EWR|PBI|ELH|
ELH|YDF,|YDF|YHZ|EWR|PBI|ELH|
ELH|YFC,|YFC|YUL|EWR|PBI|ELH|
ELH|YQM,|YQM|EWR|PBI|ELH|
ELH|YQX,|YQX|YHZ|EWR|PBI|ELH|
ELH|YQY,|YQY|YHZ|EWR|PBI|ELH|
ELH|YSJ,|YSJ|YUL|EWR|PBI|ELH|
ELH|YYG,|YYG|YHZ|EWR|PBI|ELH|
ELH|LAX,|LAX|MSY|TPA|PBI|ELH|
ELH|DCA,|DCA|ATL|PBI|ELH|
ELH|LGA,|LGA|IAD|FLL|ELH|
ELH|YZV,|YZV|YQB|EWR|PBI|ELH|
