ELP|BRU,|BRU|ORD|STL|DAL|ELP|
ELP|OUA,|OUA|BRU|ORD|STL|DAL|ELP|
ELP|JED,|JED|FRA|DEN|ELP|
ELP|CPH,|CPH|YYZ|STL|DAL|ELP|
ELP|YYZ,|YYZ|STL|DAL|ELP|
ELP|DEN,|DEN|ELP|
ELP|YUL,|YUL|YYZ|STL|DAL|ELP|
ELP|NBO,|NBO|ZRH|YYZ|STL|DAL|ELP|
ELP|ICN,|ICN|SFO|LAS|ELP|
ELP|NRT,|NRT|SFO|LAS|ELP|
ELP|YHZ,|YHZ|EWR|BWI|LIT|DAL|ELP|
ELP|YOW,|YOW|YYZ|STL|DAL|ELP|
ELP|BJM,|BJM|BRU|ORD|STL|DAL|ELP|
ELP|COO,|COO|BRU|ORD|STL|DAL|ELP|
ELP|DKR,|DKR|IAD|STL|DAL|ELP|
ELP|DLA,|DLA|BRU|ORD|STL|DAL|ELP|
ELP|KGL,|KGL|BRU|ORD|STL|DAL|ELP|
ELP|LAD,|LAD|BRU|ORD|STL|DAL|ELP|
ELP|ABJ,|ABJ|BRU|ORD|STL|DAL|ELP|
ELP|AMS,|AMS|ORD|STL|DAL|ELP|
ELP|OSL,|OSL|EWR|BWI|LIT|DAL|ELP|
ELP|VNO,|VNO|CPH|YYZ|STL|DAL|ELP|
ELP|WAW,|WAW|YYZ|STL|DAL|ELP|
ELP|YYC,|YYC|DEN|ELP|
ELP|ATL,|ATL|AUS|ELP|
ELP|MSY,|MSY|IAH|ELP|
ELP|YEG,|YEG|DEN|ELP|
ELP|YMM,|YMM|DEN|ELP|
ELP|YQR,|YQR|DEN|ELP|
ELP|YVR,|YVR|LAS|ELP|
ELP|YWG,|YWG|DEN|ELP|
ELP|YXE,|YXE|DEN|ELP|
ELP|CKY,|CKY|DKR|IAD|STL|DAL|ELP|
ELP|FIH,|FIH|DLA|BRU|ORD|STL|DAL|ELP|
ELP|SCL,|SCL|EZE|IAH|ELP|
ELP|LCA,|LCA|FRA|DEN|ELP|
ELP|NAP,|NAP|FRA|DEN|ELP|
ELP|VLC,|VLC|FRA|DEN|ELP|
ELP|BKK,|BKK|CGO|PEK|SEA|LAS|ELP|
ELP|ADD,|ADD|JED|FRA|DEN|ELP|
ELP|FRA,|FRA|DEN|ELP|
ELP|IST,|IST|FRA|DEN|ELP|
ELP|EBB,|EBB|KGL|BRU|ORD|STL|DAL|ELP|
ELP|YLW,|YLW|YYC|DEN|ELP|
ELP|YYT,|YYT|YYZ|STL|DAL|ELP|
ELP|GUA,|GUA|IAH|ELP|
ELP|EWR,|EWR|BWI|LIT|DAL|ELP|
ELP|IAD,|IAD|STL|DAL|ELP|
ELP|IAH,|IAH|ELP|
ELP|ORD,|ORD|STL|DAL|ELP|
ELP|SOF,|SOF|MUC|ORD|STL|DAL|ELP|
ELP|YQB,|YQB|YYZ|STL|DAL|ELP|
ELP|YXU,|YXU|ORD|STL|DAL|ELP|
ELP|EZE,|EZE|IAH|ELP|
ELP|YYJ,|YYJ|LAS|ELP|
ELP|YYY,|YYY|YUL|YYZ|STL|DAL|ELP|
ELP|YQQ,|YQQ|YBL|YVR|LAS|ELP|
ELP|YYR,|YYR|YWK|YZV|YQB|YYZ|STL|DAL|ELP|
ELP|LHR,|LHR|YYZ|STL|DAL|ELP|
ELP|SFO,|SFO|LAS|ELP|
ELP|YQU,|YQU|YYC|DEN|ELP|
ELP|YZF,|YZF|YEG|DEN|ELP|
ELP|YGR,|YGR|YGP|YQB|YYZ|STL|DAL|ELP|
ELP|YGP,|YGP|YQB|YYZ|STL|DAL|ELP|
ELP|BOS,|BOS|BWI|LIT|DAL|ELP|
ELP|YDF,|YDF|YYZ|STL|DAL|ELP|
ELP|YFC,|YFC|YYZ|STL|DAL|ELP|
ELP|YQM,|YQM|YYZ|STL|DAL|ELP|
ELP|YQX,|YQX|YHZ|EWR|BWI|LIT|DAL|ELP|
ELP|YQY,|YQY|YYZ|STL|DAL|ELP|
ELP|YSJ,|YSJ|YYZ|STL|DAL|ELP|
ELP|YYG,|YYG|YYZ|STL|DAL|ELP|
ELP|LAX,|LAX|ELP|
ELP|DCA,|DCA|STL|DAL|ELP|
ELP|LGA,|LGA|STL|DAL|ELP|
ELP|YZV,|YZV|YQB|YYZ|STL|DAL|ELP|
