ELQ|BRU,|BRU|IST|ELQ|
ELQ|OUA,|OUA|NIM|IST|ELQ|
ELQ|JED,|JED|IST|ELQ|
ELQ|CPH,|CPH|IST|ELQ|
ELQ|YYZ,|YYZ|IST|ELQ|
ELQ|DEN,|DEN|FRA|IST|ELQ|
ELQ|YUL,|YUL|FRA|IST|ELQ|
ELQ|NBO,|NBO|IST|ELQ|
ELQ|ICN,|ICN|IST|ELQ|
ELQ|NRT,|NRT|IST|ELQ|
ELQ|YHZ,|YHZ|LHR|IST|ELQ|
ELQ|YOW,|YOW|FRA|IST|ELQ|
ELQ|BJM,|BJM|BRU|IST|ELQ|
ELQ|COO,|COO|BRU|IST|ELQ|
ELQ|DKR,|DKR|BRU|IST|ELQ|
ELQ|DLA,|DLA|IST|ELQ|
ELQ|KGL,|KGL|IST|ELQ|
ELQ|LAD,|LAD|BRU|IST|ELQ|
ELQ|ABJ,|ABJ|OUA|NIM|IST|ELQ|
ELQ|AMS,|AMS|IST|ELQ|
ELQ|OSL,|OSL|IST|ELQ|
ELQ|VNO,|VNO|IST|ELQ|
ELQ|WAW,|WAW|IST|ELQ|
ELQ|YYC,|YYC|FRA|IST|ELQ|
ELQ|ATL,|ATL|FRA|IST|ELQ|
ELQ|MSY,|MSY|IAD|IST|ELQ|
ELQ|YEG,|YEG|LHR|IST|ELQ|
ELQ|YMM,|YMM|YEG|LHR|IST|ELQ|
ELQ|YQR,|YQR|YEG|LHR|IST|ELQ|
ELQ|YVR,|YVR|MUC|IST|ELQ|
ELQ|YWG,|YWG|YUL|FRA|IST|ELQ|
ELQ|YXE,|YXE|YEG|LHR|IST|ELQ|
ELQ|CKY,|CKY|DKR|BRU|IST|ELQ|
ELQ|FIH,|FIH|IST|ELQ|
ELQ|SCL,|SCL|EZE|GRU|IST|ELQ|
ELQ|LCA,|LCA|FRA|IST|ELQ|
ELQ|NAP,|NAP|IST|ELQ|
ELQ|VLC,|VLC|IST|ELQ|
ELQ|BKK,|BKK|IST|ELQ|
ELQ|ADD,|ADD|IST|ELQ|
ELQ|FRA,|FRA|IST|ELQ|
ELQ|IST,|IST|ELQ|
ELQ|EBB,|EBB|KGL|IST|ELQ|
ELQ|YLW,|YLW|YYC|FRA|IST|ELQ|
ELQ|YYT,|YYT|LHR|IST|ELQ|
ELQ|GUA,|GUA|MIA|ZRH|IST|ELQ|
ELQ|EWR,|EWR|BHX|IST|ELQ|
ELQ|IAD,|IAD|IST|ELQ|
ELQ|IAH,|IAH|IST|ELQ|
ELQ|ORD,|ORD|IST|ELQ|
ELQ|SOF,|SOF|IST|ELQ|
ELQ|YQB,|YQB|YUL|FRA|IST|ELQ|
ELQ|YXU,|YXU|YYZ|IST|ELQ|
ELQ|EZE,|EZE|GRU|IST|ELQ|
ELQ|YYJ,|YYJ|YVR|MUC|IST|ELQ|
ELQ|YYY,|YYY|YUL|FRA|IST|ELQ|
ELQ|YQQ,|YQQ|YBL|YVR|MUC|IST|ELQ|
ELQ|YYR,|YYR|YYT|LHR|IST|ELQ|
ELQ|LHR,|LHR|IST|ELQ|
ELQ|SFO,|SFO|MUC|IST|ELQ|
ELQ|YQU,|YQU|YEG|LHR|IST|ELQ|
ELQ|YZF,|YZF|YEG|LHR|IST|ELQ|
ELQ|YGR,|YGR|YGP|YQB|YUL|FRA|IST|ELQ|
ELQ|YGP,|YGP|YQB|YUL|FRA|IST|ELQ|
ELQ|BOS,|BOS|FRA|IST|ELQ|
ELQ|YDF,|YDF|YYT|LHR|IST|ELQ|
ELQ|YFC,|YFC|YHZ|LHR|IST|ELQ|
ELQ|YQM,|YQM|YHZ|LHR|IST|ELQ|
ELQ|YQX,|YQX|YYT|LHR|IST|ELQ|
ELQ|YQY,|YQY|YHZ|LHR|IST|ELQ|
ELQ|YSJ,|YSJ|YHZ|LHR|IST|ELQ|
ELQ|YYG,|YYG|YHZ|LHR|IST|ELQ|
ELQ|LAX,|LAX|IST|ELQ|
ELQ|DCA,|DCA|EWR|BHX|IST|ELQ|
ELQ|LGA,|LGA|YHZ|LHR|IST|ELQ|
ELQ|YZV,|YZV|YWK|YYR|YYT|LHR|IST|ELQ|
ELQ|YWL,|YWL|YVR|MUC|IST|ELQ|
ELQ|AZS,|AZS|YUL|FRA|IST|ELQ|
ELQ|BDL,|BDL|YUL|FRA|IST|ELQ|
ELQ|CCC,|CCC|YUL|FRA|IST|ELQ|
ELQ|CDG,|CDG|IST|ELQ|
ELQ|CUN,|CUN|YHZ|LHR|IST|ELQ|
ELQ|CZM,|CZM|YUL|FRA|IST|ELQ|
ELQ|FDF,|FDF|YUL|FRA|IST|ELQ|
ELQ|FLL,|FLL|MCO|FRA|IST|ELQ|
ELQ|GVA,|GVA|IST|ELQ|
ELQ|HOG,|HOG|YUL|FRA|IST|ELQ|
ELQ|LAS,|LAS|DEN|FRA|IST|ELQ|
ELQ|MBJ,|MBJ|YHZ|LHR|IST|ELQ|
ELQ|MCO,|MCO|FRA|IST|ELQ|
ELQ|MUC,|MUC|IST|ELQ|
ELQ|PAP,|PAP|YUL|FRA|IST|ELQ|
ELQ|PTP,|PTP|YUL|FRA|IST|ELQ|
ELQ|PUJ,|PUJ|YHZ|LHR|IST|ELQ|
ELQ|SNU,|SNU|YUL|FRA|IST|ELQ|
ELQ|VRA,|VRA|YUL|FRA|IST|ELQ|
ELQ|YBC,|YBC|YUL|FRA|IST|ELQ|
ELQ|YBG,|YBG|YUL|FRA|IST|ELQ|
ELQ|YTZ,|YTZ|YUL|FRA|IST|ELQ|
ELQ|YUY,|YUY|YUL|FRA|IST|ELQ|
ELQ|YVO,|YVO|YUL|FRA|IST|ELQ|
ELQ|ZBF,|ZBF|YUL|FRA|IST|ELQ|
ELQ|ZRH,|ZRH|IST|ELQ|
ELQ|ZSA,|ZSA|YUL|FRA|IST|ELQ|
ELQ|AKL,|AKL|BKK|IST|ELQ|
ELQ|HKG,|HKG|IST|ELQ|
ELQ|HND,|HND|YVR|MUC|IST|ELQ|
ELQ|HNL,|HNL|YVR|MUC|IST|ELQ|
ELQ|MEX,|MEX|IAD|IST|ELQ|
ELQ|OGG,|OGG|YVR|MUC|IST|ELQ|
ELQ|PDX,|PDX|SEA|FRA|IST|ELQ|
ELQ|PEK,|PEK|IST|ELQ|
ELQ|PVG,|PVG|IST|ELQ|
ELQ|PVR,|PVR|ORD|IST|ELQ|
ELQ|SEA,|SEA|FRA|IST|ELQ|
