ENH|BRU,|BRU|IST|URC|WUH|ENH|
ENH|OUA,|OUA|NIM|IST|URC|WUH|ENH|
ENH|JED,|JED|IST|URC|WUH|ENH|
ENH|CPH,|CPH|IST|URC|WUH|ENH|
ENH|YYZ,|YYZ|PEK|WUH|ENH|
ENH|DEN,|DEN|YVR|ICN|WUH|ENH|
ENH|YUL,|YUL|YYZ|PEK|WUH|ENH|
ENH|NBO,|NBO|CAN|WUH|ENH|
ENH|ICN,|ICN|WUH|ENH|
ENH|NRT,|NRT|ICN|WUH|ENH|
ENH|YHZ,|YHZ|YYZ|PEK|WUH|ENH|
ENH|YOW,|YOW|YYZ|PEK|WUH|ENH|
ENH|BJM,|BJM|BRU|IST|URC|WUH|ENH|
ENH|COO,|COO|BRU|IST|URC|WUH|ENH|
ENH|DKR,|DKR|BRU|IST|URC|WUH|ENH|
ENH|DLA,|DLA|IST|URC|WUH|ENH|
ENH|KGL,|KGL|IST|URC|WUH|ENH|
ENH|LAD,|LAD|BRU|IST|URC|WUH|ENH|
ENH|ABJ,|ABJ|OUA|NIM|IST|URC|WUH|ENH|
ENH|AMS,|AMS|PEK|WUH|ENH|
ENH|OSL,|OSL|IST|URC|WUH|ENH|
ENH|VNO,|VNO|IST|URC|WUH|ENH|
ENH|WAW,|WAW|IST|URC|WUH|ENH|
ENH|YYC,|YYC|YVR|ICN|WUH|ENH|
ENH|ATL,|ATL|ORD|PEK|WUH|ENH|
ENH|MSY,|MSY|ORD|PEK|WUH|ENH|
ENH|YEG,|YEG|YVR|ICN|WUH|ENH|
ENH|YMM,|YMM|YVR|ICN|WUH|ENH|
ENH|YQR,|YQR|YVR|ICN|WUH|ENH|
ENH|YVR,|YVR|ICN|WUH|ENH|
ENH|YWG,|YWG|YVR|ICN|WUH|ENH|
ENH|YXE,|YXE|YVR|ICN|WUH|ENH|
ENH|CKY,|CKY|DKR|BRU|IST|URC|WUH|ENH|
ENH|FIH,|FIH|IST|URC|WUH|ENH|
ENH|SCL,|SCL|YYZ|PEK|WUH|ENH|
ENH|LCA,|LCA|FRA|TSE|URC|WUH|ENH|
ENH|NAP,|NAP|IST|URC|WUH|ENH|
ENH|VLC,|VLC|FRA|TSE|URC|WUH|ENH|
ENH|BKK,|BKK|WUH|ENH|
ENH|ADD,|ADD|IST|URC|WUH|ENH|
ENH|FRA,|FRA|TSE|URC|WUH|ENH|
ENH|IST,|IST|URC|WUH|ENH|
ENH|EBB,|EBB|KGL|IST|URC|WUH|ENH|
ENH|YLW,|YLW|YVR|ICN|WUH|ENH|
ENH|YYT,|YYT|LHR|IST|URC|WUH|ENH|
ENH|GUA,|GUA|IAH|PEK|WUH|ENH|
ENH|EWR,|EWR|PEK|WUH|ENH|
ENH|IAD,|IAD|PEK|WUH|ENH|
ENH|IAH,|IAH|PEK|WUH|ENH|
ENH|ORD,|ORD|PEK|WUH|ENH|
ENH|SOF,|SOF|IST|URC|WUH|ENH|
ENH|YQB,|YQB|YYZ|PEK|WUH|ENH|
ENH|YXU,|YXU|YYZ|PEK|WUH|ENH|
ENH|EZE,|EZE|GRU|IST|URC|WUH|ENH|
ENH|YYJ,|YYJ|YVR|ICN|WUH|ENH|
ENH|YYY,|YYY|YUL|YYZ|PEK|WUH|ENH|
ENH|YQQ,|YQQ|YBL|YVR|ICN|WUH|ENH|
ENH|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|WUH|ENH|
ENH|LHR,|LHR|IST|URC|WUH|ENH|
ENH|SFO,|SFO|ICN|WUH|ENH|
ENH|YQU,|YQU|YEG|YVR|ICN|WUH|ENH|
ENH|YZF,|YZF|YEG|YVR|ICN|WUH|ENH|
ENH|YGR,|YGR|YGP|YQB|YYZ|PEK|WUH|ENH|
ENH|YGP,|YGP|YQB|YYZ|PEK|WUH|ENH|
ENH|BOS,|BOS|YYZ|PEK|WUH|ENH|
ENH|YDF,|YDF|YYZ|PEK|WUH|ENH|
ENH|YFC,|YFC|YYZ|PEK|WUH|ENH|
ENH|YQM,|YQM|YYZ|PEK|WUH|ENH|
ENH|YQX,|YQX|YHZ|YYZ|PEK|WUH|ENH|
ENH|YQY,|YQY|YYZ|PEK|WUH|ENH|
ENH|YSJ,|YSJ|YYZ|PEK|WUH|ENH|
ENH|YYG,|YYG|YYZ|PEK|WUH|ENH|
ENH|LAX,|LAX|ICN|WUH|ENH|
ENH|DCA,|DCA|YYZ|PEK|WUH|ENH|
ENH|LGA,|LGA|YYZ|PEK|WUH|ENH|
ENH|YZV,|YZV|YQB|YYZ|PEK|WUH|ENH|
ENH|YWL,|YWL|YVR|ICN|WUH|ENH|
ENH|AZS,|AZS|YYZ|PEK|WUH|ENH|
ENH|BDL,|BDL|YYZ|PEK|WUH|ENH|
ENH|CCC,|CCC|YYZ|PEK|WUH|ENH|
ENH|CDG,|CDG|IST|URC|WUH|ENH|
ENH|CUN,|CUN|IAH|PEK|WUH|ENH|
ENH|CZM,|CZM|IAH|PEK|WUH|ENH|
ENH|FDF,|FDF|YUL|YYZ|PEK|WUH|ENH|
ENH|FLL,|FLL|ORD|PEK|WUH|ENH|
ENH|GVA,|GVA|IST|URC|WUH|ENH|
ENH|HOG,|HOG|YYZ|PEK|WUH|ENH|
ENH|LAS,|LAS|SFO|ICN|WUH|ENH|
ENH|MBJ,|MBJ|ATL|ORD|PEK|WUH|ENH|
ENH|MCO,|MCO|ORD|PEK|WUH|ENH|
ENH|MUC,|MUC|IST|URC|WUH|ENH|
