EUG|BRU,|BRU|YUL|YYC|PDX|EUG|
EUG|OUA,|OUA|BRU|YUL|YYC|PDX|EUG|
EUG|JED,|JED|FRA|SEA|PDX|EUG|
EUG|CPH,|CPH|YYZ|ORD|PDX|EUG|
EUG|YYZ,|YYZ|ORD|PDX|EUG|
EUG|DEN,|DEN|EUG|
EUG|YUL,|YUL|YYC|PDX|EUG|
EUG|NBO,|NBO|IST|FRA|SEA|PDX|EUG|
EUG|ICN,|ICN|SEA|PDX|EUG|
EUG|NRT,|NRT|SEA|PDX|EUG|
EUG|YHZ,|YHZ|YYC|PDX|EUG|
EUG|YOW,|YOW|YYC|PDX|EUG|
EUG|BJM,|BJM|BRU|YUL|YYC|PDX|EUG|
EUG|COO,|COO|BRU|YUL|YYC|PDX|EUG|
EUG|DKR,|DKR|IAD|PDX|EUG|
EUG|DLA,|DLA|BRU|YUL|YYC|PDX|EUG|
EUG|KGL,|KGL|IST|FRA|SEA|PDX|EUG|
EUG|LAD,|LAD|BRU|YUL|YYC|PDX|EUG|
EUG|ABJ,|ABJ|BRU|YUL|YYC|PDX|EUG|
EUG|AMS,|AMS|ORD|PDX|EUG|
EUG|OSL,|OSL|EWR|PDX|EUG|
EUG|VNO,|VNO|FRA|SEA|PDX|EUG|
EUG|WAW,|WAW|YYZ|ORD|PDX|EUG|
EUG|YYC,|YYC|PDX|EUG|
EUG|ATL,|ATL|DEN|EUG|
EUG|MSY,|MSY|DEN|EUG|
EUG|YEG,|YEG|YYC|PDX|EUG|
EUG|YMM,|YMM|YYC|PDX|EUG|
EUG|YQR,|YQR|YYC|PDX|EUG|
EUG|YVR,|YVR|PDX|EUG|
EUG|YWG,|YWG|YYC|PDX|EUG|
EUG|YXE,|YXE|YYC|PDX|EUG|
EUG|CKY,|CKY|DKR|IAD|PDX|EUG|
EUG|FIH,|FIH|IST|FRA|SEA|PDX|EUG|
EUG|SCL,|SCL|YYZ|ORD|PDX|EUG|
EUG|LCA,|LCA|FRA|SEA|PDX|EUG|
EUG|NAP,|NAP|FRA|SEA|PDX|EUG|
EUG|VLC,|VLC|FRA|SEA|PDX|EUG|
EUG|BKK,|BKK|CGO|PEK|SEA|PDX|EUG|
EUG|ADD,|ADD|JED|FRA|SEA|PDX|EUG|
EUG|FRA,|FRA|SEA|PDX|EUG|
EUG|IST,|IST|FRA|SEA|PDX|EUG|
EUG|EBB,|EBB|KGL|IST|FRA|SEA|PDX|EUG|
EUG|YLW,|YLW|YVR|PDX|EUG|
EUG|YYT,|YYT|YUL|YYC|PDX|EUG|
EUG|GUA,|GUA|IAH|DEN|EUG|
EUG|EWR,|EWR|PDX|EUG|
EUG|IAD,|IAD|PDX|EUG|
EUG|IAH,|IAH|DEN|EUG|
EUG|ORD,|ORD|PDX|EUG|
EUG|SOF,|SOF|MUC|YVR|PDX|EUG|
EUG|YQB,|YQB|YUL|YYC|PDX|EUG|
EUG|YXU,|YXU|ORD|PDX|EUG|
EUG|EZE,|EZE|IAH|DEN|EUG|
EUG|YYJ,|YYJ|YVR|PDX|EUG|
EUG|YYY,|YYY|YUL|YYC|PDX|EUG|
EUG|YQQ,|YQQ|YBL|YVR|PDX|EUG|
EUG|YYR,|YYR|YWK|YZV|YUL|YYC|PDX|EUG|
EUG|LHR,|LHR|YYC|PDX|EUG|
EUG|SFO,|SFO|EUG|
EUG|YQU,|YQU|YYC|PDX|EUG|
EUG|YZF,|YZF|YYC|PDX|EUG|
EUG|YGR,|YGR|YGP|YQB|YUL|YYC|PDX|EUG|
EUG|YGP,|YGP|YQB|YUL|YYC|PDX|EUG|
EUG|BOS,|BOS|ORD|PDX|EUG|
EUG|YDF,|YDF|YHZ|YYC|PDX|EUG|
EUG|YFC,|YFC|YUL|YYC|PDX|EUG|
EUG|YQM,|YQM|YUL|YYC|PDX|EUG|
EUG|YQX,|YQX|YHZ|YYC|PDX|EUG|
EUG|YQY,|YQY|YHZ|YYC|PDX|EUG|
EUG|YSJ,|YSJ|YUL|YYC|PDX|EUG|
EUG|YYG,|YYG|YUL|YYC|PDX|EUG|
EUG|LAX,|LAX|SFO|EUG|
EUG|DCA,|DCA|ORD|PDX|EUG|
EUG|LGA,|LGA|ORD|PDX|EUG|
EUG|YZV,|YZV|YUL|YYC|PDX|EUG|
EUG|YWL,|YWL|YVR|PDX|EUG|
EUG|AZS,|AZS|YYZ|ORD|PDX|EUG|
EUG|BDL,|BDL|ORD|PDX|EUG|
EUG|CCC,|CCC|YYZ|ORD|PDX|EUG|
EUG|CDG,|CDG|YUL|YYC|PDX|EUG|
EUG|CUN,|CUN|DEN|EUG|
EUG|CZM,|CZM|IAH|DEN|EUG|
EUG|FDF,|FDF|YUL|YYC|PDX|EUG|
EUG|FLL,|FLL|DEN|EUG|
EUG|GVA,|GVA|YUL|YYC|PDX|EUG|
EUG|HOG,|HOG|YYZ|ORD|PDX|EUG|
EUG|LAS,|LAS|SFO|EUG|
EUG|MBJ,|MBJ|IAH|DEN|EUG|
EUG|MCO,|MCO|DEN|EUG|
EUG|MUC,|MUC|YVR|PDX|EUG|
EUG|PAP,|PAP|YUL|YYC|PDX|EUG|
EUG|PTP,|PTP|YUL|YYC|PDX|EUG|
EUG|PUJ,|PUJ|ATL|DEN|EUG|
EUG|SNU,|SNU|YYZ|ORD|PDX|EUG|
EUG|VRA,|VRA|YYC|PDX|EUG|
EUG|YBC,|YBC|YUL|YYC|PDX|EUG|
EUG|YBG,|YBG|YUL|YYC|PDX|EUG|
EUG|YTZ,|YTZ|YUL|YYC|PDX|EUG|
EUG|YUY,|YUY|YUL|YYC|PDX|EUG|
EUG|YVO,|YVO|YUL|YYC|PDX|EUG|
EUG|ZBF,|ZBF|YUL|YYC|PDX|EUG|
EUG|ZRH,|ZRH|YUL|YYC|PDX|EUG|
EUG|ZSA,|ZSA|YUL|YYC|PDX|EUG|
EUG|AKL,|AKL|SFO|EUG|
EUG|HKG,|HKG|YVR|PDX|EUG|
EUG|HND,|HND|YVR|PDX|EUG|
EUG|HNL,|HNL|SFO|EUG|
EUG|MEX,|MEX|SFO|EUG|
EUG|OGG,|OGG|SFO|EUG|
EUG|PDX,|PDX|EUG|
EUG|PEK,|PEK|SEA|PDX|EUG|
EUG|PVG,|PVG|ICN|SEA|PDX|EUG|
EUG|PVR,|PVR|SFO|EUG|
EUG|SEA,|SEA|PDX|EUG|
EUG|SYD,|SYD|SFO|EUG|
EUG|YBL,|YBL|YVR|PDX|EUG|
EUG|YCD,|YCD|YVR|PDX|EUG|
EUG|YCG,|YCG|YVR|PDX|EUG|
EUG|YKA,|YKA|YVR|PDX|EUG|
EUG|YPR,|YPR|YVR|PDX|EUG|
EUG|YQZ,|YQZ|YVR|PDX|EUG|
EUG|YXC,|YXC|YVR|PDX|EUG|
EUG|YXJ,|YXJ|YVR|PDX|EUG|
EUG|YXS,|YXS|YVR|PDX|EUG|
EUG|YXT,|YXT|YVR|PDX|EUG|
EUG|YXY,|YXY|YVR|PDX|EUG|
EUG|YYD,|YYD|YVR|PDX|EUG|
EUG|YYF,|YYF|YVR|PDX|EUG|
EUG|YZP,|YZP|YVR|PDX|EUG|
EUG|YQT,|YQT|YWG|YYC|PDX|EUG|
EUG|SJD,|SJD|SFO|EUG|
EUG|YQF,|YQF|YYC|PDX|EUG|
EUG|YQL,|YQL|YYC|PDX|EUG|
EUG|YXH,|YXH|YYC|PDX|EUG|
EUG|YWK,|YWK|YZV|YUL|YYC|PDX|EUG|
EUG|ANU,|ANU|EWR|PDX|EUG|
EUG|AUA,|AUA|ATL|DEN|EUG|
EUG|AUH,|AUH|FRA|SEA|PDX|EUG|
EUG|BCN,|BCN|YYZ|ORD|PDX|EUG|
EUG|BDA,|BDA|EWR|PDX|EUG|
EUG|BGI,|BGI|YYZ|ORD|PDX|EUG|
EUG|BNA,|BNA|DEN|EUG|
EUG|BOG,|BOG|IAH|DEN|EUG|
EUG|BWI,|BWI|ORD|PDX|EUG|
EUG|CLE,|CLE|ORD|PDX|EUG|
EUG|CLT,|CLT|MDW|PDX|EUG|
EUG|CMH,|CMH|MDW|PDX|EUG|
EUG|CVG,|CVG|DEN|EUG|
EUG|DFW,|DFW|DEN|EUG|
EUG|DTW,|DTW|ORD|PDX|EUG|
EUG|DUB,|DUB|ORD|PDX|EUG|
EUG|FCO,|FCO|YYZ|ORD|PDX|EUG|
EUG|GCM,|GCM|IAH|DEN|EUG|
EUG|GGT,|GGT|FLL|DEN|EUG|
EUG|GND,|GND|YYZ|ORD|PDX|EUG|
EUG|GRU,|GRU|IAH|DEN|EUG|
EUG|HAV,|HAV|YYZ|ORD|PDX|EUG|
EUG|IND,|IND|DEN|EUG|
EUG|JFK,|JFK|YYZ|ORD|PDX|EUG|
EUG|KIN,|KIN|YYZ|ORD|PDX|EUG|
EUG|LIM,|LIM|IAH|DEN|EUG|
EUG|LIR,|LIR|IAH|DEN|EUG|
EUG|MCI,|MCI|DEN|EUG|
EUG|MDT,|MDT|ORD|PDX|EUG|
EUG|MIA,|MIA|DEN|EUG|
EUG|MKE,|MKE|DEN|EUG|
EUG|MSP,|MSP|DEN|EUG|
EUG|NAS,|NAS|ATL|DEN|EUG|
EUG|PHL,|PHL|ORD|PDX|EUG|
EUG|PHX,|PHX|SFO|EUG|
EUG|PIT,|PIT|ORD|PDX|EUG|
EUG|PLS,|PLS|EWR|PDX|EUG|
EUG|POP,|POP|EWR|PDX|EUG|
EUG|RDU,|RDU|DEN|EUG|
EUG|ROC,|ROC|ORD|PDX|EUG|
EUG|RSW,|RSW|DEN|EUG|
EUG|SAN,|SAN|SFO|EUG|
EUG|SJO,|SJO|IAH|DEN|EUG|
EUG|STL,|STL|DEN|EUG|
EUG|SYR,|SYR|ORD|PDX|EUG|
EUG|TLV,|TLV|IST|FRA|SEA|PDX|EUG|
EUG|TPA,|TPA|DEN|EUG|
EUG|UVF,|UVF|EWR|PDX|EUG|
EUG|VIE,|VIE|ORD|PDX|EUG|
EUG|YAM,|YAM|YYZ|ORD|PDX|EUG|
EUG|YGK,|YGK|YYZ|ORD|PDX|EUG|
EUG|YQG,|YQG|YYC|PDX|EUG|
EUG|YSB,|YSB|YYZ|ORD|PDX|EUG|
EUG|YTS,|YTS|YYZ|ORD|PDX|EUG|
EUG|YYB,|YYB|YYZ|ORD|PDX|EUG|
EUG|YZR,|YZR|YYZ|ORD|PDX|EUG|
EUG|CAN,|CAN|ICN|SEA|PDX|EUG|
EUG|URC,|URC|PEK|SEA|PDX|EUG|
EUG|CTU,|CTU|PEK|SEA|PDX|EUG|
EUG|HGH,|HGH|DLC|ICN|SEA|PDX|EUG|
EUG|XMN,|XMN|PEK|SEA|PDX|EUG|
EUG|CGO,|CGO|PEK|SEA|PDX|EUG|
EUG|CSX,|CSX|ICN|SEA|PDX|EUG|
EUG|SHE,|SHE|ICN|SEA|PDX|EUG|
EUG|SJW,|SJW|DLC|ICN|SEA|PDX|EUG|
EUG|WUH,|WUH|ICN|SEA|PDX|EUG|
EUG|SZX,|SZX|PVG|ICN|SEA|PDX|EUG|
EUG|CKG,|CKG|PEK|SEA|PDX|EUG|
EUG|KMG,|KMG|PEK|SEA|PDX|EUG|
EUG|FOC,|FOC|PEK|SEA|PDX|EUG|
EUG|NNG,|NNG|PEK|SEA|PDX|EUG|
EUG|SWA,|SWA|PEK|SEA|PDX|EUG|
EUG|ACX,|ACX|CAN|ICN|SEA|PDX|EUG|
EUG|AQG,|AQG|CAN|ICN|SEA|PDX|EUG|
EUG|AVA,|AVA|CAN|ICN|SEA|PDX|EUG|
EUG|BFJ,|BFJ|CAN|ICN|SEA|PDX|EUG|
