EZS|BRU,|BRU|SAW|EZS|
EZS|OUA,|OUA|NIM|IST|EZS|
EZS|JED,|JED|IST|EZS|
EZS|CPH,|CPH|IST|EZS|
EZS|YYZ,|YYZ|VIE|ESB|EZS|
EZS|DEN,|DEN|FRA|ESB|EZS|
EZS|YUL,|YUL|FRA|ESB|EZS|
EZS|NBO,|NBO|IST|EZS|
EZS|ICN,|ICN|IST|EZS|
EZS|NRT,|NRT|IST|EZS|
EZS|YHZ,|YHZ|LHR|IST|EZS|
EZS|YOW,|YOW|FRA|ESB|EZS|
EZS|BJM,|BJM|BRU|SAW|EZS|
EZS|COO,|COO|BRU|SAW|EZS|
EZS|DKR,|DKR|BRU|SAW|EZS|
EZS|DLA,|DLA|IST|EZS|
EZS|KGL,|KGL|IST|EZS|
EZS|LAD,|LAD|BRU|SAW|EZS|
EZS|ABJ,|ABJ|OUA|NIM|IST|EZS|
EZS|AMS,|AMS|SAW|EZS|
EZS|OSL,|OSL|IST|EZS|
EZS|VNO,|VNO|IST|EZS|
EZS|WAW,|WAW|IST|EZS|
EZS|YYC,|YYC|FRA|ESB|EZS|
EZS|ATL,|ATL|IAD|VIE|ESB|EZS|
EZS|MSY,|MSY|IAD|VIE|ESB|EZS|
EZS|YEG,|YEG|LHR|IST|EZS|
EZS|YMM,|YMM|YEG|LHR|IST|EZS|
EZS|YQR,|YQR|YEG|LHR|IST|EZS|
EZS|YVR,|YVR|FRA|ESB|EZS|
EZS|YWG,|YWG|YUL|FRA|ESB|EZS|
EZS|YXE,|YXE|YEG|LHR|IST|EZS|
EZS|CKY,|CKY|DKR|BRU|SAW|EZS|
EZS|FIH,|FIH|IST|EZS|
EZS|SCL,|SCL|EZE|GRU|IST|EZS|
EZS|LCA,|LCA|FRA|ESB|EZS|
EZS|NAP,|NAP|IST|EZS|
EZS|VLC,|VLC|IST|EZS|
EZS|BKK,|BKK|IST|EZS|
EZS|ADD,|ADD|IST|EZS|
EZS|FRA,|FRA|ESB|EZS|
EZS|IST,|IST|EZS|
EZS|EBB,|EBB|KGL|IST|EZS|
EZS|YLW,|YLW|YYC|FRA|ESB|EZS|
EZS|YYT,|YYT|LHR|IST|EZS|
EZS|GUA,|GUA|MIA|FRA|ESB|EZS|
EZS|EWR,|EWR|FRA|ESB|EZS|
EZS|IAD,|IAD|VIE|ESB|EZS|
EZS|IAH,|IAH|YYZ|VIE|ESB|EZS|
EZS|ORD,|ORD|VIE|ESB|EZS|
EZS|SOF,|SOF|IST|EZS|
EZS|YQB,|YQB|YUL|FRA|ESB|EZS|
EZS|YXU,|YXU|YYZ|VIE|ESB|EZS|
EZS|EZE,|EZE|GRU|IST|EZS|
EZS|YYJ,|YYJ|YVR|FRA|ESB|EZS|
EZS|YYY,|YYY|YUL|FRA|ESB|EZS|
EZS|YQQ,|YQQ|YBL|YVR|FRA|ESB|EZS|
EZS|YYR,|YYR|YYT|LHR|IST|EZS|
EZS|LHR,|LHR|IST|EZS|
EZS|SFO,|SFO|FRA|ESB|EZS|
EZS|YQU,|YQU|YEG|LHR|IST|EZS|
EZS|YZF,|YZF|YEG|LHR|IST|EZS|
EZS|YGR,|YGR|YGP|YQB|YUL|FRA|ESB|EZS|
EZS|YGP,|YGP|YQB|YUL|FRA|ESB|EZS|
EZS|BOS,|BOS|FRA|ESB|EZS|
EZS|YDF,|YDF|YYT|LHR|IST|EZS|
EZS|YFC,|YFC|YHZ|LHR|IST|EZS|
EZS|YQM,|YQM|YHZ|LHR|IST|EZS|
EZS|YQX,|YQX|YYT|LHR|IST|EZS|
EZS|YQY,|YQY|YHZ|LHR|IST|EZS|
EZS|YSJ,|YSJ|YHZ|LHR|IST|EZS|
EZS|YYG,|YYG|YHZ|LHR|IST|EZS|
EZS|LAX,|LAX|IST|EZS|
EZS|DCA,|DCA|EWR|FRA|ESB|EZS|
EZS|LGA,|LGA|YHZ|LHR|IST|EZS|
EZS|YZV,|YZV|YWK|YYR|YYT|LHR|IST|EZS|
EZS|YWL,|YWL|YVR|FRA|ESB|EZS|
EZS|AZS,|AZS|YUL|FRA|ESB|EZS|
EZS|BDL,|BDL|YUL|FRA|ESB|EZS|
EZS|CCC,|CCC|YUL|FRA|ESB|EZS|
EZS|CDG,|CDG|SAW|EZS|
EZS|CUN,|CUN|YHZ|LHR|IST|EZS|
EZS|CZM,|CZM|YUL|FRA|ESB|EZS|
EZS|FDF,|FDF|YUL|FRA|ESB|EZS|
EZS|FLL,|FLL|MCO|FRA|ESB|EZS|
EZS|GVA,|GVA|IST|EZS|
EZS|HOG,|HOG|YUL|FRA|ESB|EZS|
EZS|LAS,|LAS|DEN|FRA|ESB|EZS|
EZS|MBJ,|MBJ|YHZ|LHR|IST|EZS|
EZS|MCO,|MCO|FRA|ESB|EZS|
EZS|MUC,|MUC|SAW|EZS|
EZS|PAP,|PAP|YUL|FRA|ESB|EZS|
EZS|PTP,|PTP|YUL|FRA|ESB|EZS|
EZS|PUJ,|PUJ|YHZ|LHR|IST|EZS|
EZS|SNU,|SNU|YUL|FRA|ESB|EZS|
EZS|VRA,|VRA|YUL|FRA|ESB|EZS|
EZS|YBC,|YBC|YUL|FRA|ESB|EZS|
EZS|YBG,|YBG|YUL|FRA|ESB|EZS|
EZS|YTZ,|YTZ|YUL|FRA|ESB|EZS|
EZS|YUY,|YUY|YUL|FRA|ESB|EZS|
EZS|YVO,|YVO|YUL|FRA|ESB|EZS|
EZS|ZBF,|ZBF|YUL|FRA|ESB|EZS|
EZS|ZRH,|ZRH|IST|EZS|
EZS|ZSA,|ZSA|YUL|FRA|ESB|EZS|
EZS|AKL,|AKL|BKK|IST|EZS|
EZS|HKG,|HKG|IST|EZS|
EZS|HND,|HND|YVR|FRA|ESB|EZS|
EZS|HNL,|HNL|YVR|FRA|ESB|EZS|
EZS|MEX,|MEX|IAD|VIE|ESB|EZS|
EZS|OGG,|OGG|YVR|FRA|ESB|EZS|
EZS|PDX,|PDX|SEA|FRA|ESB|EZS|
EZS|PEK,|PEK|IST|EZS|
EZS|PVG,|PVG|URC|TBS|SAW|EZS|
EZS|PVR,|PVR|ORD|VIE|ESB|EZS|
EZS|SEA,|SEA|FRA|ESB|EZS|
EZS|SYD,|SYD|BKK|IST|EZS|
EZS|YBL,|YBL|YVR|FRA|ESB|EZS|
EZS|YCD,|YCD|YVR|FRA|ESB|EZS|
EZS|YCG,|YCG|YYC|FRA|ESB|EZS|
EZS|YKA,|YKA|YYC|FRA|ESB|EZS|
EZS|YPR,|YPR|YVR|FRA|ESB|EZS|
EZS|YQZ,|YQZ|YVR|FRA|ESB|EZS|
EZS|YXC,|YXC|YYC|FRA|ESB|EZS|
EZS|YXJ,|YXJ|YYC|FRA|ESB|EZS|
EZS|YXS,|YXS|YYC|FRA|ESB|EZS|
EZS|YXT,|YXT|YVR|FRA|ESB|EZS|
EZS|YXY,|YXY|YVR|FRA|ESB|EZS|
EZS|YYD,|YYD|YVR|FRA|ESB|EZS|
EZS|YYF,|YYF|YVR|FRA|ESB|EZS|
EZS|YZP,|YZP|YVR|FRA|ESB|EZS|
EZS|YQT,|YQT|YYZ|VIE|ESB|EZS|
EZS|SJD,|SJD|ORD|VIE|ESB|EZS|
EZS|YQF,|YQF|YYC|FRA|ESB|EZS|
EZS|YQL,|YQL|YYC|FRA|ESB|EZS|
EZS|YXH,|YXH|YYC|FRA|ESB|EZS|
EZS|YWK,|YWK|YYR|YYT|LHR|IST|EZS|
EZS|ANU,|ANU|EWR|FRA|ESB|EZS|
EZS|AUA,|AUA|EWR|FRA|ESB|EZS|
EZS|AUH,|AUH|IST|EZS|
EZS|BCN,|BCN|IST|EZS|
EZS|BDA,|BDA|EWR|FRA|ESB|EZS|
EZS|BGI,|BGI|YYZ|VIE|ESB|EZS|
EZS|BNA,|BNA|YYZ|VIE|ESB|EZS|
EZS|BOG,|BOG|JFK|VIE|ESB|EZS|
EZS|BWI,|BWI|EWR|FRA|ESB|EZS|
EZS|CLE,|CLE|YYZ|VIE|ESB|EZS|
EZS|CLT,|CLT|EWR|FRA|ESB|EZS|
EZS|CMH,|CMH|YYZ|VIE|ESB|EZS|
EZS|CVG,|CVG|YYZ|VIE|ESB|EZS|
EZS|DFW,|DFW|ORD|VIE|ESB|EZS|
EZS|DTW,|DTW|YYZ|VIE|ESB|EZS|
EZS|DUB,|DUB|IST|EZS|
EZS|FCO,|FCO|IST|EZS|
EZS|GCM,|GCM|EWR|FRA|ESB|EZS|
EZS|GGT,|GGT|FLL|MCO|FRA|ESB|EZS|
EZS|GND,|GND|YYZ|VIE|ESB|EZS|
EZS|GRU,|GRU|IST|EZS|
EZS|HAV,|HAV|YYZ|VIE|ESB|EZS|
EZS|IND,|IND|YYZ|VIE|ESB|EZS|
EZS|JFK,|JFK|VIE|ESB|EZS|
EZS|KIN,|KIN|YYZ|VIE|ESB|EZS|
EZS|LIM,|LIM|MIA|FRA|ESB|EZS|
EZS|LIR,|LIR|EWR|FRA|ESB|EZS|
EZS|MCI,|MCI|ORD|VIE|ESB|EZS|
EZS|MDT,|MDT|IAD|VIE|ESB|EZS|
EZS|MIA,|MIA|FRA|ESB|EZS|
EZS|MKE,|MKE|YYZ|VIE|ESB|EZS|
EZS|MSP,|MSP|YUL|FRA|ESB|EZS|
EZS|NAS,|NAS|EWR|FRA|ESB|EZS|
EZS|PHL,|PHL|IAD|VIE|ESB|EZS|
EZS|PHX,|PHX|DEN|FRA|ESB|EZS|
EZS|PIT,|PIT|YYZ|VIE|ESB|EZS|
EZS|PLS,|PLS|EWR|FRA|ESB|EZS|
EZS|POP,|POP|EWR|FRA|ESB|EZS|
EZS|RDU,|RDU|EWR|FRA|ESB|EZS|
EZS|ROC,|ROC|YYZ|VIE|ESB|EZS|
EZS|RSW,|RSW|MCO|FRA|ESB|EZS|
EZS|SAN,|SAN|LAX|IST|EZS|
EZS|SJO,|SJO|EWR|FRA|ESB|EZS|
EZS|STL,|STL|ORD|VIE|ESB|EZS|
EZS|SYR,|SYR|EWR|FRA|ESB|EZS|
EZS|TLV,|TLV|SAW|EZS|
EZS|TPA,|TPA|EWR|FRA|ESB|EZS|
EZS|UVF,|UVF|EWR|FRA|ESB|EZS|
EZS|VIE,|VIE|ESB|EZS|
EZS|YAM,|YAM|YYZ|VIE|ESB|EZS|
EZS|YGK,|YGK|YYZ|VIE|ESB|EZS|
