FAT|BRU,|BRU|ORD|DEN|FAT|
FAT|OUA,|OUA|BRU|ORD|DEN|FAT|
FAT|JED,|JED|FRA|SFO|FAT|
FAT|CPH,|CPH|YYZ|DEN|FAT|
FAT|YYZ,|YYZ|DEN|FAT|
FAT|DEN,|DEN|FAT|
FAT|YUL,|YUL|DEN|FAT|
FAT|NBO,|NBO|ZRH|SFO|FAT|
FAT|ICN,|ICN|SFO|FAT|
FAT|NRT,|NRT|SFO|FAT|
FAT|YHZ,|YHZ|YUL|DEN|FAT|
FAT|YOW,|YOW|YYZ|DEN|FAT|
FAT|BJM,|BJM|BRU|ORD|DEN|FAT|
FAT|COO,|COO|BRU|ORD|DEN|FAT|
FAT|DKR,|DKR|IAD|DEN|FAT|
FAT|DLA,|DLA|BRU|ORD|DEN|FAT|
FAT|KGL,|KGL|BRU|ORD|DEN|FAT|
FAT|LAD,|LAD|BRU|ORD|DEN|FAT|
FAT|ABJ,|ABJ|BRU|ORD|DEN|FAT|
FAT|AMS,|AMS|ORD|DEN|FAT|
FAT|OSL,|OSL|EWR|DEN|FAT|
FAT|VNO,|VNO|CPH|YYZ|DEN|FAT|
FAT|WAW,|WAW|YYZ|DEN|FAT|
FAT|YYC,|YYC|SFO|FAT|
FAT|ATL,|ATL|LAS|FAT|
FAT|MSY,|MSY|LAS|FAT|
FAT|YEG,|YEG|SFO|FAT|
FAT|YMM,|YMM|YEG|SFO|FAT|
FAT|YQR,|YQR|LAS|FAT|
FAT|YVR,|YVR|SFO|FAT|
FAT|YWG,|YWG|LAS|FAT|
FAT|YXE,|YXE|LAS|FAT|
FAT|CKY,|CKY|DKR|IAD|DEN|FAT|
FAT|FIH,|FIH|DLA|BRU|ORD|DEN|FAT|
FAT|SCL,|SCL|EZE|IAH|LAS|FAT|
FAT|LCA,|LCA|FRA|SFO|FAT|
FAT|NAP,|NAP|FRA|SFO|FAT|
FAT|VLC,|VLC|FRA|SFO|FAT|
FAT|BKK,|BKK|ICN|SFO|FAT|
FAT|ADD,|ADD|JED|FRA|SFO|FAT|
FAT|FRA,|FRA|SFO|FAT|
FAT|IST,|IST|MUC|SFO|FAT|
FAT|EBB,|EBB|KGL|BRU|ORD|DEN|FAT|
