FAY|BRU,|BRU|IAD|FAY|
FAY|OUA,|OUA|BRU|IAD|FAY|
FAY|JED,|JED|FRA|IAD|FAY|
FAY|CPH,|CPH|YYZ|IAD|FAY|
FAY|YYZ,|YYZ|IAD|FAY|
FAY|DEN,|DEN|IAD|FAY|
FAY|YUL,|YUL|IAD|FAY|
FAY|NBO,|NBO|ZRH|IAD|FAY|
FAY|ICN,|ICN|JFK|IAD|FAY|
FAY|NRT,|NRT|IAD|FAY|
FAY|YHZ,|YHZ|LGA|IAD|FAY|
FAY|YOW,|YOW|IAD|FAY|
FAY|BJM,|BJM|BRU|IAD|FAY|
FAY|COO,|COO|BRU|IAD|FAY|
FAY|DKR,|DKR|IAD|FAY|
FAY|DLA,|DLA|BRU|IAD|FAY|
FAY|KGL,|KGL|BRU|IAD|FAY|
FAY|LAD,|LAD|BRU|IAD|FAY|
FAY|ABJ,|ABJ|BRU|IAD|FAY|
FAY|AMS,|AMS|IAD|FAY|
FAY|OSL,|OSL|EWR|IAD|FAY|
FAY|VNO,|VNO|CPH|YYZ|IAD|FAY|
FAY|WAW,|WAW|YYZ|IAD|FAY|
FAY|YYC,|YYC|ORD|IAD|FAY|
FAY|ATL,|ATL|IAD|FAY|
FAY|MSY,|MSY|IAD|FAY|
FAY|YEG,|YEG|ORD|IAD|FAY|
FAY|YMM,|YMM|YYZ|IAD|FAY|
FAY|YQR,|YQR|ORD|IAD|FAY|
FAY|YVR,|YVR|ORD|IAD|FAY|
FAY|YWG,|YWG|YYZ|IAD|FAY|
FAY|YXE,|YXE|ORD|IAD|FAY|
FAY|CKY,|CKY|DKR|IAD|FAY|
FAY|FIH,|FIH|DLA|BRU|IAD|FAY|
FAY|SCL,|SCL|YYZ|IAD|FAY|
FAY|LCA,|LCA|FRA|IAD|FAY|
FAY|NAP,|NAP|FRA|IAD|FAY|
FAY|VLC,|VLC|FRA|IAD|FAY|
FAY|BKK,|BKK|CGO|PEK|IAD|FAY|
FAY|ADD,|ADD|JED|FRA|IAD|FAY|
FAY|FRA,|FRA|IAD|FAY|
FAY|IST,|IST|IAD|FAY|
FAY|EBB,|EBB|KGL|BRU|IAD|FAY|
FAY|YLW,|YLW|YYC|ORD|IAD|FAY|
FAY|YYT,|YYT|YHZ|LGA|IAD|FAY|
FAY|GUA,|GUA|IAD|FAY|
FAY|EWR,|EWR|IAD|FAY|
FAY|IAD,|IAD|FAY|
FAY|IAH,|IAH|IAD|FAY|
FAY|ORD,|ORD|IAD|FAY|
FAY|SOF,|SOF|MUC|IAD|FAY|
FAY|YQB,|YQB|YUL|IAD|FAY|
FAY|YXU,|YXU|YYZ|IAD|FAY|
FAY|EZE,|EZE|GRU|IAD|FAY|
FAY|YYJ,|YYJ|YVR|ORD|IAD|FAY|
FAY|YYY,|YYY|YUL|IAD|FAY|
FAY|YQQ,|YQQ|YYC|ORD|IAD|FAY|
FAY|YYR,|YYR|YWK|YZV|YUL|IAD|FAY|
FAY|LHR,|LHR|IAD|FAY|
FAY|SFO,|SFO|IAD|FAY|
FAY|YQU,|YQU|YEG|ORD|IAD|FAY|
FAY|YZF,|YZF|YEG|ORD|IAD|FAY|
FAY|YGR,|YGR|YGP|YQB|YUL|IAD|FAY|
FAY|YGP,|YGP|YQB|YUL|IAD|FAY|
FAY|BOS,|BOS|IAD|FAY|
FAY|YDF,|YDF|YHZ|LGA|IAD|FAY|
FAY|YFC,|YFC|YUL|IAD|FAY|
FAY|YQM,|YQM|EWR|IAD|FAY|
FAY|YQX,|YQX|YHZ|LGA|IAD|FAY|
FAY|YQY,|YQY|YHZ|LGA|IAD|FAY|
FAY|YSJ,|YSJ|YUL|IAD|FAY|
FAY|YYG,|YYG|YHZ|LGA|IAD|FAY|
FAY|LAX,|LAX|IAD|FAY|
FAY|DCA,|DCA|EWR|IAD|FAY|
FAY|LGA,|LGA|IAD|FAY|
FAY|YZV,|YZV|YUL|IAD|FAY|
FAY|YWL,|YWL|YVR|ORD|IAD|FAY|
FAY|AZS,|AZS|YYZ|IAD|FAY|
FAY|BDL,|BDL|IAD|FAY|
FAY|CCC,|CCC|YYZ|IAD|FAY|
FAY|CDG,|CDG|IAD|FAY|
FAY|CUN,|CUN|IAD|FAY|
FAY|CZM,|CZM|IAH|IAD|FAY|
FAY|FDF,|FDF|YUL|IAD|FAY|
FAY|FLL,|FLL|IAD|FAY|
FAY|GVA,|GVA|IAD|FAY|
FAY|HOG,|HOG|YYZ|IAD|FAY|
FAY|LAS,|LAS|IAD|FAY|
FAY|MBJ,|MBJ|IAD|FAY|
FAY|MCO,|MCO|IAD|FAY|
FAY|MUC,|MUC|IAD|FAY|
FAY|PAP,|PAP|YUL|IAD|FAY|
FAY|PTP,|PTP|YUL|IAD|FAY|
FAY|PUJ,|PUJ|IAD|FAY|
FAY|SNU,|SNU|YYZ|IAD|FAY|
FAY|VRA,|VRA|YYZ|IAD|FAY|
FAY|YBC,|YBC|YUL|IAD|FAY|
FAY|YBG,|YBG|YUL|IAD|FAY|
FAY|YTZ,|YTZ|YUL|IAD|FAY|
FAY|YUY,|YUY|YUL|IAD|FAY|
FAY|YVO,|YVO|YUL|IAD|FAY|
FAY|ZBF,|ZBF|YUL|IAD|FAY|
FAY|ZRH,|ZRH|IAD|FAY|
FAY|ZSA,|ZSA|YUL|IAD|FAY|
FAY|AKL,|AKL|LAX|IAD|FAY|
FAY|HKG,|HKG|PEK|IAD|FAY|
FAY|HND,|HND|YVR|ORD|IAD|FAY|
FAY|HNL,|HNL|IAD|FAY|
FAY|MEX,|MEX|IAD|FAY|
FAY|OGG,|OGG|DEN|IAD|FAY|
FAY|PDX,|PDX|IAD|FAY|
FAY|PEK,|PEK|IAD|FAY|
FAY|PVG,|PVG|YYZ|IAD|FAY|
FAY|PVR,|PVR|IAH|IAD|FAY|
FAY|SEA,|SEA|IAD|FAY|
FAY|SYD,|SYD|LAX|IAD|FAY|
FAY|YBL,|YBL|YVR|ORD|IAD|FAY|
FAY|YCD,|YCD|YVR|ORD|IAD|FAY|
FAY|YCG,|YCG|YYC|ORD|IAD|FAY|
FAY|YKA,|YKA|YYC|ORD|IAD|FAY|
FAY|YPR,|YPR|YVR|ORD|IAD|FAY|
FAY|YQZ,|YQZ|YVR|ORD|IAD|FAY|
