FCA|BRU,|BRU|ORD|DEN|FCA|
FCA|OUA,|OUA|BRU|ORD|DEN|FCA|
FCA|JED,|JED|FRA|DEN|FCA|
FCA|CPH,|CPH|YYZ|DEN|FCA|
FCA|YYZ,|YYZ|DEN|FCA|
FCA|DEN,|DEN|FCA|
FCA|YUL,|YUL|DEN|FCA|
FCA|NBO,|NBO|ZRH|ORD|DEN|FCA|
FCA|ICN,|ICN|YVR|DEN|FCA|
FCA|NRT,|NRT|DEN|FCA|
FCA|YHZ,|YHZ|YUL|DEN|FCA|
FCA|YOW,|YOW|YYZ|DEN|FCA|
FCA|BJM,|BJM|BRU|ORD|DEN|FCA|
FCA|COO,|COO|BRU|ORD|DEN|FCA|
FCA|DKR,|DKR|IAD|DEN|FCA|
FCA|DLA,|DLA|BRU|ORD|DEN|FCA|
FCA|KGL,|KGL|BRU|ORD|DEN|FCA|
FCA|LAD,|LAD|BRU|ORD|DEN|FCA|
FCA|ABJ,|ABJ|BRU|ORD|DEN|FCA|
FCA|AMS,|AMS|ORD|DEN|FCA|
FCA|OSL,|OSL|EWR|DEN|FCA|
FCA|VNO,|VNO|CPH|YYZ|DEN|FCA|
FCA|WAW,|WAW|YYZ|DEN|FCA|
FCA|YYC,|YYC|DEN|FCA|
FCA|ATL,|ATL|DEN|FCA|
FCA|MSY,|MSY|DEN|FCA|
FCA|YEG,|YEG|DEN|FCA|
FCA|YMM,|YMM|DEN|FCA|
FCA|YQR,|YQR|DEN|FCA|
FCA|YVR,|YVR|DEN|FCA|
FCA|YWG,|YWG|DEN|FCA|
FCA|YXE,|YXE|DEN|FCA|
FCA|CKY,|CKY|DKR|IAD|DEN|FCA|
FCA|FIH,|FIH|DLA|BRU|ORD|DEN|FCA|
FCA|SCL,|SCL|EZE|IAH|DEN|FCA|
FCA|LCA,|LCA|FRA|DEN|FCA|
FCA|NAP,|NAP|FRA|DEN|FCA|
FCA|VLC,|VLC|FRA|DEN|FCA|
FCA|BKK,|BKK|CGO|PEK|YVR|DEN|FCA|
FCA|ADD,|ADD|JED|FRA|DEN|FCA|
FCA|FRA,|FRA|DEN|FCA|
FCA|IST,|IST|FRA|DEN|FCA|
FCA|EBB,|EBB|KGL|BRU|ORD|DEN|FCA|
FCA|YLW,|YLW|YYC|DEN|FCA|
FCA|YYT,|YYT|YUL|DEN|FCA|
FCA|GUA,|GUA|IAH|DEN|FCA|
FCA|EWR,|EWR|DEN|FCA|
FCA|IAD,|IAD|DEN|FCA|
FCA|IAH,|IAH|DEN|FCA|
FCA|ORD,|ORD|DEN|FCA|
FCA|SOF,|SOF|MUC|ORD|DEN|FCA|
FCA|YQB,|YQB|YUL|DEN|FCA|
FCA|YXU,|YXU|ORD|DEN|FCA|
FCA|EZE,|EZE|IAH|DEN|FCA|
FCA|YYJ,|YYJ|YVR|DEN|FCA|
FCA|YYY,|YYY|YUL|DEN|FCA|
FCA|YQQ,|YQQ|YBL|YVR|DEN|FCA|
FCA|YYR,|YYR|YWK|YZV|YUL|DEN|FCA|
FCA|LHR,|LHR|ORD|DEN|FCA|
FCA|SFO,|SFO|DEN|FCA|
FCA|YQU,|YQU|YYC|DEN|FCA|
FCA|YZF,|YZF|YEG|DEN|FCA|
FCA|YGR,|YGR|YGP|YQB|YUL|DEN|FCA|
FCA|YGP,|YGP|YQB|YUL|DEN|FCA|
FCA|BOS,|BOS|DEN|FCA|
FCA|YDF,|YDF|YYZ|DEN|FCA|
FCA|YFC,|YFC|YUL|DEN|FCA|
