FIH|BRU,|BRU|FIH|
FIH|OUA,|OUA|NIM|IST|FIH|
FIH|JED,|JED|ADD|DLA|FIH|
FIH|CPH,|CPH|IST|FIH|
FIH|YYZ,|YYZ|BRU|FIH|
FIH|DEN,|DEN|ORD|BRU|FIH|
FIH|YUL,|YUL|BRU|FIH|
FIH|NBO,|NBO|LUN|HRE|ADD|DLA|FIH|
FIH|ICN,|ICN|IST|FIH|
FIH|NRT,|NRT|IST|FIH|
FIH|YHZ,|YHZ|LHR|IST|FIH|
FIH|YOW,|YOW|YUL|BRU|FIH|
FIH|BJM,|BJM|BRU|FIH|
FIH|COO,|COO|BRU|FIH|
FIH|DKR,|DKR|BRU|FIH|
FIH|DLA,|DLA|FIH|
FIH|KGL,|KGL|IST|FIH|
FIH|LAD,|LAD|BRU|FIH|
FIH|ABJ,|ABJ|OUA|NIM|IST|FIH|
FIH|AMS,|AMS|IST|FIH|
FIH|OSL,|OSL|IST|FIH|
FIH|VNO,|VNO|IST|FIH|
FIH|WAW,|WAW|IST|FIH|
FIH|YYC,|YYC|FRA|IST|FIH|
FIH|ATL,|ATL|IAD|BRU|FIH|
FIH|MSY,|MSY|IAD|BRU|FIH|
FIH|YEG,|YEG|LHR|IST|FIH|
FIH|YMM,|YMM|YYZ|BRU|FIH|
FIH|YQR,|YQR|YWG|YUL|BRU|FIH|
FIH|YVR,|YVR|MUC|IST|FIH|
FIH|YWG,|YWG|YUL|BRU|FIH|
FIH|YXE,|YXE|YWG|YUL|BRU|FIH|
FIH|CKY,|CKY|DKR|BRU|FIH|
FIH|SCL,|SCL|EZE|GRU|IST|FIH|
FIH|LCA,|LCA|FRA|IST|FIH|
FIH|NAP,|NAP|IST|FIH|
FIH|VLC,|VLC|IST|FIH|
FIH|BKK,|BKK|IST|FIH|
FIH|ADD,|ADD|DLA|FIH|
FIH|FRA,|FRA|IST|FIH|
FIH|IST,|IST|FIH|
FIH|EBB,|EBB|KGL|IST|FIH|
FIH|YLW,|YLW|YYC|FRA|IST|FIH|
FIH|YYT,|YYT|LHR|IST|FIH|
FIH|GUA,|GUA|EWR|BRU|FIH|
FIH|EWR,|EWR|BRU|FIH|
FIH|IAD,|IAD|BRU|FIH|
FIH|IAH,|IAH|YUL|BRU|FIH|
FIH|ORD,|ORD|BRU|FIH|
FIH|SOF,|SOF|IST|FIH|
FIH|YQB,|YQB|YUL|BRU|FIH|
FIH|YXU,|YXU|YYZ|BRU|FIH|
FIH|EZE,|EZE|GRU|IST|FIH|
FIH|YYJ,|YYJ|YVR|MUC|IST|FIH|
FIH|YYY,|YYY|YUL|BRU|FIH|
FIH|YQQ,|YQQ|YBL|YVR|MUC|IST|FIH|
FIH|YYR,|YYR|YYT|LHR|IST|FIH|
FIH|LHR,|LHR|IST|FIH|
FIH|SFO,|SFO|YUL|BRU|FIH|
FIH|YQU,|YQU|YEG|LHR|IST|FIH|
FIH|YZF,|YZF|YEG|LHR|IST|FIH|
FIH|YGR,|YGR|YGP|YQB|YUL|BRU|FIH|
FIH|YGP,|YGP|YQB|YUL|BRU|FIH|
FIH|BOS,|BOS|YUL|BRU|FIH|
FIH|YDF,|YDF|YYT|LHR|IST|FIH|
FIH|YFC,|YFC|YUL|BRU|FIH|
FIH|YQM,|YQM|YHZ|LHR|IST|FIH|
FIH|YQX,|YQX|YYT|LHR|IST|FIH|
FIH|YQY,|YQY|YHZ|LHR|IST|FIH|
FIH|YSJ,|YSJ|YUL|BRU|FIH|
FIH|YYG,|YYG|YHZ|LHR|IST|FIH|
FIH|LAX,|LAX|ORD|BRU|FIH|
FIH|DCA,|DCA|EWR|BRU|FIH|
FIH|LGA,|LGA|YUL|BRU|FIH|
FIH|YZV,|YZV|YUL|BRU|FIH|
FIH|YWL,|YWL|YVR|MUC|IST|FIH|
FIH|AZS,|AZS|YUL|BRU|FIH|
FIH|BDL,|BDL|YUL|BRU|FIH|
FIH|CCC,|CCC|YUL|BRU|FIH|
FIH|CDG,|CDG|IST|FIH|
FIH|CUN,|CUN|EWR|BRU|FIH|
FIH|CZM,|CZM|YUL|BRU|FIH|
FIH|FDF,|FDF|YUL|BRU|FIH|
FIH|FLL,|FLL|EWR|BRU|FIH|
FIH|GVA,|GVA|IST|FIH|
FIH|HOG,|HOG|YUL|BRU|FIH|
FIH|LAS,|LAS|ORD|BRU|FIH|
FIH|MBJ,|MBJ|EWR|BRU|FIH|
FIH|MCO,|MCO|EWR|BRU|FIH|
FIH|MUC,|MUC|IST|FIH|
FIH|PAP,|PAP|YUL|BRU|FIH|
FIH|PTP,|PTP|YUL|BRU|FIH|
FIH|PUJ,|PUJ|EWR|BRU|FIH|
FIH|SNU,|SNU|YUL|BRU|FIH|
FIH|VRA,|VRA|YUL|BRU|FIH|
FIH|YBC,|YBC|YUL|BRU|FIH|
FIH|YBG,|YBG|YUL|BRU|FIH|
FIH|YTZ,|YTZ|YUL|BRU|FIH|
FIH|YUY,|YUY|YUL|BRU|FIH|
FIH|YVO,|YVO|YUL|BRU|FIH|
FIH|ZBF,|ZBF|YUL|BRU|FIH|
FIH|ZRH,|ZRH|IST|FIH|
FIH|ZSA,|ZSA|YUL|BRU|FIH|
FIH|AKL,|AKL|BKK|IST|FIH|
FIH|HKG,|HKG|IST|FIH|
FIH|HND,|HND|YVR|MUC|IST|FIH|
FIH|HNL,|HNL|YVR|MUC|IST|FIH|
FIH|MEX,|MEX|IAD|BRU|FIH|
FIH|OGG,|OGG|YVR|MUC|IST|FIH|
FIH|PDX,|PDX|SEA|FRA|IST|FIH|
FIH|PEK,|PEK|IST|FIH|
FIH|PVG,|PVG|IST|FIH|
FIH|PVR,|PVR|IAH|YUL|BRU|FIH|
FIH|SEA,|SEA|FRA|IST|FIH|
FIH|SYD,|SYD|BKK|IST|FIH|
FIH|YBL,|YBL|YVR|MUC|IST|FIH|
FIH|YCD,|YCD|YVR|MUC|IST|FIH|
FIH|YCG,|YCG|YYC|FRA|IST|FIH|
FIH|YKA,|YKA|YYC|FRA|IST|FIH|
FIH|YPR,|YPR|YVR|MUC|IST|FIH|
FIH|YQZ,|YQZ|YVR|MUC|IST|FIH|
FIH|YXC,|YXC|YYC|FRA|IST|FIH|
FIH|YXJ,|YXJ|YYC|FRA|IST|FIH|
FIH|YXS,|YXS|YYC|FRA|IST|FIH|
FIH|YXT,|YXT|YVR|MUC|IST|FIH|
FIH|YXY,|YXY|YVR|MUC|IST|FIH|
FIH|YYD,|YYD|YVR|MUC|IST|FIH|
FIH|YYF,|YYF|YVR|MUC|IST|FIH|
FIH|YZP,|YZP|YVR|MUC|IST|FIH|
FIH|YQT,|YQT|YYZ|BRU|FIH|
FIH|SJD,|SJD|ORD|BRU|FIH|
FIH|YQF,|YQF|YYC|FRA|IST|FIH|
FIH|YQL,|YQL|YYC|FRA|IST|FIH|
FIH|YXH,|YXH|YYC|FRA|IST|FIH|
FIH|YWK,|YWK|YYR|YYT|LHR|IST|FIH|
FIH|ANU,|ANU|EWR|BRU|FIH|
FIH|AUA,|AUA|EWR|BRU|FIH|
FIH|AUH,|AUH|IST|FIH|
FIH|BCN,|BCN|IST|FIH|
FIH|BDA,|BDA|EWR|BRU|FIH|
FIH|BGI,|BGI|YYZ|BRU|FIH|
FIH|BNA,|BNA|YYZ|BRU|FIH|
FIH|BOG,|BOG|JFK|BRU|FIH|
FIH|BWI,|BWI|EWR|BRU|FIH|
FIH|CLE,|CLE|YYZ|BRU|FIH|
FIH|CLT,|CLT|EWR|BRU|FIH|
FIH|CMH,|CMH|YYZ|BRU|FIH|
FIH|CVG,|CVG|YYZ|BRU|FIH|
FIH|DFW,|DFW|ORD|BRU|FIH|
FIH|DTW,|DTW|YYZ|BRU|FIH|
FIH|DUB,|DUB|IST|FIH|
FIH|FCO,|FCO|IST|FIH|
FIH|GCM,|GCM|EWR|BRU|FIH|
FIH|GGT,|GGT|FLL|EWR|BRU|FIH|
FIH|GND,|GND|YYZ|BRU|FIH|
FIH|GRU,|GRU|IST|FIH|
FIH|HAV,|HAV|YYZ|BRU|FIH|
FIH|IND,|IND|YYZ|BRU|FIH|
FIH|JFK,|JFK|BRU|FIH|
FIH|KIN,|KIN|YYZ|BRU|FIH|
FIH|LIM,|LIM|EWR|BRU|FIH|
FIH|LIR,|LIR|EWR|BRU|FIH|
FIH|MCI,|MCI|ORD|BRU|FIH|
FIH|MDT,|MDT|IAD|BRU|FIH|
FIH|MIA,|MIA|EWR|BRU|FIH|
FIH|MKE,|MKE|YYZ|BRU|FIH|
FIH|MSP,|MSP|YUL|BRU|FIH|
FIH|NAS,|NAS|EWR|BRU|FIH|
FIH|PHL,|PHL|IAD|BRU|FIH|
FIH|PHX,|PHX|ORD|BRU|FIH|
FIH|PIT,|PIT|YYZ|BRU|FIH|
FIH|PLS,|PLS|EWR|BRU|FIH|
FIH|POP,|POP|EWR|BRU|FIH|
FIH|RDU,|RDU|EWR|BRU|FIH|
FIH|ROC,|ROC|YYZ|BRU|FIH|
FIH|RSW,|RSW|EWR|BRU|FIH|
FIH|SAN,|SAN|ORD|BRU|FIH|
FIH|SJO,|SJO|EWR|BRU|FIH|
FIH|STL,|STL|ORD|BRU|FIH|
FIH|SYR,|SYR|EWR|BRU|FIH|
FIH|TLV,|TLV|IST|FIH|
FIH|TPA,|TPA|EWR|BRU|FIH|
FIH|UVF,|UVF|EWR|BRU|FIH|
FIH|VIE,|VIE|IST|FIH|
FIH|YAM,|YAM|YYZ|BRU|FIH|
FIH|YGK,|YGK|YYZ|BRU|FIH|
FIH|YQG,|YQG|YYZ|BRU|FIH|
FIH|YSB,|YSB|YYZ|BRU|FIH|
FIH|YTS,|YTS|YYZ|BRU|FIH|
FIH|YYB,|YYB|YYZ|BRU|FIH|
FIH|YZR,|YZR|YYZ|BRU|FIH|
FIH|CAN,|CAN|IST|FIH|
FIH|URC,|URC|IST|FIH|
FIH|CTU,|CTU|URC|IST|FIH|
FIH|HGH,|HGH|URC|IST|FIH|
FIH|XMN,|XMN|CSX|URC|IST|FIH|
FIH|CGO,|CGO|URC|IST|FIH|
FIH|CSX,|CSX|URC|IST|FIH|
FIH|SHE,|SHE|PEK|IST|FIH|
FIH|SJW,|SJW|URC|IST|FIH|
FIH|WUH,|WUH|URC|IST|FIH|
FIH|SZX,|SZX|CKG|URC|IST|FIH|
FIH|CKG,|CKG|URC|IST|FIH|
FIH|KMG,|KMG|CTU|URC|IST|FIH|
FIH|FOC,|FOC|XIY|URC|IST|FIH|
FIH|NNG,|NNG|KWE|URC|IST|FIH|
FIH|SWA,|SWA|CAN|IST|FIH|
FIH|ACX,|ACX|CAN|IST|FIH|
FIH|AQG,|AQG|CAN|IST|FIH|
FIH|AVA,|AVA|CAN|IST|FIH|
FIH|BFJ,|BFJ|CAN|IST|FIH|
FIH|BHY,|BHY|CKG|URC|IST|FIH|
FIH|BNE,|BNE|BKK|IST|FIH|
FIH|CGD,|CGD|PEK|IST|FIH|
FIH|CGK,|CGK|SIN|IST|FIH|
FIH|CGQ,|CGQ|HET|URC|IST|FIH|
FIH|CIH,|CIH|PEK|IST|FIH|
FIH|CNX,|CNX|CAN|IST|FIH|
FIH|CZX,|CZX|TYN|URC|IST|FIH|
FIH|DAC,|DAC|IST|FIH|
FIH|DAD,|DAD|CAN|IST|FIH|
FIH|DEL,|DEL|IST|FIH|
FIH|DIG,|DIG|KMG|CTU|URC|IST|FIH|
FIH|DLC,|DLC|PEK|IST|FIH|
FIH|DPS,|DPS|CAN|IST|FIH|
FIH|DXB,|DXB|IST|FIH|
FIH|DYG,|DYG|CSX|URC|IST|FIH|
FIH|FUG,|FUG|CAN|IST|FIH|
FIH|FUK,|FUK|ICN|IST|FIH|
FIH|HAK,|HAK|CTU|URC|IST|FIH|
FIH|HAN,|HAN|CAN|IST|FIH|
FIH|HDG,|HDG|CAN|IST|FIH|
FIH|HET,|HET|URC|IST|FIH|
FIH|HFE,|HFE|XIY|URC|IST|FIH|
FIH|HJJ,|HJJ|CSX|URC|IST|FIH|
FIH|HKT,|HKT|KWE|URC|IST|FIH|
FIH|HRB,|HRB|PEK|IST|FIH|
FIH|HZH,|HZH|CAN|IST|FIH|
FIH|JIU,|JIU|CAN|IST|FIH|
FIH|JJN,|JJN|CSX|URC|IST|FIH|
FIH|JNG,|JNG|CAN|IST|FIH|
FIH|KHN,|KHN|XIY|URC|IST|FIH|
FIH|KIX,|KIX|IST|FIH|
FIH|KOW,|KOW|CAN|IST|FIH|
FIH|KTM,|KTM|IST|FIH|
FIH|KUL,|KUL|IST|FIH|
FIH|KWE,|KWE|URC|IST|FIH|
FIH|KWL,|KWL|CKG|URC|IST|FIH|
FIH|LHW,|LHW|URC|IST|FIH|
FIH|LYA,|LYA|KHN|XIY|URC|IST|FIH|
FIH|LYG,|LYG|XUZ|INC|URC|IST|FIH|
FIH|LZH,|LZH|CAN|IST|FIH|
FIH|MEL,|MEL|BKK|IST|FIH|
FIH|MIG,|MIG|CSX|URC|IST|FIH|
FIH|MLE,|MLE|IST|FIH|
FIH|MNL,|MNL|CAN|IST|FIH|
FIH|MXZ,|MXZ|CAN|IST|FIH|
FIH|NAO,|NAO|PEK|IST|FIH|
FIH|NGB,|NGB|WUH|URC|IST|FIH|
FIH|NKG,|NKG|URC|IST|FIH|
FIH|NNY,|NNY|CGO|URC|IST|FIH|
FIH|PEN,|PEN|CAN|IST|FIH|
FIH|PER,|PER|BKK|IST|FIH|
FIH|PNH,|PNH|CAN|IST|FIH|
FIH|REP,|REP|CAN|IST|FIH|
FIH|RGN,|RGN|CAN|IST|FIH|
FIH|SGN,|SGN|BKK|IST|FIH|
FIH|SHA,|SHA|URC|IST|FIH|
FIH|SIN,|SIN|IST|FIH|
FIH|SVO,|SVO|URC|IST|FIH|
FIH|SYX,|SYX|CKG|URC|IST|FIH|
FIH|TAO,|TAO|TYN|URC|IST|FIH|
FIH|TEN,|TEN|CAN|IST|FIH|
FIH|TNA,|TNA|URC|IST|FIH|
FIH|TPE,|TPE|URC|IST|FIH|
FIH|TSN,|TSN|HET|URC|IST|FIH|
FIH|TXN,|TXN|TYN|URC|IST|FIH|
FIH|TYN,|TYN|URC|IST|FIH|
FIH|WNZ,|WNZ|XIY|URC|IST|FIH|
FIH|WUX,|WUX|CAN|IST|FIH|
FIH|XFN,|XFN|CAN|IST|FIH|
FIH|XIY,|XIY|URC|IST|FIH|
FIH|XUZ,|XUZ|INC|URC|IST|FIH|
FIH|YIH,|YIH|CKG|URC|IST|FIH|
FIH|YIW,|YIW|URC|IST|FIH|
FIH|YNT,|YNT|SHE|PEK|IST|FIH|
FIH|YNZ,|YNZ|WUH|URC|IST|FIH|
FIH|YTY,|YTY|CGO|URC|IST|FIH|
FIH|ZHA,|ZHA|CAN|IST|FIH|
FIH|ZYI,|ZYI|CAN|IST|FIH|
FIH|BAV,|BAV|URC|IST|FIH|
FIH|CJU,|CJU|DLC|PEK|IST|FIH|
FIH|DSN,|DSN|CGO|URC|IST|FIH|
FIH|HMI,|HMI|URC|IST|FIH|
FIH|INC,|INC|URC|IST|FIH|
FIH|KHH,|KHH|WUH|URC|IST|FIH|
FIH|UYN,|UYN|XIY|URC|IST|FIH|
FIH|XNN,|XNN|URC|IST|FIH|
FIH|ZUH,|ZUH|KWE|URC|IST|FIH|
FIH|YNJ,|YNJ|PEK|IST|FIH|
FIH|DAT,|DAT|TYN|URC|IST|FIH|
FIH|JHG,|JHG|KMG|CTU|URC|IST|FIH|
FIH|LJG,|LJG|KMG|CTU|URC|IST|FIH|
FIH|LXA,|LXA|CKG|URC|IST|FIH|
FIH|YCU,|YCU|CKG|URC|IST|FIH|
FIH|LZO,|LZO|CSX|URC|IST|FIH|
FIH|MDG,|MDG|DLC|PEK|IST|FIH|
FIH|NGO,|NGO|ICN|IST|FIH|
FIH|TOY,|TOY|DLC|PEK|IST|FIH|
FIH|MFM,|MFM|XMN|CSX|URC|IST|FIH|
FIH|TGO,|TGO|HET|URC|IST|FIH|
FIH|XIL,|XIL|HET|URC|IST|FIH|
FIH|HEK,|HEK|HRB|PEK|IST|FIH|
FIH|KIJ,|KIJ|HRB|PEK|IST|FIH|
FIH|LDS,|LDS|HRB|PEK|IST|FIH|
FIH|OHE,|OHE|HRB|PEK|IST|FIH|
FIH|HSN,|HSN|LYG|XUZ|INC|URC|IST|FIH|
FIH|DLU,|DLU|KMG|CTU|URC|IST|FIH|
FIH|SYM,|SYM|KMG|CTU|URC|IST|FIH|
FIH|ZAT,|ZAT|KMG|CTU|URC|IST|FIH|
FIH|LUN,|LUN|HRE|ADD|DLA|FIH|
FIH|AOG,|AOG|PEK|IST|FIH|
FIH|GMP,|GMP|PEK|IST|FIH|
FIH|ISB,|ISB|IST|FIH|
FIH|TAS,|TAS|IST|FIH|
FIH|WUS,|WUS|PEK|IST|FIH|
FIH|JMU,|JMU|PVG|IST|FIH|
FIH|NDG,|NDG|PVG|IST|FIH|
FIH|JXA,|JXA|SHE|PEK|IST|FIH|
FIH|PUS,|PUS|SHE|PEK|IST|FIH|
FIH|BKI,|BKI|SZX|CKG|URC|IST|FIH|
FIH|AKU,|AKU|URC|IST|FIH|
FIH|ALA,|ALA|IST|FIH|
