FNA|BRU,|BRU|ROB|FNA|
FNA|OUA,|OUA|BRU|ROB|FNA|
FNA|JED,|JED|IST|BRU|ROB|FNA|
FNA|CPH,|CPH|IST|BRU|ROB|FNA|
FNA|YYZ,|YYZ|BRU|ROB|FNA|
FNA|DEN,|DEN|ORD|BRU|ROB|FNA|
FNA|YUL,|YUL|BRU|ROB|FNA|
FNA|NBO,|NBO|IST|BRU|ROB|FNA|
FNA|ICN,|ICN|IST|BRU|ROB|FNA|
FNA|NRT,|NRT|IST|BRU|ROB|FNA|
FNA|YHZ,|YHZ|YUL|BRU|ROB|FNA|
FNA|YOW,|YOW|YUL|BRU|ROB|FNA|
FNA|BJM,|BJM|BRU|ROB|FNA|
FNA|COO,|COO|BRU|ROB|FNA|
FNA|DKR,|DKR|BRU|ROB|FNA|
FNA|DLA,|DLA|BRU|ROB|FNA|
FNA|KGL,|KGL|BRU|ROB|FNA|
FNA|LAD,|LAD|BRU|ROB|FNA|
FNA|ABJ,|ABJ|BRU|ROB|FNA|
FNA|AMS,|AMS|IST|BRU|ROB|FNA|
FNA|OSL,|OSL|IST|BRU|ROB|FNA|
FNA|VNO,|VNO|IST|BRU|ROB|FNA|
FNA|WAW,|WAW|IST|BRU|ROB|FNA|
FNA|YYC,|YYC|YUL|BRU|ROB|FNA|
FNA|ATL,|ATL|IAD|BRU|ROB|FNA|
FNA|MSY,|MSY|IAD|BRU|ROB|FNA|
FNA|YEG,|YEG|YUL|BRU|ROB|FNA|
FNA|YMM,|YMM|YYZ|BRU|ROB|FNA|
FNA|YQR,|YQR|YWG|YUL|BRU|ROB|FNA|
FNA|YVR,|YVR|YUL|BRU|ROB|FNA|
FNA|YWG,|YWG|YUL|BRU|ROB|FNA|
FNA|YXE,|YXE|YWG|YUL|BRU|ROB|FNA|
FNA|CKY,|CKY|DKR|BRU|ROB|FNA|
FNA|FIH,|FIH|DLA|BRU|ROB|FNA|
FNA|SCL,|SCL|YYZ|BRU|ROB|FNA|
FNA|LCA,|LCA|FRA|IST|BRU|ROB|FNA|
FNA|NAP,|NAP|IST|BRU|ROB|FNA|
FNA|VLC,|VLC|IST|BRU|ROB|FNA|
FNA|BKK,|BKK|IST|BRU|ROB|FNA|
FNA|ADD,|ADD|IST|BRU|ROB|FNA|
FNA|FRA,|FRA|IST|BRU|ROB|FNA|
FNA|IST,|IST|BRU|ROB|FNA|
FNA|EBB,|EBB|KGL|BRU|ROB|FNA|
FNA|YLW,|YLW|YYC|YUL|BRU|ROB|FNA|
FNA|YYT,|YYT|YUL|BRU|ROB|FNA|
FNA|GUA,|GUA|EWR|BRU|ROB|FNA|
FNA|EWR,|EWR|BRU|ROB|FNA|
FNA|IAD,|IAD|BRU|ROB|FNA|
FNA|IAH,|IAH|YUL|BRU|ROB|FNA|
FNA|ORD,|ORD|BRU|ROB|FNA|
FNA|SOF,|SOF|IST|BRU|ROB|FNA|
FNA|YQB,|YQB|YUL|BRU|ROB|FNA|
FNA|YXU,|YXU|YYZ|BRU|ROB|FNA|
FNA|EZE,|EZE|GRU|IST|BRU|ROB|FNA|
FNA|YYJ,|YYJ|YYC|YUL|BRU|ROB|FNA|
FNA|YYY,|YYY|YUL|BRU|ROB|FNA|
FNA|YQQ,|YQQ|YYC|YUL|BRU|ROB|FNA|
FNA|YYR,|YYR|YWK|YZV|YUL|BRU|ROB|FNA|
FNA|LHR,|LHR|IST|BRU|ROB|FNA|
FNA|SFO,|SFO|YUL|BRU|ROB|FNA|
FNA|YQU,|YQU|YEG|YUL|BRU|ROB|FNA|
FNA|YZF,|YZF|YEG|YUL|BRU|ROB|FNA|
FNA|YGR,|YGR|YGP|YQB|YUL|BRU|ROB|FNA|
FNA|YGP,|YGP|YQB|YUL|BRU|ROB|FNA|
FNA|BOS,|BOS|YUL|BRU|ROB|FNA|
FNA|YDF,|YDF|YHZ|YUL|BRU|ROB|FNA|
FNA|YFC,|YFC|YUL|BRU|ROB|FNA|
FNA|YQM,|YQM|YUL|BRU|ROB|FNA|
FNA|YQX,|YQX|YHZ|YUL|BRU|ROB|FNA|
FNA|YQY,|YQY|YHZ|YUL|BRU|ROB|FNA|
FNA|YSJ,|YSJ|YUL|BRU|ROB|FNA|
FNA|YYG,|YYG|YUL|BRU|ROB|FNA|
FNA|LAX,|LAX|ORD|BRU|ROB|FNA|
FNA|DCA,|DCA|EWR|BRU|ROB|FNA|
FNA|LGA,|LGA|YUL|BRU|ROB|FNA|
FNA|YZV,|YZV|YUL|BRU|ROB|FNA|
FNA|YWL,|YWL|YVR|YUL|BRU|ROB|FNA|
FNA|AZS,|AZS|YUL|BRU|ROB|FNA|
FNA|BDL,|BDL|YUL|BRU|ROB|FNA|
FNA|CCC,|CCC|YUL|BRU|ROB|FNA|
FNA|CDG,|CDG|IST|BRU|ROB|FNA|
FNA|CUN,|CUN|EWR|BRU|ROB|FNA|
FNA|CZM,|CZM|YUL|BRU|ROB|FNA|
FNA|FDF,|FDF|YUL|BRU|ROB|FNA|
FNA|FLL,|FLL|EWR|BRU|ROB|FNA|
FNA|GVA,|GVA|IST|BRU|ROB|FNA|
FNA|HOG,|HOG|YUL|BRU|ROB|FNA|
FNA|LAS,|LAS|ORD|BRU|ROB|FNA|
FNA|MBJ,|MBJ|EWR|BRU|ROB|FNA|
FNA|MCO,|MCO|EWR|BRU|ROB|FNA|
FNA|MUC,|MUC|IST|BRU|ROB|FNA|
FNA|PAP,|PAP|YUL|BRU|ROB|FNA|
FNA|PTP,|PTP|YUL|BRU|ROB|FNA|
FNA|PUJ,|PUJ|EWR|BRU|ROB|FNA|
FNA|SNU,|SNU|YUL|BRU|ROB|FNA|
FNA|VRA,|VRA|YUL|BRU|ROB|FNA|
FNA|YBC,|YBC|YUL|BRU|ROB|FNA|
FNA|YBG,|YBG|YUL|BRU|ROB|FNA|
FNA|YTZ,|YTZ|YUL|BRU|ROB|FNA|
FNA|YUY,|YUY|YUL|BRU|ROB|FNA|
FNA|YVO,|YVO|YUL|BRU|ROB|FNA|
FNA|ZBF,|ZBF|YUL|BRU|ROB|FNA|
FNA|ZRH,|ZRH|IST|BRU|ROB|FNA|
FNA|ZSA,|ZSA|YUL|BRU|ROB|FNA|
FNA|AKL,|AKL|BKK|IST|BRU|ROB|FNA|
FNA|HKG,|HKG|IST|BRU|ROB|FNA|
FNA|HND,|HND|YVR|YUL|BRU|ROB|FNA|
FNA|HNL,|HNL|SFO|YUL|BRU|ROB|FNA|
FNA|MEX,|MEX|IAD|BRU|ROB|FNA|
FNA|OGG,|OGG|SFO|YUL|BRU|ROB|FNA|
FNA|PDX,|PDX|YYC|YUL|BRU|ROB|FNA|
FNA|PEK,|PEK|IST|BRU|ROB|FNA|
FNA|PVG,|PVG|IST|BRU|ROB|FNA|
FNA|PVR,|PVR|IAH|YUL|BRU|ROB|FNA|
FNA|SEA,|SEA|YYZ|BRU|ROB|FNA|
FNA|SYD,|SYD|BKK|IST|BRU|ROB|FNA|
FNA|YBL,|YBL|YVR|YUL|BRU|ROB|FNA|
FNA|YCD,|YCD|YVR|YUL|BRU|ROB|FNA|
FNA|YCG,|YCG|YYC|YUL|BRU|ROB|FNA|
FNA|YKA,|YKA|YYC|YUL|BRU|ROB|FNA|
FNA|YPR,|YPR|YVR|YUL|BRU|ROB|FNA|
FNA|YQZ,|YQZ|YVR|YUL|BRU|ROB|FNA|
FNA|YXC,|YXC|YYC|YUL|BRU|ROB|FNA|
FNA|YXJ,|YXJ|YYC|YUL|BRU|ROB|FNA|
FNA|YXS,|YXS|YYC|YUL|BRU|ROB|FNA|
FNA|YXT,|YXT|YVR|YUL|BRU|ROB|FNA|
FNA|YXY,|YXY|YVR|YUL|BRU|ROB|FNA|
FNA|YYD,|YYD|YVR|YUL|BRU|ROB|FNA|
FNA|YYF,|YYF|YVR|YUL|BRU|ROB|FNA|
FNA|YZP,|YZP|YVR|YUL|BRU|ROB|FNA|
FNA|YQT,|YQT|YYZ|BRU|ROB|FNA|
FNA|SJD,|SJD|ORD|BRU|ROB|FNA|
FNA|YQF,|YQF|YYC|YUL|BRU|ROB|FNA|
FNA|YQL,|YQL|YYC|YUL|BRU|ROB|FNA|
FNA|YXH,|YXH|YYC|YUL|BRU|ROB|FNA|
FNA|YWK,|YWK|YZV|YUL|BRU|ROB|FNA|
FNA|ANU,|ANU|EWR|BRU|ROB|FNA|
FNA|AUA,|AUA|EWR|BRU|ROB|FNA|
FNA|AUH,|AUH|IST|BRU|ROB|FNA|
FNA|BCN,|BCN|IST|BRU|ROB|FNA|
FNA|BDA,|BDA|EWR|BRU|ROB|FNA|
FNA|BGI,|BGI|YYZ|BRU|ROB|FNA|
FNA|BNA,|BNA|YYZ|BRU|ROB|FNA|
FNA|BOG,|BOG|JFK|BRU|ROB|FNA|
FNA|BWI,|BWI|EWR|BRU|ROB|FNA|
FNA|CLE,|CLE|YYZ|BRU|ROB|FNA|
FNA|CLT,|CLT|EWR|BRU|ROB|FNA|
FNA|CMH,|CMH|YYZ|BRU|ROB|FNA|
FNA|CVG,|CVG|YYZ|BRU|ROB|FNA|
FNA|DFW,|DFW|ORD|BRU|ROB|FNA|
FNA|DTW,|DTW|YYZ|BRU|ROB|FNA|
FNA|DUB,|DUB|IST|BRU|ROB|FNA|
FNA|FCO,|FCO|IST|BRU|ROB|FNA|
