FUG|BRU,|BRU|DEL|CAN|FUG|
FUG|OUA,|OUA|NIM|IST|CAN|FUG|
FUG|JED,|JED|IST|CAN|FUG|
FUG|CPH,|CPH|AMS|CAN|FUG|
FUG|YYZ,|YYZ|PEK|CAN|FUG|
FUG|DEN,|DEN|YVR|CAN|FUG|
FUG|YUL,|YUL|YYZ|PEK|CAN|FUG|
FUG|NBO,|NBO|CAN|FUG|
FUG|ICN,|ICN|CAN|FUG|
FUG|NRT,|NRT|CAN|FUG|
FUG|YHZ,|YHZ|YYZ|PEK|CAN|FUG|
FUG|YOW,|YOW|YYZ|PEK|CAN|FUG|
FUG|BJM,|BJM|BRU|DEL|CAN|FUG|
FUG|COO,|COO|BRU|DEL|CAN|FUG|
FUG|DKR,|DKR|BRU|DEL|CAN|FUG|
FUG|DLA,|DLA|IST|CAN|FUG|
FUG|KGL,|KGL|IST|CAN|FUG|
FUG|LAD,|LAD|BRU|DEL|CAN|FUG|
FUG|ABJ,|ABJ|OUA|NIM|IST|CAN|FUG|
FUG|AMS,|AMS|CAN|FUG|
FUG|OSL,|OSL|CPH|AMS|CAN|FUG|
FUG|VNO,|VNO|IST|CAN|FUG|
FUG|WAW,|WAW|IST|CAN|FUG|
FUG|YYC,|YYC|YVR|CAN|FUG|
FUG|ATL,|ATL|ORD|PEK|CAN|FUG|
FUG|MSY,|MSY|DEN|YVR|CAN|FUG|
FUG|YEG,|YEG|YVR|CAN|FUG|
FUG|YMM,|YMM|YVR|CAN|FUG|
FUG|YQR,|YQR|YVR|CAN|FUG|
FUG|YVR,|YVR|CAN|FUG|
FUG|YWG,|YWG|YVR|CAN|FUG|
FUG|YXE,|YXE|YVR|CAN|FUG|
FUG|CKY,|CKY|DKR|BRU|DEL|CAN|FUG|
FUG|FIH,|FIH|IST|CAN|FUG|
FUG|SCL,|SCL|YYZ|PEK|CAN|FUG|
FUG|LCA,|LCA|FRA|TSE|URC|CAN|FUG|
FUG|NAP,|NAP|IST|CAN|FUG|
FUG|VLC,|VLC|IST|CAN|FUG|
FUG|BKK,|BKK|CAN|FUG|
FUG|ADD,|ADD|IST|CAN|FUG|
FUG|FRA,|FRA|TSE|URC|CAN|FUG|
FUG|IST,|IST|CAN|FUG|
FUG|EBB,|EBB|KGL|IST|CAN|FUG|
FUG|YLW,|YLW|YVR|CAN|FUG|
FUG|YYT,|YYT|LHR|CAN|FUG|
FUG|GUA,|GUA|IAH|YVR|CAN|FUG|
FUG|EWR,|EWR|PEK|CAN|FUG|
FUG|IAD,|IAD|PEK|CAN|FUG|
FUG|IAH,|IAH|YVR|CAN|FUG|
FUG|ORD,|ORD|PEK|CAN|FUG|
FUG|SOF,|SOF|IST|CAN|FUG|
FUG|YQB,|YQB|YYZ|PEK|CAN|FUG|
FUG|YXU,|YXU|YYZ|PEK|CAN|FUG|
FUG|EZE,|EZE|GRU|IST|CAN|FUG|
FUG|YYJ,|YYJ|YVR|CAN|FUG|
FUG|YYY,|YYY|YUL|YYZ|PEK|CAN|FUG|
FUG|YQQ,|YQQ|YBL|YVR|CAN|FUG|
FUG|YYR,|YYR|YYT|LHR|CAN|FUG|
FUG|LHR,|LHR|CAN|FUG|
FUG|SFO,|SFO|PVG|CAN|FUG|
