GDL|BRU,|BRU|YUL|IAH|GDL|
GDL|OUA,|OUA|BRU|YUL|IAH|GDL|
GDL|JED,|JED|FRA|IAH|GDL|
GDL|CPH,|CPH|YYZ|IAH|GDL|
GDL|YYZ,|YYZ|IAH|GDL|
GDL|DEN,|DEN|IAH|GDL|
GDL|YUL,|YUL|IAH|GDL|
GDL|NBO,|NBO|ZRH|YUL|IAH|GDL|
GDL|ICN,|ICN|SFO|GDL|
GDL|NRT,|NRT|LAX|GDL|
GDL|YHZ,|YHZ|BOS|IAH|GDL|
GDL|YOW,|YOW|YYZ|IAH|GDL|
GDL|BJM,|BJM|BRU|YUL|IAH|GDL|
GDL|COO,|COO|BRU|YUL|IAH|GDL|
GDL|DKR,|DKR|IAD|IAH|GDL|
GDL|DLA,|DLA|BRU|YUL|IAH|GDL|
GDL|KGL,|KGL|BRU|YUL|IAH|GDL|
GDL|LAD,|LAD|BRU|YUL|IAH|GDL|
GDL|ABJ,|ABJ|BRU|YUL|IAH|GDL|
GDL|AMS,|AMS|IAH|GDL|
GDL|OSL,|OSL|EWR|IAH|GDL|
GDL|VNO,|VNO|CPH|YYZ|IAH|GDL|
GDL|WAW,|WAW|YYZ|IAH|GDL|
GDL|YYC,|YYC|LAX|GDL|
GDL|ATL,|ATL|IAH|GDL|
GDL|MSY,|MSY|IAH|GDL|
GDL|YEG,|YEG|LAX|GDL|
GDL|YMM,|YMM|DEN|IAH|GDL|
GDL|YQR,|YQR|DEN|IAH|GDL|
GDL|YVR,|YVR|LAX|GDL|
GDL|YWG,|YWG|ORD|IAH|GDL|
GDL|YXE,|YXE|DEN|IAH|GDL|
GDL|CKY,|CKY|DKR|IAD|IAH|GDL|
GDL|FIH,|FIH|DLA|BRU|YUL|IAH|GDL|
GDL|SCL,|SCL|EZE|IAH|GDL|
GDL|LCA,|LCA|FRA|IAH|GDL|
GDL|NAP,|NAP|FRA|IAH|GDL|
GDL|VLC,|VLC|FRA|IAH|GDL|
GDL|BKK,|BKK|ICN|SFO|GDL|
GDL|ADD,|ADD|JED|FRA|IAH|GDL|
GDL|FRA,|FRA|IAH|GDL|
GDL|IST,|IST|IAH|GDL|
GDL|EBB,|EBB|KGL|BRU|YUL|IAH|GDL|
GDL|YLW,|YLW|LAX|GDL|
GDL|YYT,|YYT|YHZ|BOS|IAH|GDL|
GDL|GUA,|GUA|IAH|GDL|
GDL|EWR,|EWR|IAH|GDL|
GDL|IAD,|IAD|IAH|GDL|
GDL|IAH,|IAH|GDL|
GDL|ORD,|ORD|IAH|GDL|
GDL|SOF,|SOF|MUC|IAH|GDL|
GDL|YQB,|YQB|YUL|IAH|GDL|
GDL|YXU,|YXU|ORD|IAH|GDL|
GDL|EZE,|EZE|IAH|GDL|
GDL|YYJ,|YYJ|SFO|GDL|
GDL|YYY,|YYY|YUL|IAH|GDL|
GDL|YQQ,|YQQ|YBL|YVR|LAX|GDL|
GDL|YYR,|YYR|YWK|YZV|YUL|IAH|GDL|
GDL|LHR,|LHR|IAH|GDL|
GDL|SFO,|SFO|GDL|
GDL|YQU,|YQU|YYC|LAX|GDL|
GDL|YZF,|YZF|YYC|LAX|GDL|
GDL|YGR,|YGR|YGP|YQB|YUL|IAH|GDL|
GDL|YGP,|YGP|YQB|YUL|IAH|GDL|
GDL|BOS,|BOS|IAH|GDL|
GDL|YDF,|YDF|YYZ|IAH|GDL|
GDL|YFC,|YFC|YUL|IAH|GDL|
GDL|YQM,|YQM|EWR|IAH|GDL|
GDL|YQX,|YQX|YHZ|BOS|IAH|GDL|
GDL|YQY,|YQY|YHZ|BOS|IAH|GDL|
GDL|YSJ,|YSJ|YUL|IAH|GDL|
GDL|YYG,|YYG|YUL|IAH|GDL|
GDL|LAX,|LAX|GDL|
GDL|DCA,|DCA|IAH|GDL|
GDL|LGA,|LGA|IAH|GDL|
GDL|YZV,|YZV|YUL|IAH|GDL|
GDL|YWL,|YWL|YVR|LAX|GDL|
GDL|AZS,|AZS|YYZ|IAH|GDL|
GDL|BDL,|BDL|IAD|IAH|GDL|
GDL|CCC,|CCC|YYZ|IAH|GDL|
GDL|CDG,|CDG|YUL|IAH|GDL|
GDL|CUN,|CUN|IAH|GDL|
GDL|CZM,|CZM|IAH|GDL|
GDL|FDF,|FDF|YUL|IAH|GDL|
GDL|FLL,|FLL|IAH|GDL|
GDL|GVA,|GVA|YUL|IAH|GDL|
GDL|HOG,|HOG|YYZ|IAH|GDL|
GDL|LAS,|LAS|LAX|GDL|
GDL|MBJ,|MBJ|IAH|GDL|
GDL|MCO,|MCO|IAH|GDL|
GDL|MUC,|MUC|IAH|GDL|
GDL|PAP,|PAP|YUL|IAH|GDL|
GDL|PTP,|PTP|YUL|IAH|GDL|
GDL|PUJ,|PUJ|ATL|IAH|GDL|
GDL|SNU,|SNU|YYZ|IAH|GDL|
GDL|VRA,|VRA|YYZ|IAH|GDL|
GDL|YBC,|YBC|YUL|IAH|GDL|
GDL|YBG,|YBG|YUL|IAH|GDL|
GDL|YTZ,|YTZ|YUL|IAH|GDL|
GDL|YUY,|YUY|YUL|IAH|GDL|
GDL|YVO,|YVO|YUL|IAH|GDL|
GDL|ZBF,|ZBF|YUL|IAH|GDL|
GDL|ZRH,|ZRH|YUL|IAH|GDL|
GDL|ZSA,|ZSA|YUL|IAH|GDL|
GDL|AKL,|AKL|LAX|GDL|
GDL|HKG,|HKG|SFO|GDL|
GDL|HND,|HND|LAX|GDL|
GDL|HNL,|HNL|LAX|GDL|
GDL|MEX,|MEX|IAH|GDL|
GDL|OGG,|OGG|LAX|GDL|
GDL|PDX,|PDX|LAX|GDL|
