GJT|BRU,|BRU|ORD|DEN|GJT|
GJT|OUA,|OUA|BRU|ORD|DEN|GJT|
GJT|JED,|JED|FRA|DEN|GJT|
GJT|CPH,|CPH|YYZ|DEN|GJT|
GJT|YYZ,|YYZ|DEN|GJT|
GJT|DEN,|DEN|GJT|
GJT|YUL,|YUL|DEN|GJT|
GJT|NBO,|NBO|ZRH|ORD|DEN|GJT|
GJT|ICN,|ICN|YVR|DEN|GJT|
GJT|NRT,|NRT|DEN|GJT|
GJT|YHZ,|YHZ|YUL|DEN|GJT|
GJT|YOW,|YOW|YYZ|DEN|GJT|
GJT|BJM,|BJM|BRU|ORD|DEN|GJT|
GJT|COO,|COO|BRU|ORD|DEN|GJT|
GJT|DKR,|DKR|IAD|DEN|GJT|
GJT|DLA,|DLA|BRU|ORD|DEN|GJT|
GJT|KGL,|KGL|BRU|ORD|DEN|GJT|
GJT|LAD,|LAD|BRU|ORD|DEN|GJT|
GJT|ABJ,|ABJ|BRU|ORD|DEN|GJT|
GJT|AMS,|AMS|ORD|DEN|GJT|
GJT|OSL,|OSL|EWR|DEN|GJT|
GJT|VNO,|VNO|CPH|YYZ|DEN|GJT|
GJT|WAW,|WAW|YYZ|DEN|GJT|
GJT|YYC,|YYC|DEN|GJT|
GJT|ATL,|ATL|DEN|GJT|
GJT|MSY,|MSY|DEN|GJT|
GJT|YEG,|YEG|DEN|GJT|
GJT|YMM,|YMM|DEN|GJT|
GJT|YQR,|YQR|DEN|GJT|
GJT|YVR,|YVR|DEN|GJT|
GJT|YWG,|YWG|DEN|GJT|
GJT|YXE,|YXE|DEN|GJT|
GJT|CKY,|CKY|DKR|IAD|DEN|GJT|
GJT|FIH,|FIH|DLA|BRU|ORD|DEN|GJT|
GJT|SCL,|SCL|EZE|IAH|GJT|
GJT|LCA,|LCA|FRA|DEN|GJT|
GJT|NAP,|NAP|FRA|DEN|GJT|
GJT|VLC,|VLC|FRA|DEN|GJT|
GJT|BKK,|BKK|CGO|PEK|YVR|DEN|GJT|
GJT|ADD,|ADD|JED|FRA|DEN|GJT|
GJT|FRA,|FRA|DEN|GJT|
GJT|IST,|IST|FRA|DEN|GJT|
GJT|EBB,|EBB|KGL|BRU|ORD|DEN|GJT|
GJT|YLW,|YLW|YYC|DEN|GJT|
GJT|YYT,|YYT|YUL|DEN|GJT|
GJT|GUA,|GUA|IAH|GJT|
GJT|EWR,|EWR|DEN|GJT|
GJT|IAD,|IAD|DEN|GJT|
GJT|IAH,|IAH|GJT|
GJT|ORD,|ORD|DEN|GJT|
GJT|SOF,|SOF|MUC|ORD|DEN|GJT|
GJT|YQB,|YQB|YUL|DEN|GJT|
GJT|YXU,|YXU|ORD|DEN|GJT|
GJT|EZE,|EZE|IAH|GJT|
GJT|YYJ,|YYJ|YVR|DEN|GJT|
GJT|YYY,|YYY|YUL|DEN|GJT|
GJT|YQQ,|YQQ|YBL|YVR|DEN|GJT|
GJT|YYR,|YYR|YWK|YZV|YUL|DEN|GJT|
GJT|LHR,|LHR|ORD|DEN|GJT|
GJT|SFO,|SFO|DEN|GJT|
GJT|YQU,|YQU|YYC|DEN|GJT|
GJT|YZF,|YZF|YEG|DEN|GJT|
GJT|YGR,|YGR|YGP|YQB|YUL|DEN|GJT|
GJT|YGP,|YGP|YQB|YUL|DEN|GJT|
GJT|BOS,|BOS|DEN|GJT|
GJT|YDF,|YDF|YYZ|DEN|GJT|
GJT|YFC,|YFC|YUL|DEN|GJT|
GJT|YQM,|YQM|YUL|DEN|GJT|
GJT|YQX,|YQX|YHZ|YUL|DEN|GJT|
GJT|YQY,|YQY|YYZ|DEN|GJT|
GJT|YSJ,|YSJ|YUL|DEN|GJT|
GJT|YYG,|YYG|YUL|DEN|GJT|
GJT|LAX,|LAX|DEN|GJT|
GJT|DCA,|DCA|DEN|GJT|
GJT|LGA,|LGA|DEN|GJT|
GJT|YZV,|YZV|YUL|DEN|GJT|
GJT|YWL,|YWL|YVR|DEN|GJT|
GJT|AZS,|AZS|YYZ|DEN|GJT|
GJT|BDL,|BDL|DEN|GJT|
GJT|CCC,|CCC|YYZ|DEN|GJT|
GJT|CDG,|CDG|ORD|DEN|GJT|
GJT|CUN,|CUN|IAH|GJT|
GJT|CZM,|CZM|IAH|GJT|
GJT|FDF,|FDF|YUL|DEN|GJT|
GJT|FLL,|FLL|DEN|GJT|
GJT|GVA,|GVA|YUL|DEN|GJT|
GJT|HOG,|HOG|YYZ|DEN|GJT|
GJT|LAS,|LAS|DEN|GJT|
GJT|MBJ,|MBJ|IAH|GJT|
GJT|MCO,|MCO|DEN|GJT|
GJT|MUC,|MUC|ORD|DEN|GJT|
GJT|PAP,|PAP|YUL|DEN|GJT|
GJT|PTP,|PTP|YUL|DEN|GJT|
GJT|PUJ,|PUJ|ATL|DEN|GJT|
GJT|SNU,|SNU|YYZ|DEN|GJT|
GJT|VRA,|VRA|YYZ|DEN|GJT|
GJT|YBC,|YBC|YUL|DEN|GJT|
GJT|YBG,|YBG|YUL|DEN|GJT|
GJT|YTZ,|YTZ|YUL|DEN|GJT|
GJT|YUY,|YUY|YUL|DEN|GJT|
GJT|YVO,|YVO|YUL|DEN|GJT|
GJT|ZBF,|ZBF|YUL|DEN|GJT|
GJT|ZRH,|ZRH|ORD|DEN|GJT|
GJT|ZSA,|ZSA|YUL|DEN|GJT|
GJT|AKL,|AKL|LAX|DEN|GJT|
GJT|HKG,|HKG|YVR|DEN|GJT|
GJT|HND,|HND|YVR|DEN|GJT|
GJT|HNL,|HNL|DEN|GJT|
GJT|MEX,|MEX|DEN|GJT|
GJT|OGG,|OGG|DEN|GJT|
GJT|PDX,|PDX|DEN|GJT|
GJT|PEK,|PEK|YVR|DEN|GJT|
GJT|PVG,|PVG|YVR|DEN|GJT|
GJT|PVR,|PVR|DEN|GJT|
GJT|SEA,|SEA|DEN|GJT|
GJT|SYD,|SYD|LAX|DEN|GJT|
GJT|YBL,|YBL|YVR|DEN|GJT|
GJT|YCD,|YCD|YVR|DEN|GJT|
GJT|YCG,|YCG|YYC|DEN|GJT|
GJT|YKA,|YKA|YYC|DEN|GJT|
GJT|YPR,|YPR|YVR|DEN|GJT|
GJT|YQZ,|YQZ|YVR|DEN|GJT|
GJT|YXC,|YXC|YYC|DEN|GJT|
GJT|YXJ,|YXJ|YYC|DEN|GJT|
GJT|YXS,|YXS|YYC|DEN|GJT|
GJT|YXT,|YXT|YVR|DEN|GJT|
GJT|YXY,|YXY|YVR|DEN|GJT|
GJT|YYD,|YYD|YVR|DEN|GJT|
GJT|YYF,|YYF|YVR|DEN|GJT|
GJT|YZP,|YZP|YVR|DEN|GJT|
GJT|YQT,|YQT|YWG|DEN|GJT|
GJT|SJD,|SJD|DEN|GJT|
GJT|YQF,|YQF|YYC|DEN|GJT|
GJT|YQL,|YQL|YYC|DEN|GJT|
GJT|YXH,|YXH|YYC|DEN|GJT|
GJT|YWK,|YWK|YZV|YUL|DEN|GJT|
GJT|ANU,|ANU|EWR|DEN|GJT|
GJT|AUA,|AUA|ATL|DEN|GJT|
GJT|AUH,|AUH|FRA|DEN|GJT|
GJT|BCN,|BCN|YYZ|DEN|GJT|
GJT|BDA,|BDA|EWR|DEN|GJT|
GJT|BGI,|BGI|YYZ|DEN|GJT|
GJT|BNA,|BNA|DEN|GJT|
GJT|BOG,|BOG|IAH|GJT|
GJT|BWI,|BWI|DEN|GJT|
GJT|CLE,|CLE|DEN|GJT|
GJT|CLT,|CLT|MDW|DEN|GJT|
GJT|CMH,|CMH|DEN|GJT|
GJT|CVG,|CVG|DEN|GJT|
GJT|DFW,|DFW|DEN|GJT|
GJT|DTW,|DTW|DEN|GJT|
GJT|DUB,|DUB|ORD|DEN|GJT|
GJT|FCO,|FCO|YYZ|DEN|GJT|
GJT|GCM,|GCM|IAH|GJT|
GJT|GGT,|GGT|FLL|DEN|GJT|
GJT|GND,|GND|YYZ|DEN|GJT|
GJT|GRU,|GRU|IAH|GJT|
GJT|HAV,|HAV|YYZ|DEN|GJT|
GJT|IND,|IND|DEN|GJT|
GJT|JFK,|JFK|IAD|DEN|GJT|
GJT|KIN,|KIN|YYZ|DEN|GJT|
GJT|LIM,|LIM|IAH|GJT|
GJT|LIR,|LIR|IAH|GJT|
GJT|MCI,|MCI|DEN|GJT|
GJT|MDT,|MDT|ORD|DEN|GJT|
GJT|MIA,|MIA|DEN|GJT|
GJT|MKE,|MKE|DEN|GJT|
GJT|MSP,|MSP|DEN|GJT|
GJT|NAS,|NAS|IAH|GJT|
GJT|PHL,|PHL|DEN|GJT|
GJT|PHX,|PHX|DEN|GJT|
GJT|PIT,|PIT|DEN|GJT|
GJT|PLS,|PLS|YYZ|DEN|GJT|
GJT|POP,|POP|YYZ|DEN|GJT|
GJT|RDU,|RDU|DEN|GJT|
GJT|ROC,|ROC|ORD|DEN|GJT|
GJT|RSW,|RSW|DEN|GJT|
GJT|SAN,|SAN|DEN|GJT|
GJT|SJO,|SJO|IAH|GJT|
GJT|STL,|STL|DEN|GJT|
GJT|SYR,|SYR|ORD|DEN|GJT|
GJT|TLV,|TLV|IST|FRA|DEN|GJT|
GJT|TPA,|TPA|DEN|GJT|
GJT|UVF,|UVF|EWR|DEN|GJT|
GJT|VIE,|VIE|ORD|DEN|GJT|
GJT|YAM,|YAM|YYZ|DEN|GJT|
GJT|YGK,|YGK|YYZ|DEN|GJT|
GJT|YQG,|YQG|YYZ|DEN|GJT|
GJT|YSB,|YSB|YYZ|DEN|GJT|
GJT|YTS,|YTS|YYZ|DEN|GJT|
GJT|YYB,|YYB|YYZ|DEN|GJT|
GJT|YZR,|YZR|YYZ|DEN|GJT|
GJT|CAN,|CAN|YVR|DEN|GJT|
GJT|URC,|URC|PEK|YVR|DEN|GJT|
GJT|CTU,|CTU|PEK|YVR|DEN|GJT|
GJT|HGH,|HGH|DLC|ICN|YVR|DEN|GJT|
GJT|XMN,|XMN|PEK|YVR|DEN|GJT|
GJT|CGO,|CGO|PEK|YVR|DEN|GJT|
GJT|CSX,|CSX|ICN|YVR|DEN|GJT|
GJT|SHE,|SHE|ICN|YVR|DEN|GJT|
GJT|SJW,|SJW|DLC|ICN|YVR|DEN|GJT|
GJT|WUH,|WUH|ICN|YVR|DEN|GJT|
GJT|SZX,|SZX|PVG|YVR|DEN|GJT|
GJT|CKG,|CKG|PEK|YVR|DEN|GJT|
GJT|KMG,|KMG|PEK|YVR|DEN|GJT|
GJT|FOC,|FOC|PEK|YVR|DEN|GJT|
GJT|NNG,|NNG|PEK|YVR|DEN|GJT|
GJT|SWA,|SWA|PEK|YVR|DEN|GJT|
GJT|ACX,|ACX|CAN|YVR|DEN|GJT|
GJT|AQG,|AQG|CAN|YVR|DEN|GJT|
GJT|AVA,|AVA|CAN|YVR|DEN|GJT|
GJT|BFJ,|BFJ|CAN|YVR|DEN|GJT|
GJT|BHY,|BHY|CSX|ICN|YVR|DEN|GJT|
GJT|BNE,|BNE|CAN|YVR|DEN|GJT|
GJT|CGD,|CGD|PEK|YVR|DEN|GJT|
GJT|CGK,|CGK|CAN|YVR|DEN|GJT|
GJT|CGQ,|CGQ|ICN|YVR|DEN|GJT|
GJT|CIH,|CIH|PEK|YVR|DEN|GJT|
GJT|CNX,|CNX|CAN|YVR|DEN|GJT|
GJT|CZX,|CZX|SHE|ICN|YVR|DEN|GJT|
GJT|DAC,|DAC|CAN|YVR|DEN|GJT|
