GLA|BRU,|BRU|EWR|GLA|
GLA|OUA,|OUA|BRU|EWR|GLA|
GLA|JED,|JED|FRA|EWR|GLA|
GLA|CPH,|CPH|AMS|EWR|GLA|
GLA|YYZ,|YYZ|EWR|GLA|
GLA|DEN,|DEN|EWR|GLA|
GLA|YUL,|YUL|EWR|GLA|
GLA|NBO,|NBO|ZRH|EWR|GLA|
GLA|ICN,|ICN|JFK|IAD|EWR|GLA|
GLA|NRT,|NRT|EWR|GLA|
GLA|YHZ,|YHZ|EWR|GLA|
GLA|YOW,|YOW|EWR|GLA|
GLA|BJM,|BJM|BRU|EWR|GLA|
GLA|COO,|COO|BRU|EWR|GLA|
GLA|DKR,|DKR|IAD|EWR|GLA|
GLA|DLA,|DLA|BRU|EWR|GLA|
GLA|KGL,|KGL|BRU|EWR|GLA|
GLA|LAD,|LAD|BRU|EWR|GLA|
GLA|ABJ,|ABJ|BRU|EWR|GLA|
GLA|AMS,|AMS|EWR|GLA|
GLA|OSL,|OSL|EWR|GLA|
GLA|VNO,|VNO|CPH|AMS|EWR|GLA|
GLA|WAW,|WAW|CPH|AMS|EWR|GLA|
GLA|YYC,|YYC|EWR|GLA|
GLA|ATL,|ATL|EWR|GLA|
GLA|MSY,|MSY|EWR|GLA|
GLA|YEG,|YEG|EWR|GLA|
GLA|YMM,|YMM|YYZ|EWR|GLA|
GLA|YQR,|YQR|YYZ|EWR|GLA|
GLA|YVR,|YVR|EWR|GLA|
GLA|YWG,|YWG|YYZ|EWR|GLA|
GLA|YXE,|YXE|YYZ|EWR|GLA|
GLA|CKY,|CKY|DKR|IAD|EWR|GLA|
GLA|FIH,|FIH|DLA|BRU|EWR|GLA|
GLA|SCL,|SCL|YYZ|EWR|GLA|
GLA|LCA,|LCA|FRA|EWR|GLA|
GLA|NAP,|NAP|FRA|EWR|GLA|
GLA|VLC,|VLC|FRA|EWR|GLA|
GLA|BKK,|BKK|CGO|PEK|EWR|GLA|
GLA|ADD,|ADD|JED|FRA|EWR|GLA|
GLA|FRA,|FRA|EWR|GLA|
GLA|IST,|IST|BHX|EWR|GLA|
GLA|EBB,|EBB|KGL|BRU|EWR|GLA|
GLA|YLW,|YLW|YYZ|EWR|GLA|
GLA|YYT,|YYT|EWR|GLA|
GLA|GUA,|GUA|EWR|GLA|
GLA|EWR,|EWR|GLA|
GLA|IAD,|IAD|EWR|GLA|
GLA|IAH,|IAH|EWR|GLA|
GLA|ORD,|ORD|EWR|GLA|
GLA|SOF,|SOF|MUC|EWR|GLA|
GLA|YQB,|YQB|EWR|GLA|
GLA|YXU,|YXU|YYZ|EWR|GLA|
GLA|EZE,|EZE|GRU|EWR|GLA|
GLA|YYJ,|YYJ|YYZ|EWR|GLA|
GLA|YYY,|YYY|YUL|EWR|GLA|
GLA|YQQ,|YQQ|YYC|EWR|GLA|
GLA|YYR,|YYR|YHZ|EWR|GLA|
GLA|LHR,|LHR|EWR|GLA|
GLA|SFO,|SFO|EWR|GLA|
GLA|YQU,|YQU|YEG|EWR|GLA|
GLA|YZF,|YZF|YEG|EWR|GLA|
GLA|YGR,|YGR|YGP|YQB|EWR|GLA|
GLA|YGP,|YGP|YQB|EWR|GLA|
GLA|BOS,|BOS|EWR|GLA|
GLA|YDF,|YDF|YHZ|EWR|GLA|
GLA|YFC,|YFC|YUL|EWR|GLA|
GLA|YQM,|YQM|EWR|GLA|
GLA|YQX,|YQX|YHZ|EWR|GLA|
GLA|YQY,|YQY|YHZ|EWR|GLA|
GLA|YSJ,|YSJ|YUL|EWR|GLA|
GLA|YYG,|YYG|YHZ|EWR|GLA|
GLA|LAX,|LAX|EWR|GLA|
GLA|DCA,|DCA|EWR|GLA|
GLA|LGA,|LGA|IAD|EWR|GLA|
GLA|YZV,|YZV|YQB|EWR|GLA|
GLA|YWL,|YWL|YVR|EWR|GLA|
