GND|BRU,|BRU|YUL|YYZ|GND|
GND|OUA,|OUA|BRU|YUL|YYZ|GND|
GND|JED,|JED|FRA|YYZ|GND|
GND|CPH,|CPH|YYZ|GND|
GND|YYZ,|YYZ|GND|
GND|DEN,|DEN|YYZ|GND|
GND|YUL,|YUL|YYZ|GND|
GND|NBO,|NBO|ZRH|YYZ|GND|
GND|ICN,|ICN|PEK|YYZ|GND|
GND|NRT,|NRT|YYZ|GND|
GND|YHZ,|YHZ|YYZ|GND|
GND|YOW,|YOW|YYZ|GND|
GND|BJM,|BJM|BRU|YUL|YYZ|GND|
GND|COO,|COO|BRU|YUL|YYZ|GND|
GND|DKR,|DKR|IAD|YYZ|GND|
GND|DLA,|DLA|BRU|YUL|YYZ|GND|
GND|KGL,|KGL|BRU|YUL|YYZ|GND|
GND|LAD,|LAD|BRU|YUL|YYZ|GND|
GND|ABJ,|ABJ|BRU|YUL|YYZ|GND|
GND|AMS,|AMS|EWR|YYZ|GND|
GND|OSL,|OSL|EWR|YYZ|GND|
GND|VNO,|VNO|CPH|YYZ|GND|
GND|WAW,|WAW|YYZ|GND|
GND|YYC,|YYC|YYZ|GND|
GND|ATL,|ATL|YYZ|GND|
GND|MSY,|MSY|YYZ|GND|
GND|YEG,|YEG|YYZ|GND|
GND|YMM,|YMM|YYZ|GND|
GND|YQR,|YQR|YYZ|GND|
GND|YVR,|YVR|YYZ|GND|
GND|YWG,|YWG|YYZ|GND|
GND|YXE,|YXE|YYZ|GND|
GND|CKY,|CKY|DKR|IAD|YYZ|GND|
GND|FIH,|FIH|DLA|BRU|YUL|YYZ|GND|
GND|SCL,|SCL|YYZ|GND|
GND|LCA,|LCA|FRA|YYZ|GND|
GND|NAP,|NAP|FRA|YYZ|GND|
GND|VLC,|VLC|FRA|YYZ|GND|
GND|BKK,|BKK|CGO|PEK|YYZ|GND|
GND|ADD,|ADD|JED|FRA|YYZ|GND|
GND|FRA,|FRA|YYZ|GND|
GND|IST,|IST|YYZ|GND|
GND|EBB,|EBB|KGL|BRU|YUL|YYZ|GND|
GND|YLW,|YLW|YYZ|GND|
GND|YYT,|YYT|YYZ|GND|
GND|GUA,|GUA|IAD|YYZ|GND|
GND|EWR,|EWR|YYZ|GND|
GND|IAD,|IAD|YYZ|GND|
GND|IAH,|IAH|YYZ|GND|
GND|ORD,|ORD|YYZ|GND|
GND|SOF,|SOF|MUC|YYZ|GND|
GND|YQB,|YQB|YYZ|GND|
GND|YXU,|YXU|YYZ|GND|
GND|EZE,|EZE|SCL|YYZ|GND|
GND|YYJ,|YYJ|YYZ|GND|
