GRU|BRU,|BRU|IST|GRU|
GRU|OUA,|OUA|NIM|IST|GRU|
GRU|JED,|JED|IST|GRU|
GRU|CPH,|CPH|IST|GRU|
GRU|YYZ,|YYZ|GRU|
GRU|DEN,|DEN|IAH|GRU|
GRU|YUL,|YUL|EWR|GRU|
GRU|NBO,|NBO|IST|GRU|
GRU|ICN,|ICN|IST|GRU|
GRU|NRT,|NRT|YYZ|GRU|
GRU|YHZ,|YHZ|EWR|GRU|
GRU|YOW,|YOW|EWR|GRU|
GRU|BJM,|BJM|BRU|IST|GRU|
GRU|COO,|COO|BRU|IST|GRU|
GRU|DKR,|DKR|IAD|GRU|
GRU|DLA,|DLA|IST|GRU|
GRU|KGL,|KGL|IST|GRU|
GRU|LAD,|LAD|BRU|IST|GRU|
GRU|ABJ,|ABJ|OUA|NIM|IST|GRU|
GRU|AMS,|AMS|IST|GRU|
GRU|OSL,|OSL|IST|GRU|
GRU|VNO,|VNO|IST|GRU|
GRU|WAW,|WAW|IST|GRU|
GRU|YYC,|YYC|ORD|GRU|
GRU|ATL,|ATL|IAD|GRU|
GRU|MSY,|MSY|IAH|GRU|
GRU|YEG,|YEG|ORD|GRU|
GRU|YMM,|YMM|YYZ|GRU|
GRU|YQR,|YQR|ORD|GRU|
GRU|YVR,|YVR|IAH|GRU|
GRU|YWG,|YWG|ORD|GRU|
GRU|YXE,|YXE|ORD|GRU|
GRU|CKY,|CKY|DKR|IAD|GRU|
GRU|FIH,|FIH|IST|GRU|
GRU|SCL,|SCL|EZE|GRU|
GRU|LCA,|LCA|FRA|IST|GRU|
GRU|NAP,|NAP|IST|GRU|
GRU|VLC,|VLC|IST|GRU|
GRU|BKK,|BKK|IST|GRU|
GRU|ADD,|ADD|IST|GRU|
GRU|FRA,|FRA|IST|GRU|
GRU|IST,|IST|GRU|
GRU|EBB,|EBB|KGL|IST|GRU|
GRU|YLW,|YLW|YYC|ORD|GRU|
GRU|YYT,|YYT|EWR|GRU|
GRU|GUA,|GUA|IAH|GRU|
GRU|EWR,|EWR|GRU|
GRU|IAD,|IAD|GRU|
GRU|IAH,|IAH|GRU|
GRU|ORD,|ORD|GRU|
GRU|SOF,|SOF|IST|GRU|
GRU|YQB,|YQB|EWR|GRU|
GRU|YXU,|YXU|YYZ|GRU|
GRU|EZE,|EZE|GRU|
GRU|YYJ,|YYJ|YVR|IAH|GRU|
GRU|YYY,|YYY|YUL|EWR|GRU|
GRU|YQQ,|YQQ|YBL|YVR|IAH|GRU|
GRU|YYR,|YYR|YHZ|EWR|GRU|
GRU|LHR,|LHR|IST|GRU|
GRU|SFO,|SFO|IAH|GRU|
GRU|YQU,|YQU|YEG|ORD|GRU|
GRU|YZF,|YZF|YEG|ORD|GRU|
GRU|YGR,|YGR|YGP|YQB|EWR|GRU|
GRU|YGP,|YGP|YQB|EWR|GRU|
GRU|BOS,|BOS|EWR|GRU|
GRU|YDF,|YDF|YHZ|EWR|GRU|
GRU|YFC,|YFC|YUL|EWR|GRU|
GRU|YQM,|YQM|EWR|GRU|
GRU|YQX,|YQX|YHZ|EWR|GRU|
GRU|YQY,|YQY|YHZ|EWR|GRU|
GRU|YSJ,|YSJ|YUL|EWR|GRU|
GRU|YYG,|YYG|YHZ|EWR|GRU|
GRU|LAX,|LAX|IAH|GRU|
GRU|DCA,|DCA|EWR|GRU|
GRU|LGA,|LGA|IAD|GRU|
GRU|YZV,|YZV|YQB|EWR|GRU|
GRU|YWL,|YWL|YVR|IAH|GRU|
GRU|AZS,|AZS|YYZ|GRU|
GRU|BDL,|BDL|IAD|GRU|
GRU|CCC,|CCC|YYZ|GRU|
GRU|CDG,|CDG|IST|GRU|
GRU|CUN,|CUN|IAH|GRU|
GRU|CZM,|CZM|IAH|GRU|
GRU|FDF,|FDF|YUL|EWR|GRU|
GRU|FLL,|FLL|IAD|GRU|
GRU|GVA,|GVA|IST|GRU|
GRU|HOG,|HOG|YYZ|GRU|
GRU|LAS,|LAS|IAH|GRU|
GRU|MBJ,|MBJ|IAD|GRU|
GRU|MCO,|MCO|IAD|GRU|
GRU|MUC,|MUC|IST|GRU|
GRU|PAP,|PAP|YUL|EWR|GRU|
GRU|PTP,|PTP|YUL|EWR|GRU|
GRU|PUJ,|PUJ|IAD|GRU|
GRU|SNU,|SNU|YYZ|GRU|
GRU|VRA,|VRA|YYZ|GRU|
GRU|YBC,|YBC|YUL|EWR|GRU|
GRU|YBG,|YBG|YUL|EWR|GRU|
GRU|YTZ,|YTZ|YUL|EWR|GRU|
GRU|YUY,|YUY|YUL|EWR|GRU|
GRU|YVO,|YVO|YUL|EWR|GRU|
GRU|ZBF,|ZBF|YUL|EWR|GRU|
GRU|ZRH,|ZRH|IST|GRU|
GRU|ZSA,|ZSA|YUL|EWR|GRU|
GRU|AKL,|AKL|LAX|IAH|GRU|
GRU|HKG,|HKG|IST|GRU|
GRU|HND,|HND|YVR|IAH|GRU|
GRU|HNL,|HNL|IAH|GRU|
GRU|MEX,|MEX|IAH|GRU|
GRU|OGG,|OGG|LAX|IAH|GRU|
GRU|PDX,|PDX|IAH|GRU|
GRU|PEK,|PEK|IST|GRU|
GRU|PVG,|PVG|IST|GRU|
GRU|PVR,|PVR|IAH|GRU|
GRU|SEA,|SEA|IAH|GRU|
GRU|SYD,|SYD|LAX|IAH|GRU|
GRU|YBL,|YBL|YVR|IAH|GRU|
GRU|YCD,|YCD|YVR|IAH|GRU|
GRU|YCG,|YCG|YYC|ORD|GRU|
GRU|YKA,|YKA|YYC|ORD|GRU|
GRU|YPR,|YPR|YVR|IAH|GRU|
GRU|YQZ,|YQZ|YVR|IAH|GRU|
GRU|YXC,|YXC|YYC|ORD|GRU|
GRU|YXJ,|YXJ|YYC|ORD|GRU|
GRU|YXS,|YXS|YYC|ORD|GRU|
GRU|YXT,|YXT|YVR|IAH|GRU|
GRU|YXY,|YXY|YVR|IAH|GRU|
GRU|YYD,|YYD|YVR|IAH|GRU|
GRU|YYF,|YYF|YVR|IAH|GRU|
GRU|YZP,|YZP|YVR|IAH|GRU|
GRU|YQT,|YQT|YYZ|GRU|
GRU|SJD,|SJD|IAH|GRU|
