GSO|BRU,|BRU|EWR|GSO|
GSO|OUA,|OUA|BRU|EWR|GSO|
GSO|JED,|JED|FRA|EWR|GSO|
GSO|CPH,|CPH|YYZ|IAD|GSO|
GSO|YYZ,|YYZ|IAD|GSO|
GSO|DEN,|DEN|ORD|GSO|
GSO|YUL,|YUL|IAD|GSO|
GSO|NBO,|NBO|ZRH|EWR|GSO|
GSO|ICN,|ICN|JFK|IAD|GSO|
GSO|NRT,|NRT|ORD|GSO|
GSO|YHZ,|YHZ|EWR|GSO|
GSO|YOW,|YOW|IAD|GSO|
GSO|BJM,|BJM|BRU|EWR|GSO|
GSO|COO,|COO|BRU|EWR|GSO|
GSO|DKR,|DKR|IAD|GSO|
GSO|DLA,|DLA|BRU|EWR|GSO|
GSO|KGL,|KGL|BRU|EWR|GSO|
GSO|LAD,|LAD|BRU|EWR|GSO|
GSO|ABJ,|ABJ|BRU|EWR|GSO|
GSO|AMS,|AMS|EWR|GSO|
GSO|OSL,|OSL|EWR|GSO|
GSO|VNO,|VNO|CPH|YYZ|IAD|GSO|
GSO|WAW,|WAW|YYZ|IAD|GSO|
GSO|YYC,|YYC|ORD|GSO|
GSO|ATL,|ATL|IAD|GSO|
GSO|MSY,|MSY|IAD|GSO|
GSO|YEG,|YEG|ORD|GSO|
GSO|YMM,|YMM|YYZ|IAD|GSO|
GSO|YQR,|YQR|ORD|GSO|
GSO|YVR,|YVR|ORD|GSO|
GSO|YWG,|YWG|ORD|GSO|
GSO|YXE,|YXE|ORD|GSO|
GSO|CKY,|CKY|DKR|IAD|GSO|
GSO|FIH,|FIH|DLA|BRU|EWR|GSO|
GSO|SCL,|SCL|YYZ|IAD|GSO|
GSO|LCA,|LCA|FRA|EWR|GSO|
GSO|NAP,|NAP|FRA|EWR|GSO|
GSO|VLC,|VLC|FRA|EWR|GSO|
GSO|BKK,|BKK|CGO|PEK|IAD|GSO|
GSO|ADD,|ADD|JED|FRA|EWR|GSO|
GSO|FRA,|FRA|EWR|GSO|
GSO|IST,|IST|BHX|EWR|GSO|
GSO|EBB,|EBB|KGL|BRU|EWR|GSO|
GSO|YLW,|YLW|YYC|ORD|GSO|
GSO|YYT,|YYT|EWR|GSO|
GSO|GUA,|GUA|IAD|GSO|
GSO|EWR,|EWR|GSO|
GSO|IAD,|IAD|GSO|
GSO|IAH,|IAH|IAD|GSO|
GSO|ORD,|ORD|GSO|
GSO|SOF,|SOF|MUC|EWR|GSO|
GSO|YQB,|YQB|YUL|IAD|GSO|
GSO|YXU,|YXU|YYZ|IAD|GSO|
GSO|EZE,|EZE|GRU|IAD|GSO|
GSO|YYJ,|YYJ|YVR|ORD|GSO|
GSO|YYY,|YYY|YUL|IAD|GSO|
GSO|YQQ,|YQQ|YYC|ORD|GSO|
GSO|YYR,|YYR|YHZ|EWR|GSO|
GSO|LHR,|LHR|EWR|GSO|
GSO|SFO,|SFO|ORD|GSO|
GSO|YQU,|YQU|YEG|ORD|GSO|
GSO|YZF,|YZF|YEG|ORD|GSO|
GSO|YGR,|YGR|YGP|YQB|YUL|IAD|GSO|
GSO|YGP,|YGP|YQB|YUL|IAD|GSO|
GSO|BOS,|BOS|EWR|GSO|
GSO|YDF,|YDF|YHZ|EWR|GSO|
GSO|YFC,|YFC|YUL|IAD|GSO|
GSO|YQM,|YQM|EWR|GSO|
GSO|YQX,|YQX|YHZ|EWR|GSO|
GSO|YQY,|YQY|YHZ|EWR|GSO|
GSO|YSJ,|YSJ|YUL|IAD|GSO|
GSO|YYG,|YYG|YHZ|EWR|GSO|
GSO|LAX,|LAX|ORD|GSO|
GSO|DCA,|DCA|EWR|GSO|
GSO|LGA,|LGA|IAD|GSO|
GSO|YZV,|YZV|YUL|IAD|GSO|
GSO|YWL,|YWL|YVR|ORD|GSO|
GSO|AZS,|AZS|YYZ|IAD|GSO|
GSO|BDL,|BDL|IAD|GSO|
