GTF|BRU,|BRU|ORD|DEN|GTF|
GTF|OUA,|OUA|BRU|ORD|DEN|GTF|
GTF|JED,|JED|FRA|DEN|GTF|
GTF|CPH,|CPH|YYZ|DEN|GTF|
GTF|YYZ,|YYZ|DEN|GTF|
GTF|DEN,|DEN|GTF|
GTF|YUL,|YUL|DEN|GTF|
GTF|NBO,|NBO|ZRH|ORD|DEN|GTF|
GTF|ICN,|ICN|YVR|DEN|GTF|
GTF|NRT,|NRT|DEN|GTF|
GTF|YHZ,|YHZ|YUL|DEN|GTF|
GTF|YOW,|YOW|YYZ|DEN|GTF|
GTF|BJM,|BJM|BRU|ORD|DEN|GTF|
GTF|COO,|COO|BRU|ORD|DEN|GTF|
GTF|DKR,|DKR|IAD|DEN|GTF|
GTF|DLA,|DLA|BRU|ORD|DEN|GTF|
GTF|KGL,|KGL|BRU|ORD|DEN|GTF|
GTF|LAD,|LAD|BRU|ORD|DEN|GTF|
GTF|ABJ,|ABJ|BRU|ORD|DEN|GTF|
GTF|AMS,|AMS|ORD|DEN|GTF|
GTF|OSL,|OSL|EWR|DEN|GTF|
GTF|VNO,|VNO|CPH|YYZ|DEN|GTF|
GTF|WAW,|WAW|YYZ|DEN|GTF|
GTF|YYC,|YYC|DEN|GTF|
GTF|ATL,|ATL|DEN|GTF|
GTF|MSY,|MSY|DEN|GTF|
GTF|YEG,|YEG|DEN|GTF|
GTF|YMM,|YMM|DEN|GTF|
GTF|YQR,|YQR|DEN|GTF|
GTF|YVR,|YVR|DEN|GTF|
GTF|YWG,|YWG|DEN|GTF|
GTF|YXE,|YXE|DEN|GTF|
GTF|CKY,|CKY|DKR|IAD|DEN|GTF|
GTF|FIH,|FIH|DLA|BRU|ORD|DEN|GTF|
GTF|SCL,|SCL|EZE|IAH|DEN|GTF|
GTF|LCA,|LCA|FRA|DEN|GTF|
GTF|NAP,|NAP|FRA|DEN|GTF|
GTF|VLC,|VLC|FRA|DEN|GTF|
GTF|BKK,|BKK|CGO|PEK|YVR|DEN|GTF|
GTF|ADD,|ADD|JED|FRA|DEN|GTF|
GTF|FRA,|FRA|DEN|GTF|
GTF|IST,|IST|FRA|DEN|GTF|
GTF|EBB,|EBB|KGL|BRU|ORD|DEN|GTF|
GTF|YLW,|YLW|YYC|DEN|GTF|
GTF|YYT,|YYT|YUL|DEN|GTF|
GTF|GUA,|GUA|IAH|DEN|GTF|
GTF|EWR,|EWR|DEN|GTF|
GTF|IAD,|IAD|DEN|GTF|
GTF|IAH,|IAH|DEN|GTF|
GTF|ORD,|ORD|DEN|GTF|
GTF|SOF,|SOF|MUC|ORD|DEN|GTF|
GTF|YQB,|YQB|YUL|DEN|GTF|
GTF|YXU,|YXU|ORD|DEN|GTF|
GTF|EZE,|EZE|IAH|DEN|GTF|
GTF|YYJ,|YYJ|YVR|DEN|GTF|
GTF|YYY,|YYY|YUL|DEN|GTF|
GTF|YQQ,|YQQ|YBL|YVR|DEN|GTF|
GTF|YYR,|YYR|YWK|YZV|YUL|DEN|GTF|
