GUA|BRU,|BRU|EWR|GUA|
GUA|OUA,|OUA|BRU|EWR|GUA|
GUA|JED,|JED|FRA|MIA|GUA|
GUA|CPH,|CPH|AMS|EWR|GUA|
GUA|YYZ,|YYZ|IAD|GUA|
GUA|DEN,|DEN|IAH|GUA|
GUA|YUL,|YUL|IAD|GUA|
GUA|NBO,|NBO|ZRH|MIA|GUA|
GUA|ICN,|ICN|YVR|IAH|GUA|
GUA|NRT,|NRT|IAH|GUA|
GUA|YHZ,|YHZ|EWR|GUA|
GUA|YOW,|YOW|IAD|GUA|
GUA|BJM,|BJM|BRU|EWR|GUA|
GUA|COO,|COO|BRU|EWR|GUA|
GUA|DKR,|DKR|IAD|GUA|
GUA|DLA,|DLA|BRU|EWR|GUA|
GUA|KGL,|KGL|BRU|EWR|GUA|
GUA|LAD,|LAD|BRU|EWR|GUA|
GUA|ABJ,|ABJ|BRU|EWR|GUA|
GUA|AMS,|AMS|EWR|GUA|
GUA|OSL,|OSL|EWR|GUA|
GUA|VNO,|VNO|CPH|AMS|EWR|GUA|
GUA|WAW,|WAW|CPH|AMS|EWR|GUA|
GUA|YYC,|YYC|IAH|GUA|
GUA|ATL,|ATL|IAH|GUA|
GUA|MSY,|MSY|IAH|GUA|
GUA|YEG,|YEG|IAH|GUA|
GUA|YMM,|YMM|DEN|IAH|GUA|
GUA|YQR,|YQR|DEN|IAH|GUA|
GUA|YVR,|YVR|IAH|GUA|
GUA|YWG,|YWG|ORD|IAH|GUA|
GUA|YXE,|YXE|DEN|IAH|GUA|
GUA|CKY,|CKY|DKR|IAD|GUA|
GUA|FIH,|FIH|DLA|BRU|EWR|GUA|
GUA|SCL,|SCL|EZE|IAH|GUA|
GUA|LCA,|LCA|FRA|MIA|GUA|
GUA|NAP,|NAP|FRA|MIA|GUA|
GUA|VLC,|VLC|FRA|MIA|GUA|
GUA|BKK,|BKK|CGO|PEK|IAH|GUA|
GUA|ADD,|ADD|IST|ZRH|MIA|GUA|
GUA|FRA,|FRA|MIA|GUA|
GUA|IST,|IST|ZRH|MIA|GUA|
GUA|EBB,|EBB|KGL|BRU|EWR|GUA|
GUA|YLW,|YLW|YYC|IAH|GUA|
GUA|YYT,|YYT|EWR|GUA|
GUA|EWR,|EWR|GUA|
GUA|IAD,|IAD|GUA|
GUA|IAH,|IAH|GUA|
GUA|ORD,|ORD|IAH|GUA|
GUA|SOF,|SOF|MUC|EWR|GUA|
GUA|YQB,|YQB|YUL|IAD|GUA|
GUA|YXU,|YXU|YYZ|IAD|GUA|
GUA|EZE,|EZE|IAH|GUA|
GUA|YYJ,|YYJ|YVR|IAH|GUA|
GUA|YYY,|YYY|YUL|IAD|GUA|
GUA|YQQ,|YQQ|YBL|YVR|IAH|GUA|
GUA|YYR,|YYR|YHZ|EWR|GUA|
GUA|LHR,|LHR|EWR|GUA|
GUA|SFO,|SFO|IAH|GUA|
GUA|YQU,|YQU|YYC|IAH|GUA|
GUA|YZF,|YZF|YEG|IAH|GUA|
GUA|YGR,|YGR|YGP|YQB|YUL|IAD|GUA|
GUA|YGP,|YGP|YQB|YUL|IAD|GUA|
GUA|BOS,|BOS|EWR|GUA|
GUA|YDF,|YDF|YHZ|EWR|GUA|
GUA|YFC,|YFC|YUL|IAD|GUA|
GUA|YQM,|YQM|EWR|GUA|
GUA|YQX,|YQX|YHZ|EWR|GUA|
GUA|YQY,|YQY|YHZ|EWR|GUA|
GUA|YSJ,|YSJ|YUL|IAD|GUA|
GUA|YYG,|YYG|YHZ|EWR|GUA|
GUA|LAX,|LAX|IAH|GUA|
GUA|DCA,|DCA|EWR|GUA|
GUA|LGA,|LGA|IAD|GUA|
GUA|YZV,|YZV|YUL|IAD|GUA|
GUA|YWL,|YWL|YVR|IAH|GUA|
GUA|AZS,|AZS|YYZ|IAD|GUA|
GUA|BDL,|BDL|IAD|GUA|
GUA|CCC,|CCC|YYZ|IAD|GUA|
GUA|CDG,|CDG|EWR|GUA|
GUA|CUN,|CUN|IAH|GUA|
GUA|CZM,|CZM|IAH|GUA|
GUA|FDF,|FDF|YUL|IAD|GUA|
GUA|FLL,|FLL|IAH|GUA|
GUA|GVA,|GVA|EWR|GUA|
GUA|HOG,|HOG|YYZ|IAD|GUA|
GUA|LAS,|LAS|IAH|GUA|
GUA|MBJ,|MBJ|IAH|GUA|
GUA|MCO,|MCO|IAH|GUA|
GUA|MUC,|MUC|EWR|GUA|
GUA|PAP,|PAP|YUL|IAD|GUA|
GUA|PTP,|PTP|YUL|IAD|GUA|
GUA|PUJ,|PUJ|ATL|IAH|GUA|
GUA|SNU,|SNU|YYZ|IAD|GUA|
GUA|VRA,|VRA|YYZ|IAD|GUA|
GUA|YBC,|YBC|YUL|IAD|GUA|
GUA|YBG,|YBG|YUL|IAD|GUA|
GUA|YTZ,|YTZ|YUL|IAD|GUA|
GUA|YUY,|YUY|YUL|IAD|GUA|
GUA|YVO,|YVO|YUL|IAD|GUA|
GUA|ZBF,|ZBF|YUL|IAD|GUA|
GUA|ZRH,|ZRH|MIA|GUA|
GUA|ZSA,|ZSA|YUL|IAD|GUA|
GUA|AKL,|AKL|LAX|IAH|GUA|
GUA|HKG,|HKG|YVR|IAH|GUA|
GUA|HND,|HND|YVR|IAH|GUA|
GUA|HNL,|HNL|IAH|GUA|
GUA|MEX,|MEX|IAH|GUA|
GUA|OGG,|OGG|LAX|IAH|GUA|
GUA|PDX,|PDX|IAH|GUA|
GUA|PEK,|PEK|IAH|GUA|
GUA|PVG,|PVG|YVR|IAH|GUA|
GUA|PVR,|PVR|IAH|GUA|
GUA|SEA,|SEA|IAH|GUA|
GUA|SYD,|SYD|LAX|IAH|GUA|
GUA|YBL,|YBL|YVR|IAH|GUA|
GUA|YCD,|YCD|YVR|IAH|GUA|
GUA|YCG,|YCG|YYC|IAH|GUA|
GUA|YKA,|YKA|YYC|IAH|GUA|
GUA|YPR,|YPR|YVR|IAH|GUA|
GUA|YQZ,|YQZ|YVR|IAH|GUA|
GUA|YXC,|YXC|YYC|IAH|GUA|
GUA|YXJ,|YXJ|YYC|IAH|GUA|
GUA|YXS,|YXS|YYC|IAH|GUA|
GUA|YXT,|YXT|YVR|IAH|GUA|
GUA|YXY,|YXY|YVR|IAH|GUA|
GUA|YYD,|YYD|YVR|IAH|GUA|
GUA|YYF,|YYF|YVR|IAH|GUA|
