GZP|BRU,|BRU|SAW|ESB|GZP|
GZP|OUA,|OUA|NIM|IST|ESB|GZP|
GZP|JED,|JED|IST|ESB|GZP|
GZP|CPH,|CPH|IST|ESB|GZP|
GZP|YYZ,|YYZ|VIE|ESB|GZP|
GZP|DEN,|DEN|FRA|ESB|GZP|
GZP|YUL,|YUL|FRA|ESB|GZP|
GZP|NBO,|NBO|IST|ESB|GZP|
GZP|ICN,|ICN|IST|ESB|GZP|
GZP|NRT,|NRT|IST|ESB|GZP|
GZP|YHZ,|YHZ|LHR|IST|ESB|GZP|
GZP|YOW,|YOW|FRA|ESB|GZP|
GZP|BJM,|BJM|BRU|SAW|ESB|GZP|
GZP|COO,|COO|BRU|SAW|ESB|GZP|
GZP|DKR,|DKR|BRU|SAW|ESB|GZP|
GZP|DLA,|DLA|IST|ESB|GZP|
GZP|KGL,|KGL|IST|ESB|GZP|
GZP|LAD,|LAD|BRU|SAW|ESB|GZP|
GZP|ABJ,|ABJ|OUA|NIM|IST|ESB|GZP|
GZP|AMS,|AMS|SAW|ESB|GZP|
GZP|OSL,|OSL|IST|ESB|GZP|
GZP|VNO,|VNO|IST|ESB|GZP|
GZP|WAW,|WAW|IST|ESB|GZP|
GZP|YYC,|YYC|FRA|ESB|GZP|
GZP|ATL,|ATL|IAD|VIE|ESB|GZP|
GZP|MSY,|MSY|IAD|VIE|ESB|GZP|
GZP|YEG,|YEG|LHR|IST|ESB|GZP|
GZP|YMM,|YMM|YEG|LHR|IST|ESB|GZP|
GZP|YQR,|YQR|YEG|LHR|IST|ESB|GZP|
GZP|YVR,|YVR|FRA|ESB|GZP|
GZP|YWG,|YWG|YUL|FRA|ESB|GZP|
GZP|YXE,|YXE|YEG|LHR|IST|ESB|GZP|
GZP|CKY,|CKY|DKR|BRU|SAW|ESB|GZP|
GZP|FIH,|FIH|IST|ESB|GZP|
GZP|SCL,|SCL|EZE|GRU|IST|ESB|GZP|
GZP|LCA,|LCA|FRA|ESB|GZP|
GZP|NAP,|NAP|IST|ESB|GZP|
GZP|VLC,|VLC|IST|ESB|GZP|
GZP|BKK,|BKK|IST|ESB|GZP|
GZP|ADD,|ADD|IST|ESB|GZP|
GZP|FRA,|FRA|ESB|GZP|
GZP|IST,|IST|ESB|GZP|
GZP|EBB,|EBB|KGL|IST|ESB|GZP|
GZP|YLW,|YLW|YYC|FRA|ESB|GZP|
GZP|YYT,|YYT|LHR|IST|ESB|GZP|
GZP|GUA,|GUA|MIA|FRA|ESB|GZP|
GZP|EWR,|EWR|FRA|ESB|GZP|
GZP|IAD,|IAD|VIE|ESB|GZP|
GZP|IAH,|IAH|YYZ|VIE|ESB|GZP|
GZP|ORD,|ORD|VIE|ESB|GZP|
GZP|SOF,|SOF|IST|ESB|GZP|
GZP|YQB,|YQB|YUL|FRA|ESB|GZP|
GZP|YXU,|YXU|YYZ|VIE|ESB|GZP|
GZP|EZE,|EZE|GRU|IST|ESB|GZP|
