GZT|BRU,|BRU|SAW|GZT|
GZT|OUA,|OUA|NIM|IST|GZT|
GZT|JED,|JED|IST|GZT|
GZT|CPH,|CPH|IST|GZT|
GZT|YYZ,|YYZ|VIE|ESB|GZT|
GZT|DEN,|DEN|FRA|ESB|GZT|
GZT|YUL,|YUL|FRA|ESB|GZT|
GZT|NBO,|NBO|IST|GZT|
GZT|ICN,|ICN|IST|GZT|
GZT|NRT,|NRT|IST|GZT|
GZT|YHZ,|YHZ|LHR|IST|GZT|
GZT|YOW,|YOW|FRA|ESB|GZT|
GZT|BJM,|BJM|BRU|SAW|GZT|
GZT|COO,|COO|BRU|SAW|GZT|
GZT|DKR,|DKR|BRU|SAW|GZT|
GZT|DLA,|DLA|IST|GZT|
GZT|KGL,|KGL|IST|GZT|
GZT|LAD,|LAD|BRU|SAW|GZT|
GZT|ABJ,|ABJ|OUA|NIM|IST|GZT|
GZT|AMS,|AMS|SAW|GZT|
GZT|OSL,|OSL|IST|GZT|
GZT|VNO,|VNO|IST|GZT|
GZT|WAW,|WAW|IST|GZT|
GZT|YYC,|YYC|FRA|ESB|GZT|
GZT|ATL,|ATL|IAD|VIE|ESB|GZT|
GZT|MSY,|MSY|IAD|VIE|ESB|GZT|
GZT|YEG,|YEG|LHR|IST|GZT|
GZT|YMM,|YMM|YEG|LHR|IST|GZT|
GZT|YQR,|YQR|YEG|LHR|IST|GZT|
GZT|YVR,|YVR|MUC|SAW|GZT|
GZT|YWG,|YWG|YUL|FRA|ESB|GZT|
GZT|YXE,|YXE|YEG|LHR|IST|GZT|
GZT|CKY,|CKY|DKR|BRU|SAW|GZT|
GZT|FIH,|FIH|IST|GZT|
GZT|SCL,|SCL|EZE|GRU|IST|GZT|
GZT|LCA,|LCA|FRA|ESB|GZT|
GZT|NAP,|NAP|IST|GZT|
GZT|VLC,|VLC|IST|GZT|
GZT|BKK,|BKK|IST|GZT|
GZT|ADD,|ADD|IST|GZT|
GZT|FRA,|FRA|ESB|GZT|
GZT|IST,|IST|GZT|
GZT|EBB,|EBB|KGL|IST|GZT|
GZT|YLW,|YLW|YYC|FRA|ESB|GZT|
GZT|YYT,|YYT|LHR|IST|GZT|
GZT|GUA,|GUA|MIA|ZRH|IST|GZT|
GZT|EWR,|EWR|FRA|ESB|GZT|
GZT|IAD,|IAD|VIE|ESB|GZT|
GZT|IAH,|IAH|YYZ|VIE|ESB|GZT|
GZT|ORD,|ORD|VIE|ESB|GZT|
