HAM|BRU,|BRU|IST|HAM|
HAM|OUA,|OUA|NIM|IST|HAM|
HAM|JED,|JED|IST|HAM|
HAM|CPH,|CPH|IST|HAM|
HAM|YYZ,|YYZ|EWR|HAM|
HAM|DEN,|DEN|EWR|HAM|
HAM|YUL,|YUL|EWR|HAM|
HAM|NBO,|NBO|IST|HAM|
HAM|ICN,|ICN|IST|HAM|
HAM|NRT,|NRT|IST|HAM|
HAM|YHZ,|YHZ|EWR|HAM|
HAM|YOW,|YOW|EWR|HAM|
HAM|BJM,|BJM|BRU|IST|HAM|
HAM|COO,|COO|BRU|IST|HAM|
HAM|DKR,|DKR|BRU|IST|HAM|
HAM|DLA,|DLA|IST|HAM|
HAM|KGL,|KGL|IST|HAM|
HAM|LAD,|LAD|BRU|IST|HAM|
HAM|ABJ,|ABJ|OUA|NIM|IST|HAM|
HAM|AMS,|AMS|IST|HAM|
HAM|OSL,|OSL|IST|HAM|
HAM|VNO,|VNO|IST|HAM|
HAM|WAW,|WAW|IST|HAM|
HAM|YYC,|YYC|EWR|HAM|
HAM|ATL,|ATL|EWR|HAM|
HAM|MSY,|MSY|EWR|HAM|
HAM|YEG,|YEG|EWR|HAM|
HAM|YMM,|YMM|YYZ|EWR|HAM|
HAM|YQR,|YQR|YYZ|EWR|HAM|
HAM|YVR,|YVR|EWR|HAM|
HAM|YWG,|YWG|YYZ|EWR|HAM|
HAM|YXE,|YXE|YYZ|EWR|HAM|
HAM|CKY,|CKY|DKR|BRU|IST|HAM|
HAM|FIH,|FIH|IST|HAM|
HAM|SCL,|SCL|YYZ|EWR|HAM|
HAM|LCA,|LCA|FRA|IST|HAM|
HAM|NAP,|NAP|IST|HAM|
HAM|VLC,|VLC|IST|HAM|
HAM|BKK,|BKK|IST|HAM|
HAM|ADD,|ADD|IST|HAM|
HAM|FRA,|FRA|IST|HAM|
HAM|IST,|IST|HAM|
HAM|EBB,|EBB|KGL|IST|HAM|
HAM|YLW,|YLW|YYZ|EWR|HAM|
HAM|YYT,|YYT|EWR|HAM|
HAM|GUA,|GUA|EWR|HAM|
HAM|EWR,|EWR|HAM|
HAM|IAD,|IAD|EWR|HAM|
HAM|IAH,|IAH|EWR|HAM|
HAM|ORD,|ORD|EWR|HAM|
HAM|SOF,|SOF|IST|HAM|
HAM|YQB,|YQB|EWR|HAM|
HAM|YXU,|YXU|YYZ|EWR|HAM|
HAM|EZE,|EZE|GRU|IST|HAM|
HAM|YYJ,|YYJ|YYZ|EWR|HAM|
HAM|YYY,|YYY|YUL|EWR|HAM|
HAM|YQQ,|YQQ|YYC|EWR|HAM|
HAM|YYR,|YYR|YHZ|EWR|HAM|
HAM|LHR,|LHR|IST|HAM|
HAM|SFO,|SFO|EWR|HAM|
HAM|YQU,|YQU|YEG|EWR|HAM|
HAM|YZF,|YZF|YEG|EWR|HAM|
HAM|YGR,|YGR|YGP|YQB|EWR|HAM|
HAM|YGP,|YGP|YQB|EWR|HAM|
HAM|BOS,|BOS|EWR|HAM|
HAM|YDF,|YDF|YHZ|EWR|HAM|
HAM|YFC,|YFC|YUL|EWR|HAM|
HAM|YQM,|YQM|EWR|HAM|
HAM|YQX,|YQX|YHZ|EWR|HAM|
HAM|YQY,|YQY|YHZ|EWR|HAM|
HAM|YSJ,|YSJ|YUL|EWR|HAM|
HAM|YYG,|YYG|YHZ|EWR|HAM|
HAM|LAX,|LAX|EWR|HAM|
HAM|DCA,|DCA|EWR|HAM|
HAM|LGA,|LGA|IAD|EWR|HAM|
HAM|YZV,|YZV|YQB|EWR|HAM|
HAM|YWL,|YWL|YVR|EWR|HAM|
HAM|AZS,|AZS|YYZ|EWR|HAM|
HAM|BDL,|BDL|BWI|EWR|HAM|
HAM|CCC,|CCC|YYZ|EWR|HAM|
HAM|CDG,|CDG|IST|HAM|
HAM|CUN,|CUN|EWR|HAM|
HAM|CZM,|CZM|YUL|EWR|HAM|
HAM|FDF,|FDF|YUL|EWR|HAM|
HAM|FLL,|FLL|EWR|HAM|
HAM|GVA,|GVA|IST|HAM|
HAM|HOG,|HOG|YYZ|EWR|HAM|
HAM|LAS,|LAS|EWR|HAM|
HAM|MBJ,|MBJ|EWR|HAM|
HAM|MCO,|MCO|EWR|HAM|
HAM|MUC,|MUC|IST|HAM|
HAM|PAP,|PAP|YUL|EWR|HAM|
HAM|PTP,|PTP|YUL|EWR|HAM|
HAM|PUJ,|PUJ|EWR|HAM|
HAM|SNU,|SNU|YYZ|EWR|HAM|
HAM|VRA,|VRA|YYZ|EWR|HAM|
HAM|YBC,|YBC|YUL|EWR|HAM|
HAM|YBG,|YBG|YUL|EWR|HAM|
HAM|YTZ,|YTZ|YUL|EWR|HAM|
HAM|YUY,|YUY|YUL|EWR|HAM|
HAM|YVO,|YVO|YUL|EWR|HAM|
HAM|ZBF,|ZBF|YUL|EWR|HAM|
HAM|ZRH,|ZRH|IST|HAM|
HAM|ZSA,|ZSA|YUL|EWR|HAM|
HAM|AKL,|AKL|BKK|IST|HAM|
HAM|HKG,|HKG|IST|HAM|
HAM|HND,|HND|YVR|EWR|HAM|
HAM|HNL,|HNL|EWR|HAM|
HAM|MEX,|MEX|EWR|HAM|
HAM|OGG,|OGG|ORD|EWR|HAM|
HAM|PDX,|PDX|EWR|HAM|
HAM|PEK,|PEK|IST|HAM|
HAM|PVG,|PVG|IST|HAM|
HAM|PVR,|PVR|EWR|HAM|
HAM|SEA,|SEA|EWR|HAM|
HAM|SYD,|SYD|BKK|IST|HAM|
HAM|YBL,|YBL|YVR|EWR|HAM|
HAM|YCD,|YCD|YVR|EWR|HAM|
HAM|YCG,|YCG|YYC|EWR|HAM|
HAM|YKA,|YKA|YYC|EWR|HAM|
HAM|YPR,|YPR|YVR|EWR|HAM|
HAM|YQZ,|YQZ|YVR|EWR|HAM|
HAM|YXC,|YXC|YYC|EWR|HAM|
HAM|YXJ,|YXJ|YYC|EWR|HAM|
HAM|YXS,|YXS|YYC|EWR|HAM|
HAM|YXT,|YXT|YVR|EWR|HAM|
HAM|YXY,|YXY|YVR|EWR|HAM|
HAM|YYD,|YYD|YVR|EWR|HAM|
HAM|YYF,|YYF|YVR|EWR|HAM|
HAM|YZP,|YZP|YVR|EWR|HAM|
HAM|YQT,|YQT|YYZ|EWR|HAM|
HAM|SJD,|SJD|EWR|HAM|
HAM|YQF,|YQF|YYC|EWR|HAM|
HAM|YQL,|YQL|YYC|EWR|HAM|
HAM|YXH,|YXH|YYC|EWR|HAM|
HAM|YWK,|YWK|YZV|YQB|EWR|HAM|
HAM|ANU,|ANU|EWR|HAM|
HAM|AUA,|AUA|EWR|HAM|
HAM|AUH,|AUH|IST|HAM|
HAM|BCN,|BCN|IST|HAM|
HAM|BDA,|BDA|EWR|HAM|
HAM|BGI,|BGI|YYZ|EWR|HAM|
HAM|BNA,|BNA|EWR|HAM|
HAM|BOG,|BOG|EWR|HAM|
HAM|BWI,|BWI|EWR|HAM|
HAM|CLE,|CLE|EWR|HAM|
HAM|CLT,|CLT|EWR|HAM|
HAM|CMH,|CMH|EWR|HAM|
HAM|CVG,|CVG|EWR|HAM|
HAM|DFW,|DFW|EWR|HAM|
HAM|DTW,|DTW|EWR|HAM|
HAM|DUB,|DUB|IST|HAM|
HAM|FCO,|FCO|IST|HAM|
HAM|GCM,|GCM|EWR|HAM|
HAM|GGT,|GGT|FLL|EWR|HAM|
HAM|GND,|GND|YYZ|EWR|HAM|
HAM|GRU,|GRU|IST|HAM|
HAM|HAV,|HAV|YYZ|EWR|HAM|
HAM|IND,|IND|EWR|HAM|
HAM|JFK,|JFK|IAD|EWR|HAM|
HAM|KIN,|KIN|YYZ|EWR|HAM|
HAM|LIM,|LIM|EWR|HAM|
HAM|LIR,|LIR|EWR|HAM|
HAM|MCI,|MCI|EWR|HAM|
HAM|MDT,|MDT|IAD|EWR|HAM|
HAM|MIA,|MIA|EWR|HAM|
HAM|MKE,|MKE|EWR|HAM|
HAM|MSP,|MSP|EWR|HAM|
HAM|NAS,|NAS|EWR|HAM|
HAM|PHL,|PHL|IAD|EWR|HAM|
HAM|PHX,|PHX|EWR|HAM|
HAM|PIT,|PIT|EWR|HAM|
HAM|PLS,|PLS|EWR|HAM|
HAM|POP,|POP|EWR|HAM|
HAM|RDU,|RDU|EWR|HAM|
HAM|ROC,|ROC|EWR|HAM|
HAM|RSW,|RSW|EWR|HAM|
HAM|SAN,|SAN|EWR|HAM|
HAM|SJO,|SJO|EWR|HAM|
HAM|STL,|STL|EWR|HAM|
HAM|SYR,|SYR|EWR|HAM|
HAM|TLV,|TLV|IST|HAM|
HAM|TPA,|TPA|EWR|HAM|
HAM|UVF,|UVF|EWR|HAM|
HAM|VIE,|VIE|IST|HAM|
HAM|YAM,|YAM|YYZ|EWR|HAM|
HAM|YGK,|YGK|YYZ|EWR|HAM|
HAM|YQG,|YQG|YYZ|EWR|HAM|
HAM|YSB,|YSB|YYZ|EWR|HAM|
HAM|YTS,|YTS|YYZ|EWR|HAM|
HAM|YYB,|YYB|YYZ|EWR|HAM|
HAM|YZR,|YZR|YYZ|EWR|HAM|
HAM|CAN,|CAN|IST|HAM|
HAM|URC,|URC|IST|HAM|
HAM|CTU,|CTU|URC|IST|HAM|
HAM|HGH,|HGH|URC|IST|HAM|
HAM|XMN,|XMN|CSX|URC|IST|HAM|
HAM|CGO,|CGO|URC|IST|HAM|
HAM|CSX,|CSX|URC|IST|HAM|
HAM|SHE,|SHE|PEK|IST|HAM|
HAM|SJW,|SJW|URC|IST|HAM|
HAM|WUH,|WUH|URC|IST|HAM|
HAM|SZX,|SZX|CKG|URC|IST|HAM|
HAM|CKG,|CKG|URC|IST|HAM|
HAM|KMG,|KMG|CTU|URC|IST|HAM|
HAM|FOC,|FOC|XIY|URC|IST|HAM|
HAM|NNG,|NNG|KWE|URC|IST|HAM|
HAM|SWA,|SWA|CAN|IST|HAM|
HAM|ACX,|ACX|CAN|IST|HAM|
HAM|AQG,|AQG|CAN|IST|HAM|
HAM|AVA,|AVA|CAN|IST|HAM|
HAM|BFJ,|BFJ|CAN|IST|HAM|
HAM|BHY,|BHY|CKG|URC|IST|HAM|
HAM|BNE,|BNE|BKK|IST|HAM|
HAM|CGD,|CGD|PEK|IST|HAM|
HAM|CGK,|CGK|SIN|IST|HAM|
HAM|CGQ,|CGQ|HET|URC|IST|HAM|
HAM|CIH,|CIH|PEK|IST|HAM|
HAM|CNX,|CNX|CAN|IST|HAM|
HAM|CZX,|CZX|TYN|URC|IST|HAM|
HAM|DAC,|DAC|IST|HAM|
HAM|DAD,|DAD|CAN|IST|HAM|
HAM|DEL,|DEL|IST|HAM|
HAM|DIG,|DIG|KMG|CTU|URC|IST|HAM|
HAM|DLC,|DLC|PEK|IST|HAM|
HAM|DPS,|DPS|CAN|IST|HAM|
HAM|DXB,|DXB|IST|HAM|
HAM|DYG,|DYG|CSX|URC|IST|HAM|
HAM|FUG,|FUG|CAN|IST|HAM|
HAM|FUK,|FUK|ICN|IST|HAM|
HAM|HAK,|HAK|CTU|URC|IST|HAM|
HAM|HAN,|HAN|CAN|IST|HAM|
HAM|HDG,|HDG|CAN|IST|HAM|
HAM|HET,|HET|URC|IST|HAM|
HAM|HFE,|HFE|XIY|URC|IST|HAM|
HAM|HJJ,|HJJ|CSX|URC|IST|HAM|
HAM|HKT,|HKT|KWE|URC|IST|HAM|
HAM|HRB,|HRB|PEK|IST|HAM|
HAM|HZH,|HZH|CAN|IST|HAM|
HAM|JIU,|JIU|CAN|IST|HAM|
HAM|JJN,|JJN|CSX|URC|IST|HAM|
HAM|JNG,|JNG|CAN|IST|HAM|
HAM|KHN,|KHN|XIY|URC|IST|HAM|
HAM|KIX,|KIX|IST|HAM|
HAM|KOW,|KOW|CAN|IST|HAM|
HAM|KTM,|KTM|IST|HAM|
HAM|KUL,|KUL|IST|HAM|
HAM|KWE,|KWE|URC|IST|HAM|
HAM|KWL,|KWL|CKG|URC|IST|HAM|
HAM|LHW,|LHW|URC|IST|HAM|
HAM|LYA,|LYA|KHN|XIY|URC|IST|HAM|
HAM|LYG,|LYG|XUZ|INC|URC|IST|HAM|
HAM|LZH,|LZH|CAN|IST|HAM|
HAM|MEL,|MEL|BKK|IST|HAM|
HAM|MIG,|MIG|CSX|URC|IST|HAM|
HAM|MLE,|MLE|IST|HAM|
HAM|MNL,|MNL|CAN|IST|HAM|
HAM|MXZ,|MXZ|CAN|IST|HAM|
HAM|NAO,|NAO|PEK|IST|HAM|
HAM|NGB,|NGB|WUH|URC|IST|HAM|
HAM|NKG,|NKG|URC|IST|HAM|
HAM|NNY,|NNY|CGO|URC|IST|HAM|
HAM|PEN,|PEN|CAN|IST|HAM|
HAM|PER,|PER|BKK|IST|HAM|
HAM|PNH,|PNH|CAN|IST|HAM|
HAM|REP,|REP|CAN|IST|HAM|
HAM|RGN,|RGN|CAN|IST|HAM|
HAM|SGN,|SGN|BKK|IST|HAM|
HAM|SHA,|SHA|URC|IST|HAM|
HAM|SIN,|SIN|IST|HAM|
HAM|SVO,|SVO|URC|IST|HAM|
HAM|SYX,|SYX|CKG|URC|IST|HAM|
HAM|TAO,|TAO|TYN|URC|IST|HAM|
HAM|TEN,|TEN|CAN|IST|HAM|
HAM|TNA,|TNA|URC|IST|HAM|
HAM|TPE,|TPE|URC|IST|HAM|
HAM|TSN,|TSN|HET|URC|IST|HAM|
HAM|TXN,|TXN|TYN|URC|IST|HAM|
HAM|TYN,|TYN|URC|IST|HAM|
HAM|WNZ,|WNZ|XIY|URC|IST|HAM|
HAM|WUX,|WUX|CAN|IST|HAM|
HAM|XFN,|XFN|CAN|IST|HAM|
HAM|XIY,|XIY|URC|IST|HAM|
HAM|XUZ,|XUZ|INC|URC|IST|HAM|
HAM|YIH,|YIH|CKG|URC|IST|HAM|
HAM|YIW,|YIW|URC|IST|HAM|
HAM|YNT,|YNT|SHE|PEK|IST|HAM|
HAM|YNZ,|YNZ|WUH|URC|IST|HAM|
HAM|YTY,|YTY|CGO|URC|IST|HAM|
HAM|ZHA,|ZHA|CAN|IST|HAM|
HAM|ZYI,|ZYI|CAN|IST|HAM|
HAM|BAV,|BAV|URC|IST|HAM|
HAM|CJU,|CJU|DLC|PEK|IST|HAM|
HAM|DSN,|DSN|CGO|URC|IST|HAM|
HAM|HMI,|HMI|URC|IST|HAM|
HAM|INC,|INC|URC|IST|HAM|
HAM|KHH,|KHH|WUH|URC|IST|HAM|
HAM|UYN,|UYN|XIY|URC|IST|HAM|
HAM|XNN,|XNN|URC|IST|HAM|
HAM|ZUH,|ZUH|KWE|URC|IST|HAM|
HAM|YNJ,|YNJ|PEK|IST|HAM|
HAM|DAT,|DAT|TYN|URC|IST|HAM|
HAM|JHG,|JHG|KMG|CTU|URC|IST|HAM|
HAM|LJG,|LJG|KMG|CTU|URC|IST|HAM|
