HDG|BRU,|BRU|DEL|CAN|HDG|
HDG|OUA,|OUA|NIM|IST|CAN|HDG|
HDG|JED,|JED|IST|CAN|HDG|
HDG|CPH,|CPH|AMS|CAN|HDG|
HDG|YYZ,|YYZ|PEK|CAN|HDG|
HDG|DEN,|DEN|YVR|CAN|HDG|
HDG|YUL,|YUL|YYZ|PEK|CAN|HDG|
HDG|NBO,|NBO|CAN|HDG|
HDG|ICN,|ICN|CAN|HDG|
HDG|NRT,|NRT|CAN|HDG|
HDG|YHZ,|YHZ|YYZ|PEK|CAN|HDG|
HDG|YOW,|YOW|YYZ|PEK|CAN|HDG|
HDG|BJM,|BJM|BRU|DEL|CAN|HDG|
HDG|COO,|COO|BRU|DEL|CAN|HDG|
HDG|DKR,|DKR|BRU|DEL|CAN|HDG|
HDG|DLA,|DLA|IST|CAN|HDG|
HDG|KGL,|KGL|IST|CAN|HDG|
HDG|LAD,|LAD|BRU|DEL|CAN|HDG|
HDG|ABJ,|ABJ|OUA|NIM|IST|CAN|HDG|
HDG|AMS,|AMS|CAN|HDG|
HDG|OSL,|OSL|CPH|AMS|CAN|HDG|
HDG|VNO,|VNO|IST|CAN|HDG|
HDG|WAW,|WAW|IST|CAN|HDG|
HDG|YYC,|YYC|YVR|CAN|HDG|
HDG|ATL,|ATL|ORD|PEK|CAN|HDG|
HDG|MSY,|MSY|DEN|YVR|CAN|HDG|
HDG|YEG,|YEG|YVR|CAN|HDG|
HDG|YMM,|YMM|YVR|CAN|HDG|
HDG|YQR,|YQR|YVR|CAN|HDG|
HDG|YVR,|YVR|CAN|HDG|
HDG|YWG,|YWG|YVR|CAN|HDG|
HDG|YXE,|YXE|YVR|CAN|HDG|
HDG|CKY,|CKY|DKR|BRU|DEL|CAN|HDG|
HDG|FIH,|FIH|IST|CAN|HDG|
HDG|SCL,|SCL|YYZ|PEK|CAN|HDG|
HDG|LCA,|LCA|FRA|TSE|URC|CAN|HDG|
HDG|NAP,|NAP|IST|CAN|HDG|
HDG|VLC,|VLC|IST|CAN|HDG|
HDG|BKK,|BKK|CAN|HDG|
HDG|ADD,|ADD|IST|CAN|HDG|
HDG|FRA,|FRA|TSE|URC|CAN|HDG|
HDG|IST,|IST|CAN|HDG|
HDG|EBB,|EBB|KGL|IST|CAN|HDG|
HDG|YLW,|YLW|YVR|CAN|HDG|
HDG|YYT,|YYT|LHR|CAN|HDG|
HDG|GUA,|GUA|IAH|YVR|CAN|HDG|
HDG|EWR,|EWR|PEK|CAN|HDG|
HDG|IAD,|IAD|PEK|CAN|HDG|
HDG|IAH,|IAH|YVR|CAN|HDG|
HDG|ORD,|ORD|PEK|CAN|HDG|
HDG|SOF,|SOF|IST|CAN|HDG|
HDG|YQB,|YQB|YYZ|PEK|CAN|HDG|
HDG|YXU,|YXU|YYZ|PEK|CAN|HDG|
HDG|EZE,|EZE|GRU|IST|CAN|HDG|
HDG|YYJ,|YYJ|YVR|CAN|HDG|
HDG|YYY,|YYY|YUL|YYZ|PEK|CAN|HDG|
HDG|YQQ,|YQQ|YBL|YVR|CAN|HDG|
HDG|YYR,|YYR|YYT|LHR|CAN|HDG|
HDG|LHR,|LHR|CAN|HDG|
HDG|SFO,|SFO|PVG|CAN|HDG|
HDG|YQU,|YQU|YEG|YVR|CAN|HDG|
HDG|YZF,|YZF|YEG|YVR|CAN|HDG|
HDG|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|HDG|
HDG|YGP,|YGP|YQB|YYZ|PEK|CAN|HDG|
HDG|BOS,|BOS|YYZ|PEK|CAN|HDG|
HDG|YDF,|YDF|YYT|LHR|CAN|HDG|
HDG|YFC,|YFC|YYZ|PEK|CAN|HDG|
HDG|YQM,|YQM|YYZ|PEK|CAN|HDG|
HDG|YQX,|YQX|YYT|LHR|CAN|HDG|
HDG|YQY,|YQY|YYZ|PEK|CAN|HDG|
HDG|YSJ,|YSJ|YYZ|PEK|CAN|HDG|
HDG|YYG,|YYG|YYZ|PEK|CAN|HDG|
HDG|LAX,|LAX|CAN|HDG|
HDG|DCA,|DCA|YYZ|PEK|CAN|HDG|
HDG|LGA,|LGA|YYZ|PEK|CAN|HDG|
HDG|YZV,|YZV|YQB|YYZ|PEK|CAN|HDG|
HDG|YWL,|YWL|YVR|CAN|HDG|
HDG|AZS,|AZS|YYZ|PEK|CAN|HDG|
HDG|BDL,|BDL|YYZ|PEK|CAN|HDG|
HDG|CCC,|CCC|YYZ|PEK|CAN|HDG|
HDG|CDG,|CDG|CAN|HDG|
HDG|CUN,|CUN|YVR|CAN|HDG|
HDG|CZM,|CZM|IAH|YVR|CAN|HDG|
HDG|FDF,|FDF|YUL|YYZ|PEK|CAN|HDG|
HDG|FLL,|FLL|ORD|PEK|CAN|HDG|
HDG|GVA,|GVA|IST|CAN|HDG|
HDG|HOG,|HOG|YYZ|PEK|CAN|HDG|
HDG|LAS,|LAS|SFO|PVG|CAN|HDG|
