HDN|BRU,|BRU|ORD|DEN|HDN|
HDN|OUA,|OUA|BRU|ORD|DEN|HDN|
HDN|JED,|JED|FRA|DEN|HDN|
HDN|CPH,|CPH|YYZ|DEN|HDN|
HDN|YYZ,|YYZ|DEN|HDN|
HDN|DEN,|DEN|HDN|
HDN|YUL,|YUL|DEN|HDN|
HDN|NBO,|NBO|ZRH|ORD|DEN|HDN|
HDN|ICN,|ICN|YVR|DEN|HDN|
HDN|NRT,|NRT|DEN|HDN|
HDN|YHZ,|YHZ|YUL|DEN|HDN|
HDN|YOW,|YOW|YYZ|DEN|HDN|
HDN|BJM,|BJM|BRU|ORD|DEN|HDN|
HDN|COO,|COO|BRU|ORD|DEN|HDN|
HDN|DKR,|DKR|IAD|DEN|HDN|
HDN|DLA,|DLA|BRU|ORD|DEN|HDN|
HDN|KGL,|KGL|BRU|ORD|DEN|HDN|
HDN|LAD,|LAD|BRU|ORD|DEN|HDN|
HDN|ABJ,|ABJ|BRU|ORD|DEN|HDN|
HDN|AMS,|AMS|ORD|DEN|HDN|
HDN|OSL,|OSL|EWR|DEN|HDN|
HDN|VNO,|VNO|CPH|YYZ|DEN|HDN|
HDN|WAW,|WAW|YYZ|DEN|HDN|
HDN|YYC,|YYC|DEN|HDN|
HDN|ATL,|ATL|DEN|HDN|
HDN|MSY,|MSY|DEN|HDN|
HDN|YEG,|YEG|DEN|HDN|
HDN|YMM,|YMM|DEN|HDN|
HDN|YQR,|YQR|DEN|HDN|
HDN|YVR,|YVR|DEN|HDN|
HDN|YWG,|YWG|DEN|HDN|
HDN|YXE,|YXE|DEN|HDN|
HDN|CKY,|CKY|DKR|IAD|DEN|HDN|
HDN|FIH,|FIH|DLA|BRU|ORD|DEN|HDN|
HDN|SCL,|SCL|EZE|IAH|DEN|HDN|
HDN|LCA,|LCA|FRA|DEN|HDN|
HDN|NAP,|NAP|FRA|DEN|HDN|
HDN|VLC,|VLC|FRA|DEN|HDN|
HDN|BKK,|BKK|CGO|PEK|YVR|DEN|HDN|
HDN|ADD,|ADD|JED|FRA|DEN|HDN|
HDN|FRA,|FRA|DEN|HDN|
HDN|IST,|IST|FRA|DEN|HDN|
HDN|EBB,|EBB|KGL|BRU|ORD|DEN|HDN|
HDN|YLW,|YLW|YYC|DEN|HDN|
HDN|YYT,|YYT|YUL|DEN|HDN|
HDN|GUA,|GUA|IAH|DEN|HDN|
HDN|EWR,|EWR|DEN|HDN|
HDN|IAD,|IAD|DEN|HDN|
HDN|IAH,|IAH|DEN|HDN|
HDN|ORD,|ORD|DEN|HDN|
HDN|SOF,|SOF|MUC|ORD|DEN|HDN|
HDN|YQB,|YQB|YUL|DEN|HDN|
HDN|YXU,|YXU|ORD|DEN|HDN|
HDN|EZE,|EZE|IAH|DEN|HDN|
HDN|YYJ,|YYJ|YVR|DEN|HDN|
HDN|YYY,|YYY|YUL|DEN|HDN|
HDN|YQQ,|YQQ|YBL|YVR|DEN|HDN|
HDN|YYR,|YYR|YWK|YZV|YUL|DEN|HDN|
HDN|LHR,|LHR|ORD|DEN|HDN|
HDN|SFO,|SFO|DEN|HDN|
