HEK|BRU,|BRU|IST|PEK|HRB|HEK|
HEK|OUA,|OUA|NIM|IST|PEK|HRB|HEK|
HEK|JED,|JED|IST|PEK|HRB|HEK|
HEK|CPH,|CPH|AMS|PEK|HRB|HEK|
HEK|YYZ,|YYZ|PEK|HRB|HEK|
HEK|DEN,|DEN|YVR|ICN|HRB|HEK|
HEK|YUL,|YUL|YYZ|PEK|HRB|HEK|
HEK|NBO,|NBO|CAN|HRB|HEK|
HEK|ICN,|ICN|HRB|HEK|
HEK|NRT,|NRT|ICN|HRB|HEK|
HEK|YHZ,|YHZ|YYZ|PEK|HRB|HEK|
HEK|YOW,|YOW|YYZ|PEK|HRB|HEK|
HEK|BJM,|BJM|BRU|IST|PEK|HRB|HEK|
HEK|COO,|COO|BRU|IST|PEK|HRB|HEK|
HEK|DKR,|DKR|BRU|IST|PEK|HRB|HEK|
HEK|DLA,|DLA|IST|PEK|HRB|HEK|
HEK|KGL,|KGL|IST|PEK|HRB|HEK|
HEK|LAD,|LAD|BRU|IST|PEK|HRB|HEK|
HEK|ABJ,|ABJ|OUA|NIM|IST|PEK|HRB|HEK|
HEK|AMS,|AMS|PEK|HRB|HEK|
HEK|OSL,|OSL|CPH|AMS|PEK|HRB|HEK|
HEK|VNO,|VNO|IST|PEK|HRB|HEK|
HEK|WAW,|WAW|IST|PEK|HRB|HEK|
HEK|YYC,|YYC|YVR|ICN|HRB|HEK|
HEK|ATL,|ATL|ORD|PEK|HRB|HEK|
HEK|MSY,|MSY|DEN|YVR|ICN|HRB|HEK|
HEK|YEG,|YEG|YVR|ICN|HRB|HEK|
HEK|YMM,|YMM|YVR|ICN|HRB|HEK|
HEK|YQR,|YQR|YVR|ICN|HRB|HEK|
HEK|YVR,|YVR|ICN|HRB|HEK|
HEK|YWG,|YWG|YVR|ICN|HRB|HEK|
HEK|YXE,|YXE|YVR|ICN|HRB|HEK|
HEK|CKY,|CKY|DKR|BRU|IST|PEK|HRB|HEK|
HEK|FIH,|FIH|IST|PEK|HRB|HEK|
HEK|SCL,|SCL|YYZ|PEK|HRB|HEK|
HEK|LCA,|LCA|FRA|TSE|URC|PEK|HRB|HEK|
HEK|NAP,|NAP|IST|PEK|HRB|HEK|
HEK|VLC,|VLC|FRA|TSE|URC|PEK|HRB|HEK|
HEK|BKK,|BKK|CGO|HRB|HEK|
HEK|ADD,|ADD|IST|PEK|HRB|HEK|
HEK|FRA,|FRA|TSE|URC|PEK|HRB|HEK|
HEK|IST,|IST|PEK|HRB|HEK|
HEK|EBB,|EBB|KGL|IST|PEK|HRB|HEK|
HEK|YLW,|YLW|YVR|ICN|HRB|HEK|
HEK|YYT,|YYT|YYZ|PEK|HRB|HEK|
HEK|GUA,|GUA|IAH|YVR|ICN|HRB|HEK|
HEK|EWR,|EWR|PEK|HRB|HEK|
HEK|IAD,|IAD|PEK|HRB|HEK|
HEK|IAH,|IAH|YVR|ICN|HRB|HEK|
HEK|ORD,|ORD|PEK|HRB|HEK|
HEK|SOF,|SOF|IST|PEK|HRB|HEK|
HEK|YQB,|YQB|YYZ|PEK|HRB|HEK|
HEK|YXU,|YXU|YYZ|PEK|HRB|HEK|
HEK|EZE,|EZE|GRU|IST|PEK|HRB|HEK|
HEK|YYJ,|YYJ|YVR|ICN|HRB|HEK|
HEK|YYY,|YYY|YUL|YYZ|PEK|HRB|HEK|
HEK|YQQ,|YQQ|YBL|YVR|ICN|HRB|HEK|
HEK|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|HRB|HEK|
HEK|LHR,|LHR|IST|PEK|HRB|HEK|
HEK|SFO,|SFO|ICN|HRB|HEK|
HEK|YQU,|YQU|YEG|YVR|ICN|HRB|HEK|
HEK|YZF,|YZF|YEG|YVR|ICN|HRB|HEK|
HEK|YGR,|YGR|YGP|YQB|YYZ|PEK|HRB|HEK|
HEK|YGP,|YGP|YQB|YYZ|PEK|HRB|HEK|
HEK|BOS,|BOS|YYZ|PEK|HRB|HEK|
HEK|YDF,|YDF|YYZ|PEK|HRB|HEK|
HEK|YFC,|YFC|YYZ|PEK|HRB|HEK|
HEK|YQM,|YQM|YYZ|PEK|HRB|HEK|
HEK|YQX,|YQX|YHZ|YYZ|PEK|HRB|HEK|
HEK|YQY,|YQY|YYZ|PEK|HRB|HEK|
HEK|YSJ,|YSJ|YYZ|PEK|HRB|HEK|
HEK|YYG,|YYG|YYZ|PEK|HRB|HEK|
HEK|LAX,|LAX|ICN|HRB|HEK|
HEK|DCA,|DCA|YYZ|PEK|HRB|HEK|
HEK|LGA,|LGA|YYZ|PEK|HRB|HEK|
HEK|YZV,|YZV|YQB|YYZ|PEK|HRB|HEK|
HEK|YWL,|YWL|YVR|ICN|HRB|HEK|
HEK|AZS,|AZS|YYZ|PEK|HRB|HEK|
HEK|BDL,|BDL|YYZ|PEK|HRB|HEK|
HEK|CCC,|CCC|YYZ|PEK|HRB|HEK|
HEK|CDG,|CDG|IST|PEK|HRB|HEK|
HEK|CUN,|CUN|YVR|ICN|HRB|HEK|
HEK|CZM,|CZM|IAH|YVR|ICN|HRB|HEK|
HEK|FDF,|FDF|YUL|YYZ|PEK|HRB|HEK|
HEK|FLL,|FLL|ORD|PEK|HRB|HEK|
HEK|GVA,|GVA|IST|PEK|HRB|HEK|
HEK|HOG,|HOG|YYZ|PEK|HRB|HEK|
HEK|LAS,|LAS|SFO|ICN|HRB|HEK|
HEK|MBJ,|MBJ|ATL|ORD|PEK|HRB|HEK|
HEK|MCO,|MCO|ORD|PEK|HRB|HEK|
HEK|MUC,|MUC|IST|PEK|HRB|HEK|
