HGH|BRU,|BRU|IST|URC|HGH|
HGH|OUA,|OUA|NIM|IST|URC|HGH|
HGH|JED,|JED|IST|URC|HGH|
HGH|CPH,|CPH|AMS|HGH|
HGH|YYZ,|YYZ|PEK|HGH|
HGH|DEN,|DEN|YVR|ICN|DLC|HGH|
HGH|YUL,|YUL|YYZ|PEK|HGH|
HGH|NBO,|NBO|CAN|HGH|
HGH|ICN,|ICN|DLC|HGH|
HGH|NRT,|NRT|DLC|HGH|
HGH|YHZ,|YHZ|YYZ|PEK|HGH|
HGH|YOW,|YOW|YYZ|PEK|HGH|
HGH|BJM,|BJM|BRU|IST|URC|HGH|
HGH|COO,|COO|BRU|IST|URC|HGH|
HGH|DKR,|DKR|BRU|IST|URC|HGH|
HGH|DLA,|DLA|IST|URC|HGH|
HGH|KGL,|KGL|IST|URC|HGH|
HGH|LAD,|LAD|BRU|IST|URC|HGH|
HGH|ABJ,|ABJ|OUA|NIM|IST|URC|HGH|
HGH|AMS,|AMS|HGH|
HGH|OSL,|OSL|CPH|AMS|HGH|
HGH|VNO,|VNO|IST|URC|HGH|
HGH|WAW,|WAW|IST|URC|HGH|
HGH|YYC,|YYC|YVR|ICN|DLC|HGH|
HGH|ATL,|ATL|ORD|PEK|HGH|
HGH|MSY,|MSY|ORD|PEK|HGH|
HGH|YEG,|YEG|YVR|ICN|DLC|HGH|
HGH|YMM,|YMM|YVR|ICN|DLC|HGH|
HGH|YQR,|YQR|YVR|ICN|DLC|HGH|
HGH|YVR,|YVR|ICN|DLC|HGH|
HGH|YWG,|YWG|YVR|ICN|DLC|HGH|
HGH|YXE,|YXE|YVR|ICN|DLC|HGH|
HGH|CKY,|CKY|DKR|BRU|IST|URC|HGH|
HGH|FIH,|FIH|IST|URC|HGH|
HGH|SCL,|SCL|YYZ|PEK|HGH|
HGH|LCA,|LCA|FRA|TSE|URC|HGH|
HGH|NAP,|NAP|IST|URC|HGH|
HGH|VLC,|VLC|FRA|TSE|URC|HGH|
HGH|BKK,|BKK|CAN|HGH|
HGH|ADD,|ADD|IST|URC|HGH|
HGH|FRA,|FRA|TSE|URC|HGH|
HGH|IST,|IST|URC|HGH|
HGH|EBB,|EBB|KGL|IST|URC|HGH|
HGH|YLW,|YLW|YVR|ICN|DLC|HGH|
HGH|YYT,|YYT|YYZ|PEK|HGH|
HGH|GUA,|GUA|IAH|PEK|HGH|
HGH|EWR,|EWR|PEK|HGH|
HGH|IAD,|IAD|PEK|HGH|
HGH|IAH,|IAH|PEK|HGH|
HGH|ORD,|ORD|PEK|HGH|
HGH|SOF,|SOF|IST|URC|HGH|
HGH|YQB,|YQB|YYZ|PEK|HGH|
HGH|YXU,|YXU|YYZ|PEK|HGH|
HGH|EZE,|EZE|GRU|IST|URC|HGH|
HGH|YYJ,|YYJ|YVR|ICN|DLC|HGH|
HGH|YYY,|YYY|YUL|YYZ|PEK|HGH|
HGH|YQQ,|YQQ|YBL|YVR|ICN|DLC|HGH|
HGH|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|HGH|
HGH|LHR,|LHR|IST|URC|HGH|
HGH|SFO,|SFO|ICN|DLC|HGH|
HGH|YQU,|YQU|YEG|YVR|ICN|DLC|HGH|
HGH|YZF,|YZF|YEG|YVR|ICN|DLC|HGH|
HGH|YGR,|YGR|YGP|YQB|YYZ|PEK|HGH|
HGH|YGP,|YGP|YQB|YYZ|PEK|HGH|
HGH|BOS,|BOS|YYZ|PEK|HGH|
HGH|YDF,|YDF|YYZ|PEK|HGH|
HGH|YFC,|YFC|YYZ|PEK|HGH|
HGH|YQM,|YQM|YYZ|PEK|HGH|
HGH|YQX,|YQX|YHZ|YYZ|PEK|HGH|
HGH|YQY,|YQY|YYZ|PEK|HGH|
HGH|YSJ,|YSJ|YYZ|PEK|HGH|
HGH|YYG,|YYG|YYZ|PEK|HGH|
HGH|LAX,|LAX|ICN|DLC|HGH|
HGH|DCA,|DCA|YYZ|PEK|HGH|
HGH|LGA,|LGA|YYZ|PEK|HGH|
HGH|YZV,|YZV|YQB|YYZ|PEK|HGH|
HGH|YWL,|YWL|YVR|ICN|DLC|HGH|
HGH|AZS,|AZS|YYZ|PEK|HGH|
HGH|BDL,|BDL|YYZ|PEK|HGH|
HGH|CCC,|CCC|YYZ|PEK|HGH|
HGH|CDG,|CDG|IST|URC|HGH|
HGH|CUN,|CUN|IAH|PEK|HGH|
HGH|CZM,|CZM|IAH|PEK|HGH|
HGH|FDF,|FDF|YUL|YYZ|PEK|HGH|
HGH|FLL,|FLL|ORD|PEK|HGH|
HGH|GVA,|GVA|IST|URC|HGH|
HGH|HOG,|HOG|YYZ|PEK|HGH|
