HIJ|BRU,|BRU|IST|ICN|HIJ|
HIJ|OUA,|OUA|NIM|IST|ICN|HIJ|
HIJ|JED,|JED|IST|ICN|HIJ|
HIJ|CPH,|CPH|AMS|PEK|ICN|HIJ|
HIJ|YYZ,|YYZ|PEK|ICN|HIJ|
HIJ|DEN,|DEN|YVR|ICN|HIJ|
HIJ|YUL,|YUL|JFK|ICN|HIJ|
HIJ|NBO,|NBO|CAN|ICN|HIJ|
HIJ|ICN,|ICN|HIJ|
HIJ|NRT,|NRT|ICN|HIJ|
HIJ|YHZ,|YHZ|YUL|JFK|ICN|HIJ|
HIJ|YOW,|YOW|YVR|ICN|HIJ|
HIJ|BJM,|BJM|BRU|IST|ICN|HIJ|
HIJ|COO,|COO|BRU|IST|ICN|HIJ|
HIJ|DKR,|DKR|BRU|IST|ICN|HIJ|
HIJ|DLA,|DLA|IST|ICN|HIJ|
HIJ|KGL,|KGL|IST|ICN|HIJ|
HIJ|LAD,|LAD|BRU|IST|ICN|HIJ|
HIJ|ABJ,|ABJ|OUA|NIM|IST|ICN|HIJ|
HIJ|AMS,|AMS|PEK|ICN|HIJ|
HIJ|OSL,|OSL|CPH|AMS|PEK|ICN|HIJ|
HIJ|VNO,|VNO|IST|ICN|HIJ|
HIJ|WAW,|WAW|IST|ICN|HIJ|
HIJ|YYC,|YYC|YVR|ICN|HIJ|
HIJ|ATL,|ATL|DEN|YVR|ICN|HIJ|
HIJ|MSY,|MSY|DEN|YVR|ICN|HIJ|
HIJ|YEG,|YEG|YVR|ICN|HIJ|
HIJ|YMM,|YMM|YVR|ICN|HIJ|
HIJ|YQR,|YQR|YVR|ICN|HIJ|
HIJ|YVR,|YVR|ICN|HIJ|
HIJ|YWG,|YWG|YVR|ICN|HIJ|
HIJ|YXE,|YXE|YVR|ICN|HIJ|
HIJ|CKY,|CKY|DKR|BRU|IST|ICN|HIJ|
HIJ|FIH,|FIH|IST|ICN|HIJ|
HIJ|SCL,|SCL|YYZ|PEK|ICN|HIJ|
HIJ|LCA,|LCA|FRA|TSE|URC|PEK|ICN|HIJ|
HIJ|NAP,|NAP|IST|ICN|HIJ|
HIJ|VLC,|VLC|IST|ICN|HIJ|
HIJ|BKK,|BKK|ICN|HIJ|
HIJ|ADD,|ADD|IST|ICN|HIJ|
HIJ|FRA,|FRA|TSE|URC|PEK|ICN|HIJ|
HIJ|IST,|IST|ICN|HIJ|
HIJ|EBB,|EBB|KGL|IST|ICN|HIJ|
HIJ|YLW,|YLW|YVR|ICN|HIJ|
HIJ|YYT,|YYT|YUL|JFK|ICN|HIJ|
HIJ|GUA,|GUA|IAH|YVR|ICN|HIJ|
HIJ|EWR,|EWR|IAD|JFK|ICN|HIJ|
HIJ|IAD,|IAD|JFK|ICN|HIJ|
HIJ|IAH,|IAH|YVR|ICN|HIJ|
HIJ|ORD,|ORD|YVR|ICN|HIJ|
HIJ|SOF,|SOF|IST|ICN|HIJ|
HIJ|YQB,|YQB|YUL|JFK|ICN|HIJ|
HIJ|YXU,|YXU|YYC|YVR|ICN|HIJ|
HIJ|EZE,|EZE|IAH|YVR|ICN|HIJ|
HIJ|YYJ,|YYJ|YVR|ICN|HIJ|
HIJ|YYY,|YYY|YUL|JFK|ICN|HIJ|
HIJ|YQQ,|YQQ|YBL|YVR|ICN|HIJ|
HIJ|YYR,|YYR|YWK|YZV|YUL|JFK|ICN|HIJ|
HIJ|LHR,|LHR|IST|ICN|HIJ|
HIJ|SFO,|SFO|ICN|HIJ|
HIJ|YQU,|YQU|YEG|YVR|ICN|HIJ|
HIJ|YZF,|YZF|YEG|YVR|ICN|HIJ|
HIJ|YGR,|YGR|YGP|YQB|YUL|JFK|ICN|HIJ|
HIJ|YGP,|YGP|YQB|YUL|JFK|ICN|HIJ|
HIJ|BOS,|BOS|YUL|JFK|ICN|HIJ|
HIJ|YDF,|YDF|YHZ|YUL|JFK|ICN|HIJ|
HIJ|YFC,|YFC|YUL|JFK|ICN|HIJ|
HIJ|YQM,|YQM|YUL|JFK|ICN|HIJ|
HIJ|YQX,|YQX|YHZ|YUL|JFK|ICN|HIJ|
HIJ|YQY,|YQY|YHZ|YUL|JFK|ICN|HIJ|
HIJ|YSJ,|YSJ|YUL|JFK|ICN|HIJ|
HIJ|YYG,|YYG|YUL|JFK|ICN|HIJ|
HIJ|LAX,|LAX|ICN|HIJ|
HIJ|DCA,|DCA|ORD|YVR|ICN|HIJ|
HIJ|LGA,|LGA|IAD|JFK|ICN|HIJ|
HIJ|YZV,|YZV|YUL|JFK|ICN|HIJ|
HIJ|YWL,|YWL|YVR|ICN|HIJ|
HIJ|AZS,|AZS|YYZ|PEK|ICN|HIJ|
HIJ|BDL,|BDL|IAD|JFK|ICN|HIJ|
HIJ|CCC,|CCC|YYZ|PEK|ICN|HIJ|
HIJ|CDG,|CDG|IST|ICN|HIJ|
HIJ|CUN,|CUN|YVR|ICN|HIJ|
HIJ|CZM,|CZM|IAH|YVR|ICN|HIJ|
HIJ|FDF,|FDF|YUL|JFK|ICN|HIJ|
HIJ|FLL,|FLL|DEN|YVR|ICN|HIJ|
HIJ|GVA,|GVA|IST|ICN|HIJ|
HIJ|HOG,|HOG|YYZ|PEK|ICN|HIJ|
HIJ|LAS,|LAS|SFO|ICN|HIJ|
HIJ|MBJ,|MBJ|IAH|YVR|ICN|HIJ|
HIJ|MCO,|MCO|DEN|YVR|ICN|HIJ|
HIJ|MUC,|MUC|IST|ICN|HIJ|
HIJ|PAP,|PAP|YUL|JFK|ICN|HIJ|
HIJ|PTP,|PTP|YUL|JFK|ICN|HIJ|
HIJ|PUJ,|PUJ|IAD|JFK|ICN|HIJ|
HIJ|SNU,|SNU|YYZ|PEK|ICN|HIJ|
HIJ|VRA,|VRA|YYC|YVR|ICN|HIJ|
HIJ|YBC,|YBC|YUL|JFK|ICN|HIJ|
HIJ|YBG,|YBG|YUL|JFK|ICN|HIJ|
HIJ|YTZ,|YTZ|YUL|JFK|ICN|HIJ|
HIJ|YUY,|YUY|YUL|JFK|ICN|HIJ|
HIJ|YVO,|YVO|YUL|JFK|ICN|HIJ|
HIJ|ZBF,|ZBF|YUL|JFK|ICN|HIJ|
HIJ|ZRH,|ZRH|IST|ICN|HIJ|
HIJ|ZSA,|ZSA|YUL|JFK|ICN|HIJ|
HIJ|AKL,|AKL|CAN|ICN|HIJ|
HIJ|HKG,|HKG|CAN|ICN|HIJ|
HIJ|HND,|HND|HNL|NRT|ICN|HIJ|
HIJ|HNL,|HNL|NRT|ICN|HIJ|
HIJ|MEX,|MEX|SFO|ICN|HIJ|
HIJ|OGG,|OGG|HNL|NRT|ICN|HIJ|
HIJ|PDX,|PDX|SEA|ICN|HIJ|
HIJ|PEK,|PEK|ICN|HIJ|
HIJ|PVG,|PVG|ICN|HIJ|
HIJ|PVR,|PVR|LAX|ICN|HIJ|
HIJ|SEA,|SEA|ICN|HIJ|
HIJ|SYD,|SYD|ICN|HIJ|
HIJ|YBL,|YBL|YVR|ICN|HIJ|
HIJ|YCD,|YCD|YVR|ICN|HIJ|
HIJ|YCG,|YCG|YVR|ICN|HIJ|
HIJ|YKA,|YKA|YVR|ICN|HIJ|
HIJ|YPR,|YPR|YVR|ICN|HIJ|
HIJ|YQZ,|YQZ|YVR|ICN|HIJ|
HIJ|YXC,|YXC|YVR|ICN|HIJ|
HIJ|YXJ,|YXJ|YVR|ICN|HIJ|
HIJ|YXS,|YXS|YVR|ICN|HIJ|
HIJ|YXT,|YXT|YVR|ICN|HIJ|
HIJ|YXY,|YXY|YVR|ICN|HIJ|
HIJ|YYD,|YYD|YVR|ICN|HIJ|
HIJ|YYF,|YYF|YVR|ICN|HIJ|
HIJ|YZP,|YZP|YVR|ICN|HIJ|
HIJ|YQT,|YQT|YWG|YVR|ICN|HIJ|
HIJ|SJD,|SJD|LAX|ICN|HIJ|
HIJ|YQF,|YQF|YYC|YVR|ICN|HIJ|
HIJ|YQL,|YQL|YYC|YVR|ICN|HIJ|
HIJ|YXH,|YXH|YYC|YVR|ICN|HIJ|
HIJ|YWK,|YWK|YZV|YUL|JFK|ICN|HIJ|
HIJ|ANU,|ANU|EWR|IAD|JFK|ICN|HIJ|
HIJ|AUA,|AUA|IAD|JFK|ICN|HIJ|
HIJ|AUH,|AUH|IST|ICN|HIJ|
HIJ|BCN,|BCN|IST|ICN|HIJ|
HIJ|BDA,|BDA|EWR|IAD|JFK|ICN|HIJ|
HIJ|BGI,|BGI|YYZ|PEK|ICN|HIJ|
HIJ|BNA,|BNA|DEN|YVR|ICN|HIJ|
HIJ|BOG,|BOG|IAH|YVR|ICN|HIJ|
HIJ|BWI,|BWI|ORF|IAD|JFK|ICN|HIJ|
HIJ|CLE,|CLE|ORD|YVR|ICN|HIJ|
HIJ|CLT,|CLT|IAD|JFK|ICN|HIJ|
HIJ|CMH,|CMH|ORD|YVR|ICN|HIJ|
HIJ|CVG,|CVG|ORD|YVR|ICN|HIJ|
HIJ|DFW,|DFW|YVR|ICN|HIJ|
HIJ|DTW,|DTW|ORD|YVR|ICN|HIJ|
HIJ|DUB,|DUB|IST|ICN|HIJ|
HIJ|FCO,|FCO|IST|ICN|HIJ|
HIJ|GCM,|GCM|IAH|YVR|ICN|HIJ|
HIJ|GGT,|GGT|FLL|DEN|YVR|ICN|HIJ|
HIJ|GND,|GND|YYZ|PEK|ICN|HIJ|
HIJ|GRU,|GRU|IST|ICN|HIJ|
HIJ|HAV,|HAV|YYZ|PEK|ICN|HIJ|
HIJ|IND,|IND|ORD|YVR|ICN|HIJ|
HIJ|JFK,|JFK|ICN|HIJ|
HIJ|KIN,|KIN|YYZ|PEK|ICN|HIJ|
HIJ|LIM,|LIM|IAH|YVR|ICN|HIJ|
HIJ|LIR,|LIR|IAH|YVR|ICN|HIJ|
HIJ|MCI,|MCI|DEN|YVR|ICN|HIJ|
HIJ|MDT,|MDT|IAD|JFK|ICN|HIJ|
HIJ|MIA,|MIA|DEN|YVR|ICN|HIJ|
HIJ|MKE,|MKE|SEA|ICN|HIJ|
HIJ|MSP,|MSP|DEN|YVR|ICN|HIJ|
HIJ|NAS,|NAS|ATL|DEN|YVR|ICN|HIJ|
HIJ|PHL,|PHL|IAD|JFK|ICN|HIJ|
HIJ|PHX,|PHX|SFO|ICN|HIJ|
HIJ|PIT,|PIT|ORD|YVR|ICN|HIJ|
HIJ|PLS,|PLS|EWR|IAD|JFK|ICN|HIJ|
HIJ|POP,|POP|EWR|IAD|JFK|ICN|HIJ|
HIJ|RDU,|RDU|IAD|JFK|ICN|HIJ|
HIJ|ROC,|ROC|YYZ|PEK|ICN|HIJ|
HIJ|RSW,|RSW|DEN|YVR|ICN|HIJ|
HIJ|SAN,|SAN|LAX|ICN|HIJ|
HIJ|SJO,|SJO|IAH|YVR|ICN|HIJ|
HIJ|STL,|STL|DEN|YVR|ICN|HIJ|
HIJ|SYR,|SYR|YYZ|PEK|ICN|HIJ|
HIJ|TLV,|TLV|IST|ICN|HIJ|
HIJ|TPA,|TPA|DEN|YVR|ICN|HIJ|
HIJ|UVF,|UVF|EWR|IAD|JFK|ICN|HIJ|
HIJ|VIE,|VIE|IST|ICN|HIJ|
HIJ|YAM,|YAM|YYZ|PEK|ICN|HIJ|
HIJ|YGK,|YGK|YYZ|PEK|ICN|HIJ|
HIJ|YQG,|YQG|YYC|YVR|ICN|HIJ|
HIJ|YSB,|YSB|YYZ|PEK|ICN|HIJ|
HIJ|YTS,|YTS|YYZ|PEK|ICN|HIJ|
HIJ|YYB,|YYB|YYZ|PEK|ICN|HIJ|
HIJ|YZR,|YZR|YYZ|PEK|ICN|HIJ|
HIJ|CAN,|CAN|ICN|HIJ|
HIJ|URC,|URC|PEK|ICN|HIJ|
HIJ|CTU,|CTU|CGO|ICN|HIJ|
HIJ|HGH,|HGH|DLC|ICN|HIJ|
HIJ|XMN,|XMN|YNZ|DLC|ICN|HIJ|
HIJ|CGO,|CGO|ICN|HIJ|
HIJ|CSX,|CSX|ICN|HIJ|
HIJ|SHE,|SHE|ICN|HIJ|
HIJ|SJW,|SJW|DLC|ICN|HIJ|
HIJ|WUH,|WUH|ICN|HIJ|
HIJ|SZX,|SZX|PVG|ICN|HIJ|
HIJ|CKG,|CKG|CGO|ICN|HIJ|
HIJ|KMG,|KMG|WUH|ICN|HIJ|
HIJ|FOC,|FOC|HGH|DLC|ICN|HIJ|
HIJ|NNG,|NNG|CSX|ICN|HIJ|
HIJ|SWA,|SWA|WUH|ICN|HIJ|
HIJ|ACX,|ACX|CAN|ICN|HIJ|
HIJ|AQG,|AQG|CAN|ICN|HIJ|
HIJ|AVA,|AVA|CAN|ICN|HIJ|
HIJ|BFJ,|BFJ|CAN|ICN|HIJ|
HIJ|BHY,|BHY|CSX|ICN|HIJ|
HIJ|BNE,|BNE|CAN|ICN|HIJ|
HIJ|CGD,|CGD|PEK|ICN|HIJ|
HIJ|CGK,|CGK|CAN|ICN|HIJ|
HIJ|CGQ,|CGQ|ICN|HIJ|
