HJJ|BRU,|BRU|IST|URC|CSX|HJJ|
HJJ|OUA,|OUA|NIM|IST|URC|CSX|HJJ|
HJJ|JED,|JED|IST|URC|CSX|HJJ|
HJJ|CPH,|CPH|AMS|CTU|CSX|HJJ|
HJJ|YYZ,|YYZ|PEK|CSX|HJJ|
HJJ|DEN,|DEN|YVR|ICN|CSX|HJJ|
HJJ|YUL,|YUL|YYZ|PEK|CSX|HJJ|
HJJ|NBO,|NBO|CAN|HJJ|
HJJ|ICN,|ICN|CSX|HJJ|
HJJ|NRT,|NRT|ICN|CSX|HJJ|
HJJ|YHZ,|YHZ|YYZ|PEK|CSX|HJJ|
HJJ|YOW,|YOW|YYZ|PEK|CSX|HJJ|
HJJ|BJM,|BJM|BRU|IST|URC|CSX|HJJ|
HJJ|COO,|COO|BRU|IST|URC|CSX|HJJ|
HJJ|DKR,|DKR|BRU|IST|URC|CSX|HJJ|
HJJ|DLA,|DLA|IST|URC|CSX|HJJ|
HJJ|KGL,|KGL|IST|URC|CSX|HJJ|
HJJ|LAD,|LAD|BRU|IST|URC|CSX|HJJ|
HJJ|ABJ,|ABJ|OUA|NIM|IST|URC|CSX|HJJ|
HJJ|AMS,|AMS|CTU|CSX|HJJ|
HJJ|OSL,|OSL|CPH|AMS|CTU|CSX|HJJ|
HJJ|VNO,|VNO|IST|URC|CSX|HJJ|
HJJ|WAW,|WAW|IST|URC|CSX|HJJ|
HJJ|YYC,|YYC|YVR|ICN|CSX|HJJ|
HJJ|ATL,|ATL|ORD|PEK|CSX|HJJ|
HJJ|MSY,|MSY|ORD|PEK|CSX|HJJ|
HJJ|YEG,|YEG|YVR|ICN|CSX|HJJ|
HJJ|YMM,|YMM|YVR|ICN|CSX|HJJ|
HJJ|YQR,|YQR|YVR|ICN|CSX|HJJ|
HJJ|YVR,|YVR|ICN|CSX|HJJ|
HJJ|YWG,|YWG|YVR|ICN|CSX|HJJ|
HJJ|YXE,|YXE|YVR|ICN|CSX|HJJ|
HJJ|CKY,|CKY|DKR|BRU|IST|URC|CSX|HJJ|
HJJ|FIH,|FIH|IST|URC|CSX|HJJ|
HJJ|SCL,|SCL|YYZ|PEK|CSX|HJJ|
HJJ|LCA,|LCA|FRA|TSE|URC|CSX|HJJ|
HJJ|NAP,|NAP|IST|URC|CSX|HJJ|
HJJ|VLC,|VLC|FRA|TSE|URC|CSX|HJJ|
HJJ|BKK,|BKK|CAN|HJJ|
HJJ|ADD,|ADD|IST|URC|CSX|HJJ|
HJJ|FRA,|FRA|TSE|URC|CSX|HJJ|
HJJ|IST,|IST|URC|CSX|HJJ|
HJJ|EBB,|EBB|KGL|IST|URC|CSX|HJJ|
HJJ|YLW,|YLW|YVR|ICN|CSX|HJJ|
HJJ|YYT,|YYT|LHR|CAN|HJJ|
HJJ|GUA,|GUA|IAH|PEK|CSX|HJJ|
HJJ|EWR,|EWR|PEK|CSX|HJJ|
HJJ|IAD,|IAD|PEK|CSX|HJJ|
HJJ|IAH,|IAH|PEK|CSX|HJJ|
HJJ|ORD,|ORD|PEK|CSX|HJJ|
HJJ|SOF,|SOF|IST|URC|CSX|HJJ|
HJJ|YQB,|YQB|YYZ|PEK|CSX|HJJ|
HJJ|YXU,|YXU|YYZ|PEK|CSX|HJJ|
HJJ|EZE,|EZE|GRU|IST|URC|CSX|HJJ|
HJJ|YYJ,|YYJ|YVR|ICN|CSX|HJJ|
HJJ|YYY,|YYY|YUL|YYZ|PEK|CSX|HJJ|
HJJ|YQQ,|YQQ|YBL|YVR|ICN|CSX|HJJ|
HJJ|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CSX|HJJ|
HJJ|LHR,|LHR|CAN|HJJ|
HJJ|SFO,|SFO|ICN|CSX|HJJ|
HJJ|YQU,|YQU|YEG|YVR|ICN|CSX|HJJ|
HJJ|YZF,|YZF|YEG|YVR|ICN|CSX|HJJ|
HJJ|YGR,|YGR|YGP|YQB|YYZ|PEK|CSX|HJJ|
HJJ|YGP,|YGP|YQB|YYZ|PEK|CSX|HJJ|
HJJ|BOS,|BOS|YYZ|PEK|CSX|HJJ|
HJJ|YDF,|YDF|YYZ|PEK|CSX|HJJ|
HJJ|YFC,|YFC|YYZ|PEK|CSX|HJJ|
HJJ|YQM,|YQM|YYZ|PEK|CSX|HJJ|
HJJ|YQX,|YQX|YYT|LHR|CAN|HJJ|
HJJ|YQY,|YQY|YYZ|PEK|CSX|HJJ|
HJJ|YSJ,|YSJ|YYZ|PEK|CSX|HJJ|
HJJ|YYG,|YYG|YYZ|PEK|CSX|HJJ|
HJJ|LAX,|LAX|ICN|CSX|HJJ|
HJJ|DCA,|DCA|YYZ|PEK|CSX|HJJ|
HJJ|LGA,|LGA|YYZ|PEK|CSX|HJJ|
HJJ|YZV,|YZV|YQB|YYZ|PEK|CSX|HJJ|
HJJ|YWL,|YWL|YVR|ICN|CSX|HJJ|
HJJ|AZS,|AZS|YYZ|PEK|CSX|HJJ|
HJJ|BDL,|BDL|YYZ|PEK|CSX|HJJ|
HJJ|CCC,|CCC|YYZ|PEK|CSX|HJJ|
HJJ|CDG,|CDG|CAN|HJJ|
HJJ|CUN,|CUN|IAH|PEK|CSX|HJJ|
HJJ|CZM,|CZM|IAH|PEK|CSX|HJJ|
HJJ|FDF,|FDF|YUL|YYZ|PEK|CSX|HJJ|
HJJ|FLL,|FLL|ORD|PEK|CSX|HJJ|
HJJ|GVA,|GVA|IST|URC|CSX|HJJ|
HJJ|HOG,|HOG|YYZ|PEK|CSX|HJJ|
HJJ|LAS,|LAS|SFO|ICN|CSX|HJJ|
HJJ|MBJ,|MBJ|ATL|ORD|PEK|CSX|HJJ|
HJJ|MCO,|MCO|ORD|PEK|CSX|HJJ|
HJJ|MUC,|MUC|IST|URC|CSX|HJJ|
HJJ|PAP,|PAP|YUL|YYZ|PEK|CSX|HJJ|
HJJ|PTP,|PTP|YUL|YYZ|PEK|CSX|HJJ|
HJJ|PUJ,|PUJ|EWR|PEK|CSX|HJJ|
HJJ|SNU,|SNU|YYZ|PEK|CSX|HJJ|
HJJ|VRA,|VRA|YYZ|PEK|CSX|HJJ|
HJJ|YBC,|YBC|YUL|YYZ|PEK|CSX|HJJ|
HJJ|YBG,|YBG|YUL|YYZ|PEK|CSX|HJJ|
HJJ|YTZ,|YTZ|YUL|YYZ|PEK|CSX|HJJ|
HJJ|YUY,|YUY|YUL|YYZ|PEK|CSX|HJJ|
HJJ|YVO,|YVO|YUL|YYZ|PEK|CSX|HJJ|
HJJ|ZBF,|ZBF|YUL|YYZ|PEK|CSX|HJJ|
HJJ|ZRH,|ZRH|IST|URC|CSX|HJJ|
HJJ|ZSA,|ZSA|YUL|YYZ|PEK|CSX|HJJ|
