HKG|BRU,|BRU|IST|HKG|
HKG|OUA,|OUA|NIM|IST|HKG|
HKG|JED,|JED|IST|HKG|
HKG|CPH,|CPH|AMS|CAN|HKG|
HKG|YYZ,|YYZ|HKG|
HKG|DEN,|DEN|YVR|HKG|
HKG|YUL,|YUL|YYZ|HKG|
HKG|NBO,|NBO|CAN|HKG|
HKG|ICN,|ICN|CAN|HKG|
HKG|NRT,|NRT|CAN|HKG|
HKG|YHZ,|YHZ|YYZ|HKG|
HKG|YOW,|YOW|YYZ|HKG|
HKG|BJM,|BJM|BRU|IST|HKG|
HKG|COO,|COO|BRU|IST|HKG|
HKG|DKR,|DKR|BRU|IST|HKG|
HKG|DLA,|DLA|IST|HKG|
HKG|KGL,|KGL|IST|HKG|
HKG|LAD,|LAD|BRU|IST|HKG|
HKG|ABJ,|ABJ|OUA|NIM|IST|HKG|
HKG|AMS,|AMS|CAN|HKG|
HKG|OSL,|OSL|CPH|AMS|CAN|HKG|
HKG|VNO,|VNO|IST|HKG|
HKG|WAW,|WAW|IST|HKG|
HKG|YYC,|YYC|YVR|HKG|
HKG|ATL,|ATL|ORD|HKG|
HKG|MSY,|MSY|DEN|YVR|HKG|
HKG|YEG,|YEG|YVR|HKG|
HKG|YMM,|YMM|YVR|HKG|
HKG|YQR,|YQR|YVR|HKG|
HKG|YVR,|YVR|HKG|
HKG|YWG,|YWG|YVR|HKG|
HKG|YXE,|YXE|YVR|HKG|
HKG|CKY,|CKY|DKR|BRU|IST|HKG|
HKG|FIH,|FIH|IST|HKG|
HKG|SCL,|SCL|YYZ|HKG|
HKG|LCA,|LCA|FRA|TSE|URC|CAN|HKG|
HKG|NAP,|NAP|IST|HKG|
HKG|VLC,|VLC|IST|HKG|
HKG|BKK,|BKK|HKG|
HKG|ADD,|ADD|IST|HKG|
HKG|FRA,|FRA|TSE|URC|CAN|HKG|
HKG|IST,|IST|HKG|
HKG|EBB,|EBB|KGL|IST|HKG|
HKG|YLW,|YLW|YVR|HKG|
HKG|YYT,|YYT|LHR|CAN|HKG|
HKG|GUA,|GUA|IAH|YVR|HKG|
HKG|EWR,|EWR|HKG|
HKG|IAD,|IAD|PEK|HKG|
HKG|IAH,|IAH|YVR|HKG|
HKG|ORD,|ORD|HKG|
HKG|SOF,|SOF|IST|HKG|
