HKT|BRU,|BRU|IST|URC|KWE|HKT|
HKT|OUA,|OUA|NIM|IST|URC|KWE|HKT|
HKT|JED,|JED|IST|URC|KWE|HKT|
HKT|CPH,|CPH|AMS|CTU|KWE|HKT|
HKT|YYZ,|YYZ|PEK|KWE|HKT|
HKT|DEN,|DEN|YVR|PEK|KWE|HKT|
HKT|YUL,|YUL|YYZ|PEK|KWE|HKT|
HKT|NBO,|NBO|CAN|HKT|
HKT|ICN,|ICN|CAN|HKT|
HKT|NRT,|NRT|CAN|HKT|
HKT|YHZ,|YHZ|YYZ|PEK|KWE|HKT|
HKT|YOW,|YOW|YYZ|PEK|KWE|HKT|
HKT|BJM,|BJM|BRU|IST|URC|KWE|HKT|
HKT|COO,|COO|BRU|IST|URC|KWE|HKT|
HKT|DKR,|DKR|BRU|IST|URC|KWE|HKT|
HKT|DLA,|DLA|IST|URC|KWE|HKT|
HKT|KGL,|KGL|IST|URC|KWE|HKT|
HKT|LAD,|LAD|BRU|IST|URC|KWE|HKT|
HKT|ABJ,|ABJ|OUA|NIM|IST|URC|KWE|HKT|
HKT|AMS,|AMS|CTU|KWE|HKT|
HKT|OSL,|OSL|CPH|AMS|CTU|KWE|HKT|
HKT|VNO,|VNO|IST|URC|KWE|HKT|
HKT|WAW,|WAW|IST|URC|KWE|HKT|
HKT|YYC,|YYC|YVR|PEK|KWE|HKT|
HKT|ATL,|ATL|ORD|PEK|KWE|HKT|
HKT|MSY,|MSY|ORD|PEK|KWE|HKT|
HKT|YEG,|YEG|YVR|PEK|KWE|HKT|
HKT|YMM,|YMM|YVR|PEK|KWE|HKT|
HKT|YQR,|YQR|YVR|PEK|KWE|HKT|
HKT|YVR,|YVR|PEK|KWE|HKT|
HKT|YWG,|YWG|YVR|PEK|KWE|HKT|
HKT|YXE,|YXE|YVR|PEK|KWE|HKT|
HKT|CKY,|CKY|DKR|BRU|IST|URC|KWE|HKT|
HKT|FIH,|FIH|IST|URC|KWE|HKT|
HKT|SCL,|SCL|EZE|GRU|IST|URC|KWE|HKT|
HKT|LCA,|LCA|FRA|TSE|URC|KWE|HKT|
HKT|NAP,|NAP|IST|URC|KWE|HKT|
HKT|VLC,|VLC|FRA|TSE|URC|KWE|HKT|
HKT|BKK,|BKK|NNG|KWE|HKT|
HKT|ADD,|ADD|IST|URC|KWE|HKT|
HKT|FRA,|FRA|TSE|URC|KWE|HKT|
HKT|IST,|IST|URC|KWE|HKT|
HKT|EBB,|EBB|KGL|IST|URC|KWE|HKT|
HKT|YLW,|YLW|YVR|PEK|KWE|HKT|
HKT|YYT,|YYT|LHR|CAN|HKT|
HKT|GUA,|GUA|IAH|PEK|KWE|HKT|
HKT|EWR,|EWR|PEK|KWE|HKT|
HKT|IAD,|IAD|PEK|KWE|HKT|
HKT|IAH,|IAH|PEK|KWE|HKT|
HKT|ORD,|ORD|PEK|KWE|HKT|
HKT|SOF,|SOF|IST|URC|KWE|HKT|
HKT|YQB,|YQB|YYZ|PEK|KWE|HKT|
HKT|YXU,|YXU|YYZ|PEK|KWE|HKT|
HKT|EZE,|EZE|GRU|IST|URC|KWE|HKT|
HKT|YYJ,|YYJ|YVR|PEK|KWE|HKT|
HKT|YYY,|YYY|YUL|YYZ|PEK|KWE|HKT|
HKT|YQQ,|YQQ|YBL|YVR|PEK|KWE|HKT|
