HON|BRU,|BRU|ORD|DEN|PIR|HON|
HON|OUA,|OUA|BRU|ORD|DEN|PIR|HON|
HON|JED,|JED|FRA|DEN|PIR|HON|
HON|CPH,|CPH|YYZ|DEN|PIR|HON|
HON|YYZ,|YYZ|DEN|PIR|HON|
HON|DEN,|DEN|PIR|HON|
HON|YUL,|YUL|DEN|PIR|HON|
HON|NBO,|NBO|ZRH|ORD|DEN|PIR|HON|
HON|ICN,|ICN|YVR|DEN|PIR|HON|
HON|NRT,|NRT|DEN|PIR|HON|
HON|YHZ,|YHZ|YUL|DEN|PIR|HON|
HON|YOW,|YOW|YYZ|DEN|PIR|HON|
HON|BJM,|BJM|BRU|ORD|DEN|PIR|HON|
HON|COO,|COO|BRU|ORD|DEN|PIR|HON|
HON|DKR,|DKR|IAD|DEN|PIR|HON|
HON|DLA,|DLA|BRU|ORD|DEN|PIR|HON|
HON|KGL,|KGL|BRU|ORD|DEN|PIR|HON|
HON|LAD,|LAD|BRU|ORD|DEN|PIR|HON|
HON|ABJ,|ABJ|BRU|ORD|DEN|PIR|HON|
HON|AMS,|AMS|ORD|DEN|PIR|HON|
HON|OSL,|OSL|EWR|DEN|PIR|HON|
HON|VNO,|VNO|CPH|YYZ|DEN|PIR|HON|
HON|WAW,|WAW|YYZ|DEN|PIR|HON|
HON|YYC,|YYC|DEN|PIR|HON|
HON|ATL,|ATL|DEN|PIR|HON|
HON|MSY,|MSY|DEN|PIR|HON|
HON|YEG,|YEG|DEN|PIR|HON|
HON|YMM,|YMM|DEN|PIR|HON|
HON|YQR,|YQR|DEN|PIR|HON|
HON|YVR,|YVR|DEN|PIR|HON|
HON|YWG,|YWG|DEN|PIR|HON|
HON|YXE,|YXE|DEN|PIR|HON|
HON|CKY,|CKY|DKR|IAD|DEN|PIR|HON|
HON|FIH,|FIH|DLA|BRU|ORD|DEN|PIR|HON|
HON|SCL,|SCL|EZE|IAH|DEN|PIR|HON|
HON|LCA,|LCA|FRA|DEN|PIR|HON|
HON|NAP,|NAP|FRA|DEN|PIR|HON|
HON|VLC,|VLC|FRA|DEN|PIR|HON|
HON|BKK,|BKK|CGO|PEK|YVR|DEN|PIR|HON|
HON|ADD,|ADD|JED|FRA|DEN|PIR|HON|
HON|FRA,|FRA|DEN|PIR|HON|
HON|IST,|IST|FRA|DEN|PIR|HON|
HON|EBB,|EBB|KGL|BRU|ORD|DEN|PIR|HON|
HON|YLW,|YLW|YYC|DEN|PIR|HON|
HON|YYT,|YYT|YUL|DEN|PIR|HON|
HON|GUA,|GUA|IAH|DEN|PIR|HON|
HON|EWR,|EWR|DEN|PIR|HON|
HON|IAD,|IAD|DEN|PIR|HON|
HON|IAH,|IAH|DEN|PIR|HON|
HON|ORD,|ORD|DEN|PIR|HON|
HON|SOF,|SOF|MUC|ORD|DEN|PIR|HON|
HON|YQB,|YQB|YUL|DEN|PIR|HON|
HON|YXU,|YXU|ORD|DEN|PIR|HON|
HON|EZE,|EZE|IAH|DEN|PIR|HON|
HON|YYJ,|YYJ|YVR|DEN|PIR|HON|
HON|YYY,|YYY|YUL|DEN|PIR|HON|
HON|YQQ,|YQQ|YBL|YVR|DEN|PIR|HON|
HON|YYR,|YYR|YWK|YZV|YUL|DEN|PIR|HON|
HON|LHR,|LHR|ORD|DEN|PIR|HON|
HON|SFO,|SFO|DEN|PIR|HON|
HON|YQU,|YQU|YYC|DEN|PIR|HON|
HON|YZF,|YZF|YEG|DEN|PIR|HON|
HON|YGR,|YGR|YGP|YQB|YUL|DEN|PIR|HON|
HON|YGP,|YGP|YQB|YUL|DEN|PIR|HON|
HON|BOS,|BOS|DEN|PIR|HON|
HON|YDF,|YDF|YYZ|DEN|PIR|HON|
HON|YFC,|YFC|YUL|DEN|PIR|HON|
HON|YQM,|YQM|YUL|DEN|PIR|HON|
HON|YQX,|YQX|YHZ|YUL|DEN|PIR|HON|
HON|YQY,|YQY|YYZ|DEN|PIR|HON|
HON|YSJ,|YSJ|YUL|DEN|PIR|HON|
HON|YYG,|YYG|YUL|DEN|PIR|HON|
HON|LAX,|LAX|DEN|PIR|HON|
HON|DCA,|DCA|DEN|PIR|HON|
HON|LGA,|LGA|DEN|PIR|HON|
HON|YZV,|YZV|YUL|DEN|PIR|HON|
HON|YWL,|YWL|YVR|DEN|PIR|HON|
HON|AZS,|AZS|YYZ|DEN|PIR|HON|
HON|BDL,|BDL|DEN|PIR|HON|
HON|CCC,|CCC|YYZ|DEN|PIR|HON|
