HRG|BRU,|BRU|IST|HRG|
HRG|OUA,|OUA|NIM|IST|HRG|
HRG|JED,|JED|IST|HRG|
HRG|CPH,|CPH|IST|HRG|
HRG|YYZ,|YYZ|IST|HRG|
HRG|DEN,|DEN|FRA|IST|HRG|
HRG|YUL,|YUL|FRA|IST|HRG|
HRG|NBO,|NBO|IST|HRG|
HRG|ICN,|ICN|IST|HRG|
HRG|NRT,|NRT|IST|HRG|
HRG|YHZ,|YHZ|LHR|IST|HRG|
HRG|YOW,|YOW|FRA|IST|HRG|
HRG|BJM,|BJM|BRU|IST|HRG|
HRG|COO,|COO|BRU|IST|HRG|
HRG|DKR,|DKR|BRU|IST|HRG|
HRG|DLA,|DLA|IST|HRG|
HRG|KGL,|KGL|IST|HRG|
HRG|LAD,|LAD|BRU|IST|HRG|
HRG|ABJ,|ABJ|OUA|NIM|IST|HRG|
HRG|AMS,|AMS|IST|HRG|
HRG|OSL,|OSL|IST|HRG|
HRG|VNO,|VNO|IST|HRG|
HRG|WAW,|WAW|IST|HRG|
HRG|YYC,|YYC|FRA|IST|HRG|
HRG|ATL,|ATL|FRA|IST|HRG|
HRG|MSY,|MSY|IAD|IST|HRG|
HRG|YEG,|YEG|LHR|IST|HRG|
HRG|YMM,|YMM|YEG|LHR|IST|HRG|
HRG|YQR,|YQR|YEG|LHR|IST|HRG|
HRG|YVR,|YVR|MUC|IST|HRG|
HRG|YWG,|YWG|YUL|FRA|IST|HRG|
HRG|YXE,|YXE|YEG|LHR|IST|HRG|
HRG|CKY,|CKY|DKR|BRU|IST|HRG|
HRG|FIH,|FIH|IST|HRG|
HRG|SCL,|SCL|EZE|GRU|IST|HRG|
HRG|LCA,|LCA|FRA|IST|HRG|
HRG|NAP,|NAP|IST|HRG|
HRG|VLC,|VLC|IST|HRG|
HRG|BKK,|BKK|IST|HRG|
HRG|ADD,|ADD|IST|HRG|
HRG|FRA,|FRA|IST|HRG|
HRG|IST,|IST|HRG|
HRG|EBB,|EBB|KGL|IST|HRG|
HRG|YLW,|YLW|YYC|FRA|IST|HRG|
HRG|YYT,|YYT|LHR|IST|HRG|
HRG|GUA,|GUA|MIA|ZRH|IST|HRG|
HRG|EWR,|EWR|BHX|IST|HRG|
HRG|IAD,|IAD|IST|HRG|
HRG|IAH,|IAH|IST|HRG|
HRG|ORD,|ORD|IST|HRG|
HRG|SOF,|SOF|IST|HRG|
HRG|YQB,|YQB|YUL|FRA|IST|HRG|
HRG|YXU,|YXU|YYZ|IST|HRG|
HRG|EZE,|EZE|GRU|IST|HRG|
HRG|YYJ,|YYJ|YVR|MUC|IST|HRG|
HRG|YYY,|YYY|YUL|FRA|IST|HRG|
HRG|YQQ,|YQQ|YBL|YVR|MUC|IST|HRG|
HRG|YYR,|YYR|YYT|LHR|IST|HRG|
HRG|LHR,|LHR|IST|HRG|
HRG|SFO,|SFO|MUC|IST|HRG|
HRG|YQU,|YQU|YEG|LHR|IST|HRG|
HRG|YZF,|YZF|YEG|LHR|IST|HRG|
HRG|YGR,|YGR|YGP|YQB|YUL|FRA|IST|HRG|
HRG|YGP,|YGP|YQB|YUL|FRA|IST|HRG|
HRG|BOS,|BOS|FRA|IST|HRG|
HRG|YDF,|YDF|YYT|LHR|IST|HRG|
HRG|YFC,|YFC|YHZ|LHR|IST|HRG|
HRG|YQM,|YQM|YHZ|LHR|IST|HRG|
HRG|YQX,|YQX|YYT|LHR|IST|HRG|
HRG|YQY,|YQY|YHZ|LHR|IST|HRG|
HRG|YSJ,|YSJ|YHZ|LHR|IST|HRG|
HRG|YYG,|YYG|YHZ|LHR|IST|HRG|
HRG|LAX,|LAX|IST|HRG|
HRG|DCA,|DCA|EWR|BHX|IST|HRG|
HRG|LGA,|LGA|YHZ|LHR|IST|HRG|
