HTY|BRU,|BRU|SAW|HTY|
HTY|OUA,|OUA|NIM|IST|HTY|
HTY|JED,|JED|IST|HTY|
HTY|CPH,|CPH|IST|HTY|
HTY|YYZ,|YYZ|VIE|SAW|HTY|
HTY|DEN,|DEN|FRA|SAW|HTY|
HTY|YUL,|YUL|FRA|SAW|HTY|
HTY|NBO,|NBO|IST|HTY|
HTY|ICN,|ICN|IST|HTY|
HTY|NRT,|NRT|IST|HTY|
HTY|YHZ,|YHZ|LHR|IST|HTY|
HTY|YOW,|YOW|FRA|SAW|HTY|
HTY|BJM,|BJM|BRU|SAW|HTY|
HTY|COO,|COO|BRU|SAW|HTY|
HTY|DKR,|DKR|BRU|SAW|HTY|
HTY|DLA,|DLA|IST|HTY|
HTY|KGL,|KGL|IST|HTY|
HTY|LAD,|LAD|BRU|SAW|HTY|
HTY|ABJ,|ABJ|OUA|NIM|IST|HTY|
HTY|AMS,|AMS|SAW|HTY|
HTY|OSL,|OSL|IST|HTY|
HTY|VNO,|VNO|IST|HTY|
HTY|WAW,|WAW|IST|HTY|
HTY|YYC,|YYC|FRA|SAW|HTY|
HTY|ATL,|ATL|FRA|SAW|HTY|
HTY|MSY,|MSY|IAD|FRA|SAW|HTY|
HTY|YEG,|YEG|LHR|IST|HTY|
HTY|YMM,|YMM|YEG|LHR|IST|HTY|
HTY|YQR,|YQR|YEG|LHR|IST|HTY|
HTY|YVR,|YVR|MUC|SAW|HTY|
HTY|YWG,|YWG|YUL|FRA|SAW|HTY|
HTY|YXE,|YXE|YEG|LHR|IST|HTY|
HTY|CKY,|CKY|DKR|BRU|SAW|HTY|
HTY|FIH,|FIH|IST|HTY|
HTY|SCL,|SCL|EZE|GRU|IST|HTY|
HTY|LCA,|LCA|FRA|SAW|HTY|
HTY|NAP,|NAP|IST|HTY|
HTY|VLC,|VLC|IST|HTY|
HTY|BKK,|BKK|IST|HTY|
HTY|ADD,|ADD|IST|HTY|
HTY|FRA,|FRA|SAW|HTY|
HTY|IST,|IST|HTY|
HTY|EBB,|EBB|KGL|IST|HTY|
HTY|YLW,|YLW|YYC|FRA|SAW|HTY|
HTY|YYT,|YYT|LHR|IST|HTY|
HTY|GUA,|GUA|MIA|ZRH|IST|HTY|
HTY|EWR,|EWR|FRA|SAW|HTY|
HTY|IAD,|IAD|FRA|SAW|HTY|
HTY|IAH,|IAH|YYZ|VIE|SAW|HTY|
HTY|ORD,|ORD|IST|HTY|
HTY|SOF,|SOF|IST|HTY|
HTY|YQB,|YQB|YUL|FRA|SAW|HTY|
HTY|YXU,|YXU|YYZ|VIE|SAW|HTY|
HTY|EZE,|EZE|GRU|IST|HTY|
HTY|YYJ,|YYJ|YVR|MUC|SAW|HTY|
HTY|YYY,|YYY|YUL|FRA|SAW|HTY|
HTY|YQQ,|YQQ|YBL|YVR|MUC|SAW|HTY|
HTY|YYR,|YYR|YYT|LHR|IST|HTY|
HTY|LHR,|LHR|IST|HTY|
HTY|SFO,|SFO|MUC|SAW|HTY|
HTY|YQU,|YQU|YEG|LHR|IST|HTY|
HTY|YZF,|YZF|YEG|LHR|IST|HTY|
HTY|YGR,|YGR|YGP|YQB|YUL|FRA|SAW|HTY|
HTY|YGP,|YGP|YQB|YUL|FRA|SAW|HTY|
HTY|BOS,|BOS|FRA|SAW|HTY|
HTY|YDF,|YDF|YYT|LHR|IST|HTY|
HTY|YFC,|YFC|YHZ|LHR|IST|HTY|
HTY|YQM,|YQM|YHZ|LHR|IST|HTY|
HTY|YQX,|YQX|YYT|LHR|IST|HTY|
HTY|YQY,|YQY|YHZ|LHR|IST|HTY|
HTY|YSJ,|YSJ|YHZ|LHR|IST|HTY|
HTY|YYG,|YYG|YHZ|LHR|IST|HTY|
HTY|LAX,|LAX|IST|HTY|
HTY|DCA,|DCA|EWR|FRA|SAW|HTY|
HTY|LGA,|LGA|YHZ|LHR|IST|HTY|
HTY|YZV,|YZV|YWK|YYR|YYT|LHR|IST|HTY|
HTY|YWL,|YWL|YVR|MUC|SAW|HTY|
HTY|AZS,|AZS|YUL|FRA|SAW|HTY|
HTY|BDL,|BDL|YUL|FRA|SAW|HTY|
HTY|CCC,|CCC|YUL|FRA|SAW|HTY|
HTY|CDG,|CDG|IST|HTY|
HTY|CUN,|CUN|YHZ|LHR|IST|HTY|
HTY|CZM,|CZM|YUL|FRA|SAW|HTY|
HTY|FDF,|FDF|YUL|FRA|SAW|HTY|
HTY|FLL,|FLL|MCO|FRA|SAW|HTY|
HTY|GVA,|GVA|IST|HTY|
HTY|HOG,|HOG|YUL|FRA|SAW|HTY|
HTY|LAS,|LAS|DEN|FRA|SAW|HTY|
HTY|MBJ,|MBJ|YHZ|LHR|IST|HTY|
HTY|MCO,|MCO|FRA|SAW|HTY|
HTY|MUC,|MUC|SAW|HTY|
HTY|PAP,|PAP|YUL|FRA|SAW|HTY|
HTY|PTP,|PTP|YUL|FRA|SAW|HTY|
HTY|PUJ,|PUJ|YHZ|LHR|IST|HTY|
HTY|SNU,|SNU|YUL|FRA|SAW|HTY|
HTY|VRA,|VRA|YUL|FRA|SAW|HTY|
HTY|YBC,|YBC|YUL|FRA|SAW|HTY|
HTY|YBG,|YBG|YUL|FRA|SAW|HTY|
HTY|YTZ,|YTZ|YUL|FRA|SAW|HTY|
HTY|YUY,|YUY|YUL|FRA|SAW|HTY|
HTY|YVO,|YVO|YUL|FRA|SAW|HTY|
HTY|ZBF,|ZBF|YUL|FRA|SAW|HTY|
HTY|ZRH,|ZRH|IST|HTY|
HTY|ZSA,|ZSA|YUL|FRA|SAW|HTY|
HTY|AKL,|AKL|BKK|IST|HTY|
HTY|HKG,|HKG|IST|HTY|
HTY|HND,|HND|YVR|MUC|SAW|HTY|
HTY|HNL,|HNL|YVR|MUC|SAW|HTY|
HTY|MEX,|MEX|IAD|FRA|SAW|HTY|
HTY|OGG,|OGG|YVR|MUC|SAW|HTY|
HTY|PDX,|PDX|SEA|FRA|SAW|HTY|
HTY|PEK,|PEK|IST|HTY|
HTY|PVG,|PVG|URC|TBS|SAW|HTY|
HTY|PVR,|PVR|ORD|IST|HTY|
HTY|SEA,|SEA|FRA|SAW|HTY|
HTY|SYD,|SYD|BKK|IST|HTY|
HTY|YBL,|YBL|YVR|MUC|SAW|HTY|
HTY|YCD,|YCD|YVR|MUC|SAW|HTY|
HTY|YCG,|YCG|YYC|FRA|SAW|HTY|
HTY|YKA,|YKA|YYC|FRA|SAW|HTY|
HTY|YPR,|YPR|YVR|MUC|SAW|HTY|
HTY|YQZ,|YQZ|YVR|MUC|SAW|HTY|
HTY|YXC,|YXC|YYC|FRA|SAW|HTY|
HTY|YXJ,|YXJ|YYC|FRA|SAW|HTY|
HTY|YXS,|YXS|YYC|FRA|SAW|HTY|
HTY|YXT,|YXT|YVR|MUC|SAW|HTY|
HTY|YXY,|YXY|YVR|MUC|SAW|HTY|
HTY|YYD,|YYD|YVR|MUC|SAW|HTY|
HTY|YYF,|YYF|YVR|MUC|SAW|HTY|
HTY|YZP,|YZP|YVR|MUC|SAW|HTY|
