HZH|BRU,|BRU|DEL|CAN|HZH|
HZH|OUA,|OUA|NIM|IST|CAN|HZH|
HZH|JED,|JED|IST|CAN|HZH|
HZH|CPH,|CPH|AMS|CAN|HZH|
HZH|YYZ,|YYZ|PEK|CAN|HZH|
HZH|DEN,|DEN|YVR|CAN|HZH|
HZH|YUL,|YUL|YYZ|PEK|CAN|HZH|
HZH|NBO,|NBO|CAN|HZH|
HZH|ICN,|ICN|CAN|HZH|
HZH|NRT,|NRT|CAN|HZH|
HZH|YHZ,|YHZ|YYZ|PEK|CAN|HZH|
HZH|YOW,|YOW|YYZ|PEK|CAN|HZH|
HZH|BJM,|BJM|BRU|DEL|CAN|HZH|
HZH|COO,|COO|BRU|DEL|CAN|HZH|
HZH|DKR,|DKR|BRU|DEL|CAN|HZH|
HZH|DLA,|DLA|IST|CAN|HZH|
HZH|KGL,|KGL|IST|CAN|HZH|
HZH|LAD,|LAD|BRU|DEL|CAN|HZH|
HZH|ABJ,|ABJ|OUA|NIM|IST|CAN|HZH|
HZH|AMS,|AMS|CAN|HZH|
HZH|OSL,|OSL|CPH|AMS|CAN|HZH|
HZH|VNO,|VNO|IST|CAN|HZH|
HZH|WAW,|WAW|IST|CAN|HZH|
HZH|YYC,|YYC|YVR|CAN|HZH|
HZH|ATL,|ATL|ORD|PEK|CAN|HZH|
HZH|MSY,|MSY|DEN|YVR|CAN|HZH|
HZH|YEG,|YEG|YVR|CAN|HZH|
HZH|YMM,|YMM|YVR|CAN|HZH|
HZH|YQR,|YQR|YVR|CAN|HZH|
HZH|YVR,|YVR|CAN|HZH|
HZH|YWG,|YWG|YVR|CAN|HZH|
HZH|YXE,|YXE|YVR|CAN|HZH|
HZH|CKY,|CKY|DKR|BRU|DEL|CAN|HZH|
HZH|FIH,|FIH|IST|CAN|HZH|
HZH|SCL,|SCL|YYZ|PEK|CAN|HZH|
HZH|LCA,|LCA|FRA|TSE|URC|CAN|HZH|
HZH|NAP,|NAP|IST|CAN|HZH|
HZH|VLC,|VLC|IST|CAN|HZH|
HZH|BKK,|BKK|CAN|HZH|
HZH|ADD,|ADD|IST|CAN|HZH|
HZH|FRA,|FRA|TSE|URC|CAN|HZH|
HZH|IST,|IST|CAN|HZH|
HZH|EBB,|EBB|KGL|IST|CAN|HZH|
HZH|YLW,|YLW|YVR|CAN|HZH|
HZH|YYT,|YYT|LHR|CAN|HZH|
HZH|GUA,|GUA|IAH|YVR|CAN|HZH|
HZH|EWR,|EWR|PEK|CAN|HZH|
HZH|IAD,|IAD|PEK|CAN|HZH|
HZH|IAH,|IAH|YVR|CAN|HZH|
HZH|ORD,|ORD|PEK|CAN|HZH|
HZH|SOF,|SOF|IST|CAN|HZH|
HZH|YQB,|YQB|YYZ|PEK|CAN|HZH|
HZH|YXU,|YXU|YYZ|PEK|CAN|HZH|
HZH|EZE,|EZE|GRU|IST|CAN|HZH|
HZH|YYJ,|YYJ|YVR|CAN|HZH|
HZH|YYY,|YYY|YUL|YYZ|PEK|CAN|HZH|
HZH|YQQ,|YQQ|YBL|YVR|CAN|HZH|
HZH|YYR,|YYR|YYT|LHR|CAN|HZH|
HZH|LHR,|LHR|CAN|HZH|
HZH|SFO,|SFO|PVG|CAN|HZH|
HZH|YQU,|YQU|YEG|YVR|CAN|HZH|
HZH|YZF,|YZF|YEG|YVR|CAN|HZH|
HZH|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|HZH|
HZH|YGP,|YGP|YQB|YYZ|PEK|CAN|HZH|
HZH|BOS,|BOS|YYZ|PEK|CAN|HZH|
HZH|YDF,|YDF|YYT|LHR|CAN|HZH|
HZH|YFC,|YFC|YYZ|PEK|CAN|HZH|
HZH|YQM,|YQM|YYZ|PEK|CAN|HZH|
HZH|YQX,|YQX|YYT|LHR|CAN|HZH|
HZH|YQY,|YQY|YYZ|PEK|CAN|HZH|
HZH|YSJ,|YSJ|YYZ|PEK|CAN|HZH|
HZH|YYG,|YYG|YYZ|PEK|CAN|HZH|
HZH|LAX,|LAX|CAN|HZH|
HZH|DCA,|DCA|YYZ|PEK|CAN|HZH|
HZH|LGA,|LGA|YYZ|PEK|CAN|HZH|
HZH|YZV,|YZV|YQB|YYZ|PEK|CAN|HZH|
HZH|YWL,|YWL|YVR|CAN|HZH|
HZH|AZS,|AZS|YYZ|PEK|CAN|HZH|
HZH|BDL,|BDL|YYZ|PEK|CAN|HZH|
HZH|CCC,|CCC|YYZ|PEK|CAN|HZH|
HZH|CDG,|CDG|CAN|HZH|
HZH|CUN,|CUN|YVR|CAN|HZH|
HZH|CZM,|CZM|IAH|YVR|CAN|HZH|
HZH|FDF,|FDF|YUL|YYZ|PEK|CAN|HZH|
HZH|FLL,|FLL|ORD|PEK|CAN|HZH|
HZH|GVA,|GVA|IST|CAN|HZH|
HZH|HOG,|HOG|YYZ|PEK|CAN|HZH|
HZH|LAS,|LAS|SFO|PVG|CAN|HZH|
HZH|MBJ,|MBJ|ATL|ORD|PEK|CAN|HZH|
HZH|MCO,|MCO|ORD|PEK|CAN|HZH|
HZH|MUC,|MUC|IST|CAN|HZH|
HZH|PAP,|PAP|YUL|YYZ|PEK|CAN|HZH|
HZH|PTP,|PTP|YUL|YYZ|PEK|CAN|HZH|
