IDA|BRU,|BRU|ORD|DEN|IDA|
IDA|OUA,|OUA|BRU|ORD|DEN|IDA|
IDA|JED,|JED|FRA|DEN|IDA|
IDA|CPH,|CPH|YYZ|DEN|IDA|
IDA|YYZ,|YYZ|DEN|IDA|
IDA|DEN,|DEN|IDA|
IDA|YUL,|YUL|DEN|IDA|
IDA|NBO,|NBO|ZRH|ORD|DEN|IDA|
IDA|ICN,|ICN|YVR|DEN|IDA|
IDA|NRT,|NRT|DEN|IDA|
IDA|YHZ,|YHZ|YUL|DEN|IDA|
IDA|YOW,|YOW|YYZ|DEN|IDA|
IDA|BJM,|BJM|BRU|ORD|DEN|IDA|
IDA|COO,|COO|BRU|ORD|DEN|IDA|
IDA|DKR,|DKR|IAD|DEN|IDA|
IDA|DLA,|DLA|BRU|ORD|DEN|IDA|
IDA|KGL,|KGL|BRU|ORD|DEN|IDA|
IDA|LAD,|LAD|BRU|ORD|DEN|IDA|
IDA|ABJ,|ABJ|BRU|ORD|DEN|IDA|
IDA|AMS,|AMS|ORD|DEN|IDA|
IDA|OSL,|OSL|EWR|DEN|IDA|
IDA|VNO,|VNO|CPH|YYZ|DEN|IDA|
IDA|WAW,|WAW|YYZ|DEN|IDA|
IDA|YYC,|YYC|DEN|IDA|
IDA|ATL,|ATL|DEN|IDA|
IDA|MSY,|MSY|DEN|IDA|
IDA|YEG,|YEG|DEN|IDA|
IDA|YMM,|YMM|DEN|IDA|
IDA|YQR,|YQR|DEN|IDA|
IDA|YVR,|YVR|DEN|IDA|
IDA|YWG,|YWG|DEN|IDA|
IDA|YXE,|YXE|DEN|IDA|
IDA|CKY,|CKY|DKR|IAD|DEN|IDA|
IDA|FIH,|FIH|DLA|BRU|ORD|DEN|IDA|
IDA|SCL,|SCL|EZE|IAH|DEN|IDA|
IDA|LCA,|LCA|FRA|DEN|IDA|
IDA|NAP,|NAP|FRA|DEN|IDA|
IDA|VLC,|VLC|FRA|DEN|IDA|
IDA|BKK,|BKK|CGO|PEK|YVR|DEN|IDA|
IDA|ADD,|ADD|JED|FRA|DEN|IDA|
IDA|FRA,|FRA|DEN|IDA|
IDA|IST,|IST|FRA|DEN|IDA|
IDA|EBB,|EBB|KGL|BRU|ORD|DEN|IDA|
IDA|YLW,|YLW|YYC|DEN|IDA|
IDA|YYT,|YYT|YUL|DEN|IDA|
IDA|GUA,|GUA|IAH|DEN|IDA|
IDA|EWR,|EWR|DEN|IDA|
IDA|IAD,|IAD|DEN|IDA|
IDA|IAH,|IAH|DEN|IDA|
IDA|ORD,|ORD|DEN|IDA|
IDA|SOF,|SOF|MUC|ORD|DEN|IDA|
IDA|YQB,|YQB|YUL|DEN|IDA|
IDA|YXU,|YXU|ORD|DEN|IDA|
IDA|EZE,|EZE|IAH|DEN|IDA|
IDA|YYJ,|YYJ|YVR|DEN|IDA|
IDA|YYY,|YYY|YUL|DEN|IDA|
IDA|YQQ,|YQQ|YBL|YVR|DEN|IDA|
IDA|YYR,|YYR|YWK|YZV|YUL|DEN|IDA|
IDA|LHR,|LHR|ORD|DEN|IDA|
IDA|SFO,|SFO|DEN|IDA|
IDA|YQU,|YQU|YYC|DEN|IDA|
IDA|YZF,|YZF|YEG|DEN|IDA|
IDA|YGR,|YGR|YGP|YQB|YUL|DEN|IDA|
IDA|YGP,|YGP|YQB|YUL|DEN|IDA|
IDA|BOS,|BOS|DEN|IDA|
IDA|YDF,|YDF|YYZ|DEN|IDA|
IDA|YFC,|YFC|YUL|DEN|IDA|
IDA|YQM,|YQM|YUL|DEN|IDA|
IDA|YQX,|YQX|YHZ|YUL|DEN|IDA|
IDA|YQY,|YQY|YYZ|DEN|IDA|
IDA|YSJ,|YSJ|YUL|DEN|IDA|
IDA|YYG,|YYG|YUL|DEN|IDA|
IDA|LAX,|LAX|DEN|IDA|
IDA|DCA,|DCA|DEN|IDA|
IDA|LGA,|LGA|DEN|IDA|
IDA|YZV,|YZV|YUL|DEN|IDA|
IDA|YWL,|YWL|YVR|DEN|IDA|
IDA|AZS,|AZS|YYZ|DEN|IDA|
IDA|BDL,|BDL|DEN|IDA|
IDA|CCC,|CCC|YYZ|DEN|IDA|
IDA|CDG,|CDG|ORD|DEN|IDA|
IDA|CUN,|CUN|DEN|IDA|
IDA|CZM,|CZM|IAH|DEN|IDA|
IDA|FDF,|FDF|YUL|DEN|IDA|
IDA|FLL,|FLL|DEN|IDA|
IDA|GVA,|GVA|YUL|DEN|IDA|
IDA|HOG,|HOG|YYZ|DEN|IDA|
IDA|LAS,|LAS|DEN|IDA|
IDA|MBJ,|MBJ|IAH|DEN|IDA|
IDA|MCO,|MCO|DEN|IDA|
IDA|MUC,|MUC|ORD|DEN|IDA|
IDA|PAP,|PAP|YUL|DEN|IDA|
IDA|PTP,|PTP|YUL|DEN|IDA|
IDA|PUJ,|PUJ|ATL|DEN|IDA|
IDA|SNU,|SNU|YYZ|DEN|IDA|
IDA|VRA,|VRA|YYZ|DEN|IDA|
IDA|YBC,|YBC|YUL|DEN|IDA|
IDA|YBG,|YBG|YUL|DEN|IDA|
IDA|YTZ,|YTZ|YUL|DEN|IDA|
IDA|YUY,|YUY|YUL|DEN|IDA|
IDA|YVO,|YVO|YUL|DEN|IDA|
IDA|ZBF,|ZBF|YUL|DEN|IDA|
IDA|ZRH,|ZRH|ORD|DEN|IDA|
IDA|ZSA,|ZSA|YUL|DEN|IDA|
IDA|AKL,|AKL|LAX|DEN|IDA|
IDA|HKG,|HKG|YVR|DEN|IDA|
IDA|HND,|HND|YVR|DEN|IDA|
IDA|HNL,|HNL|DEN|IDA|
IDA|MEX,|MEX|DEN|IDA|
IDA|OGG,|OGG|DEN|IDA|
IDA|PDX,|PDX|DEN|IDA|
IDA|PEK,|PEK|YVR|DEN|IDA|
IDA|PVG,|PVG|YVR|DEN|IDA|
IDA|PVR,|PVR|DEN|IDA|
IDA|SEA,|SEA|DEN|IDA|
IDA|SYD,|SYD|LAX|DEN|IDA|
IDA|YBL,|YBL|YVR|DEN|IDA|
IDA|YCD,|YCD|YVR|DEN|IDA|
IDA|YCG,|YCG|YYC|DEN|IDA|
IDA|YKA,|YKA|YYC|DEN|IDA|
IDA|YPR,|YPR|YVR|DEN|IDA|
IDA|YQZ,|YQZ|YVR|DEN|IDA|
IDA|YXC,|YXC|YYC|DEN|IDA|
IDA|YXJ,|YXJ|YYC|DEN|IDA|
IDA|YXS,|YXS|YYC|DEN|IDA|
IDA|YXT,|YXT|YVR|DEN|IDA|
IDA|YXY,|YXY|YVR|DEN|IDA|
IDA|YYD,|YYD|YVR|DEN|IDA|
IDA|YYF,|YYF|YVR|DEN|IDA|
IDA|YZP,|YZP|YVR|DEN|IDA|
IDA|YQT,|YQT|YWG|DEN|IDA|
IDA|SJD,|SJD|DEN|IDA|
IDA|YQF,|YQF|YYC|DEN|IDA|
IDA|YQL,|YQL|YYC|DEN|IDA|
IDA|YXH,|YXH|YYC|DEN|IDA|
IDA|YWK,|YWK|YZV|YUL|DEN|IDA|
IDA|ANU,|ANU|EWR|DEN|IDA|
IDA|AUA,|AUA|ATL|DEN|IDA|
IDA|AUH,|AUH|FRA|DEN|IDA|
IDA|BCN,|BCN|YYZ|DEN|IDA|
IDA|BDA,|BDA|EWR|DEN|IDA|
IDA|BGI,|BGI|YYZ|DEN|IDA|
IDA|BNA,|BNA|DEN|IDA|
IDA|BOG,|BOG|IAH|DEN|IDA|
IDA|BWI,|BWI|DEN|IDA|
IDA|CLE,|CLE|DEN|IDA|
IDA|CLT,|CLT|MDW|DEN|IDA|
IDA|CMH,|CMH|DEN|IDA|
IDA|CVG,|CVG|DEN|IDA|
IDA|DFW,|DFW|DEN|IDA|
IDA|DTW,|DTW|DEN|IDA|
IDA|DUB,|DUB|ORD|DEN|IDA|
IDA|FCO,|FCO|YYZ|DEN|IDA|
IDA|GCM,|GCM|IAH|DEN|IDA|
IDA|GGT,|GGT|FLL|DEN|IDA|
IDA|GND,|GND|YYZ|DEN|IDA|
IDA|GRU,|GRU|IAH|DEN|IDA|
IDA|HAV,|HAV|YYZ|DEN|IDA|
IDA|IND,|IND|DEN|IDA|
IDA|JFK,|JFK|IAD|DEN|IDA|
IDA|KIN,|KIN|YYZ|DEN|IDA|
IDA|LIM,|LIM|IAH|DEN|IDA|
IDA|LIR,|LIR|IAH|DEN|IDA|
IDA|MCI,|MCI|DEN|IDA|
IDA|MDT,|MDT|ORD|DEN|IDA|
IDA|MIA,|MIA|DEN|IDA|
IDA|MKE,|MKE|DEN|IDA|
IDA|MSP,|MSP|DEN|IDA|
IDA|NAS,|NAS|ATL|DEN|IDA|
IDA|PHL,|PHL|DEN|IDA|
IDA|PHX,|PHX|DEN|IDA|
IDA|PIT,|PIT|DEN|IDA|
IDA|PLS,|PLS|YYZ|DEN|IDA|
IDA|POP,|POP|YYZ|DEN|IDA|
IDA|RDU,|RDU|DEN|IDA|
IDA|ROC,|ROC|ORD|DEN|IDA|
IDA|RSW,|RSW|DEN|IDA|
IDA|SAN,|SAN|DEN|IDA|
IDA|SJO,|SJO|IAH|DEN|IDA|
IDA|STL,|STL|DEN|IDA|
IDA|SYR,|SYR|ORD|DEN|IDA|
IDA|TLV,|TLV|IST|FRA|DEN|IDA|
IDA|TPA,|TPA|DEN|IDA|
IDA|UVF,|UVF|EWR|DEN|IDA|
IDA|VIE,|VIE|ORD|DEN|IDA|
IDA|YAM,|YAM|YYZ|DEN|IDA|
IDA|YGK,|YGK|YYZ|DEN|IDA|
IDA|YQG,|YQG|YYZ|DEN|IDA|
