IFN|BRU,|BRU|IST|IFN|
IFN|OUA,|OUA|NIM|IST|IFN|
IFN|JED,|JED|IST|IFN|
IFN|CPH,|CPH|IST|IFN|
IFN|YYZ,|YYZ|IST|IFN|
IFN|DEN,|DEN|FRA|IST|IFN|
IFN|YUL,|YUL|FRA|IST|IFN|
IFN|NBO,|NBO|IST|IFN|
IFN|ICN,|ICN|IST|IFN|
IFN|NRT,|NRT|IST|IFN|
IFN|YHZ,|YHZ|LHR|IST|IFN|
IFN|YOW,|YOW|FRA|IST|IFN|
IFN|BJM,|BJM|BRU|IST|IFN|
IFN|COO,|COO|BRU|IST|IFN|
IFN|DKR,|DKR|BRU|IST|IFN|
IFN|DLA,|DLA|IST|IFN|
IFN|KGL,|KGL|IST|IFN|
IFN|LAD,|LAD|BRU|IST|IFN|
IFN|ABJ,|ABJ|OUA|NIM|IST|IFN|
IFN|AMS,|AMS|IST|IFN|
IFN|OSL,|OSL|IST|IFN|
IFN|VNO,|VNO|IST|IFN|
IFN|WAW,|WAW|IST|IFN|
IFN|YYC,|YYC|FRA|IST|IFN|
IFN|ATL,|ATL|FRA|IST|IFN|
IFN|MSY,|MSY|IAD|IST|IFN|
IFN|YEG,|YEG|LHR|IST|IFN|
IFN|YMM,|YMM|YEG|LHR|IST|IFN|
IFN|YQR,|YQR|YEG|LHR|IST|IFN|
IFN|YVR,|YVR|MUC|IST|IFN|
IFN|YWG,|YWG|YUL|FRA|IST|IFN|
IFN|YXE,|YXE|YEG|LHR|IST|IFN|
IFN|CKY,|CKY|DKR|BRU|IST|IFN|
IFN|FIH,|FIH|IST|IFN|
IFN|SCL,|SCL|EZE|GRU|IST|IFN|
IFN|LCA,|LCA|FRA|IST|IFN|
IFN|NAP,|NAP|IST|IFN|
IFN|VLC,|VLC|IST|IFN|
IFN|BKK,|BKK|IST|IFN|
IFN|ADD,|ADD|IST|IFN|
IFN|FRA,|FRA|IST|IFN|
IFN|IST,|IST|IFN|
IFN|EBB,|EBB|KGL|IST|IFN|
IFN|YLW,|YLW|YYC|FRA|IST|IFN|
IFN|YYT,|YYT|LHR|IST|IFN|
IFN|GUA,|GUA|MIA|ZRH|IST|IFN|
IFN|EWR,|EWR|BHX|IST|IFN|
IFN|IAD,|IAD|IST|IFN|
IFN|IAH,|IAH|IST|IFN|
IFN|ORD,|ORD|IST|IFN|
IFN|SOF,|SOF|IST|IFN|
IFN|YQB,|YQB|YUL|FRA|IST|IFN|
IFN|YXU,|YXU|YYZ|IST|IFN|
IFN|EZE,|EZE|GRU|IST|IFN|
IFN|YYJ,|YYJ|YVR|MUC|IST|IFN|
IFN|YYY,|YYY|YUL|FRA|IST|IFN|
