IKA|BRU,|BRU|SAW|IKA|
IKA|OUA,|OUA|NIM|IST|IKA|
IKA|JED,|JED|IST|IKA|
IKA|CPH,|CPH|IST|IKA|
IKA|YYZ,|YYZ|VIE|SAW|IKA|
IKA|DEN,|DEN|FRA|SAW|IKA|
IKA|YUL,|YUL|FRA|SAW|IKA|
IKA|NBO,|NBO|IST|IKA|
IKA|ICN,|ICN|PEK|URC|IKA|
IKA|NRT,|NRT|PEK|URC|IKA|
IKA|YHZ,|YHZ|LHR|IST|IKA|
IKA|YOW,|YOW|FRA|SAW|IKA|
IKA|BJM,|BJM|BRU|SAW|IKA|
IKA|COO,|COO|BRU|SAW|IKA|
IKA|DKR,|DKR|BRU|SAW|IKA|
IKA|DLA,|DLA|IST|IKA|
IKA|KGL,|KGL|IST|IKA|
IKA|LAD,|LAD|BRU|SAW|IKA|
IKA|ABJ,|ABJ|OUA|NIM|IST|IKA|
IKA|AMS,|AMS|SAW|IKA|
IKA|OSL,|OSL|IST|IKA|
IKA|VNO,|VNO|IST|IKA|
IKA|WAW,|WAW|IST|IKA|
IKA|YYC,|YYC|FRA|SAW|IKA|
IKA|ATL,|ATL|FRA|SAW|IKA|
IKA|MSY,|MSY|IAD|FRA|SAW|IKA|
IKA|YEG,|YEG|LHR|IST|IKA|
IKA|YMM,|YMM|YEG|LHR|IST|IKA|
IKA|YQR,|YQR|YEG|LHR|IST|IKA|
IKA|YVR,|YVR|MUC|SAW|IKA|
IKA|YWG,|YWG|YUL|FRA|SAW|IKA|
IKA|YXE,|YXE|YEG|LHR|IST|IKA|
IKA|CKY,|CKY|DKR|BRU|SAW|IKA|
IKA|FIH,|FIH|IST|IKA|
IKA|SCL,|SCL|EZE|GRU|IST|IKA|
IKA|LCA,|LCA|FRA|SAW|IKA|
IKA|NAP,|NAP|IST|IKA|
IKA|VLC,|VLC|IST|IKA|
IKA|BKK,|BKK|NNG|KWE|URC|IKA|
IKA|ADD,|ADD|IST|IKA|
IKA|FRA,|FRA|SAW|IKA|
IKA|IST,|IST|IKA|
IKA|EBB,|EBB|KGL|IST|IKA|
IKA|YLW,|YLW|YYC|FRA|SAW|IKA|
IKA|YYT,|YYT|LHR|IST|IKA|
IKA|GUA,|GUA|MIA|ZRH|IST|IKA|
IKA|EWR,|EWR|FRA|SAW|IKA|
IKA|IAD,|IAD|FRA|SAW|IKA|
IKA|IAH,|IAH|YYZ|VIE|SAW|IKA|
IKA|ORD,|ORD|VIE|SAW|IKA|
IKA|SOF,|SOF|IST|IKA|
IKA|YQB,|YQB|YUL|FRA|SAW|IKA|
IKA|YXU,|YXU|YYZ|VIE|SAW|IKA|
IKA|EZE,|EZE|GRU|IST|IKA|
IKA|YYJ,|YYJ|YVR|MUC|SAW|IKA|
IKA|YYY,|YYY|YUL|FRA|SAW|IKA|
IKA|YQQ,|YQQ|YBL|YVR|MUC|SAW|IKA|
IKA|YYR,|YYR|YYT|LHR|IST|IKA|
IKA|LHR,|LHR|IST|IKA|
IKA|SFO,|SFO|MUC|SAW|IKA|
IKA|YQU,|YQU|YEG|LHR|IST|IKA|
IKA|YZF,|YZF|YEG|LHR|IST|IKA|
IKA|YGR,|YGR|YGP|YQB|YUL|FRA|SAW|IKA|
IKA|YGP,|YGP|YQB|YUL|FRA|SAW|IKA|
IKA|BOS,|BOS|FRA|SAW|IKA|
IKA|YDF,|YDF|YYT|LHR|IST|IKA|
IKA|YFC,|YFC|YHZ|LHR|IST|IKA|
IKA|YQM,|YQM|YHZ|LHR|IST|IKA|
IKA|YQX,|YQX|YYT|LHR|IST|IKA|
IKA|YQY,|YQY|YHZ|LHR|IST|IKA|
IKA|YSJ,|YSJ|YHZ|LHR|IST|IKA|
IKA|YYG,|YYG|YHZ|LHR|IST|IKA|
IKA|LAX,|LAX|IST|IKA|
IKA|DCA,|DCA|EWR|FRA|SAW|IKA|
IKA|LGA,|LGA|YHZ|LHR|IST|IKA|
IKA|YZV,|YZV|YWK|YYR|YYT|LHR|IST|IKA|
IKA|YWL,|YWL|YVR|MUC|SAW|IKA|
IKA|AZS,|AZS|YUL|FRA|SAW|IKA|
IKA|BDL,|BDL|YUL|FRA|SAW|IKA|
IKA|CCC,|CCC|YUL|FRA|SAW|IKA|
IKA|CDG,|CDG|SAW|IKA|
IKA|CUN,|CUN|YHZ|LHR|IST|IKA|
IKA|CZM,|CZM|YUL|FRA|SAW|IKA|
IKA|FDF,|FDF|YUL|FRA|SAW|IKA|
IKA|FLL,|FLL|MCO|FRA|SAW|IKA|
IKA|GVA,|GVA|IST|IKA|
IKA|HOG,|HOG|YUL|FRA|SAW|IKA|
IKA|LAS,|LAS|DEN|FRA|SAW|IKA|
IKA|MBJ,|MBJ|YHZ|LHR|IST|IKA|
IKA|MCO,|MCO|FRA|SAW|IKA|
IKA|MUC,|MUC|SAW|IKA|
IKA|PAP,|PAP|YUL|FRA|SAW|IKA|
IKA|PTP,|PTP|YUL|FRA|SAW|IKA|
IKA|PUJ,|PUJ|YHZ|LHR|IST|IKA|
IKA|SNU,|SNU|YUL|FRA|SAW|IKA|
IKA|VRA,|VRA|YUL|FRA|SAW|IKA|
IKA|YBC,|YBC|YUL|FRA|SAW|IKA|
IKA|YBG,|YBG|YUL|FRA|SAW|IKA|
IKA|YTZ,|YTZ|YUL|FRA|SAW|IKA|
IKA|YUY,|YUY|YUL|FRA|SAW|IKA|
IKA|YVO,|YVO|YUL|FRA|SAW|IKA|
IKA|ZBF,|ZBF|YUL|FRA|SAW|IKA|
IKA|ZRH,|ZRH|IST|IKA|
IKA|ZSA,|ZSA|YUL|FRA|SAW|IKA|
IKA|AKL,|AKL|CAN|URC|IKA|
IKA|HKG,|HKG|CAN|URC|IKA|
IKA|HND,|HND|YVR|MUC|SAW|IKA|
IKA|HNL,|HNL|PEK|URC|IKA|
IKA|MEX,|MEX|IAD|FRA|SAW|IKA|
IKA|OGG,|OGG|HNL|PEK|URC|IKA|
IKA|PDX,|PDX|SEA|FRA|SAW|IKA|
IKA|PEK,|PEK|URC|IKA|
IKA|PVG,|PVG|URC|IKA|
IKA|PVR,|PVR|ORD|VIE|SAW|IKA|
IKA|SEA,|SEA|FRA|SAW|IKA|
IKA|SYD,|SYD|CAN|URC|IKA|
IKA|YBL,|YBL|YVR|MUC|SAW|IKA|
IKA|YCD,|YCD|YVR|MUC|SAW|IKA|
IKA|YCG,|YCG|YYC|FRA|SAW|IKA|
IKA|YKA,|YKA|YYC|FRA|SAW|IKA|
IKA|YPR,|YPR|YVR|MUC|SAW|IKA|
IKA|YQZ,|YQZ|YVR|MUC|SAW|IKA|
IKA|YXC,|YXC|YYC|FRA|SAW|IKA|
IKA|YXJ,|YXJ|YYC|FRA|SAW|IKA|
