INC|BRU,|BRU|IST|URC|INC|
INC|OUA,|OUA|NIM|IST|URC|INC|
INC|JED,|JED|IST|URC|INC|
INC|CPH,|CPH|IST|URC|INC|
INC|YYZ,|YYZ|PEK|INC|
INC|DEN,|DEN|YVR|PEK|INC|
INC|YUL,|YUL|YYZ|PEK|INC|
INC|NBO,|NBO|BKK|NNG|KWE|XIY|INC|
INC|ICN,|ICN|PEK|INC|
INC|NRT,|NRT|PEK|INC|
INC|YHZ,|YHZ|YYZ|PEK|INC|
INC|YOW,|YOW|YYZ|PEK|INC|
INC|BJM,|BJM|BRU|IST|URC|INC|
INC|COO,|COO|BRU|IST|URC|INC|
INC|DKR,|DKR|BRU|IST|URC|INC|
INC|DLA,|DLA|IST|URC|INC|
INC|KGL,|KGL|IST|URC|INC|
INC|LAD,|LAD|BRU|IST|URC|INC|
INC|ABJ,|ABJ|OUA|NIM|IST|URC|INC|
INC|AMS,|AMS|IST|URC|INC|
INC|OSL,|OSL|IST|URC|INC|
INC|VNO,|VNO|IST|URC|INC|
INC|WAW,|WAW|IST|URC|INC|
INC|YYC,|YYC|YVR|PEK|INC|
INC|ATL,|ATL|ORD|PEK|INC|
INC|MSY,|MSY|ORD|PEK|INC|
INC|YEG,|YEG|YVR|PEK|INC|
INC|YMM,|YMM|YVR|PEK|INC|
INC|YQR,|YQR|YVR|PEK|INC|
INC|YVR,|YVR|PEK|INC|
INC|YWG,|YWG|YVR|PEK|INC|
INC|YXE,|YXE|YVR|PEK|INC|
INC|CKY,|CKY|DKR|BRU|IST|URC|INC|
INC|FIH,|FIH|IST|URC|INC|
INC|SCL,|SCL|EZE|GRU|IST|URC|INC|
INC|LCA,|LCA|FRA|TSE|URC|INC|
INC|NAP,|NAP|IST|URC|INC|
INC|VLC,|VLC|FRA|TSE|URC|INC|
INC|BKK,|BKK|NNG|KWE|XIY|INC|
INC|ADD,|ADD|IST|URC|INC|
INC|FRA,|FRA|TSE|URC|INC|
INC|IST,|IST|URC|INC|
INC|EBB,|EBB|KGL|IST|URC|INC|
INC|YLW,|YLW|YVR|PEK|INC|
INC|YYT,|YYT|LHR|IST|URC|INC|
