ISE|BRU,|BRU|IST|ISE|
ISE|OUA,|OUA|NIM|IST|ISE|
ISE|JED,|JED|IST|ISE|
ISE|CPH,|CPH|IST|ISE|
ISE|YYZ,|YYZ|IST|ISE|
ISE|DEN,|DEN|FRA|IST|ISE|
ISE|YUL,|YUL|FRA|IST|ISE|
ISE|NBO,|NBO|IST|ISE|
ISE|ICN,|ICN|IST|ISE|
ISE|NRT,|NRT|IST|ISE|
ISE|YHZ,|YHZ|LHR|IST|ISE|
ISE|YOW,|YOW|FRA|IST|ISE|
ISE|BJM,|BJM|BRU|IST|ISE|
ISE|COO,|COO|BRU|IST|ISE|
ISE|DKR,|DKR|BRU|IST|ISE|
ISE|DLA,|DLA|IST|ISE|
ISE|KGL,|KGL|IST|ISE|
ISE|LAD,|LAD|BRU|IST|ISE|
ISE|ABJ,|ABJ|OUA|NIM|IST|ISE|
ISE|AMS,|AMS|IST|ISE|
ISE|OSL,|OSL|IST|ISE|
ISE|VNO,|VNO|IST|ISE|
ISE|WAW,|WAW|IST|ISE|
ISE|YYC,|YYC|FRA|IST|ISE|
ISE|ATL,|ATL|FRA|IST|ISE|
ISE|MSY,|MSY|IAD|IST|ISE|
ISE|YEG,|YEG|LHR|IST|ISE|
ISE|YMM,|YMM|YEG|LHR|IST|ISE|
ISE|YQR,|YQR|YEG|LHR|IST|ISE|
ISE|YVR,|YVR|MUC|IST|ISE|
ISE|YWG,|YWG|YUL|FRA|IST|ISE|
ISE|YXE,|YXE|YEG|LHR|IST|ISE|
ISE|CKY,|CKY|DKR|BRU|IST|ISE|
ISE|FIH,|FIH|IST|ISE|
ISE|SCL,|SCL|EZE|GRU|IST|ISE|
ISE|LCA,|LCA|FRA|IST|ISE|
ISE|NAP,|NAP|IST|ISE|
ISE|VLC,|VLC|IST|ISE|
ISE|BKK,|BKK|IST|ISE|
ISE|ADD,|ADD|IST|ISE|
ISE|FRA,|FRA|IST|ISE|
ISE|IST,|IST|ISE|
ISE|EBB,|EBB|KGL|IST|ISE|
ISE|YLW,|YLW|YYC|FRA|IST|ISE|
ISE|YYT,|YYT|LHR|IST|ISE|
ISE|GUA,|GUA|MIA|ZRH|IST|ISE|
ISE|EWR,|EWR|BHX|IST|ISE|
ISE|IAD,|IAD|IST|ISE|
ISE|IAH,|IAH|IST|ISE|
ISE|ORD,|ORD|IST|ISE|
ISE|SOF,|SOF|IST|ISE|
ISE|YQB,|YQB|YUL|FRA|IST|ISE|
ISE|YXU,|YXU|YYZ|IST|ISE|
ISE|EZE,|EZE|GRU|IST|ISE|
ISE|YYJ,|YYJ|YVR|MUC|IST|ISE|
ISE|YYY,|YYY|YUL|FRA|IST|ISE|
ISE|YQQ,|YQQ|YBL|YVR|MUC|IST|ISE|
ISE|YYR,|YYR|YYT|LHR|IST|ISE|
ISE|LHR,|LHR|IST|ISE|
ISE|SFO,|SFO|MUC|IST|ISE|
ISE|YQU,|YQU|YEG|LHR|IST|ISE|
ISE|YZF,|YZF|YEG|LHR|IST|ISE|
ISE|YGR,|YGR|YGP|YQB|YUL|FRA|IST|ISE|
ISE|YGP,|YGP|YQB|YUL|FRA|IST|ISE|
ISE|BOS,|BOS|FRA|IST|ISE|
ISE|YDF,|YDF|YYT|LHR|IST|ISE|
ISE|YFC,|YFC|YHZ|LHR|IST|ISE|
ISE|YQM,|YQM|YHZ|LHR|IST|ISE|
ISE|YQX,|YQX|YYT|LHR|IST|ISE|
ISE|YQY,|YQY|YHZ|LHR|IST|ISE|
ISE|YSJ,|YSJ|YHZ|LHR|IST|ISE|
