IST|BRU,|BRU|IST|
IST|OUA,|OUA|NIM|IST|
IST|JED,|JED|IST|
IST|CPH,|CPH|IST|
IST|YYZ,|YYZ|IST|
IST|DEN,|DEN|FRA|IST|
IST|YUL,|YUL|FRA|IST|
IST|NBO,|NBO|IST|
IST|ICN,|ICN|IST|
IST|NRT,|NRT|IST|
IST|YHZ,|YHZ|LHR|IST|
IST|YOW,|YOW|FRA|IST|
IST|BJM,|BJM|BRU|IST|
IST|COO,|COO|BRU|IST|
IST|DKR,|DKR|BRU|IST|
IST|DLA,|DLA|IST|
IST|KGL,|KGL|IST|
IST|LAD,|LAD|BRU|IST|
IST|ABJ,|ABJ|OUA|NIM|IST|
IST|AMS,|AMS|IST|
IST|OSL,|OSL|IST|
IST|VNO,|VNO|IST|
IST|WAW,|WAW|IST|
IST|YYC,|YYC|FRA|IST|
IST|ATL,|ATL|FRA|IST|
IST|MSY,|MSY|IAD|IST|
IST|YEG,|YEG|LHR|IST|
IST|YMM,|YMM|YEG|LHR|IST|
IST|YQR,|YQR|YEG|LHR|IST|
IST|YVR,|YVR|MUC|IST|
IST|YWG,|YWG|YUL|FRA|IST|
IST|YXE,|YXE|YEG|LHR|IST|
IST|CKY,|CKY|DKR|BRU|IST|
IST|FIH,|FIH|IST|
IST|SCL,|SCL|EZE|GRU|IST|
IST|LCA,|LCA|FRA|IST|
IST|NAP,|NAP|IST|
IST|VLC,|VLC|IST|
IST|BKK,|BKK|IST|
IST|ADD,|ADD|IST|
IST|FRA,|FRA|IST|
IST|EBB,|EBB|KGL|IST|
IST|YLW,|YLW|YYC|FRA|IST|
IST|YYT,|YYT|LHR|IST|
IST|GUA,|GUA|MIA|ZRH|IST|
IST|EWR,|EWR|BHX|IST|
IST|IAD,|IAD|IST|
IST|IAH,|IAH|IST|
IST|ORD,|ORD|IST|
IST|SOF,|SOF|IST|
IST|YQB,|YQB|YUL|FRA|IST|
IST|YXU,|YXU|YYZ|IST|
IST|EZE,|EZE|GRU|IST|
IST|YYJ,|YYJ|YVR|MUC|IST|
IST|YYY,|YYY|YUL|FRA|IST|
IST|YQQ,|YQQ|YBL|YVR|MUC|IST|
IST|YYR,|YYR|YYT|LHR|IST|
IST|LHR,|LHR|IST|
IST|SFO,|SFO|MUC|IST|
IST|YQU,|YQU|YEG|LHR|IST|
IST|YZF,|YZF|YEG|LHR|IST|
IST|YGR,|YGR|YGP|YQB|YUL|FRA|IST|
IST|YGP,|YGP|YQB|YUL|FRA|IST|
IST|BOS,|BOS|FRA|IST|
IST|YDF,|YDF|YYT|LHR|IST|
IST|YFC,|YFC|YHZ|LHR|IST|
IST|YQM,|YQM|YHZ|LHR|IST|
IST|YQX,|YQX|YYT|LHR|IST|
IST|YQY,|YQY|YHZ|LHR|IST|
IST|YSJ,|YSJ|YHZ|LHR|IST|
IST|YYG,|YYG|YHZ|LHR|IST|
IST|LAX,|LAX|IST|
IST|DCA,|DCA|EWR|BHX|IST|
