ISU|BRU,|BRU|IST|ISU|
ISU|OUA,|OUA|NIM|IST|ISU|
ISU|JED,|JED|IST|ISU|
ISU|CPH,|CPH|IST|ISU|
ISU|YYZ,|YYZ|IST|ISU|
ISU|DEN,|DEN|FRA|IST|ISU|
ISU|YUL,|YUL|FRA|IST|ISU|
ISU|NBO,|NBO|IST|ISU|
ISU|ICN,|ICN|IST|ISU|
ISU|NRT,|NRT|IST|ISU|
ISU|YHZ,|YHZ|LHR|IST|ISU|
ISU|YOW,|YOW|FRA|IST|ISU|
ISU|BJM,|BJM|BRU|IST|ISU|
ISU|COO,|COO|BRU|IST|ISU|
ISU|DKR,|DKR|BRU|IST|ISU|
ISU|DLA,|DLA|IST|ISU|
ISU|KGL,|KGL|IST|ISU|
ISU|LAD,|LAD|BRU|IST|ISU|
ISU|ABJ,|ABJ|OUA|NIM|IST|ISU|
ISU|AMS,|AMS|IST|ISU|
ISU|OSL,|OSL|IST|ISU|
ISU|VNO,|VNO|IST|ISU|
ISU|WAW,|WAW|IST|ISU|
ISU|YYC,|YYC|FRA|IST|ISU|
ISU|ATL,|ATL|FRA|IST|ISU|
ISU|MSY,|MSY|IAD|IST|ISU|
ISU|YEG,|YEG|LHR|IST|ISU|
ISU|YMM,|YMM|YEG|LHR|IST|ISU|
ISU|YQR,|YQR|YEG|LHR|IST|ISU|
ISU|YVR,|YVR|MUC|IST|ISU|
ISU|YWG,|YWG|YUL|FRA|IST|ISU|
ISU|YXE,|YXE|YEG|LHR|IST|ISU|
ISU|CKY,|CKY|DKR|BRU|IST|ISU|
ISU|FIH,|FIH|IST|ISU|
ISU|SCL,|SCL|EZE|GRU|IST|ISU|
ISU|LCA,|LCA|FRA|IST|ISU|
ISU|NAP,|NAP|IST|ISU|
ISU|VLC,|VLC|IST|ISU|
ISU|BKK,|BKK|IST|ISU|
ISU|ADD,|ADD|IST|ISU|
ISU|FRA,|FRA|IST|ISU|
ISU|IST,|IST|ISU|
ISU|EBB,|EBB|KGL|IST|ISU|
ISU|YLW,|YLW|YYC|FRA|IST|ISU|
ISU|YYT,|YYT|LHR|IST|ISU|
ISU|GUA,|GUA|MIA|ZRH|IST|ISU|
ISU|EWR,|EWR|BHX|IST|ISU|
ISU|IAD,|IAD|IST|ISU|
ISU|IAH,|IAH|IST|ISU|
ISU|ORD,|ORD|IST|ISU|
ISU|SOF,|SOF|IST|ISU|
ISU|YQB,|YQB|YUL|FRA|IST|ISU|
ISU|YXU,|YXU|YYZ|IST|ISU|
ISU|EZE,|EZE|GRU|IST|ISU|
ISU|YYJ,|YYJ|YVR|MUC|IST|ISU|
ISU|YYY,|YYY|YUL|FRA|IST|ISU|
ISU|YQQ,|YQQ|YBL|YVR|MUC|IST|ISU|
ISU|YYR,|YYR|YYT|LHR|IST|ISU|
ISU|LHR,|LHR|IST|ISU|
ISU|SFO,|SFO|MUC|IST|ISU|
ISU|YQU,|YQU|YEG|LHR|IST|ISU|
ISU|YZF,|YZF|YEG|LHR|IST|ISU|
ISU|YGR,|YGR|YGP|YQB|YUL|FRA|IST|ISU|
ISU|YGP,|YGP|YQB|YUL|FRA|IST|ISU|
ISU|BOS,|BOS|FRA|IST|ISU|
ISU|YDF,|YDF|YYT|LHR|IST|ISU|
ISU|YFC,|YFC|YHZ|LHR|IST|ISU|
ISU|YQM,|YQM|YHZ|LHR|IST|ISU|
ISU|YQX,|YQX|YYT|LHR|IST|ISU|
ISU|YQY,|YQY|YHZ|LHR|IST|ISU|
ISU|YSJ,|YSJ|YHZ|LHR|IST|ISU|
ISU|YYG,|YYG|YHZ|LHR|IST|ISU|
ISU|LAX,|LAX|IST|ISU|
ISU|DCA,|DCA|EWR|BHX|IST|ISU|
ISU|LGA,|LGA|YHZ|LHR|IST|ISU|
ISU|YZV,|YZV|YWK|YYR|YYT|LHR|IST|ISU|
ISU|YWL,|YWL|YVR|MUC|IST|ISU|
ISU|AZS,|AZS|YUL|FRA|IST|ISU|
ISU|BDL,|BDL|YUL|FRA|IST|ISU|
ISU|CCC,|CCC|YUL|FRA|IST|ISU|
ISU|CDG,|CDG|IST|ISU|
ISU|CUN,|CUN|YHZ|LHR|IST|ISU|
