JAC|BRU,|BRU|ORD|DEN|JAC|
JAC|OUA,|OUA|BRU|ORD|DEN|JAC|
JAC|JED,|JED|FRA|DEN|JAC|
JAC|CPH,|CPH|YYZ|DEN|JAC|
JAC|YYZ,|YYZ|DEN|JAC|
JAC|DEN,|DEN|JAC|
JAC|YUL,|YUL|DEN|JAC|
JAC|NBO,|NBO|ZRH|ORD|DEN|JAC|
JAC|ICN,|ICN|YVR|DEN|JAC|
JAC|NRT,|NRT|DEN|JAC|
JAC|YHZ,|YHZ|YUL|DEN|JAC|
JAC|YOW,|YOW|YYZ|DEN|JAC|
JAC|BJM,|BJM|BRU|ORD|DEN|JAC|
JAC|COO,|COO|BRU|ORD|DEN|JAC|
JAC|DKR,|DKR|IAD|DEN|JAC|
JAC|DLA,|DLA|BRU|ORD|DEN|JAC|
JAC|KGL,|KGL|BRU|ORD|DEN|JAC|
JAC|LAD,|LAD|BRU|ORD|DEN|JAC|
JAC|ABJ,|ABJ|BRU|ORD|DEN|JAC|
JAC|AMS,|AMS|ORD|DEN|JAC|
JAC|OSL,|OSL|EWR|DEN|JAC|
JAC|VNO,|VNO|CPH|YYZ|DEN|JAC|
JAC|WAW,|WAW|YYZ|DEN|JAC|
JAC|YYC,|YYC|DEN|JAC|
JAC|ATL,|ATL|DEN|JAC|
JAC|MSY,|MSY|DEN|JAC|
JAC|YEG,|YEG|DEN|JAC|
JAC|YMM,|YMM|DEN|JAC|
JAC|YQR,|YQR|DEN|JAC|
JAC|YVR,|YVR|DEN|JAC|
JAC|YWG,|YWG|DEN|JAC|
JAC|YXE,|YXE|DEN|JAC|
JAC|CKY,|CKY|DKR|IAD|DEN|JAC|
JAC|FIH,|FIH|DLA|BRU|ORD|DEN|JAC|
JAC|SCL,|SCL|EZE|IAH|DEN|JAC|
JAC|LCA,|LCA|FRA|DEN|JAC|
JAC|NAP,|NAP|FRA|DEN|JAC|
JAC|VLC,|VLC|FRA|DEN|JAC|
JAC|BKK,|BKK|CGO|PEK|YVR|DEN|JAC|
JAC|ADD,|ADD|JED|FRA|DEN|JAC|
JAC|FRA,|FRA|DEN|JAC|
JAC|IST,|IST|FRA|DEN|JAC|
