JED|BRU,|BRU|IST|JED|
JED|OUA,|OUA|NIM|IST|JED|
JED|CPH,|CPH|IST|JED|
JED|YYZ,|YYZ|FRA|JED|
JED|DEN,|DEN|FRA|JED|
JED|YUL,|YUL|FRA|JED|
JED|NBO,|NBO|LUN|HRE|ADD|JED|
JED|ICN,|ICN|IST|JED|
JED|NRT,|NRT|IST|JED|
JED|YHZ,|YHZ|LHR|IST|JED|
JED|YOW,|YOW|FRA|JED|
JED|BJM,|BJM|BRU|IST|JED|
JED|COO,|COO|BRU|IST|JED|
JED|DKR,|DKR|BRU|IST|JED|
JED|DLA,|DLA|ADD|JED|
JED|KGL,|KGL|IST|JED|
JED|LAD,|LAD|BRU|IST|JED|
JED|ABJ,|ABJ|OUA|NIM|IST|JED|
JED|AMS,|AMS|IST|JED|
JED|OSL,|OSL|IST|JED|
JED|VNO,|VNO|IST|JED|
JED|WAW,|WAW|IST|JED|
JED|YYC,|YYC|FRA|JED|
JED|ATL,|ATL|FRA|JED|
JED|MSY,|MSY|IAD|FRA|JED|
JED|YEG,|YEG|LHR|IST|JED|
JED|YMM,|YMM|YEG|LHR|IST|JED|
JED|YQR,|YQR|YYC|FRA|JED|
JED|YVR,|YVR|FRA|JED|
JED|YWG,|YWG|YUL|FRA|JED|
JED|YXE,|YXE|YEG|LHR|IST|JED|
JED|CKY,|CKY|DKR|BRU|IST|JED|
JED|FIH,|FIH|DLA|ADD|JED|
JED|SCL,|SCL|EZE|GRU|IST|JED|
JED|LCA,|LCA|FRA|JED|
JED|NAP,|NAP|IST|JED|
JED|VLC,|VLC|IST|JED|
JED|BKK,|BKK|IST|JED|
JED|ADD,|ADD|JED|
JED|FRA,|FRA|JED|
JED|IST,|IST|JED|
JED|EBB,|EBB|KGL|IST|JED|
JED|YLW,|YLW|YYC|FRA|JED|
JED|YYT,|YYT|LHR|IST|JED|
JED|GUA,|GUA|MIA|FRA|JED|
JED|EWR,|EWR|FRA|JED|
JED|IAD,|IAD|FRA|JED|
JED|IAH,|IAH|FRA|JED|
JED|ORD,|ORD|FRA|JED|
JED|SOF,|SOF|IST|JED|
JED|YQB,|YQB|YUL|FRA|JED|
JED|YXU,|YXU|YYZ|FRA|JED|
JED|EZE,|EZE|GRU|IST|JED|
JED|YYJ,|YYJ|YVR|FRA|JED|
JED|YYY,|YYY|YUL|FRA|JED|
JED|YQQ,|YQQ|YBL|YVR|FRA|JED|
JED|YYR,|YYR|YYT|LHR|IST|JED|
JED|LHR,|LHR|IST|JED|
JED|SFO,|SFO|FRA|JED|
JED|YQU,|YQU|YEG|LHR|IST|JED|
JED|YZF,|YZF|YEG|LHR|IST|JED|
JED|YGR,|YGR|YGP|YQB|YUL|FRA|JED|
JED|YGP,|YGP|YQB|YUL|FRA|JED|
JED|BOS,|BOS|FRA|JED|
JED|YDF,|YDF|YYT|LHR|IST|JED|
JED|YFC,|YFC|YHZ|LHR|IST|JED|
JED|YQM,|YQM|YHZ|LHR|IST|JED|
JED|YQX,|YQX|YYT|LHR|IST|JED|
JED|YQY,|YQY|YHZ|LHR|IST|JED|
JED|YSJ,|YSJ|YHZ|LHR|IST|JED|
JED|YYG,|YYG|YHZ|LHR|IST|JED|
JED|LAX,|LAX|IST|JED|
JED|DCA,|DCA|EWR|FRA|JED|
JED|LGA,|LGA|YHZ|LHR|IST|JED|
JED|YZV,|YZV|YWK|YYR|YYT|LHR|IST|JED|
JED|YWL,|YWL|YVR|FRA|JED|
JED|AZS,|AZS|YUL|FRA|JED|
JED|BDL,|BDL|YUL|FRA|JED|
JED|CCC,|CCC|YUL|FRA|JED|
JED|CDG,|CDG|IST|JED|
JED|CUN,|CUN|EWR|FRA|JED|
JED|CZM,|CZM|YUL|FRA|JED|
JED|FDF,|FDF|YUL|FRA|JED|
JED|FLL,|FLL|MCO|FRA|JED|
JED|GVA,|GVA|IST|JED|
JED|HOG,|HOG|YUL|FRA|JED|
JED|LAS,|LAS|DEN|FRA|JED|
JED|MBJ,|MBJ|YHZ|LHR|IST|JED|
JED|MCO,|MCO|FRA|JED|
JED|MUC,|MUC|IST|JED|
JED|PAP,|PAP|YUL|FRA|JED|
JED|PTP,|PTP|YUL|FRA|JED|
JED|PUJ,|PUJ|YHZ|LHR|IST|JED|
JED|SNU,|SNU|YUL|FRA|JED|
JED|VRA,|VRA|YUL|FRA|JED|
JED|YBC,|YBC|YUL|FRA|JED|
JED|YBG,|YBG|YUL|FRA|JED|
JED|YTZ,|YTZ|YUL|FRA|JED|
JED|YUY,|YUY|YUL|FRA|JED|
JED|YVO,|YVO|YUL|FRA|JED|
JED|ZBF,|ZBF|YUL|FRA|JED|
JED|ZRH,|ZRH|IST|JED|
JED|ZSA,|ZSA|YUL|FRA|JED|
JED|AKL,|AKL|BKK|IST|JED|
JED|HKG,|HKG|IST|JED|
JED|HND,|HND|YVR|FRA|JED|
