JFK|BRU,|BRU|JFK|
JFK|OUA,|OUA|BRU|JFK|
JFK|JED,|JED|FRA|JFK|
JFK|CPH,|CPH|YYZ|JFK|
JFK|YYZ,|YYZ|JFK|
JFK|DEN,|DEN|IAD|JFK|
JFK|YUL,|YUL|JFK|
JFK|NBO,|NBO|ZRH|JFK|
JFK|ICN,|ICN|JFK|
JFK|NRT,|NRT|JFK|
JFK|YHZ,|YHZ|YUL|JFK|
JFK|YOW,|YOW|YUL|JFK|
JFK|BJM,|BJM|BRU|JFK|
JFK|COO,|COO|BRU|JFK|
JFK|DKR,|DKR|IAD|JFK|
JFK|DLA,|DLA|BRU|JFK|
JFK|KGL,|KGL|BRU|JFK|
JFK|LAD,|LAD|BRU|JFK|
JFK|ABJ,|ABJ|BRU|JFK|
JFK|AMS,|AMS|IAD|JFK|
JFK|OSL,|OSL|EWR|IAD|JFK|
JFK|VNO,|VNO|FRA|JFK|
JFK|WAW,|WAW|YYZ|JFK|
JFK|YYC,|YYC|JFK|
JFK|ATL,|ATL|IAD|JFK|
JFK|MSY,|MSY|IAD|JFK|
JFK|YEG,|YEG|YYZ|JFK|
JFK|YMM,|YMM|YYZ|JFK|
JFK|YQR,|YQR|YYZ|JFK|
JFK|YVR,|YVR|YYZ|JFK|
JFK|YWG,|YWG|YYZ|JFK|
JFK|YXE,|YXE|YYZ|JFK|
JFK|CKY,|CKY|DKR|IAD|JFK|
JFK|FIH,|FIH|DLA|BRU|JFK|
JFK|SCL,|SCL|YYZ|JFK|
JFK|LCA,|LCA|FRA|JFK|
JFK|NAP,|NAP|FRA|JFK|
JFK|VLC,|VLC|FRA|JFK|
JFK|BKK,|BKK|CGO|PEK|JFK|
JFK|ADD,|ADD|JED|FRA|JFK|
JFK|FRA,|FRA|JFK|
JFK|IST,|IST|JFK|
JFK|EBB,|EBB|KGL|BRU|JFK|
JFK|YLW,|YLW|YYZ|JFK|
JFK|YYT,|YYT|YUL|JFK|
JFK|GUA,|GUA|IAD|JFK|
JFK|EWR,|EWR|IAD|JFK|
JFK|IAD,|IAD|JFK|
JFK|IAH,|IAH|IAD|JFK|
JFK|ORD,|ORD|YYZ|JFK|
JFK|SOF,|SOF|MUC|JFK|
JFK|YQB,|YQB|YUL|JFK|
JFK|YXU,|YXU|YYZ|JFK|
JFK|EZE,|EZE|GRU|IAD|JFK|
JFK|YYJ,|YYJ|YYZ|JFK|
JFK|YYY,|YYY|YUL|JFK|
JFK|YQQ,|YQQ|YYC|JFK|
JFK|YYR,|YYR|YWK|YZV|YUL|JFK|
JFK|LHR,|LHR|YUL|JFK|
JFK|SFO,|SFO|JFK|
JFK|YQU,|YQU|YEG|YYZ|JFK|
JFK|YZF,|YZF|YEG|YYZ|JFK|
JFK|YGR,|YGR|YGP|YQB|YUL|JFK|
JFK|YGP,|YGP|YQB|YUL|JFK|
JFK|BOS,|BOS|YUL|JFK|
JFK|YDF,|YDF|YHZ|YUL|JFK|
JFK|YFC,|YFC|YUL|JFK|
JFK|YQM,|YQM|YUL|JFK|
JFK|YQX,|YQX|YHZ|YUL|JFK|
JFK|YQY,|YQY|YHZ|YUL|JFK|
JFK|YSJ,|YSJ|YUL|JFK|
JFK|YYG,|YYG|YUL|JFK|
JFK|LAX,|LAX|JFK|
JFK|DCA,|DCA|EWR|IAD|JFK|
JFK|LGA,|LGA|IAD|JFK|
JFK|YZV,|YZV|YUL|JFK|
JFK|YWL,|YWL|YVR|YYZ|JFK|
JFK|AZS,|AZS|YYZ|JFK|
JFK|BDL,|BDL|IAD|JFK|
JFK|CCC,|CCC|YYZ|JFK|
JFK|CDG,|CDG|YUL|JFK|
JFK|CUN,|CUN|IAD|JFK|
JFK|CZM,|CZM|YUL|JFK|
JFK|FDF,|FDF|YUL|JFK|
JFK|FLL,|FLL|IAD|JFK|
JFK|GVA,|GVA|JFK|
JFK|HOG,|HOG|YYZ|JFK|
JFK|LAS,|LAS|IAD|JFK|
JFK|MBJ,|MBJ|IAD|JFK|
JFK|MCO,|MCO|IAD|JFK|
JFK|MUC,|MUC|JFK|
JFK|PAP,|PAP|YUL|JFK|
JFK|PTP,|PTP|YUL|JFK|
JFK|PUJ,|PUJ|IAD|JFK|
JFK|SNU,|SNU|YYZ|JFK|
JFK|VRA,|VRA|YYZ|JFK|
JFK|YBC,|YBC|YUL|JFK|
JFK|YBG,|YBG|YUL|JFK|
JFK|YTZ,|YTZ|YUL|JFK|
JFK|YUY,|YUY|YUL|JFK|
JFK|YVO,|YVO|YUL|JFK|
JFK|ZBF,|ZBF|YUL|JFK|
JFK|ZRH,|ZRH|JFK|
JFK|ZSA,|ZSA|YUL|JFK|
JFK|AKL,|AKL|LAX|JFK|
JFK|HKG,|HKG|PEK|JFK|
JFK|HND,|HND|YVR|YYZ|JFK|
JFK|HNL,|HNL|SFO|JFK|
JFK|MEX,|MEX|IAD|JFK|
JFK|OGG,|OGG|SFO|JFK|
JFK|PDX,|PDX|ORD|YYZ|JFK|
JFK|PEK,|PEK|JFK|
JFK|PVG,|PVG|ICN|JFK|
JFK|PVR,|PVR|IAH|IAD|JFK|
JFK|SEA,|SEA|YYZ|JFK|
JFK|SYD,|SYD|LAX|JFK|
JFK|YBL,|YBL|YVR|YYZ|JFK|
JFK|YCD,|YCD|YVR|YYZ|JFK|
JFK|YCG,|YCG|YYC|JFK|
JFK|YKA,|YKA|YYC|JFK|
JFK|YPR,|YPR|YVR|YYZ|JFK|
JFK|YQZ,|YQZ|YVR|YYZ|JFK|
JFK|YXC,|YXC|YYC|JFK|
JFK|YXJ,|YXJ|YYC|JFK|
JFK|YXS,|YXS|YYC|JFK|
JFK|YXT,|YXT|YVR|YYZ|JFK|
JFK|YXY,|YXY|YVR|YYZ|JFK|
JFK|YYD,|YYD|YVR|YYZ|JFK|
JFK|YYF,|YYF|YVR|YYZ|JFK|
JFK|YZP,|YZP|YVR|YYZ|JFK|
JFK|YQT,|YQT|YYZ|JFK|
JFK|SJD,|SJD|IAH|IAD|JFK|
JFK|YQF,|YQF|YYC|JFK|
JFK|YQL,|YQL|YYC|JFK|
JFK|YXH,|YXH|YYC|JFK|
JFK|YWK,|YWK|YZV|YUL|JFK|
JFK|ANU,|ANU|EWR|IAD|JFK|
JFK|AUA,|AUA|IAD|JFK|
JFK|AUH,|AUH|FRA|JFK|
JFK|BCN,|BCN|EWR|IAD|JFK|
JFK|BDA,|BDA|EWR|IAD|JFK|
JFK|BGI,|BGI|YYZ|JFK|
JFK|BNA,|BNA|IAD|JFK|
JFK|BOG,|BOG|JFK|
JFK|BWI,|BWI|ORF|IAD|JFK|
JFK|CLE,|CLE|IAD|JFK|
JFK|CLT,|CLT|IAD|JFK|
JFK|CMH,|CMH|IAD|JFK|
JFK|CVG,|CVG|IAD|JFK|
JFK|DFW,|DFW|IAD|JFK|
JFK|DTW,|DTW|YYZ|JFK|
JFK|DUB,|DUB|JFK|
JFK|FCO,|FCO|IAD|JFK|
JFK|GCM,|GCM|IAD|JFK|
JFK|GGT,|GGT|FLL|IAD|JFK|
JFK|GND,|GND|YYZ|JFK|
JFK|GRU,|GRU|IAD|JFK|
JFK|HAV,|HAV|YYZ|JFK|
JFK|IND,|IND|IAD|JFK|
JFK|KIN,|KIN|YYZ|JFK|
JFK|LIM,|LIM|MIA|IAD|JFK|
JFK|LIR,|LIR|EWR|IAD|JFK|
