JJN|BRU,|BRU|IST|URC|CSX|JJN|
JJN|OUA,|OUA|NIM|IST|URC|CSX|JJN|
JJN|JED,|JED|IST|URC|CSX|JJN|
JJN|CPH,|CPH|AMS|CTU|CSX|JJN|
JJN|YYZ,|YYZ|PEK|JJN|
JJN|DEN,|DEN|YVR|PEK|JJN|
JJN|YUL,|YUL|YYZ|PEK|JJN|
JJN|NBO,|NBO|CAN|JJN|
JJN|ICN,|ICN|DLC|HGH|JJN|
JJN|NRT,|NRT|DLC|HGH|JJN|
JJN|YHZ,|YHZ|YYZ|PEK|JJN|
JJN|YOW,|YOW|YYZ|PEK|JJN|
JJN|BJM,|BJM|BRU|IST|URC|CSX|JJN|
JJN|COO,|COO|BRU|IST|URC|CSX|JJN|
JJN|DKR,|DKR|BRU|IST|URC|CSX|JJN|
JJN|DLA,|DLA|IST|URC|CSX|JJN|
JJN|KGL,|KGL|IST|URC|CSX|JJN|
JJN|LAD,|LAD|BRU|IST|URC|CSX|JJN|
JJN|ABJ,|ABJ|OUA|NIM|IST|URC|CSX|JJN|
JJN|AMS,|AMS|CTU|CSX|JJN|
JJN|OSL,|OSL|CPH|AMS|CTU|CSX|JJN|
JJN|VNO,|VNO|IST|URC|CSX|JJN|
JJN|WAW,|WAW|IST|URC|CSX|JJN|
JJN|YYC,|YYC|YVR|PEK|JJN|
JJN|ATL,|ATL|ORD|PEK|JJN|
JJN|MSY,|MSY|ORD|PEK|JJN|
JJN|YEG,|YEG|YVR|PEK|JJN|
JJN|YMM,|YMM|YVR|PEK|JJN|
JJN|YQR,|YQR|YVR|PEK|JJN|
JJN|YVR,|YVR|PEK|JJN|
JJN|YWG,|YWG|YVR|PEK|JJN|
JJN|YXE,|YXE|YVR|PEK|JJN|
JJN|CKY,|CKY|DKR|BRU|IST|URC|CSX|JJN|
JJN|FIH,|FIH|IST|URC|CSX|JJN|
JJN|SCL,|SCL|YYZ|PEK|JJN|
JJN|LCA,|LCA|FRA|TSE|URC|CSX|JJN|
JJN|NAP,|NAP|IST|URC|CSX|JJN|
JJN|VLC,|VLC|FRA|TSE|URC|CSX|JJN|
JJN|BKK,|BKK|CAN|JJN|
JJN|ADD,|ADD|IST|URC|CSX|JJN|
JJN|FRA,|FRA|TSE|URC|CSX|JJN|
JJN|IST,|IST|URC|CSX|JJN|
JJN|EBB,|EBB|KGL|IST|URC|CSX|JJN|
JJN|YLW,|YLW|YVR|PEK|JJN|
JJN|YYT,|YYT|LHR|CAN|JJN|
JJN|GUA,|GUA|IAH|PEK|JJN|
JJN|EWR,|EWR|PEK|JJN|
JJN|IAD,|IAD|PEK|JJN|
JJN|IAH,|IAH|PEK|JJN|
JJN|ORD,|ORD|PEK|JJN|
JJN|SOF,|SOF|IST|URC|CSX|JJN|
JJN|YQB,|YQB|YYZ|PEK|JJN|
JJN|YXU,|YXU|YYZ|PEK|JJN|
JJN|EZE,|EZE|GRU|IST|URC|CSX|JJN|
JJN|YYJ,|YYJ|YVR|PEK|JJN|
JJN|YYY,|YYY|YUL|YYZ|PEK|JJN|
JJN|YQQ,|YQQ|YBL|YVR|PEK|JJN|
JJN|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|JJN|
JJN|LHR,|LHR|CAN|JJN|
JJN|SFO,|SFO|ICN|DLC|HGH|JJN|
JJN|YQU,|YQU|YEG|YVR|PEK|JJN|
JJN|YZF,|YZF|YEG|YVR|PEK|JJN|
JJN|YGR,|YGR|YGP|YQB|YYZ|PEK|JJN|
JJN|YGP,|YGP|YQB|YYZ|PEK|JJN|
JJN|BOS,|BOS|YYZ|PEK|JJN|
JJN|YDF,|YDF|YYZ|PEK|JJN|
JJN|YFC,|YFC|YYZ|PEK|JJN|
JJN|YQM,|YQM|YYZ|PEK|JJN|
JJN|YQX,|YQX|YYT|LHR|CAN|JJN|
JJN|YQY,|YQY|YYZ|PEK|JJN|
JJN|YSJ,|YSJ|YYZ|PEK|JJN|
JJN|YYG,|YYG|YYZ|PEK|JJN|
JJN|LAX,|LAX|ICN|DLC|HGH|JJN|
JJN|DCA,|DCA|YYZ|PEK|JJN|
JJN|LGA,|LGA|YYZ|PEK|JJN|
JJN|YZV,|YZV|YQB|YYZ|PEK|JJN|
JJN|YWL,|YWL|YVR|PEK|JJN|
JJN|AZS,|AZS|YYZ|PEK|JJN|
JJN|BDL,|BDL|YYZ|PEK|JJN|
