JMU|BRU,|BRU|IST|PVG|JMU|
JMU|OUA,|OUA|NIM|IST|PVG|JMU|
JMU|JED,|JED|IST|PVG|JMU|
JMU|CPH,|CPH|AMS|PVG|JMU|
JMU|YYZ,|YYZ|PVG|JMU|
JMU|DEN,|DEN|YVR|PVG|JMU|
JMU|YUL,|YUL|YYZ|PVG|JMU|
JMU|NBO,|NBO|CAN|PVG|JMU|
JMU|ICN,|ICN|PVG|JMU|
JMU|NRT,|NRT|ICN|PVG|JMU|
JMU|YHZ,|YHZ|YYZ|PVG|JMU|
JMU|YOW,|YOW|YYZ|PVG|JMU|
JMU|BJM,|BJM|BRU|IST|PVG|JMU|
JMU|COO,|COO|BRU|IST|PVG|JMU|
JMU|DKR,|DKR|BRU|IST|PVG|JMU|
JMU|DLA,|DLA|IST|PVG|JMU|
JMU|KGL,|KGL|IST|PVG|JMU|
JMU|LAD,|LAD|BRU|IST|PVG|JMU|
JMU|ABJ,|ABJ|OUA|NIM|IST|PVG|JMU|
JMU|AMS,|AMS|PVG|JMU|
JMU|OSL,|OSL|CPH|AMS|PVG|JMU|
JMU|VNO,|VNO|IST|PVG|JMU|
JMU|WAW,|WAW|IST|PVG|JMU|
JMU|YYC,|YYC|YVR|PVG|JMU|
JMU|ATL,|ATL|ORD|PVG|JMU|
JMU|MSY,|MSY|DEN|YVR|PVG|JMU|
JMU|YEG,|YEG|YVR|PVG|JMU|
JMU|YMM,|YMM|YVR|PVG|JMU|
JMU|YQR,|YQR|YVR|PVG|JMU|
JMU|YVR,|YVR|PVG|JMU|
JMU|YWG,|YWG|YVR|PVG|JMU|
JMU|YXE,|YXE|YVR|PVG|JMU|
JMU|CKY,|CKY|DKR|BRU|IST|PVG|JMU|
JMU|FIH,|FIH|IST|PVG|JMU|
JMU|SCL,|SCL|YYZ|PVG|JMU|
JMU|LCA,|LCA|FRA|TSE|URC|PVG|JMU|
JMU|NAP,|NAP|IST|PVG|JMU|
JMU|VLC,|VLC|FRA|TSE|URC|PVG|JMU|
JMU|BKK,|BKK|CAN|PVG|JMU|
JMU|ADD,|ADD|IST|PVG|JMU|
JMU|FRA,|FRA|TSE|URC|PVG|JMU|
JMU|IST,|IST|PVG|JMU|
JMU|EBB,|EBB|KGL|IST|PVG|JMU|
JMU|YLW,|YLW|YVR|PVG|JMU|
JMU|YYT,|YYT|YYZ|PVG|JMU|
JMU|GUA,|GUA|IAH|YVR|PVG|JMU|
JMU|EWR,|EWR|PVG|JMU|
JMU|IAD,|IAD|YYZ|PVG|JMU|
JMU|IAH,|IAH|YVR|PVG|JMU|
JMU|ORD,|ORD|PVG|JMU|
JMU|SOF,|SOF|IST|PVG|JMU|
JMU|YQB,|YQB|YYZ|PVG|JMU|
JMU|YXU,|YXU|YYZ|PVG|JMU|
JMU|EZE,|EZE|GRU|IST|PVG|JMU|
JMU|YYJ,|YYJ|YVR|PVG|JMU|
JMU|YYY,|YYY|YUL|YYZ|PVG|JMU|
JMU|YQQ,|YQQ|YBL|YVR|PVG|JMU|
JMU|YYR,|YYR|YWK|YZV|YQB|YYZ|PVG|JMU|
JMU|LHR,|LHR|IST|PVG|JMU|
JMU|SFO,|SFO|PVG|JMU|
JMU|YQU,|YQU|YEG|YVR|PVG|JMU|
JMU|YZF,|YZF|YEG|YVR|PVG|JMU|
JMU|YGR,|YGR|YGP|YQB|YYZ|PVG|JMU|
JMU|YGP,|YGP|YQB|YYZ|PVG|JMU|
JMU|BOS,|BOS|YYZ|PVG|JMU|
JMU|YDF,|YDF|YYZ|PVG|JMU|
JMU|YFC,|YFC|YYZ|PVG|JMU|
JMU|YQM,|YQM|YYZ|PVG|JMU|
JMU|YQX,|YQX|YHZ|YYZ|PVG|JMU|
JMU|YQY,|YQY|YYZ|PVG|JMU|
JMU|YSJ,|YSJ|YYZ|PVG|JMU|
JMU|YYG,|YYG|YYZ|PVG|JMU|
JMU|LAX,|LAX|PVG|JMU|
JMU|DCA,|DCA|YYZ|PVG|JMU|
JMU|LGA,|LGA|YYZ|PVG|JMU|
JMU|YZV,|YZV|YQB|YYZ|PVG|JMU|
JMU|YWL,|YWL|YVR|PVG|JMU|
JMU|AZS,|AZS|YYZ|PVG|JMU|
JMU|BDL,|BDL|YYZ|PVG|JMU|
JMU|CCC,|CCC|YYZ|PVG|JMU|
JMU|CDG,|CDG|IST|PVG|JMU|
JMU|CUN,|CUN|YVR|PVG|JMU|
JMU|CZM,|CZM|IAH|YVR|PVG|JMU|
JMU|FDF,|FDF|YUL|YYZ|PVG|JMU|
JMU|FLL,|FLL|ORD|PVG|JMU|
JMU|GVA,|GVA|IST|PVG|JMU|
JMU|HOG,|HOG|YYZ|PVG|JMU|
JMU|LAS,|LAS|SFO|PVG|JMU|
JMU|MBJ,|MBJ|ATL|ORD|PVG|JMU|
JMU|MCO,|MCO|ORD|PVG|JMU|
JMU|MUC,|MUC|IST|PVG|JMU|
JMU|PAP,|PAP|YUL|YYZ|PVG|JMU|
JMU|PTP,|PTP|YUL|YYZ|PVG|JMU|
JMU|PUJ,|PUJ|EWR|PVG|JMU|
JMU|SNU,|SNU|YYZ|PVG|JMU|
JMU|VRA,|VRA|YYZ|PVG|JMU|
JMU|YBC,|YBC|YUL|YYZ|PVG|JMU|
JMU|YBG,|YBG|YUL|YYZ|PVG|JMU|
JMU|YTZ,|YTZ|YUL|YYZ|PVG|JMU|
JMU|YUY,|YUY|YUL|YYZ|PVG|JMU|
JMU|YVO,|YVO|YUL|YYZ|PVG|JMU|
JMU|ZBF,|ZBF|YUL|YYZ|PVG|JMU|
JMU|ZRH,|ZRH|IST|PVG|JMU|
JMU|ZSA,|ZSA|YUL|YYZ|PVG|JMU|
JMU|AKL,|AKL|CAN|PVG|JMU|
JMU|HKG,|HKG|CAN|PVG|JMU|
JMU|HND,|HND|HNL|NRT|ICN|PVG|JMU|
JMU|HNL,|HNL|NRT|ICN|PVG|JMU|
JMU|MEX,|MEX|SFO|PVG|JMU|
JMU|OGG,|OGG|HNL|NRT|ICN|PVG|JMU|
JMU|PDX,|PDX|SEA|ICN|PVG|JMU|
JMU|PEK,|PEK|PVG|JMU|
JMU|PVG,|PVG|JMU|
JMU|PVR,|PVR|LAX|PVG|JMU|
JMU|SEA,|SEA|ICN|PVG|JMU|
JMU|SYD,|SYD|CAN|PVG|JMU|
JMU|YBL,|YBL|YVR|PVG|JMU|
JMU|YCD,|YCD|YVR|PVG|JMU|
JMU|YCG,|YCG|YVR|PVG|JMU|
JMU|YKA,|YKA|YVR|PVG|JMU|
JMU|YPR,|YPR|YVR|PVG|JMU|
