JNG|BRU,|BRU|DEL|CAN|JNG|
JNG|OUA,|OUA|NIM|IST|CAN|JNG|
JNG|JED,|JED|IST|CAN|JNG|
JNG|CPH,|CPH|AMS|CAN|JNG|
JNG|YYZ,|YYZ|PEK|CAN|JNG|
JNG|DEN,|DEN|YVR|CAN|JNG|
JNG|YUL,|YUL|YYZ|PEK|CAN|JNG|
JNG|NBO,|NBO|CAN|JNG|
JNG|ICN,|ICN|CAN|JNG|
JNG|NRT,|NRT|CAN|JNG|
JNG|YHZ,|YHZ|YYZ|PEK|CAN|JNG|
JNG|YOW,|YOW|YYZ|PEK|CAN|JNG|
JNG|BJM,|BJM|BRU|DEL|CAN|JNG|
JNG|COO,|COO|BRU|DEL|CAN|JNG|
JNG|DKR,|DKR|BRU|DEL|CAN|JNG|
JNG|DLA,|DLA|IST|CAN|JNG|
JNG|KGL,|KGL|IST|CAN|JNG|
JNG|LAD,|LAD|BRU|DEL|CAN|JNG|
JNG|ABJ,|ABJ|OUA|NIM|IST|CAN|JNG|
JNG|AMS,|AMS|CAN|JNG|
JNG|OSL,|OSL|CPH|AMS|CAN|JNG|
JNG|VNO,|VNO|IST|CAN|JNG|
JNG|WAW,|WAW|IST|CAN|JNG|
JNG|YYC,|YYC|YVR|CAN|JNG|
JNG|ATL,|ATL|ORD|PEK|CAN|JNG|
JNG|MSY,|MSY|DEN|YVR|CAN|JNG|
JNG|YEG,|YEG|YVR|CAN|JNG|
JNG|YMM,|YMM|YVR|CAN|JNG|
JNG|YQR,|YQR|YVR|CAN|JNG|
JNG|YVR,|YVR|CAN|JNG|
JNG|YWG,|YWG|YVR|CAN|JNG|
JNG|YXE,|YXE|YVR|CAN|JNG|
JNG|CKY,|CKY|DKR|BRU|DEL|CAN|JNG|
JNG|FIH,|FIH|IST|CAN|JNG|
JNG|SCL,|SCL|YYZ|PEK|CAN|JNG|
JNG|LCA,|LCA|FRA|TSE|URC|CAN|JNG|
JNG|NAP,|NAP|IST|CAN|JNG|
JNG|VLC,|VLC|IST|CAN|JNG|
JNG|BKK,|BKK|CAN|JNG|
JNG|ADD,|ADD|IST|CAN|JNG|
JNG|FRA,|FRA|TSE|URC|CAN|JNG|
JNG|IST,|IST|CAN|JNG|
JNG|EBB,|EBB|KGL|IST|CAN|JNG|
JNG|YLW,|YLW|YVR|CAN|JNG|
JNG|YYT,|YYT|LHR|CAN|JNG|
JNG|GUA,|GUA|IAH|YVR|CAN|JNG|
JNG|EWR,|EWR|PEK|CAN|JNG|
JNG|IAD,|IAD|PEK|CAN|JNG|
JNG|IAH,|IAH|YVR|CAN|JNG|
JNG|ORD,|ORD|PEK|CAN|JNG|
JNG|SOF,|SOF|IST|CAN|JNG|
JNG|YQB,|YQB|YYZ|PEK|CAN|JNG|
JNG|YXU,|YXU|YYZ|PEK|CAN|JNG|
JNG|EZE,|EZE|GRU|IST|CAN|JNG|
JNG|YYJ,|YYJ|YVR|CAN|JNG|
JNG|YYY,|YYY|YUL|YYZ|PEK|CAN|JNG|
JNG|YQQ,|YQQ|YBL|YVR|CAN|JNG|
JNG|YYR,|YYR|YYT|LHR|CAN|JNG|
JNG|LHR,|LHR|CAN|JNG|
JNG|SFO,|SFO|PVG|CAN|JNG|
JNG|YQU,|YQU|YEG|YVR|CAN|JNG|
JNG|YZF,|YZF|YEG|YVR|CAN|JNG|
JNG|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|JNG|
JNG|YGP,|YGP|YQB|YYZ|PEK|CAN|JNG|
JNG|BOS,|BOS|YYZ|PEK|CAN|JNG|
JNG|YDF,|YDF|YYT|LHR|CAN|JNG|
JNG|YFC,|YFC|YYZ|PEK|CAN|JNG|
JNG|YQM,|YQM|YYZ|PEK|CAN|JNG|
JNG|YQX,|YQX|YYT|LHR|CAN|JNG|
JNG|YQY,|YQY|YYZ|PEK|CAN|JNG|
JNG|YSJ,|YSJ|YYZ|PEK|CAN|JNG|
JNG|YYG,|YYG|YYZ|PEK|CAN|JNG|
JNG|LAX,|LAX|CAN|JNG|
JNG|DCA,|DCA|YYZ|PEK|CAN|JNG|
JNG|LGA,|LGA|YYZ|PEK|CAN|JNG|
JNG|YZV,|YZV|YQB|YYZ|PEK|CAN|JNG|
JNG|YWL,|YWL|YVR|CAN|JNG|
JNG|AZS,|AZS|YYZ|PEK|CAN|JNG|
JNG|BDL,|BDL|YYZ|PEK|CAN|JNG|
JNG|CCC,|CCC|YYZ|PEK|CAN|JNG|
JNG|CDG,|CDG|CAN|JNG|
JNG|CUN,|CUN|YVR|CAN|JNG|
JNG|CZM,|CZM|IAH|YVR|CAN|JNG|
JNG|FDF,|FDF|YUL|YYZ|PEK|CAN|JNG|
JNG|FLL,|FLL|ORD|PEK|CAN|JNG|
JNG|GVA,|GVA|IST|CAN|JNG|
JNG|HOG,|HOG|YYZ|PEK|CAN|JNG|
JNG|LAS,|LAS|SFO|PVG|CAN|JNG|
JNG|MBJ,|MBJ|ATL|ORD|PEK|CAN|JNG|
JNG|MCO,|MCO|ORD|PEK|CAN|JNG|
JNG|MUC,|MUC|IST|CAN|JNG|
JNG|PAP,|PAP|YUL|YYZ|PEK|CAN|JNG|
JNG|PTP,|PTP|YUL|YYZ|PEK|CAN|JNG|
JNG|PUJ,|PUJ|EWR|PEK|CAN|JNG|
JNG|SNU,|SNU|YYZ|PEK|CAN|JNG|
JNG|VRA,|VRA|YYZ|PEK|CAN|JNG|
JNG|YBC,|YBC|YUL|YYZ|PEK|CAN|JNG|
JNG|YBG,|YBG|YUL|YYZ|PEK|CAN|JNG|
JNG|YTZ,|YTZ|YUL|YYZ|PEK|CAN|JNG|
JNG|YUY,|YUY|YUL|YYZ|PEK|CAN|JNG|
JNG|YVO,|YVO|YUL|YYZ|PEK|CAN|JNG|
JNG|ZBF,|ZBF|YUL|YYZ|PEK|CAN|JNG|
JNG|ZRH,|ZRH|IST|CAN|JNG|
JNG|ZSA,|ZSA|YUL|YYZ|PEK|CAN|JNG|
JNG|AKL,|AKL|CAN|JNG|
JNG|HKG,|HKG|CAN|JNG|
JNG|HND,|HND|HNL|NRT|CAN|JNG|
JNG|HNL,|HNL|NRT|CAN|JNG|
JNG|MEX,|MEX|SFO|PVG|CAN|JNG|
JNG|OGG,|OGG|HNL|NRT|CAN|JNG|
JNG|PDX,|PDX|SEA|ICN|CAN|JNG|
JNG|PEK,|PEK|CAN|JNG|
JNG|PVG,|PVG|CAN|JNG|
JNG|PVR,|PVR|LAX|CAN|JNG|
JNG|SEA,|SEA|ICN|CAN|JNG|
JNG|SYD,|SYD|CAN|JNG|
JNG|YBL,|YBL|YVR|CAN|JNG|
JNG|YCD,|YCD|YVR|CAN|JNG|
JNG|YCG,|YCG|YVR|CAN|JNG|
JNG|YKA,|YKA|YVR|CAN|JNG|
JNG|YPR,|YPR|YVR|CAN|JNG|
JNG|YQZ,|YQZ|YVR|CAN|JNG|
JNG|YXC,|YXC|YVR|CAN|JNG|
JNG|YXJ,|YXJ|YVR|CAN|JNG|
JNG|YXS,|YXS|YVR|CAN|JNG|
JNG|YXT,|YXT|YVR|CAN|JNG|
JNG|YXY,|YXY|YVR|CAN|JNG|
JNG|YYD,|YYD|YVR|CAN|JNG|
JNG|YYF,|YYF|YVR|CAN|JNG|
JNG|YZP,|YZP|YVR|CAN|JNG|
JNG|YQT,|YQT|YWG|YVR|CAN|JNG|
JNG|SJD,|SJD|LAX|CAN|JNG|
JNG|YQF,|YQF|YYC|YVR|CAN|JNG|
JNG|YQL,|YQL|YYC|YVR|CAN|JNG|
JNG|YXH,|YXH|YYC|YVR|CAN|JNG|
JNG|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|JNG|
JNG|ANU,|ANU|EWR|PEK|CAN|JNG|
JNG|AUA,|AUA|EWR|PEK|CAN|JNG|
JNG|AUH,|AUH|IST|CAN|JNG|
JNG|BCN,|BCN|IST|CAN|JNG|
JNG|BDA,|BDA|EWR|PEK|CAN|JNG|
JNG|BGI,|BGI|YYZ|PEK|CAN|JNG|
JNG|BNA,|BNA|ORD|PEK|CAN|JNG|
JNG|BOG,|BOG|MIA|ORD|PEK|CAN|JNG|
JNG|BWI,|BWI|YYZ|PEK|CAN|JNG|
JNG|CLE,|CLE|YYZ|PEK|CAN|JNG|
JNG|CLT,|CLT|YYZ|PEK|CAN|JNG|
JNG|CMH,|CMH|ORD|PEK|CAN|JNG|
JNG|CVG,|CVG|ORD|PEK|CAN|JNG|
JNG|DFW,|DFW|YVR|CAN|JNG|
JNG|DTW,|DTW|PEK|CAN|JNG|
JNG|DUB,|DUB|IST|CAN|JNG|
JNG|FCO,|FCO|IST|CAN|JNG|
JNG|GCM,|GCM|YYZ|PEK|CAN|JNG|
JNG|GGT,|GGT|YYZ|PEK|CAN|JNG|
JNG|GND,|GND|YYZ|PEK|CAN|JNG|
JNG|GRU,|GRU|IST|CAN|JNG|
JNG|HAV,|HAV|YYZ|PEK|CAN|JNG|
JNG|IND,|IND|ORD|PEK|CAN|JNG|
JNG|JFK,|JFK|PEK|CAN|JNG|
JNG|KIN,|KIN|YYZ|PEK|CAN|JNG|
JNG|LIM,|LIM|IAH|YVR|CAN|JNG|
JNG|LIR,|LIR|IAH|YVR|CAN|JNG|
JNG|MCI,|MCI|DEN|YVR|CAN|JNG|
JNG|MDT,|MDT|YYZ|PEK|CAN|JNG|
JNG|MIA,|MIA|ORD|PEK|CAN|JNG|
JNG|MKE,|MKE|ORD|PEK|CAN|JNG|
JNG|MSP,|MSP|ORD|PEK|CAN|JNG|
JNG|NAS,|NAS|YYZ|PEK|CAN|JNG|
JNG|PHL,|PHL|YYZ|PEK|CAN|JNG|
JNG|PHX,|PHX|SFO|PVG|CAN|JNG|
JNG|PIT,|PIT|YYZ|PEK|CAN|JNG|
JNG|PLS,|PLS|EWR|PEK|CAN|JNG|
JNG|POP,|POP|EWR|PEK|CAN|JNG|
JNG|RDU,|RDU|YYZ|PEK|CAN|JNG|
JNG|ROC,|ROC|YYZ|PEK|CAN|JNG|
JNG|RSW,|RSW|ORD|PEK|CAN|JNG|
JNG|SAN,|SAN|LAX|CAN|JNG|
JNG|SJO,|SJO|IAH|YVR|CAN|JNG|
JNG|STL,|STL|ORD|PEK|CAN|JNG|
JNG|SYR,|SYR|YYZ|PEK|CAN|JNG|
JNG|TLV,|TLV|IST|CAN|JNG|
JNG|TPA,|TPA|ORD|PEK|CAN|JNG|
JNG|UVF,|UVF|EWR|PEK|CAN|JNG|
JNG|VIE,|VIE|IST|CAN|JNG|
JNG|YAM,|YAM|YYZ|PEK|CAN|JNG|
JNG|YGK,|YGK|YYZ|PEK|CAN|JNG|
JNG|YQG,|YQG|YYZ|PEK|CAN|JNG|
JNG|YSB,|YSB|YYZ|PEK|CAN|JNG|
JNG|YTS,|YTS|YYZ|PEK|CAN|JNG|
JNG|YYB,|YYB|YYZ|PEK|CAN|JNG|
JNG|YZR,|YZR|YYZ|PEK|CAN|JNG|
JNG|CAN,|CAN|JNG|
JNG|URC,|URC|CAN|JNG|
JNG|CTU,|CTU|CAN|JNG|
JNG|HGH,|HGH|CAN|JNG|
