KAN|BRU,|BRU|IST|NDJ|KAN|
KAN|OUA,|OUA|NIM|IST|NDJ|KAN|
KAN|JED,|JED|IST|NDJ|KAN|
KAN|CPH,|CPH|IST|NDJ|KAN|
KAN|YYZ,|YYZ|IST|NDJ|KAN|
KAN|DEN,|DEN|FRA|IST|NDJ|KAN|
KAN|YUL,|YUL|FRA|IST|NDJ|KAN|
KAN|NBO,|NBO|IST|NDJ|KAN|
KAN|ICN,|ICN|IST|NDJ|KAN|
KAN|NRT,|NRT|IST|NDJ|KAN|
KAN|YHZ,|YHZ|LHR|IST|NDJ|KAN|
KAN|YOW,|YOW|FRA|IST|NDJ|KAN|
KAN|BJM,|BJM|BRU|IST|NDJ|KAN|
KAN|COO,|COO|BRU|IST|NDJ|KAN|
KAN|DKR,|DKR|BRU|IST|NDJ|KAN|
KAN|DLA,|DLA|IST|NDJ|KAN|
KAN|KGL,|KGL|IST|NDJ|KAN|
KAN|LAD,|LAD|BRU|IST|NDJ|KAN|
KAN|ABJ,|ABJ|OUA|NIM|IST|NDJ|KAN|
KAN|AMS,|AMS|IST|NDJ|KAN|
KAN|OSL,|OSL|IST|NDJ|KAN|
KAN|VNO,|VNO|IST|NDJ|KAN|
KAN|WAW,|WAW|IST|NDJ|KAN|
KAN|YYC,|YYC|FRA|IST|NDJ|KAN|
KAN|ATL,|ATL|FRA|IST|NDJ|KAN|
KAN|MSY,|MSY|IAD|IST|NDJ|KAN|
KAN|YEG,|YEG|LHR|IST|NDJ|KAN|
KAN|YMM,|YMM|YEG|LHR|IST|NDJ|KAN|
KAN|YQR,|YQR|YEG|LHR|IST|NDJ|KAN|
KAN|YVR,|YVR|MUC|IST|NDJ|KAN|
KAN|YWG,|YWG|YUL|FRA|IST|NDJ|KAN|
KAN|YXE,|YXE|YEG|LHR|IST|NDJ|KAN|
KAN|CKY,|CKY|DKR|BRU|IST|NDJ|KAN|
KAN|FIH,|FIH|IST|NDJ|KAN|
KAN|SCL,|SCL|EZE|GRU|IST|NDJ|KAN|
KAN|LCA,|LCA|FRA|IST|NDJ|KAN|
KAN|NAP,|NAP|IST|NDJ|KAN|
KAN|VLC,|VLC|IST|NDJ|KAN|
KAN|BKK,|BKK|IST|NDJ|KAN|
KAN|ADD,|ADD|IST|NDJ|KAN|
KAN|FRA,|FRA|IST|NDJ|KAN|
