KBL|BRU,|BRU|IST|KBL|
KBL|OUA,|OUA|NIM|IST|KBL|
KBL|JED,|JED|IST|KBL|
KBL|CPH,|CPH|IST|KBL|
KBL|YYZ,|YYZ|IST|KBL|
KBL|DEN,|DEN|FRA|IST|KBL|
KBL|YUL,|YUL|FRA|IST|KBL|
KBL|NBO,|NBO|IST|KBL|
KBL|ICN,|ICN|IST|KBL|
KBL|NRT,|NRT|IST|KBL|
KBL|YHZ,|YHZ|LHR|IST|KBL|
KBL|YOW,|YOW|FRA|IST|KBL|
KBL|BJM,|BJM|BRU|IST|KBL|
KBL|COO,|COO|BRU|IST|KBL|
KBL|DKR,|DKR|BRU|IST|KBL|
KBL|DLA,|DLA|IST|KBL|
KBL|KGL,|KGL|IST|KBL|
KBL|LAD,|LAD|BRU|IST|KBL|
KBL|ABJ,|ABJ|OUA|NIM|IST|KBL|
KBL|AMS,|AMS|IST|KBL|
KBL|OSL,|OSL|IST|KBL|
KBL|VNO,|VNO|IST|KBL|
KBL|WAW,|WAW|IST|KBL|
KBL|YYC,|YYC|FRA|IST|KBL|
KBL|ATL,|ATL|FRA|IST|KBL|
KBL|MSY,|MSY|IAD|IST|KBL|
KBL|YEG,|YEG|LHR|IST|KBL|
KBL|YMM,|YMM|YEG|LHR|IST|KBL|
KBL|YQR,|YQR|YEG|LHR|IST|KBL|
KBL|YVR,|YVR|MUC|IST|KBL|
KBL|YWG,|YWG|YUL|FRA|IST|KBL|
KBL|YXE,|YXE|YEG|LHR|IST|KBL|
KBL|CKY,|CKY|DKR|BRU|IST|KBL|
KBL|FIH,|FIH|IST|KBL|
KBL|SCL,|SCL|EZE|GRU|IST|KBL|
KBL|LCA,|LCA|FRA|IST|KBL|
KBL|NAP,|NAP|IST|KBL|
KBL|VLC,|VLC|IST|KBL|
KBL|BKK,|BKK|IST|KBL|
KBL|ADD,|ADD|IST|KBL|
KBL|FRA,|FRA|IST|KBL|
KBL|IST,|IST|KBL|
KBL|EBB,|EBB|KGL|IST|KBL|
KBL|YLW,|YLW|YYC|FRA|IST|KBL|
KBL|YYT,|YYT|LHR|IST|KBL|
KBL|GUA,|GUA|MIA|ZRH|IST|KBL|
KBL|EWR,|EWR|BHX|IST|KBL|
KBL|IAD,|IAD|IST|KBL|
KBL|IAH,|IAH|IST|KBL|
KBL|ORD,|ORD|IST|KBL|
KBL|SOF,|SOF|IST|KBL|
KBL|YQB,|YQB|YUL|FRA|IST|KBL|
KBL|YXU,|YXU|YYZ|IST|KBL|
KBL|EZE,|EZE|GRU|IST|KBL|
KBL|YYJ,|YYJ|YVR|MUC|IST|KBL|
KBL|YYY,|YYY|YUL|FRA|IST|KBL|
KBL|YQQ,|YQQ|YBL|YVR|MUC|IST|KBL|
KBL|YYR,|YYR|YYT|LHR|IST|KBL|
KBL|LHR,|LHR|IST|KBL|
KBL|SFO,|SFO|MUC|IST|KBL|
KBL|YQU,|YQU|YEG|LHR|IST|KBL|
KBL|YZF,|YZF|YEG|LHR|IST|KBL|
KBL|YGR,|YGR|YGP|YQB|YUL|FRA|IST|KBL|
KBL|YGP,|YGP|YQB|YUL|FRA|IST|KBL|
KBL|BOS,|BOS|FRA|IST|KBL|
KBL|YDF,|YDF|YYT|LHR|IST|KBL|
KBL|YFC,|YFC|YHZ|LHR|IST|KBL|
