KCM|BRU,|BRU|IST|KCM|
KCM|OUA,|OUA|NIM|IST|KCM|
KCM|JED,|JED|IST|KCM|
KCM|CPH,|CPH|IST|KCM|
KCM|YYZ,|YYZ|VIE|ESB|KCM|
KCM|DEN,|DEN|FRA|ESB|KCM|
KCM|YUL,|YUL|FRA|ESB|KCM|
KCM|NBO,|NBO|IST|KCM|
KCM|ICN,|ICN|IST|KCM|
KCM|NRT,|NRT|IST|KCM|
KCM|YHZ,|YHZ|LHR|IST|KCM|
KCM|YOW,|YOW|FRA|ESB|KCM|
KCM|BJM,|BJM|BRU|IST|KCM|
KCM|COO,|COO|BRU|IST|KCM|
KCM|DKR,|DKR|BRU|IST|KCM|
KCM|DLA,|DLA|IST|KCM|
KCM|KGL,|KGL|IST|KCM|
KCM|LAD,|LAD|BRU|IST|KCM|
KCM|ABJ,|ABJ|OUA|NIM|IST|KCM|
KCM|AMS,|AMS|IST|KCM|
KCM|OSL,|OSL|IST|KCM|
KCM|VNO,|VNO|IST|KCM|
KCM|WAW,|WAW|IST|KCM|
KCM|YYC,|YYC|FRA|ESB|KCM|
KCM|ATL,|ATL|IAD|VIE|ESB|KCM|
KCM|MSY,|MSY|IAD|VIE|ESB|KCM|
KCM|YEG,|YEG|LHR|IST|KCM|
KCM|YMM,|YMM|YEG|LHR|IST|KCM|
KCM|YQR,|YQR|YEG|LHR|IST|KCM|
KCM|YVR,|YVR|FRA|ESB|KCM|
KCM|YWG,|YWG|YUL|FRA|ESB|KCM|
KCM|YXE,|YXE|YEG|LHR|IST|KCM|
KCM|CKY,|CKY|DKR|BRU|IST|KCM|
KCM|FIH,|FIH|IST|KCM|
KCM|SCL,|SCL|EZE|GRU|IST|KCM|
KCM|LCA,|LCA|FRA|ESB|KCM|
KCM|NAP,|NAP|IST|KCM|
KCM|VLC,|VLC|IST|KCM|
KCM|BKK,|BKK|IST|KCM|
KCM|ADD,|ADD|IST|KCM|
KCM|FRA,|FRA|ESB|KCM|
KCM|IST,|IST|KCM|
KCM|EBB,|EBB|KGL|IST|KCM|
KCM|YLW,|YLW|YYC|FRA|ESB|KCM|
KCM|YYT,|YYT|LHR|IST|KCM|
KCM|GUA,|GUA|MIA|ZRH|IST|KCM|
KCM|EWR,|EWR|FRA|ESB|KCM|
KCM|IAD,|IAD|VIE|ESB|KCM|
KCM|IAH,|IAH|YYZ|VIE|ESB|KCM|
KCM|ORD,|ORD|VIE|ESB|KCM|
KCM|SOF,|SOF|IST|KCM|
KCM|YQB,|YQB|YUL|FRA|ESB|KCM|
KCM|YXU,|YXU|YYZ|VIE|ESB|KCM|
KCM|EZE,|EZE|GRU|IST|KCM|
KCM|YYJ,|YYJ|YVR|FRA|ESB|KCM|
KCM|YYY,|YYY|YUL|FRA|ESB|KCM|
KCM|YQQ,|YQQ|YBL|YVR|FRA|ESB|KCM|
KCM|YYR,|YYR|YYT|LHR|IST|KCM|
KCM|LHR,|LHR|IST|KCM|
KCM|SFO,|SFO|FRA|ESB|KCM|
KCM|YQU,|YQU|YEG|LHR|IST|KCM|
KCM|YZF,|YZF|YEG|LHR|IST|KCM|
KCM|YGR,|YGR|YGP|YQB|YUL|FRA|ESB|KCM|
KCM|YGP,|YGP|YQB|YUL|FRA|ESB|KCM|
KCM|BOS,|BOS|FRA|ESB|KCM|
KCM|YDF,|YDF|YYT|LHR|IST|KCM|
KCM|YFC,|YFC|YHZ|LHR|IST|KCM|
KCM|YQM,|YQM|YHZ|LHR|IST|KCM|
KCM|YQX,|YQX|YYT|LHR|IST|KCM|
KCM|YQY,|YQY|YHZ|LHR|IST|KCM|
KCM|YSJ,|YSJ|YHZ|LHR|IST|KCM|
KCM|YYG,|YYG|YHZ|LHR|IST|KCM|
KCM|LAX,|LAX|IST|KCM|
KCM|DCA,|DCA|EWR|FRA|ESB|KCM|
KCM|LGA,|LGA|YHZ|LHR|IST|KCM|
KCM|YZV,|YZV|YWK|YYR|YYT|LHR|IST|KCM|
KCM|YWL,|YWL|YVR|FRA|ESB|KCM|
KCM|AZS,|AZS|YUL|FRA|ESB|KCM|
KCM|BDL,|BDL|YUL|FRA|ESB|KCM|
KCM|CCC,|CCC|YUL|FRA|ESB|KCM|
KCM|CDG,|CDG|IST|KCM|
KCM|CUN,|CUN|YHZ|LHR|IST|KCM|
KCM|CZM,|CZM|YUL|FRA|ESB|KCM|
KCM|FDF,|FDF|YUL|FRA|ESB|KCM|
KCM|FLL,|FLL|MCO|FRA|ESB|KCM|
KCM|GVA,|GVA|IST|KCM|
KCM|HOG,|HOG|YUL|FRA|ESB|KCM|
KCM|LAS,|LAS|DEN|FRA|ESB|KCM|
KCM|MBJ,|MBJ|YHZ|LHR|IST|KCM|
KCM|MCO,|MCO|FRA|ESB|KCM|
KCM|MUC,|MUC|IST|KCM|
KCM|PAP,|PAP|YUL|FRA|ESB|KCM|
KCM|PTP,|PTP|YUL|FRA|ESB|KCM|
KCM|PUJ,|PUJ|YHZ|LHR|IST|KCM|
KCM|SNU,|SNU|YUL|FRA|ESB|KCM|
KCM|VRA,|VRA|YUL|FRA|ESB|KCM|
KCM|YBC,|YBC|YUL|FRA|ESB|KCM|
KCM|YBG,|YBG|YUL|FRA|ESB|KCM|
KCM|YTZ,|YTZ|YUL|FRA|ESB|KCM|
KCM|YUY,|YUY|YUL|FRA|ESB|KCM|
KCM|YVO,|YVO|YUL|FRA|ESB|KCM|
KCM|ZBF,|ZBF|YUL|FRA|ESB|KCM|
KCM|ZRH,|ZRH|IST|KCM|
KCM|ZSA,|ZSA|YUL|FRA|ESB|KCM|
KCM|AKL,|AKL|BKK|IST|KCM|
KCM|HKG,|HKG|IST|KCM|
KCM|HND,|HND|YVR|FRA|ESB|KCM|
KCM|HNL,|HNL|YVR|FRA|ESB|KCM|
KCM|MEX,|MEX|IAD|VIE|ESB|KCM|
KCM|OGG,|OGG|YVR|FRA|ESB|KCM|
KCM|PDX,|PDX|SEA|FRA|ESB|KCM|
KCM|PEK,|PEK|IST|KCM|
KCM|PVG,|PVG|IST|KCM|
KCM|PVR,|PVR|ORD|VIE|ESB|KCM|
KCM|SEA,|SEA|FRA|ESB|KCM|
KCM|SYD,|SYD|BKK|IST|KCM|
KCM|YBL,|YBL|YVR|FRA|ESB|KCM|
KCM|YCD,|YCD|YVR|FRA|ESB|KCM|
KCM|YCG,|YCG|YYC|FRA|ESB|KCM|
KCM|YKA,|YKA|YYC|FRA|ESB|KCM|
KCM|YPR,|YPR|YVR|FRA|ESB|KCM|
KCM|YQZ,|YQZ|YVR|FRA|ESB|KCM|
KCM|YXC,|YXC|YYC|FRA|ESB|KCM|
KCM|YXJ,|YXJ|YYC|FRA|ESB|KCM|
KCM|YXS,|YXS|YYC|FRA|ESB|KCM|
KCM|YXT,|YXT|YVR|FRA|ESB|KCM|
KCM|YXY,|YXY|YVR|FRA|ESB|KCM|
KCM|YYD,|YYD|YVR|FRA|ESB|KCM|
KCM|YYF,|YYF|YVR|FRA|ESB|KCM|
KCM|YZP,|YZP|YVR|FRA|ESB|KCM|
KCM|YQT,|YQT|YYZ|VIE|ESB|KCM|
KCM|SJD,|SJD|ORD|VIE|ESB|KCM|
KCM|YQF,|YQF|YYC|FRA|ESB|KCM|
KCM|YQL,|YQL|YYC|FRA|ESB|KCM|
KCM|YXH,|YXH|YYC|FRA|ESB|KCM|
KCM|YWK,|YWK|YYR|YYT|LHR|IST|KCM|
KCM|ANU,|ANU|EWR|FRA|ESB|KCM|
KCM|AUA,|AUA|EWR|FRA|ESB|KCM|
KCM|AUH,|AUH|IST|KCM|
KCM|BCN,|BCN|IST|KCM|
KCM|BDA,|BDA|EWR|FRA|ESB|KCM|
KCM|BGI,|BGI|YYZ|VIE|ESB|KCM|
KCM|BNA,|BNA|YYZ|VIE|ESB|KCM|
KCM|BOG,|BOG|JFK|VIE|ESB|KCM|
KCM|BWI,|BWI|EWR|FRA|ESB|KCM|
KCM|CLE,|CLE|YYZ|VIE|ESB|KCM|
KCM|CLT,|CLT|EWR|FRA|ESB|KCM|
KCM|CMH,|CMH|YYZ|VIE|ESB|KCM|
KCM|CVG,|CVG|YYZ|VIE|ESB|KCM|
KCM|DFW,|DFW|ORD|VIE|ESB|KCM|
KCM|DTW,|DTW|YYZ|VIE|ESB|KCM|
KCM|DUB,|DUB|IST|KCM|
KCM|FCO,|FCO|IST|KCM|
KCM|GCM,|GCM|EWR|FRA|ESB|KCM|
KCM|GGT,|GGT|FLL|MCO|FRA|ESB|KCM|
KCM|GND,|GND|YYZ|VIE|ESB|KCM|
KCM|GRU,|GRU|IST|KCM|
KCM|HAV,|HAV|YYZ|VIE|ESB|KCM|
KCM|IND,|IND|YYZ|VIE|ESB|KCM|
KCM|JFK,|JFK|VIE|ESB|KCM|
KCM|KIN,|KIN|YYZ|VIE|ESB|KCM|
KCM|LIM,|LIM|MIA|ZRH|IST|KCM|
KCM|LIR,|LIR|EWR|FRA|ESB|KCM|
KCM|MCI,|MCI|ORD|VIE|ESB|KCM|
KCM|MDT,|MDT|IAD|VIE|ESB|KCM|
KCM|MIA,|MIA|ZRH|IST|KCM|
KCM|MKE,|MKE|YYZ|VIE|ESB|KCM|
KCM|MSP,|MSP|YUL|FRA|ESB|KCM|
KCM|NAS,|NAS|EWR|FRA|ESB|KCM|
KCM|PHL,|PHL|IAD|VIE|ESB|KCM|
KCM|PHX,|PHX|DEN|FRA|ESB|KCM|
KCM|PIT,|PIT|YYZ|VIE|ESB|KCM|
KCM|PLS,|PLS|EWR|FRA|ESB|KCM|
KCM|POP,|POP|EWR|FRA|ESB|KCM|
KCM|RDU,|RDU|EWR|FRA|ESB|KCM|
KCM|ROC,|ROC|YYZ|VIE|ESB|KCM|
KCM|RSW,|RSW|MCO|FRA|ESB|KCM|
KCM|SAN,|SAN|LAX|IST|KCM|
KCM|SJO,|SJO|EWR|FRA|ESB|KCM|
KCM|STL,|STL|ORD|VIE|ESB|KCM|
KCM|SYR,|SYR|EWR|FRA|ESB|KCM|
KCM|TLV,|TLV|SAW|ESB|KCM|
KCM|TPA,|TPA|EWR|FRA|ESB|KCM|
KCM|UVF,|UVF|EWR|FRA|ESB|KCM|
KCM|VIE,|VIE|ESB|KCM|
KCM|YAM,|YAM|YYZ|VIE|ESB|KCM|
KCM|YGK,|YGK|YYZ|VIE|ESB|KCM|
KCM|YQG,|YQG|YYZ|VIE|ESB|KCM|
KCM|YSB,|YSB|YYZ|VIE|ESB|KCM|
KCM|YTS,|YTS|YYZ|VIE|ESB|KCM|
KCM|YYB,|YYB|YYZ|VIE|ESB|KCM|
