KHI|BRU,|BRU|IST|KHI|
KHI|OUA,|OUA|NIM|IST|KHI|
KHI|JED,|JED|IST|KHI|
KHI|CPH,|CPH|IST|KHI|
KHI|YYZ,|YYZ|IST|KHI|
KHI|DEN,|DEN|FRA|IST|KHI|
KHI|YUL,|YUL|FRA|IST|KHI|
KHI|NBO,|NBO|IST|KHI|
KHI|ICN,|ICN|IST|KHI|
KHI|NRT,|NRT|IST|KHI|
KHI|YHZ,|YHZ|LHR|IST|KHI|
KHI|YOW,|YOW|FRA|IST|KHI|
KHI|BJM,|BJM|BRU|IST|KHI|
KHI|COO,|COO|BRU|IST|KHI|
KHI|DKR,|DKR|BRU|IST|KHI|
KHI|DLA,|DLA|IST|KHI|
KHI|KGL,|KGL|IST|KHI|
KHI|LAD,|LAD|BRU|IST|KHI|
KHI|ABJ,|ABJ|OUA|NIM|IST|KHI|
KHI|AMS,|AMS|IST|KHI|
KHI|OSL,|OSL|IST|KHI|
KHI|VNO,|VNO|IST|KHI|
KHI|WAW,|WAW|IST|KHI|
KHI|YYC,|YYC|FRA|IST|KHI|
KHI|ATL,|ATL|FRA|IST|KHI|
KHI|MSY,|MSY|IAD|IST|KHI|
KHI|YEG,|YEG|LHR|IST|KHI|
KHI|YMM,|YMM|YEG|LHR|IST|KHI|
KHI|YQR,|YQR|YEG|LHR|IST|KHI|
KHI|YVR,|YVR|MUC|IST|KHI|
KHI|YWG,|YWG|YUL|FRA|IST|KHI|
KHI|YXE,|YXE|YEG|LHR|IST|KHI|
KHI|CKY,|CKY|DKR|BRU|IST|KHI|
KHI|FIH,|FIH|IST|KHI|
KHI|SCL,|SCL|EZE|GRU|IST|KHI|
KHI|LCA,|LCA|FRA|IST|KHI|
KHI|NAP,|NAP|IST|KHI|
KHI|VLC,|VLC|IST|KHI|
KHI|BKK,|BKK|IST|KHI|
KHI|ADD,|ADD|IST|KHI|
KHI|FRA,|FRA|IST|KHI|
KHI|IST,|IST|KHI|
KHI|EBB,|EBB|KGL|IST|KHI|
KHI|YLW,|YLW|YYC|FRA|IST|KHI|
KHI|YYT,|YYT|LHR|IST|KHI|
KHI|GUA,|GUA|MIA|ZRH|IST|KHI|
KHI|EWR,|EWR|BHX|IST|KHI|
KHI|IAD,|IAD|IST|KHI|
KHI|IAH,|IAH|IST|KHI|
KHI|ORD,|ORD|IST|KHI|
KHI|SOF,|SOF|IST|KHI|
KHI|YQB,|YQB|YUL|FRA|IST|KHI|
KHI|YXU,|YXU|YYZ|IST|KHI|
KHI|EZE,|EZE|GRU|IST|KHI|
KHI|YYJ,|YYJ|YVR|MUC|IST|KHI|
KHI|YYY,|YYY|YUL|FRA|IST|KHI|
KHI|YQQ,|YQQ|YBL|YVR|MUC|IST|KHI|
KHI|YYR,|YYR|YYT|LHR|IST|KHI|
KHI|LHR,|LHR|IST|KHI|
KHI|SFO,|SFO|MUC|IST|KHI|
KHI|YQU,|YQU|YEG|LHR|IST|KHI|
KHI|YZF,|YZF|YEG|LHR|IST|KHI|
KHI|YGR,|YGR|YGP|YQB|YUL|FRA|IST|KHI|
KHI|YGP,|YGP|YQB|YUL|FRA|IST|KHI|
KHI|BOS,|BOS|FRA|IST|KHI|
KHI|YDF,|YDF|YYT|LHR|IST|KHI|
KHI|YFC,|YFC|YHZ|LHR|IST|KHI|
KHI|YQM,|YQM|YHZ|LHR|IST|KHI|
KHI|YQX,|YQX|YYT|LHR|IST|KHI|
KHI|YQY,|YQY|YHZ|LHR|IST|KHI|
KHI|YSJ,|YSJ|YHZ|LHR|IST|KHI|
KHI|YYG,|YYG|YHZ|LHR|IST|KHI|
KHI|LAX,|LAX|IST|KHI|
KHI|DCA,|DCA|EWR|BHX|IST|KHI|
KHI|LGA,|LGA|YHZ|LHR|IST|KHI|
KHI|YZV,|YZV|YWK|YYR|YYT|LHR|IST|KHI|
KHI|YWL,|YWL|YVR|MUC|IST|KHI|
KHI|AZS,|AZS|YUL|FRA|IST|KHI|
KHI|BDL,|BDL|YUL|FRA|IST|KHI|
KHI|CCC,|CCC|YUL|FRA|IST|KHI|
KHI|CDG,|CDG|IST|KHI|
KHI|CUN,|CUN|YHZ|LHR|IST|KHI|
KHI|CZM,|CZM|YUL|FRA|IST|KHI|
KHI|FDF,|FDF|YUL|FRA|IST|KHI|
KHI|FLL,|FLL|MCO|FRA|IST|KHI|
KHI|GVA,|GVA|IST|KHI|
KHI|HOG,|HOG|YUL|FRA|IST|KHI|
KHI|LAS,|LAS|DEN|FRA|IST|KHI|
KHI|MBJ,|MBJ|YHZ|LHR|IST|KHI|
KHI|MCO,|MCO|FRA|IST|KHI|
KHI|MUC,|MUC|IST|KHI|
KHI|PAP,|PAP|YUL|FRA|IST|KHI|
KHI|PTP,|PTP|YUL|FRA|IST|KHI|
KHI|PUJ,|PUJ|YHZ|LHR|IST|KHI|
KHI|SNU,|SNU|YUL|FRA|IST|KHI|
KHI|VRA,|VRA|YUL|FRA|IST|KHI|
KHI|YBC,|YBC|YUL|FRA|IST|KHI|
KHI|YBG,|YBG|YUL|FRA|IST|KHI|
KHI|YTZ,|YTZ|YUL|FRA|IST|KHI|
KHI|YUY,|YUY|YUL|FRA|IST|KHI|
KHI|YVO,|YVO|YUL|FRA|IST|KHI|
KHI|ZBF,|ZBF|YUL|FRA|IST|KHI|
KHI|ZRH,|ZRH|IST|KHI|
KHI|ZSA,|ZSA|YUL|FRA|IST|KHI|
KHI|AKL,|AKL|BKK|IST|KHI|
KHI|HKG,|HKG|IST|KHI|
KHI|HND,|HND|YVR|MUC|IST|KHI|
KHI|HNL,|HNL|YVR|MUC|IST|KHI|
KHI|MEX,|MEX|IAD|IST|KHI|
KHI|OGG,|OGG|YVR|MUC|IST|KHI|
KHI|PDX,|PDX|SEA|FRA|IST|KHI|
KHI|PEK,|PEK|IST|KHI|
KHI|PVG,|PVG|IST|KHI|
KHI|PVR,|PVR|ORD|IST|KHI|
KHI|SEA,|SEA|FRA|IST|KHI|
KHI|SYD,|SYD|BKK|IST|KHI|
KHI|YBL,|YBL|YVR|MUC|IST|KHI|
KHI|YCD,|YCD|YVR|MUC|IST|KHI|
KHI|YCG,|YCG|YYC|FRA|IST|KHI|
KHI|YKA,|YKA|YYC|FRA|IST|KHI|
KHI|YPR,|YPR|YVR|MUC|IST|KHI|
KHI|YQZ,|YQZ|YVR|MUC|IST|KHI|
KHI|YXC,|YXC|YYC|FRA|IST|KHI|
KHI|YXJ,|YXJ|YYC|FRA|IST|KHI|
KHI|YXS,|YXS|YYC|FRA|IST|KHI|
KHI|YXT,|YXT|YVR|MUC|IST|KHI|
KHI|YXY,|YXY|YVR|MUC|IST|KHI|
KHI|YYD,|YYD|YVR|MUC|IST|KHI|
KHI|YYF,|YYF|YVR|MUC|IST|KHI|
KHI|YZP,|YZP|YVR|MUC|IST|KHI|
KHI|YQT,|YQT|YYZ|IST|KHI|
KHI|SJD,|SJD|ORD|IST|KHI|
KHI|YQF,|YQF|YYC|FRA|IST|KHI|
KHI|YQL,|YQL|YYC|FRA|IST|KHI|
KHI|YXH,|YXH|YYC|FRA|IST|KHI|
KHI|YWK,|YWK|YYR|YYT|LHR|IST|KHI|
KHI|ANU,|ANU|EWR|BHX|IST|KHI|
KHI|AUA,|AUA|EWR|BHX|IST|KHI|
KHI|AUH,|AUH|IST|KHI|
KHI|BCN,|BCN|IST|KHI|
KHI|BDA,|BDA|EWR|BHX|IST|KHI|
KHI|BGI,|BGI|YYZ|IST|KHI|
KHI|BNA,|BNA|YYZ|IST|KHI|
KHI|BOG,|BOG|MIA|ZRH|IST|KHI|
KHI|BWI,|BWI|EWR|BHX|IST|KHI|
KHI|CLE,|CLE|YYZ|IST|KHI|
KHI|CLT,|CLT|EWR|BHX|IST|KHI|
KHI|CMH,|CMH|YYZ|IST|KHI|
KHI|CVG,|CVG|YYZ|IST|KHI|
KHI|DFW,|DFW|ORD|IST|KHI|
KHI|DTW,|DTW|FRA|IST|KHI|
KHI|DUB,|DUB|IST|KHI|
KHI|FCO,|FCO|IST|KHI|
KHI|GCM,|GCM|EWR|BHX|IST|KHI|
KHI|GGT,|GGT|FLL|MCO|FRA|IST|KHI|
KHI|GND,|GND|YYZ|IST|KHI|
KHI|GRU,|GRU|IST|KHI|
KHI|HAV,|HAV|YYZ|IST|KHI|
KHI|IND,|IND|YYZ|IST|KHI|
KHI|JFK,|JFK|IST|KHI|
KHI|KIN,|KIN|YYZ|IST|KHI|
KHI|LIM,|LIM|MIA|ZRH|IST|KHI|
KHI|LIR,|LIR|EWR|BHX|IST|KHI|
KHI|MCI,|MCI|ORD|IST|KHI|
KHI|MDT,|MDT|IAD|IST|KHI|
KHI|MIA,|MIA|ZRH|IST|KHI|
KHI|MKE,|MKE|YYZ|IST|KHI|
KHI|MSP,|MSP|YUL|FRA|IST|KHI|
KHI|NAS,|NAS|EWR|BHX|IST|KHI|
KHI|PHL,|PHL|IAD|IST|KHI|
KHI|PHX,|PHX|DEN|FRA|IST|KHI|
KHI|PIT,|PIT|YYZ|IST|KHI|
KHI|PLS,|PLS|EWR|BHX|IST|KHI|
KHI|POP,|POP|EWR|BHX|IST|KHI|
KHI|RDU,|RDU|EWR|BHX|IST|KHI|
KHI|ROC,|ROC|YYZ|IST|KHI|
KHI|RSW,|RSW|MCO|FRA|IST|KHI|
KHI|SAN,|SAN|LAX|IST|KHI|
KHI|SJO,|SJO|EWR|BHX|IST|KHI|
KHI|STL,|STL|ORD|IST|KHI|
KHI|SYR,|SYR|EWR|BHX|IST|KHI|
KHI|TLV,|TLV|IST|KHI|
KHI|TPA,|TPA|EWR|BHX|IST|KHI|
KHI|UVF,|UVF|EWR|BHX|IST|KHI|
KHI|VIE,|VIE|IST|KHI|
KHI|YAM,|YAM|YYZ|IST|KHI|
KHI|YGK,|YGK|YYZ|IST|KHI|
KHI|YQG,|YQG|YYZ|IST|KHI|
KHI|YSB,|YSB|YYZ|IST|KHI|
KHI|YTS,|YTS|YYZ|IST|KHI|
KHI|YYB,|YYB|YYZ|IST|KHI|
KHI|YZR,|YZR|YYZ|IST|KHI|
KHI|CAN,|CAN|IST|KHI|
KHI|URC,|URC|IST|KHI|
KHI|CTU,|CTU|URC|IST|KHI|
KHI|HGH,|HGH|URC|IST|KHI|
KHI|XMN,|XMN|CSX|URC|IST|KHI|
KHI|CGO,|CGO|URC|IST|KHI|
KHI|CSX,|CSX|URC|IST|KHI|
KHI|SHE,|SHE|PEK|IST|KHI|
KHI|SJW,|SJW|URC|IST|KHI|
KHI|WUH,|WUH|URC|IST|KHI|
KHI|SZX,|SZX|CKG|URC|IST|KHI|
KHI|CKG,|CKG|URC|IST|KHI|
KHI|KMG,|KMG|CTU|URC|IST|KHI|
KHI|FOC,|FOC|XIY|URC|IST|KHI|
KHI|NNG,|NNG|KWE|URC|IST|KHI|
KHI|SWA,|SWA|CAN|IST|KHI|
KHI|ACX,|ACX|CAN|IST|KHI|
KHI|AQG,|AQG|CAN|IST|KHI|
KHI|AVA,|AVA|CAN|IST|KHI|
KHI|BFJ,|BFJ|CAN|IST|KHI|
KHI|BHY,|BHY|CKG|URC|IST|KHI|
KHI|BNE,|BNE|BKK|IST|KHI|
KHI|CGD,|CGD|PEK|IST|KHI|
KHI|CGK,|CGK|SIN|IST|KHI|
KHI|CGQ,|CGQ|HET|URC|IST|KHI|
KHI|CIH,|CIH|PEK|IST|KHI|
KHI|CNX,|CNX|CAN|IST|KHI|
KHI|CZX,|CZX|TYN|URC|IST|KHI|
KHI|DAC,|DAC|IST|KHI|
KHI|DAD,|DAD|CAN|IST|KHI|
KHI|DEL,|DEL|IST|KHI|
KHI|DIG,|DIG|KMG|CTU|URC|IST|KHI|
KHI|DLC,|DLC|PEK|IST|KHI|
KHI|DPS,|DPS|CAN|IST|KHI|
KHI|DXB,|DXB|IST|KHI|
KHI|DYG,|DYG|CSX|URC|IST|KHI|
KHI|FUG,|FUG|CAN|IST|KHI|
KHI|FUK,|FUK|ICN|IST|KHI|
KHI|HAK,|HAK|CTU|URC|IST|KHI|
KHI|HAN,|HAN|CAN|IST|KHI|
KHI|HDG,|HDG|CAN|IST|KHI|
KHI|HET,|HET|URC|IST|KHI|
KHI|HFE,|HFE|XIY|URC|IST|KHI|
KHI|HJJ,|HJJ|CSX|URC|IST|KHI|
KHI|HKT,|HKT|KWE|URC|IST|KHI|
KHI|HRB,|HRB|PEK|IST|KHI|
KHI|HZH,|HZH|CAN|IST|KHI|
KHI|JIU,|JIU|CAN|IST|KHI|
KHI|JJN,|JJN|CSX|URC|IST|KHI|
KHI|JNG,|JNG|CAN|IST|KHI|
KHI|KHN,|KHN|XIY|URC|IST|KHI|
KHI|KIX,|KIX|IST|KHI|
KHI|KOW,|KOW|CAN|IST|KHI|
KHI|KTM,|KTM|IST|KHI|
KHI|KUL,|KUL|IST|KHI|
KHI|KWE,|KWE|URC|IST|KHI|
KHI|KWL,|KWL|CKG|URC|IST|KHI|
KHI|LHW,|LHW|URC|IST|KHI|
KHI|LYA,|LYA|KHN|XIY|URC|IST|KHI|
KHI|LYG,|LYG|XUZ|INC|URC|IST|KHI|
KHI|LZH,|LZH|CAN|IST|KHI|
KHI|MEL,|MEL|BKK|IST|KHI|
KHI|MIG,|MIG|CSX|URC|IST|KHI|
KHI|MLE,|MLE|IST|KHI|
KHI|MNL,|MNL|CAN|IST|KHI|
KHI|MXZ,|MXZ|CAN|IST|KHI|
KHI|NAO,|NAO|PEK|IST|KHI|
KHI|NGB,|NGB|WUH|URC|IST|KHI|
KHI|NKG,|NKG|URC|IST|KHI|
KHI|NNY,|NNY|CGO|URC|IST|KHI|
KHI|PEN,|PEN|CAN|IST|KHI|
KHI|PER,|PER|BKK|IST|KHI|
KHI|PNH,|PNH|CAN|IST|KHI|
KHI|REP,|REP|CAN|IST|KHI|
KHI|RGN,|RGN|CAN|IST|KHI|
KHI|SGN,|SGN|BKK|IST|KHI|
KHI|SHA,|SHA|URC|IST|KHI|
KHI|SIN,|SIN|IST|KHI|
KHI|SVO,|SVO|URC|IST|KHI|
KHI|SYX,|SYX|CKG|URC|IST|KHI|
KHI|TAO,|TAO|TYN|URC|IST|KHI|
KHI|TEN,|TEN|CAN|IST|KHI|
KHI|TNA,|TNA|URC|IST|KHI|
KHI|TPE,|TPE|URC|IST|KHI|
KHI|TSN,|TSN|HET|URC|IST|KHI|
KHI|TXN,|TXN|TYN|URC|IST|KHI|
KHI|TYN,|TYN|URC|IST|KHI|
KHI|WNZ,|WNZ|XIY|URC|IST|KHI|
KHI|WUX,|WUX|CAN|IST|KHI|
KHI|XFN,|XFN|CAN|IST|KHI|
KHI|XIY,|XIY|URC|IST|KHI|
KHI|XUZ,|XUZ|INC|URC|IST|KHI|
KHI|YIH,|YIH|CKG|URC|IST|KHI|
KHI|YIW,|YIW|URC|IST|KHI|
KHI|YNT,|YNT|SHE|PEK|IST|KHI|
KHI|YNZ,|YNZ|WUH|URC|IST|KHI|
KHI|YTY,|YTY|CGO|URC|IST|KHI|
KHI|ZHA,|ZHA|CAN|IST|KHI|
KHI|ZYI,|ZYI|CAN|IST|KHI|
KHI|BAV,|BAV|URC|IST|KHI|
KHI|CJU,|CJU|DLC|PEK|IST|KHI|
KHI|DSN,|DSN|CGO|URC|IST|KHI|
KHI|HMI,|HMI|URC|IST|KHI|
KHI|INC,|INC|URC|IST|KHI|
KHI|KHH,|KHH|WUH|URC|IST|KHI|
KHI|UYN,|UYN|XIY|URC|IST|KHI|
KHI|XNN,|XNN|URC|IST|KHI|
KHI|ZUH,|ZUH|KWE|URC|IST|KHI|
KHI|YNJ,|YNJ|PEK|IST|KHI|
KHI|DAT,|DAT|TYN|URC|IST|KHI|
KHI|JHG,|JHG|KMG|CTU|URC|IST|KHI|
KHI|LJG,|LJG|KMG|CTU|URC|IST|KHI|
KHI|LXA,|LXA|CKG|URC|IST|KHI|
KHI|YCU,|YCU|CKG|URC|IST|KHI|
KHI|LZO,|LZO|CSX|URC|IST|KHI|
KHI|MDG,|MDG|DLC|PEK|IST|KHI|
KHI|NGO,|NGO|ICN|IST|KHI|
KHI|TOY,|TOY|DLC|PEK|IST|KHI|
KHI|MFM,|MFM|XMN|CSX|URC|IST|KHI|
KHI|TGO,|TGO|HET|URC|IST|KHI|
KHI|XIL,|XIL|HET|URC|IST|KHI|
KHI|HEK,|HEK|HRB|PEK|IST|KHI|
KHI|KIJ,|KIJ|HRB|PEK|IST|KHI|
KHI|LDS,|LDS|HRB|PEK|IST|KHI|
KHI|OHE,|OHE|HRB|PEK|IST|KHI|
KHI|HSN,|HSN|LYG|XUZ|INC|URC|IST|KHI|
KHI|DLU,|DLU|KMG|CTU|URC|IST|KHI|
KHI|SYM,|SYM|KMG|CTU|URC|IST|KHI|
KHI|ZAT,|ZAT|KMG|CTU|URC|IST|KHI|
KHI|LUN,|LUN|NBO|IST|KHI|
KHI|AOG,|AOG|PEK|IST|KHI|
KHI|GMP,|GMP|PEK|IST|KHI|
KHI|ISB,|ISB|IST|KHI|
KHI|TAS,|TAS|IST|KHI|
KHI|WUS,|WUS|PEK|IST|KHI|
KHI|JMU,|JMU|PVG|IST|KHI|
KHI|NDG,|NDG|PVG|IST|KHI|
KHI|JXA,|JXA|SHE|PEK|IST|KHI|
KHI|PUS,|PUS|SHE|PEK|IST|KHI|
KHI|BKI,|BKI|SZX|CKG|URC|IST|KHI|
KHI|AKU,|AKU|URC|IST|KHI|
KHI|ALA,|ALA|IST|KHI|
KHI|ASB,|ASB|IST|KHI|
KHI|DNH,|DNH|URC|IST|KHI|
KHI|DYU,|DYU|IST|KHI|
KHI|FRU,|FRU|IST|KHI|
KHI|GYD,|GYD|IST|KHI|
KHI|HTN,|HTN|URC|IST|KHI|
KHI|IKA,|IKA|IST|KHI|
KHI|KCA,|KCA|URC|IST|KHI|
KHI|KHG,|KHG|URC|IST|KHI|
KHI|KRL,|KRL|URC|IST|KHI|
KHI|KRY,|KRY|URC|IST|KHI|
KHI|LBD,|LBD|URC|IST|KHI|
KHI|NLT,|NLT|URC|IST|KHI|
KHI|OSS,|OSS|IST|KHI|
KHI|OVB,|OVB|IST|KHI|
KHI|TBS,|TBS|IST|KHI|
KHI|TCG,|TCG|URC|IST|KHI|
KHI|TSE,|TSE|IST|KHI|
KHI|YIN,|YIN|URC|IST|KHI|
KHI|ENH,|ENH|WUH|URC|IST|KHI|
KHI|ENY,|ENY|XIY|URC|IST|KHI|
KHI|WXN,|WXN|XIY|URC|IST|KHI|
KHI|BLL,|BLL|IST|KHI|
KHI|ESB,|ESB|IST|KHI|
KHI|SAW,|SAW|ADB|IST|KHI|
KHI|HAM,|HAM|IST|KHI|
KHI|HRE,|HRE|ADD|IST|KHI|
KHI|JUB,|JUB|CAI|IST|KHI|
KHI|SSG,|SSG|DLA|IST|KHI|
KHI|BGW,|BGW|IST|KHI|
KHI|EBL,|EBL|IST|KHI|
KHI|VKO,|VKO|IST|KHI|
KHI|MCT,|MCT|IST|KHI|
KHI|AYT,|AYT|IST|KHI|
KHI|SCQ,|SCQ|BIO|IST|KHI|
KHI|AAL,|AAL|IST|KHI|
KHI|AOE,|AOE|BRU|IST|KHI|
KHI|JNB,|JNB|IST|KHI|
KHI|LBV,|LBV|DLA|IST|KHI|
KHI|ADA,|ADA|IST|KHI|
KHI|ADB,|ADB|IST|KHI|
KHI|ADF,|ADF|IST|KHI|
KHI|AJI,|AJI|IST|KHI|
