KHN|BRU,|BRU|IST|URC|XIY|KHN|
KHN|OUA,|OUA|NIM|IST|URC|XIY|KHN|
KHN|JED,|JED|IST|URC|XIY|KHN|
KHN|CPH,|CPH|IST|URC|XIY|KHN|
KHN|YYZ,|YYZ|PEK|DLC|KHN|
KHN|DEN,|DEN|YVR|ICN|DLC|KHN|
KHN|YUL,|YUL|YYZ|PEK|DLC|KHN|
KHN|NBO,|NBO|CAN|KHN|
KHN|ICN,|ICN|DLC|KHN|
KHN|NRT,|NRT|DLC|KHN|
KHN|YHZ,|YHZ|YYZ|PEK|DLC|KHN|
KHN|YOW,|YOW|YYZ|PEK|DLC|KHN|
KHN|BJM,|BJM|BRU|IST|URC|XIY|KHN|
KHN|COO,|COO|BRU|IST|URC|XIY|KHN|
KHN|DKR,|DKR|BRU|IST|URC|XIY|KHN|
KHN|DLA,|DLA|IST|URC|XIY|KHN|
KHN|KGL,|KGL|IST|URC|XIY|KHN|
KHN|LAD,|LAD|BRU|IST|URC|XIY|KHN|
KHN|ABJ,|ABJ|OUA|NIM|IST|URC|XIY|KHN|
KHN|AMS,|AMS|CTU|XIY|KHN|
KHN|OSL,|OSL|IST|URC|XIY|KHN|
KHN|VNO,|VNO|IST|URC|XIY|KHN|
KHN|WAW,|WAW|IST|URC|XIY|KHN|
KHN|YYC,|YYC|YVR|ICN|DLC|KHN|
KHN|ATL,|ATL|ORD|PEK|DLC|KHN|
KHN|MSY,|MSY|DEN|YVR|ICN|DLC|KHN|
KHN|YEG,|YEG|YVR|ICN|DLC|KHN|
KHN|YMM,|YMM|YVR|ICN|DLC|KHN|
KHN|YQR,|YQR|YVR|ICN|DLC|KHN|
KHN|YVR,|YVR|ICN|DLC|KHN|
KHN|YWG,|YWG|YVR|ICN|DLC|KHN|
KHN|YXE,|YXE|YVR|ICN|DLC|KHN|
KHN|CKY,|CKY|DKR|BRU|IST|URC|XIY|KHN|
KHN|FIH,|FIH|IST|URC|XIY|KHN|
KHN|SCL,|SCL|YYZ|PEK|DLC|KHN|
KHN|LCA,|LCA|FRA|TSE|URC|XIY|KHN|
KHN|NAP,|NAP|IST|URC|XIY|KHN|
KHN|VLC,|VLC|FRA|TSE|URC|XIY|KHN|
KHN|BKK,|BKK|NNG|KHN|
KHN|ADD,|ADD|IST|URC|XIY|KHN|
KHN|FRA,|FRA|TSE|URC|XIY|KHN|
KHN|IST,|IST|URC|XIY|KHN|
KHN|EBB,|EBB|KGL|IST|URC|XIY|KHN|
KHN|YLW,|YLW|YVR|ICN|DLC|KHN|
KHN|YYT,|YYT|LHR|CAN|KHN|
KHN|GUA,|GUA|IAH|YVR|ICN|DLC|KHN|
KHN|EWR,|EWR|PEK|DLC|KHN|
KHN|IAD,|IAD|PEK|DLC|KHN|
KHN|IAH,|IAH|YVR|ICN|DLC|KHN|
KHN|ORD,|ORD|PEK|DLC|KHN|
KHN|SOF,|SOF|IST|URC|XIY|KHN|
KHN|YQB,|YQB|YYZ|PEK|DLC|KHN|
KHN|YXU,|YXU|YYZ|PEK|DLC|KHN|
KHN|EZE,|EZE|GRU|IST|URC|XIY|KHN|
KHN|YYJ,|YYJ|YVR|ICN|DLC|KHN|
KHN|YYY,|YYY|YUL|YYZ|PEK|DLC|KHN|
KHN|YQQ,|YQQ|YBL|YVR|ICN|DLC|KHN|
KHN|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|DLC|KHN|
KHN|LHR,|LHR|CAN|KHN|
KHN|SFO,|SFO|ICN|DLC|KHN|
KHN|YQU,|YQU|YEG|YVR|ICN|DLC|KHN|
KHN|YZF,|YZF|YEG|YVR|ICN|DLC|KHN|
KHN|YGR,|YGR|YGP|YQB|YYZ|PEK|DLC|KHN|
KHN|YGP,|YGP|YQB|YYZ|PEK|DLC|KHN|
KHN|BOS,|BOS|YYZ|PEK|DLC|KHN|
KHN|YDF,|YDF|YYZ|PEK|DLC|KHN|
KHN|YFC,|YFC|YYZ|PEK|DLC|KHN|
KHN|YQM,|YQM|YYZ|PEK|DLC|KHN|
KHN|YQX,|YQX|YYT|LHR|CAN|KHN|
KHN|YQY,|YQY|YYZ|PEK|DLC|KHN|
KHN|YSJ,|YSJ|YYZ|PEK|DLC|KHN|
KHN|YYG,|YYG|YYZ|PEK|DLC|KHN|
KHN|LAX,|LAX|ICN|DLC|KHN|
KHN|DCA,|DCA|YYZ|PEK|DLC|KHN|
KHN|LGA,|LGA|YYZ|PEK|DLC|KHN|
KHN|YZV,|YZV|YQB|YYZ|PEK|DLC|KHN|
KHN|YWL,|YWL|YVR|ICN|DLC|KHN|
KHN|AZS,|AZS|YYZ|PEK|DLC|KHN|
KHN|BDL,|BDL|YYZ|PEK|DLC|KHN|
KHN|CCC,|CCC|YYZ|PEK|DLC|KHN|
KHN|CDG,|CDG|IST|URC|XIY|KHN|
KHN|CUN,|CUN|YVR|ICN|DLC|KHN|
KHN|CZM,|CZM|IAH|YVR|ICN|DLC|KHN|
KHN|FDF,|FDF|YUL|YYZ|PEK|DLC|KHN|
KHN|FLL,|FLL|ORD|PEK|DLC|KHN|
KHN|GVA,|GVA|IST|URC|XIY|KHN|
KHN|HOG,|HOG|YYZ|PEK|DLC|KHN|
KHN|LAS,|LAS|SFO|ICN|DLC|KHN|
KHN|MBJ,|MBJ|ATL|ORD|PEK|DLC|KHN|
KHN|MCO,|MCO|ORD|PEK|DLC|KHN|
KHN|MUC,|MUC|IST|URC|XIY|KHN|
KHN|PAP,|PAP|YUL|YYZ|PEK|DLC|KHN|
KHN|PTP,|PTP|YUL|YYZ|PEK|DLC|KHN|
KHN|PUJ,|PUJ|EWR|PEK|DLC|KHN|
KHN|SNU,|SNU|YYZ|PEK|DLC|KHN|
KHN|VRA,|VRA|YYZ|PEK|DLC|KHN|
KHN|YBC,|YBC|YUL|YYZ|PEK|DLC|KHN|
