KIJ|BRU,|BRU|IST|PEK|HRB|KIJ|
KIJ|OUA,|OUA|NIM|IST|PEK|HRB|KIJ|
KIJ|JED,|JED|IST|PEK|HRB|KIJ|
KIJ|CPH,|CPH|AMS|PEK|HRB|KIJ|
KIJ|YYZ,|YYZ|PEK|HRB|KIJ|
KIJ|DEN,|DEN|YVR|ICN|HRB|KIJ|
KIJ|YUL,|YUL|YYZ|PEK|HRB|KIJ|
KIJ|NBO,|NBO|CAN|HRB|KIJ|
KIJ|ICN,|ICN|HRB|KIJ|
KIJ|NRT,|NRT|ICN|HRB|KIJ|
KIJ|YHZ,|YHZ|YYZ|PEK|HRB|KIJ|
KIJ|YOW,|YOW|YYZ|PEK|HRB|KIJ|
KIJ|BJM,|BJM|BRU|IST|PEK|HRB|KIJ|
KIJ|COO,|COO|BRU|IST|PEK|HRB|KIJ|
KIJ|DKR,|DKR|BRU|IST|PEK|HRB|KIJ|
KIJ|DLA,|DLA|IST|PEK|HRB|KIJ|
KIJ|KGL,|KGL|IST|PEK|HRB|KIJ|
KIJ|LAD,|LAD|BRU|IST|PEK|HRB|KIJ|
KIJ|ABJ,|ABJ|OUA|NIM|IST|PEK|HRB|KIJ|
KIJ|AMS,|AMS|PEK|HRB|KIJ|
KIJ|OSL,|OSL|CPH|AMS|PEK|HRB|KIJ|
KIJ|VNO,|VNO|IST|PEK|HRB|KIJ|
KIJ|WAW,|WAW|IST|PEK|HRB|KIJ|
KIJ|YYC,|YYC|YVR|ICN|HRB|KIJ|
KIJ|ATL,|ATL|ORD|PEK|HRB|KIJ|
KIJ|MSY,|MSY|DEN|YVR|ICN|HRB|KIJ|
KIJ|YEG,|YEG|YVR|ICN|HRB|KIJ|
KIJ|YMM,|YMM|YVR|ICN|HRB|KIJ|
KIJ|YQR,|YQR|YVR|ICN|HRB|KIJ|
KIJ|YVR,|YVR|ICN|HRB|KIJ|
KIJ|YWG,|YWG|YVR|ICN|HRB|KIJ|
