KIN|BRU,|BRU|YUL|YYZ|KIN|
KIN|OUA,|OUA|BRU|YUL|YYZ|KIN|
KIN|JED,|JED|FRA|YYZ|KIN|
KIN|CPH,|CPH|YYZ|KIN|
KIN|YYZ,|YYZ|KIN|
KIN|DEN,|DEN|YYZ|KIN|
KIN|YUL,|YUL|YYZ|KIN|
KIN|NBO,|NBO|ZRH|YYZ|KIN|
KIN|ICN,|ICN|PEK|YYZ|KIN|
KIN|NRT,|NRT|YYZ|KIN|
KIN|YHZ,|YHZ|YYZ|KIN|
KIN|YOW,|YOW|YYZ|KIN|
KIN|BJM,|BJM|BRU|YUL|YYZ|KIN|
KIN|COO,|COO|BRU|YUL|YYZ|KIN|
KIN|DKR,|DKR|IAD|YYZ|KIN|
KIN|DLA,|DLA|BRU|YUL|YYZ|KIN|
KIN|KGL,|KGL|BRU|YUL|YYZ|KIN|
KIN|LAD,|LAD|BRU|YUL|YYZ|KIN|
KIN|ABJ,|ABJ|BRU|YUL|YYZ|KIN|
KIN|AMS,|AMS|EWR|YYZ|KIN|
KIN|OSL,|OSL|EWR|YYZ|KIN|
KIN|VNO,|VNO|CPH|YYZ|KIN|
KIN|WAW,|WAW|YYZ|KIN|
KIN|YYC,|YYC|YYZ|KIN|
KIN|ATL,|ATL|YYZ|KIN|
KIN|MSY,|MSY|YYZ|KIN|
KIN|YEG,|YEG|YYZ|KIN|
KIN|YMM,|YMM|YYZ|KIN|
KIN|YQR,|YQR|YYZ|KIN|
KIN|YVR,|YVR|YYZ|KIN|
KIN|YWG,|YWG|YYZ|KIN|
KIN|YXE,|YXE|YYZ|KIN|
KIN|CKY,|CKY|DKR|IAD|YYZ|KIN|
KIN|FIH,|FIH|DLA|BRU|YUL|YYZ|KIN|
KIN|SCL,|SCL|YYZ|KIN|
KIN|LCA,|LCA|FRA|YYZ|KIN|
KIN|NAP,|NAP|FRA|YYZ|KIN|
KIN|VLC,|VLC|FRA|YYZ|KIN|
KIN|BKK,|BKK|CGO|PEK|YYZ|KIN|
KIN|ADD,|ADD|JED|FRA|YYZ|KIN|
KIN|FRA,|FRA|YYZ|KIN|
KIN|IST,|IST|YYZ|KIN|
KIN|EBB,|EBB|KGL|BRU|YUL|YYZ|KIN|
KIN|YLW,|YLW|YYZ|KIN|
KIN|YYT,|YYT|YYZ|KIN|
KIN|GUA,|GUA|IAD|YYZ|KIN|
KIN|EWR,|EWR|YYZ|KIN|
KIN|IAD,|IAD|YYZ|KIN|
KIN|IAH,|IAH|YYZ|KIN|
KIN|ORD,|ORD|YYZ|KIN|
KIN|SOF,|SOF|MUC|YYZ|KIN|
KIN|YQB,|YQB|YYZ|KIN|
KIN|YXU,|YXU|YYZ|KIN|
KIN|EZE,|EZE|SCL|YYZ|KIN|
KIN|YYJ,|YYJ|YYZ|KIN|
KIN|YYY,|YYY|YUL|YYZ|KIN|
KIN|YQQ,|YQQ|YYC|YYZ|KIN|
KIN|YYR,|YYR|YWK|YZV|YQB|YYZ|KIN|
KIN|LHR,|LHR|YYZ|KIN|
KIN|SFO,|SFO|YYZ|KIN|
KIN|YQU,|YQU|YEG|YYZ|KIN|
KIN|YZF,|YZF|YEG|YYZ|KIN|
KIN|YGR,|YGR|YGP|YQB|YYZ|KIN|
KIN|YGP,|YGP|YQB|YYZ|KIN|
KIN|BOS,|BOS|YYZ|KIN|
KIN|YDF,|YDF|YYZ|KIN|
KIN|YFC,|YFC|YYZ|KIN|
KIN|YQM,|YQM|YYZ|KIN|
KIN|YQX,|YQX|YHZ|YYZ|KIN|
KIN|YQY,|YQY|YYZ|KIN|
KIN|YSJ,|YSJ|YYZ|KIN|
KIN|YYG,|YYG|YYZ|KIN|
KIN|LAX,|LAX|YYZ|KIN|
KIN|DCA,|DCA|YYZ|KIN|
KIN|LGA,|LGA|YYZ|KIN|
KIN|YZV,|YZV|YQB|YYZ|KIN|
KIN|YWL,|YWL|YVR|YYZ|KIN|
KIN|AZS,|AZS|YYZ|KIN|
KIN|BDL,|BDL|YYZ|KIN|
KIN|CCC,|CCC|YYZ|KIN|
KIN|CDG,|CDG|YYZ|KIN|
KIN|CUN,|CUN|YYZ|KIN|
KIN|CZM,|CZM|IAH|YYZ|KIN|
KIN|FDF,|FDF|YUL|YYZ|KIN|
KIN|FLL,|FLL|YYZ|KIN|
KIN|GVA,|GVA|YUL|YYZ|KIN|
KIN|HOG,|HOG|YYZ|KIN|
KIN|LAS,|LAS|YYZ|KIN|
KIN|MBJ,|MBJ|YYZ|KIN|
KIN|MCO,|MCO|YYZ|KIN|
KIN|MUC,|MUC|YYZ|KIN|
KIN|PAP,|PAP|YUL|YYZ|KIN|
KIN|PTP,|PTP|YUL|YYZ|KIN|
KIN|PUJ,|PUJ|YYZ|KIN|
KIN|SNU,|SNU|YYZ|KIN|
KIN|VRA,|VRA|YYZ|KIN|
KIN|YBC,|YBC|YUL|YYZ|KIN|
KIN|YBG,|YBG|YUL|YYZ|KIN|
KIN|YTZ,|YTZ|YUL|YYZ|KIN|
KIN|YUY,|YUY|YUL|YYZ|KIN|
KIN|YVO,|YVO|YUL|YYZ|KIN|
KIN|ZBF,|ZBF|YUL|YYZ|KIN|
KIN|ZRH,|ZRH|YYZ|KIN|
KIN|ZSA,|ZSA|YUL|YYZ|KIN|
KIN|AKL,|AKL|LAX|YYZ|KIN|
KIN|HKG,|HKG|YYZ|KIN|
KIN|HND,|HND|YVR|YYZ|KIN|
KIN|HNL,|HNL|SFO|YYZ|KIN|
KIN|MEX,|MEX|YYZ|KIN|
KIN|OGG,|OGG|SFO|YYZ|KIN|
KIN|PDX,|PDX|ORD|YYZ|KIN|
KIN|PEK,|PEK|YYZ|KIN|
KIN|PVG,|PVG|YYZ|KIN|
KIN|PVR,|PVR|IAH|YYZ|KIN|
KIN|SEA,|SEA|YYZ|KIN|
KIN|SYD,|SYD|LAX|YYZ|KIN|
KIN|YBL,|YBL|YVR|YYZ|KIN|
KIN|YCD,|YCD|YVR|YYZ|KIN|
KIN|YCG,|YCG|YYC|YYZ|KIN|
KIN|YKA,|YKA|YYC|YYZ|KIN|
KIN|YPR,|YPR|YVR|YYZ|KIN|
KIN|YQZ,|YQZ|YVR|YYZ|KIN|
KIN|YXC,|YXC|YYC|YYZ|KIN|
KIN|YXJ,|YXJ|YYC|YYZ|KIN|
KIN|YXS,|YXS|YYC|YYZ|KIN|
KIN|YXT,|YXT|YVR|YYZ|KIN|
KIN|YXY,|YXY|YVR|YYZ|KIN|
KIN|YYD,|YYD|YVR|YYZ|KIN|
KIN|YYF,|YYF|YVR|YYZ|KIN|
KIN|YZP,|YZP|YVR|YYZ|KIN|
KIN|YQT,|YQT|YYZ|KIN|
KIN|SJD,|SJD|ORD|YYZ|KIN|
KIN|YQF,|YQF|YYC|YYZ|KIN|
KIN|YQL,|YQL|YYC|YYZ|KIN|
KIN|YXH,|YXH|YYC|YYZ|KIN|
KIN|YWK,|YWK|YZV|YQB|YYZ|KIN|
KIN|ANU,|ANU|YYZ|KIN|
KIN|AUA,|AUA|YYZ|KIN|
KIN|AUH,|AUH|YYZ|KIN|
KIN|BCN,|BCN|YYZ|KIN|
KIN|BDA,|BDA|YYZ|KIN|
KIN|BGI,|BGI|YYZ|KIN|
KIN|BNA,|BNA|YYZ|KIN|
KIN|BOG,|BOG|YYZ|KIN|
KIN|BWI,|BWI|YYZ|KIN|
KIN|CLE,|CLE|YYZ|KIN|
KIN|CLT,|CLT|YYZ|KIN|
KIN|CMH,|CMH|YYZ|KIN|
KIN|CVG,|CVG|YYZ|KIN|
KIN|DFW,|DFW|YYZ|KIN|
KIN|DTW,|DTW|YYZ|KIN|
KIN|DUB,|DUB|YYZ|KIN|
KIN|FCO,|FCO|YYZ|KIN|
KIN|GCM,|GCM|YYZ|KIN|
KIN|GGT,|GGT|YYZ|KIN|
