KIV|BRU,|BRU|IST|KIV|
KIV|OUA,|OUA|NIM|IST|KIV|
KIV|JED,|JED|IST|KIV|
KIV|CPH,|CPH|IST|KIV|
KIV|YYZ,|YYZ|IST|KIV|
KIV|DEN,|DEN|FRA|IST|KIV|
KIV|YUL,|YUL|FRA|IST|KIV|
KIV|NBO,|NBO|IST|KIV|
KIV|ICN,|ICN|IST|KIV|
KIV|NRT,|NRT|IST|KIV|
KIV|YHZ,|YHZ|LHR|IST|KIV|
KIV|YOW,|YOW|FRA|IST|KIV|
KIV|BJM,|BJM|BRU|IST|KIV|
KIV|COO,|COO|BRU|IST|KIV|
KIV|DKR,|DKR|BRU|IST|KIV|
KIV|DLA,|DLA|IST|KIV|
KIV|KGL,|KGL|IST|KIV|
KIV|LAD,|LAD|BRU|IST|KIV|
KIV|ABJ,|ABJ|OUA|NIM|IST|KIV|
KIV|AMS,|AMS|IST|KIV|
KIV|OSL,|OSL|IST|KIV|
KIV|VNO,|VNO|IST|KIV|
KIV|WAW,|WAW|IST|KIV|
KIV|YYC,|YYC|FRA|IST|KIV|
KIV|ATL,|ATL|FRA|IST|KIV|
KIV|MSY,|MSY|IAD|IST|KIV|
KIV|YEG,|YEG|LHR|IST|KIV|
KIV|YMM,|YMM|YEG|LHR|IST|KIV|
KIV|YQR,|YQR|YEG|LHR|IST|KIV|
KIV|YVR,|YVR|MUC|IST|KIV|
KIV|YWG,|YWG|YUL|FRA|IST|KIV|
KIV|YXE,|YXE|YEG|LHR|IST|KIV|
KIV|CKY,|CKY|DKR|BRU|IST|KIV|
KIV|FIH,|FIH|IST|KIV|
KIV|SCL,|SCL|EZE|GRU|IST|KIV|
KIV|LCA,|LCA|FRA|IST|KIV|
KIV|NAP,|NAP|IST|KIV|
KIV|VLC,|VLC|IST|KIV|
KIV|BKK,|BKK|IST|KIV|
KIV|ADD,|ADD|IST|KIV|
KIV|FRA,|FRA|IST|KIV|
KIV|IST,|IST|KIV|
KIV|EBB,|EBB|KGL|IST|KIV|
KIV|YLW,|YLW|YYC|FRA|IST|KIV|
KIV|YYT,|YYT|LHR|IST|KIV|
KIV|GUA,|GUA|MIA|ZRH|IST|KIV|
KIV|EWR,|EWR|BHX|IST|KIV|
KIV|IAD,|IAD|IST|KIV|
KIV|IAH,|IAH|IST|KIV|
KIV|ORD,|ORD|IST|KIV|
KIV|SOF,|SOF|IST|KIV|
KIV|YQB,|YQB|YUL|FRA|IST|KIV|
KIV|YXU,|YXU|YYZ|IST|KIV|
KIV|EZE,|EZE|GRU|IST|KIV|
KIV|YYJ,|YYJ|YVR|MUC|IST|KIV|
KIV|YYY,|YYY|YUL|FRA|IST|KIV|
KIV|YQQ,|YQQ|YBL|YVR|MUC|IST|KIV|
KIV|YYR,|YYR|YYT|LHR|IST|KIV|
KIV|LHR,|LHR|IST|KIV|
KIV|SFO,|SFO|MUC|IST|KIV|
KIV|YQU,|YQU|YEG|LHR|IST|KIV|
KIV|YZF,|YZF|YEG|LHR|IST|KIV|
KIV|YGR,|YGR|YGP|YQB|YUL|FRA|IST|KIV|
KIV|YGP,|YGP|YQB|YUL|FRA|IST|KIV|
KIV|BOS,|BOS|FRA|IST|KIV|
KIV|YDF,|YDF|YYT|LHR|IST|KIV|
KIV|YFC,|YFC|YHZ|LHR|IST|KIV|
KIV|YQM,|YQM|YHZ|LHR|IST|KIV|
KIV|YQX,|YQX|YYT|LHR|IST|KIV|
KIV|YQY,|YQY|YHZ|LHR|IST|KIV|
KIV|YSJ,|YSJ|YHZ|LHR|IST|KIV|
KIV|YYG,|YYG|YHZ|LHR|IST|KIV|
KIV|LAX,|LAX|IST|KIV|
KIV|DCA,|DCA|EWR|BHX|IST|KIV|
KIV|LGA,|LGA|YHZ|LHR|IST|KIV|
KIV|YZV,|YZV|YWK|YYR|YYT|LHR|IST|KIV|
KIV|YWL,|YWL|YVR|MUC|IST|KIV|
KIV|AZS,|AZS|YUL|FRA|IST|KIV|
KIV|BDL,|BDL|YUL|FRA|IST|KIV|
KIV|CCC,|CCC|YUL|FRA|IST|KIV|
KIV|CDG,|CDG|IST|KIV|
KIV|CUN,|CUN|YHZ|LHR|IST|KIV|
KIV|CZM,|CZM|YUL|FRA|IST|KIV|
KIV|FDF,|FDF|YUL|FRA|IST|KIV|
KIV|FLL,|FLL|MCO|FRA|IST|KIV|
KIV|GVA,|GVA|IST|KIV|
KIV|HOG,|HOG|YUL|FRA|IST|KIV|
KIV|LAS,|LAS|DEN|FRA|IST|KIV|
KIV|MBJ,|MBJ|YHZ|LHR|IST|KIV|
KIV|MCO,|MCO|FRA|IST|KIV|
KIV|MUC,|MUC|IST|KIV|
KIV|PAP,|PAP|YUL|FRA|IST|KIV|
KIV|PTP,|PTP|YUL|FRA|IST|KIV|
KIV|PUJ,|PUJ|YHZ|LHR|IST|KIV|
KIV|SNU,|SNU|YUL|FRA|IST|KIV|
