KOA|BRU,|BRU|YUL|SFO|KOA|
KOA|OUA,|OUA|BRU|YUL|SFO|KOA|
KOA|JED,|JED|FRA|YVR|KOA|
KOA|CPH,|CPH|YYZ|SFO|KOA|
KOA|YYZ,|YYZ|SFO|KOA|
KOA|DEN,|DEN|KOA|
KOA|YUL,|YUL|SFO|KOA|
KOA|NBO,|NBO|IST|MUC|YVR|KOA|
KOA|ICN,|ICN|YVR|KOA|
KOA|NRT,|NRT|YVR|KOA|
KOA|YHZ,|YHZ|YUL|SFO|KOA|
KOA|YOW,|YOW|YYZ|SFO|KOA|
KOA|BJM,|BJM|BRU|YUL|SFO|KOA|
KOA|COO,|COO|BRU|YUL|SFO|KOA|
KOA|DKR,|DKR|IAD|DEN|KOA|
KOA|DLA,|DLA|BRU|YUL|SFO|KOA|
KOA|KGL,|KGL|IST|MUC|YVR|KOA|
KOA|LAD,|LAD|BRU|YUL|SFO|KOA|
KOA|ABJ,|ABJ|BRU|YUL|SFO|KOA|
KOA|AMS,|AMS|ORD|SFO|KOA|
KOA|OSL,|OSL|EWR|SFO|KOA|
KOA|VNO,|VNO|FRA|YVR|KOA|
KOA|WAW,|WAW|YYZ|SFO|KOA|
KOA|YYC,|YYC|YVR|KOA|
KOA|ATL,|ATL|LAX|KOA|
KOA|MSY,|MSY|LAX|KOA|
KOA|YEG,|YEG|YVR|KOA|
KOA|YMM,|YMM|YVR|KOA|
KOA|YQR,|YQR|YVR|KOA|
KOA|YVR,|YVR|KOA|
KOA|YWG,|YWG|YVR|KOA|
KOA|YXE,|YXE|YVR|KOA|
KOA|CKY,|CKY|DKR|IAD|DEN|KOA|
KOA|FIH,|FIH|IST|MUC|YVR|KOA|
KOA|SCL,|SCL|EZE|IAH|LAX|KOA|
KOA|LCA,|LCA|FRA|YVR|KOA|
KOA|NAP,|NAP|FRA|YVR|KOA|
KOA|VLC,|VLC|FRA|YVR|KOA|
KOA|BKK,|BKK|CGO|PEK|YVR|KOA|
KOA|ADD,|ADD|IST|MUC|YVR|KOA|
KOA|FRA,|FRA|YVR|KOA|
KOA|IST,|IST|MUC|YVR|KOA|
KOA|EBB,|EBB|KGL|IST|MUC|YVR|KOA|
KOA|YLW,|YLW|YVR|KOA|
KOA|YYT,|YYT|YUL|SFO|KOA|
