KRL|BRU,|BRU|IST|URC|KRL|
KRL|OUA,|OUA|NIM|IST|URC|KRL|
KRL|JED,|JED|IST|URC|KRL|
KRL|CPH,|CPH|IST|URC|KRL|
KRL|YYZ,|YYZ|FRA|TSE|URC|KRL|
KRL|DEN,|DEN|YVR|PEK|URC|KRL|
KRL|YUL,|YUL|FRA|TSE|URC|KRL|
KRL|NBO,|NBO|IST|URC|KRL|
KRL|ICN,|ICN|PEK|URC|KRL|
KRL|NRT,|NRT|PEK|URC|KRL|
KRL|YHZ,|YHZ|LHR|IST|URC|KRL|
KRL|YOW,|YOW|FRA|TSE|URC|KRL|
KRL|BJM,|BJM|BRU|IST|URC|KRL|
KRL|COO,|COO|BRU|IST|URC|KRL|
KRL|DKR,|DKR|BRU|IST|URC|KRL|
KRL|DLA,|DLA|IST|URC|KRL|
KRL|KGL,|KGL|IST|URC|KRL|
KRL|LAD,|LAD|BRU|IST|URC|KRL|
KRL|ABJ,|ABJ|OUA|NIM|IST|URC|KRL|
KRL|AMS,|AMS|IST|URC|KRL|
KRL|OSL,|OSL|IST|URC|KRL|
KRL|VNO,|VNO|IST|URC|KRL|
KRL|WAW,|WAW|IST|URC|KRL|
KRL|YYC,|YYC|YVR|PEK|URC|KRL|
KRL|ATL,|ATL|FRA|TSE|URC|KRL|
KRL|MSY,|MSY|IAD|FRA|TSE|URC|KRL|
KRL|YEG,|YEG|YVR|PEK|URC|KRL|
KRL|YMM,|YMM|YVR|PEK|URC|KRL|
KRL|YQR,|YQR|YVR|PEK|URC|KRL|
KRL|YVR,|YVR|PEK|URC|KRL|
KRL|YWG,|YWG|YVR|PEK|URC|KRL|
KRL|YXE,|YXE|YVR|PEK|URC|KRL|
KRL|CKY,|CKY|DKR|BRU|IST|URC|KRL|
KRL|FIH,|FIH|IST|URC|KRL|
KRL|SCL,|SCL|EZE|GRU|IST|URC|KRL|
KRL|LCA,|LCA|FRA|TSE|URC|KRL|
KRL|NAP,|NAP|IST|URC|KRL|
KRL|VLC,|VLC|FRA|TSE|URC|KRL|
KRL|BKK,|BKK|NNG|KWE|URC|KRL|
KRL|ADD,|ADD|IST|URC|KRL|
KRL|FRA,|FRA|TSE|URC|KRL|
KRL|IST,|IST|URC|KRL|
KRL|EBB,|EBB|KGL|IST|URC|KRL|
KRL|YLW,|YLW|YVR|PEK|URC|KRL|
KRL|YYT,|YYT|LHR|IST|URC|KRL|
KRL|GUA,|GUA|MIA|FRA|TSE|URC|KRL|
KRL|EWR,|EWR|FRA|TSE|URC|KRL|
KRL|IAD,|IAD|FRA|TSE|URC|KRL|
KRL|IAH,|IAH|PEK|URC|KRL|
KRL|ORD,|ORD|FRA|TSE|URC|KRL|
KRL|SOF,|SOF|IST|URC|KRL|
KRL|YQB,|YQB|YUL|FRA|TSE|URC|KRL|
KRL|YXU,|YXU|YYZ|FRA|TSE|URC|KRL|
KRL|EZE,|EZE|GRU|IST|URC|KRL|
KRL|YYJ,|YYJ|YVR|PEK|URC|KRL|
KRL|YYY,|YYY|YUL|FRA|TSE|URC|KRL|
KRL|YQQ,|YQQ|YBL|YVR|PEK|URC|KRL|
KRL|YYR,|YYR|YYT|LHR|IST|URC|KRL|
KRL|LHR,|LHR|IST|URC|KRL|
KRL|SFO,|SFO|PEK|URC|KRL|
KRL|YQU,|YQU|YEG|YVR|PEK|URC|KRL|
KRL|YZF,|YZF|YEG|YVR|PEK|URC|KRL|
KRL|YGR,|YGR|YGP|YQB|YUL|FRA|TSE|URC|KRL|
KRL|YGP,|YGP|YQB|YUL|FRA|TSE|URC|KRL|
KRL|BOS,|BOS|FRA|TSE|URC|KRL|
KRL|YDF,|YDF|YYT|LHR|IST|URC|KRL|
KRL|YFC,|YFC|YHZ|LHR|IST|URC|KRL|
KRL|YQM,|YQM|YHZ|LHR|IST|URC|KRL|
KRL|YQX,|YQX|YYT|LHR|IST|URC|KRL|
KRL|YQY,|YQY|YHZ|LHR|IST|URC|KRL|
KRL|YSJ,|YSJ|YHZ|LHR|IST|URC|KRL|
KRL|YYG,|YYG|YHZ|LHR|IST|URC|KRL|
KRL|LAX,|LAX|PEK|URC|KRL|
KRL|DCA,|DCA|EWR|FRA|TSE|URC|KRL|
KRL|LGA,|LGA|YUL|FRA|TSE|URC|KRL|
KRL|YZV,|YZV|YUL|FRA|TSE|URC|KRL|
KRL|YWL,|YWL|YVR|PEK|URC|KRL|
KRL|AZS,|AZS|YUL|FRA|TSE|URC|KRL|
KRL|BDL,|BDL|YUL|FRA|TSE|URC|KRL|
KRL|CCC,|CCC|YUL|FRA|TSE|URC|KRL|
KRL|CDG,|CDG|IST|URC|KRL|
KRL|CUN,|CUN|EWR|FRA|TSE|URC|KRL|
KRL|CZM,|CZM|YUL|FRA|TSE|URC|KRL|
KRL|FDF,|FDF|YUL|FRA|TSE|URC|KRL|
KRL|FLL,|FLL|MCO|FRA|TSE|URC|KRL|
KRL|GVA,|GVA|IST|URC|KRL|
KRL|HOG,|HOG|YUL|FRA|TSE|URC|KRL|
KRL|LAS,|LAS|SEA|PEK|URC|KRL|
KRL|MBJ,|MBJ|EWR|FRA|TSE|URC|KRL|
