KRY|BRU,|BRU|IST|URC|KRY|
KRY|OUA,|OUA|NIM|IST|URC|KRY|
KRY|JED,|JED|IST|URC|KRY|
KRY|CPH,|CPH|IST|URC|KRY|
KRY|YYZ,|YYZ|FRA|TSE|URC|KRY|
KRY|DEN,|DEN|YVR|PEK|URC|KRY|
KRY|YUL,|YUL|FRA|TSE|URC|KRY|
KRY|NBO,|NBO|IST|URC|KRY|
KRY|ICN,|ICN|PEK|URC|KRY|
KRY|NRT,|NRT|PEK|URC|KRY|
KRY|YHZ,|YHZ|LHR|IST|URC|KRY|
KRY|YOW,|YOW|FRA|TSE|URC|KRY|
KRY|BJM,|BJM|BRU|IST|URC|KRY|
KRY|COO,|COO|BRU|IST|URC|KRY|
KRY|DKR,|DKR|BRU|IST|URC|KRY|
KRY|DLA,|DLA|IST|URC|KRY|
KRY|KGL,|KGL|IST|URC|KRY|
KRY|LAD,|LAD|BRU|IST|URC|KRY|
KRY|ABJ,|ABJ|OUA|NIM|IST|URC|KRY|
KRY|AMS,|AMS|IST|URC|KRY|
KRY|OSL,|OSL|IST|URC|KRY|
KRY|VNO,|VNO|IST|URC|KRY|
KRY|WAW,|WAW|IST|URC|KRY|
KRY|YYC,|YYC|YVR|PEK|URC|KRY|
KRY|ATL,|ATL|FRA|TSE|URC|KRY|
KRY|MSY,|MSY|IAD|FRA|TSE|URC|KRY|
KRY|YEG,|YEG|YVR|PEK|URC|KRY|
KRY|YMM,|YMM|YVR|PEK|URC|KRY|
KRY|YQR,|YQR|YVR|PEK|URC|KRY|
KRY|YVR,|YVR|PEK|URC|KRY|
KRY|YWG,|YWG|YVR|PEK|URC|KRY|
KRY|YXE,|YXE|YVR|PEK|URC|KRY|
KRY|CKY,|CKY|DKR|BRU|IST|URC|KRY|
KRY|FIH,|FIH|IST|URC|KRY|
KRY|SCL,|SCL|EZE|GRU|IST|URC|KRY|
KRY|LCA,|LCA|FRA|TSE|URC|KRY|
KRY|NAP,|NAP|IST|URC|KRY|
KRY|VLC,|VLC|FRA|TSE|URC|KRY|
KRY|BKK,|BKK|NNG|KWE|URC|KRY|
KRY|ADD,|ADD|IST|URC|KRY|
KRY|FRA,|FRA|TSE|URC|KRY|
KRY|IST,|IST|URC|KRY|
KRY|EBB,|EBB|KGL|IST|URC|KRY|
KRY|YLW,|YLW|YVR|PEK|URC|KRY|
KRY|YYT,|YYT|LHR|IST|URC|KRY|
KRY|GUA,|GUA|MIA|FRA|TSE|URC|KRY|
KRY|EWR,|EWR|FRA|TSE|URC|KRY|
KRY|IAD,|IAD|FRA|TSE|URC|KRY|
KRY|IAH,|IAH|PEK|URC|KRY|
KRY|ORD,|ORD|FRA|TSE|URC|KRY|
KRY|SOF,|SOF|IST|URC|KRY|
KRY|YQB,|YQB|YUL|FRA|TSE|URC|KRY|
KRY|YXU,|YXU|YYZ|FRA|TSE|URC|KRY|
KRY|EZE,|EZE|GRU|IST|URC|KRY|
KRY|YYJ,|YYJ|YVR|PEK|URC|KRY|
KRY|YYY,|YYY|YUL|FRA|TSE|URC|KRY|
KRY|YQQ,|YQQ|YBL|YVR|PEK|URC|KRY|
KRY|YYR,|YYR|YYT|LHR|IST|URC|KRY|
KRY|LHR,|LHR|IST|URC|KRY|
KRY|SFO,|SFO|PEK|URC|KRY|
KRY|YQU,|YQU|YEG|YVR|PEK|URC|KRY|
KRY|YZF,|YZF|YEG|YVR|PEK|URC|KRY|
KRY|YGR,|YGR|YGP|YQB|YUL|FRA|TSE|URC|KRY|
KRY|YGP,|YGP|YQB|YUL|FRA|TSE|URC|KRY|
KRY|BOS,|BOS|FRA|TSE|URC|KRY|
KRY|YDF,|YDF|YYT|LHR|IST|URC|KRY|
KRY|YFC,|YFC|YHZ|LHR|IST|URC|KRY|
KRY|YQM,|YQM|YHZ|LHR|IST|URC|KRY|
KRY|YQX,|YQX|YYT|LHR|IST|URC|KRY|
KRY|YQY,|YQY|YHZ|LHR|IST|URC|KRY|
KRY|YSJ,|YSJ|YHZ|LHR|IST|URC|KRY|
KRY|YYG,|YYG|YHZ|LHR|IST|URC|KRY|
KRY|LAX,|LAX|PEK|URC|KRY|
KRY|DCA,|DCA|EWR|FRA|TSE|URC|KRY|
KRY|LGA,|LGA|YUL|FRA|TSE|URC|KRY|
KRY|YZV,|YZV|YUL|FRA|TSE|URC|KRY|
KRY|YWL,|YWL|YVR|PEK|URC|KRY|
KRY|AZS,|AZS|YUL|FRA|TSE|URC|KRY|
KRY|BDL,|BDL|YUL|FRA|TSE|URC|KRY|
KRY|CCC,|CCC|YUL|FRA|TSE|URC|KRY|
KRY|CDG,|CDG|IST|URC|KRY|
KRY|CUN,|CUN|EWR|FRA|TSE|URC|KRY|
KRY|CZM,|CZM|YUL|FRA|TSE|URC|KRY|
KRY|FDF,|FDF|YUL|FRA|TSE|URC|KRY|
KRY|FLL,|FLL|MCO|FRA|TSE|URC|KRY|
KRY|GVA,|GVA|IST|URC|KRY|
KRY|HOG,|HOG|YUL|FRA|TSE|URC|KRY|
KRY|LAS,|LAS|SEA|PEK|URC|KRY|
KRY|MBJ,|MBJ|EWR|FRA|TSE|URC|KRY|
KRY|MCO,|MCO|FRA|TSE|URC|KRY|
KRY|MUC,|MUC|IST|URC|KRY|
KRY|PAP,|PAP|YUL|FRA|TSE|URC|KRY|
KRY|PTP,|PTP|YUL|FRA|TSE|URC|KRY|
KRY|PUJ,|PUJ|EWR|FRA|TSE|URC|KRY|
KRY|SNU,|SNU|YUL|FRA|TSE|URC|KRY|
KRY|VRA,|VRA|YUL|FRA|TSE|URC|KRY|
KRY|YBC,|YBC|YUL|FRA|TSE|URC|KRY|
KRY|YBG,|YBG|YUL|FRA|TSE|URC|KRY|
KRY|YTZ,|YTZ|YUL|FRA|TSE|URC|KRY|
KRY|YUY,|YUY|YUL|FRA|TSE|URC|KRY|
KRY|YVO,|YVO|YUL|FRA|TSE|URC|KRY|
KRY|ZBF,|ZBF|YUL|FRA|TSE|URC|KRY|
KRY|ZRH,|ZRH|IST|URC|KRY|
KRY|ZSA,|ZSA|YUL|FRA|TSE|URC|KRY|
KRY|AKL,|AKL|CAN|URC|KRY|
KRY|HKG,|HKG|CAN|URC|KRY|
KRY|HND,|HND|HNL|PEK|URC|KRY|
KRY|HNL,|HNL|PEK|URC|KRY|
KRY|MEX,|MEX|YVR|PEK|URC|KRY|
KRY|OGG,|OGG|HNL|PEK|URC|KRY|
KRY|PDX,|PDX|SEA|PEK|URC|KRY|
KRY|PEK,|PEK|URC|KRY|
KRY|PVG,|PVG|URC|KRY|
KRY|PVR,|PVR|SFO|PEK|URC|KRY|
