KSY|BRU,|BRU|SAW|KSY|
KSY|OUA,|OUA|NIM|IST|KSY|
KSY|JED,|JED|IST|KSY|
KSY|CPH,|CPH|IST|KSY|
KSY|YYZ,|YYZ|VIE|ESB|KSY|
KSY|DEN,|DEN|FRA|ESB|KSY|
KSY|YUL,|YUL|FRA|ESB|KSY|
KSY|NBO,|NBO|IST|KSY|
KSY|ICN,|ICN|IST|KSY|
KSY|NRT,|NRT|IST|KSY|
KSY|YHZ,|YHZ|LHR|IST|KSY|
KSY|YOW,|YOW|FRA|ESB|KSY|
KSY|BJM,|BJM|BRU|SAW|KSY|
KSY|COO,|COO|BRU|SAW|KSY|
KSY|DKR,|DKR|BRU|SAW|KSY|
KSY|DLA,|DLA|IST|KSY|
KSY|KGL,|KGL|IST|KSY|
KSY|LAD,|LAD|BRU|SAW|KSY|
KSY|ABJ,|ABJ|OUA|NIM|IST|KSY|
KSY|AMS,|AMS|SAW|KSY|
KSY|OSL,|OSL|IST|KSY|
KSY|VNO,|VNO|IST|KSY|
KSY|WAW,|WAW|IST|KSY|
KSY|YYC,|YYC|FRA|ESB|KSY|
KSY|ATL,|ATL|IAD|VIE|ESB|KSY|
KSY|MSY,|MSY|IAD|VIE|ESB|KSY|
KSY|YEG,|YEG|LHR|IST|KSY|
KSY|YMM,|YMM|YEG|LHR|IST|KSY|
KSY|YQR,|YQR|YEG|LHR|IST|KSY|
KSY|YVR,|YVR|MUC|SAW|KSY|
KSY|YWG,|YWG|YUL|FRA|ESB|KSY|
KSY|YXE,|YXE|YEG|LHR|IST|KSY|
KSY|CKY,|CKY|DKR|BRU|SAW|KSY|
KSY|FIH,|FIH|IST|KSY|
KSY|SCL,|SCL|EZE|GRU|IST|KSY|
KSY|LCA,|LCA|FRA|ESB|KSY|
KSY|NAP,|NAP|IST|KSY|
KSY|VLC,|VLC|IST|KSY|
KSY|BKK,|BKK|IST|KSY|
KSY|ADD,|ADD|IST|KSY|
KSY|FRA,|FRA|ESB|KSY|
KSY|IST,|IST|KSY|
KSY|EBB,|EBB|KGL|IST|KSY|
KSY|YLW,|YLW|YYC|FRA|ESB|KSY|
KSY|YYT,|YYT|LHR|IST|KSY|
KSY|GUA,|GUA|MIA|ZRH|IST|KSY|
KSY|EWR,|EWR|FRA|ESB|KSY|
KSY|IAD,|IAD|VIE|ESB|KSY|
KSY|IAH,|IAH|YYZ|VIE|ESB|KSY|
KSY|ORD,|ORD|VIE|ESB|KSY|
KSY|SOF,|SOF|IST|KSY|
KSY|YQB,|YQB|YUL|FRA|ESB|KSY|
KSY|YXU,|YXU|YYZ|VIE|ESB|KSY|
KSY|EZE,|EZE|GRU|IST|KSY|
KSY|YYJ,|YYJ|YVR|MUC|SAW|KSY|
KSY|YYY,|YYY|YUL|FRA|ESB|KSY|
KSY|YQQ,|YQQ|YBL|YVR|MUC|SAW|KSY|
KSY|YYR,|YYR|YYT|LHR|IST|KSY|
KSY|LHR,|LHR|IST|KSY|
KSY|SFO,|SFO|FRA|ESB|KSY|
KSY|YQU,|YQU|YEG|LHR|IST|KSY|
KSY|YZF,|YZF|YEG|LHR|IST|KSY|
KSY|YGR,|YGR|YGP|YQB|YUL|FRA|ESB|KSY|
KSY|YGP,|YGP|YQB|YUL|FRA|ESB|KSY|
KSY|BOS,|BOS|FRA|ESB|KSY|
KSY|YDF,|YDF|YYT|LHR|IST|KSY|
KSY|YFC,|YFC|YHZ|LHR|IST|KSY|
KSY|YQM,|YQM|YHZ|LHR|IST|KSY|
KSY|YQX,|YQX|YYT|LHR|IST|KSY|
KSY|YQY,|YQY|YHZ|LHR|IST|KSY|
KSY|YSJ,|YSJ|YHZ|LHR|IST|KSY|
KSY|YYG,|YYG|YHZ|LHR|IST|KSY|
KSY|LAX,|LAX|IST|KSY|
KSY|DCA,|DCA|EWR|FRA|ESB|KSY|
KSY|LGA,|LGA|YHZ|LHR|IST|KSY|
KSY|YZV,|YZV|YWK|YYR|YYT|LHR|IST|KSY|
KSY|YWL,|YWL|YVR|MUC|SAW|KSY|
KSY|AZS,|AZS|YUL|FRA|ESB|KSY|
KSY|BDL,|BDL|YUL|FRA|ESB|KSY|
KSY|CCC,|CCC|YUL|FRA|ESB|KSY|
KSY|CDG,|CDG|SAW|KSY|
KSY|CUN,|CUN|YHZ|LHR|IST|KSY|
KSY|CZM,|CZM|YUL|FRA|ESB|KSY|
KSY|FDF,|FDF|YUL|FRA|ESB|KSY|
KSY|FLL,|FLL|MCO|FRA|ESB|KSY|
KSY|GVA,|GVA|IST|KSY|
KSY|HOG,|HOG|YUL|FRA|ESB|KSY|
KSY|LAS,|LAS|DEN|FRA|ESB|KSY|
KSY|MBJ,|MBJ|YHZ|LHR|IST|KSY|
KSY|MCO,|MCO|FRA|ESB|KSY|
KSY|MUC,|MUC|SAW|KSY|
KSY|PAP,|PAP|YUL|FRA|ESB|KSY|
KSY|PTP,|PTP|YUL|FRA|ESB|KSY|
KSY|PUJ,|PUJ|YHZ|LHR|IST|KSY|
KSY|SNU,|SNU|YUL|FRA|ESB|KSY|
KSY|VRA,|VRA|YUL|FRA|ESB|KSY|
KSY|YBC,|YBC|YUL|FRA|ESB|KSY|
KSY|YBG,|YBG|YUL|FRA|ESB|KSY|
KSY|YTZ,|YTZ|YUL|FRA|ESB|KSY|
KSY|YUY,|YUY|YUL|FRA|ESB|KSY|
KSY|YVO,|YVO|YUL|FRA|ESB|KSY|
KSY|ZBF,|ZBF|YUL|FRA|ESB|KSY|
KSY|ZRH,|ZRH|IST|KSY|
KSY|ZSA,|ZSA|YUL|FRA|ESB|KSY|
KSY|AKL,|AKL|BKK|IST|KSY|
KSY|HKG,|HKG|IST|KSY|
KSY|HND,|HND|YVR|MUC|SAW|KSY|
KSY|HNL,|HNL|YVR|MUC|SAW|KSY|
KSY|MEX,|MEX|IAD|VIE|ESB|KSY|
KSY|OGG,|OGG|YVR|MUC|SAW|KSY|
KSY|PDX,|PDX|SEA|FRA|ESB|KSY|
KSY|PEK,|PEK|IST|KSY|
KSY|PVG,|PVG|URC|TBS|SAW|KSY|
KSY|PVR,|PVR|ORD|VIE|ESB|KSY|
KSY|SEA,|SEA|FRA|ESB|KSY|
KSY|SYD,|SYD|BKK|IST|KSY|
KSY|YBL,|YBL|YVR|MUC|SAW|KSY|
KSY|YCD,|YCD|YVR|MUC|SAW|KSY|
KSY|YCG,|YCG|YYC|FRA|ESB|KSY|
KSY|YKA,|YKA|YYC|FRA|ESB|KSY|
KSY|YPR,|YPR|YVR|MUC|SAW|KSY|
KSY|YQZ,|YQZ|YVR|MUC|SAW|KSY|
KSY|YXC,|YXC|YYC|FRA|ESB|KSY|
KSY|YXJ,|YXJ|YYC|FRA|ESB|KSY|
KSY|YXS,|YXS|YYC|FRA|ESB|KSY|
KSY|YXT,|YXT|YVR|MUC|SAW|KSY|
KSY|YXY,|YXY|YVR|MUC|SAW|KSY|
KSY|YYD,|YYD|YVR|MUC|SAW|KSY|
KSY|YYF,|YYF|YVR|MUC|SAW|KSY|
KSY|YZP,|YZP|YVR|MUC|SAW|KSY|
KSY|YQT,|YQT|YYZ|VIE|ESB|KSY|
KSY|SJD,|SJD|ORD|VIE|ESB|KSY|
KSY|YQF,|YQF|YYC|FRA|ESB|KSY|
KSY|YQL,|YQL|YYC|FRA|ESB|KSY|
KSY|YXH,|YXH|YYC|FRA|ESB|KSY|
KSY|YWK,|YWK|YYR|YYT|LHR|IST|KSY|
KSY|ANU,|ANU|EWR|FRA|ESB|KSY|
KSY|AUA,|AUA|EWR|FRA|ESB|KSY|
KSY|AUH,|AUH|IST|KSY|
KSY|BCN,|BCN|IST|KSY|
KSY|BDA,|BDA|EWR|FRA|ESB|KSY|
KSY|BGI,|BGI|YYZ|VIE|ESB|KSY|
KSY|BNA,|BNA|YYZ|VIE|ESB|KSY|
KSY|BOG,|BOG|JFK|VIE|ESB|KSY|
KSY|BWI,|BWI|EWR|FRA|ESB|KSY|
KSY|CLE,|CLE|YYZ|VIE|ESB|KSY|
KSY|CLT,|CLT|EWR|FRA|ESB|KSY|
KSY|CMH,|CMH|YYZ|VIE|ESB|KSY|
KSY|CVG,|CVG|YYZ|VIE|ESB|KSY|
KSY|DFW,|DFW|ORD|VIE|ESB|KSY|
KSY|DTW,|DTW|YYZ|VIE|ESB|KSY|
KSY|DUB,|DUB|IST|KSY|
KSY|FCO,|FCO|IST|KSY|
KSY|GCM,|GCM|EWR|FRA|ESB|KSY|
KSY|GGT,|GGT|FLL|MCO|FRA|ESB|KSY|
KSY|GND,|GND|YYZ|VIE|ESB|KSY|
KSY|GRU,|GRU|IST|KSY|
KSY|HAV,|HAV|YYZ|VIE|ESB|KSY|
KSY|IND,|IND|YYZ|VIE|ESB|KSY|
KSY|JFK,|JFK|VIE|ESB|KSY|
KSY|KIN,|KIN|YYZ|VIE|ESB|KSY|
KSY|LIM,|LIM|MIA|ZRH|IST|KSY|
KSY|LIR,|LIR|EWR|FRA|ESB|KSY|
KSY|MCI,|MCI|ORD|VIE|ESB|KSY|
KSY|MDT,|MDT|IAD|VIE|ESB|KSY|
KSY|MIA,|MIA|ZRH|IST|KSY|
KSY|MKE,|MKE|YYZ|VIE|ESB|KSY|
KSY|MSP,|MSP|YUL|FRA|ESB|KSY|
KSY|NAS,|NAS|EWR|FRA|ESB|KSY|
KSY|PHL,|PHL|IAD|VIE|ESB|KSY|
KSY|PHX,|PHX|DEN|FRA|ESB|KSY|
KSY|PIT,|PIT|YYZ|VIE|ESB|KSY|
KSY|PLS,|PLS|EWR|FRA|ESB|KSY|
KSY|POP,|POP|EWR|FRA|ESB|KSY|
KSY|RDU,|RDU|EWR|FRA|ESB|KSY|
KSY|ROC,|ROC|YYZ|VIE|ESB|KSY|
KSY|RSW,|RSW|MCO|FRA|ESB|KSY|
KSY|SAN,|SAN|LAX|IST|KSY|
KSY|SJO,|SJO|EWR|FRA|ESB|KSY|
KSY|STL,|STL|ORD|VIE|ESB|KSY|
KSY|SYR,|SYR|EWR|FRA|ESB|KSY|
KSY|TLV,|TLV|SAW|KSY|
KSY|TPA,|TPA|EWR|FRA|ESB|KSY|
KSY|UVF,|UVF|EWR|FRA|ESB|KSY|
KSY|VIE,|VIE|ESB|KSY|
KSY|YAM,|YAM|YYZ|VIE|ESB|KSY|
KSY|YGK,|YGK|YYZ|VIE|ESB|KSY|
KSY|YQG,|YQG|YYZ|VIE|ESB|KSY|
KSY|YSB,|YSB|YYZ|VIE|ESB|KSY|
KSY|YTS,|YTS|YYZ|VIE|ESB|KSY|
KSY|YYB,|YYB|YYZ|VIE|ESB|KSY|
KSY|YZR,|YZR|YYZ|VIE|ESB|KSY|
KSY|CAN,|CAN|IST|KSY|
KSY|URC,|URC|TBS|SAW|KSY|
KSY|CTU,|CTU|URC|TBS|SAW|KSY|
