KWE|BRU,|BRU|IST|URC|KWE|
KWE|OUA,|OUA|NIM|IST|URC|KWE|
KWE|JED,|JED|IST|URC|KWE|
KWE|CPH,|CPH|AMS|CTU|KWE|
KWE|YYZ,|YYZ|PEK|KWE|
KWE|DEN,|DEN|YVR|PEK|KWE|
KWE|YUL,|YUL|YYZ|PEK|KWE|
KWE|NBO,|NBO|BKK|NNG|KWE|
KWE|ICN,|ICN|WUH|KWE|
KWE|NRT,|NRT|ICN|WUH|KWE|
KWE|YHZ,|YHZ|YYZ|PEK|KWE|
KWE|YOW,|YOW|YYZ|PEK|KWE|
KWE|BJM,|BJM|BRU|IST|URC|KWE|
KWE|COO,|COO|BRU|IST|URC|KWE|
KWE|DKR,|DKR|BRU|IST|URC|KWE|
KWE|DLA,|DLA|IST|URC|KWE|
KWE|KGL,|KGL|IST|URC|KWE|
KWE|LAD,|LAD|BRU|IST|URC|KWE|
KWE|ABJ,|ABJ|OUA|NIM|IST|URC|KWE|
KWE|AMS,|AMS|CTU|KWE|
KWE|OSL,|OSL|CPH|AMS|CTU|KWE|
KWE|VNO,|VNO|IST|URC|KWE|
KWE|WAW,|WAW|IST|URC|KWE|
KWE|YYC,|YYC|YVR|PEK|KWE|
KWE|ATL,|ATL|ORD|PEK|KWE|
KWE|MSY,|MSY|ORD|PEK|KWE|
KWE|YEG,|YEG|YVR|PEK|KWE|
KWE|YMM,|YMM|YVR|PEK|KWE|
KWE|YQR,|YQR|YVR|PEK|KWE|
KWE|YVR,|YVR|PEK|KWE|
KWE|YWG,|YWG|YVR|PEK|KWE|
KWE|YXE,|YXE|YVR|PEK|KWE|
KWE|CKY,|CKY|DKR|BRU|IST|URC|KWE|
KWE|FIH,|FIH|IST|URC|KWE|
KWE|SCL,|SCL|EZE|GRU|IST|URC|KWE|
KWE|LCA,|LCA|FRA|TSE|URC|KWE|
KWE|NAP,|NAP|IST|URC|KWE|
KWE|VLC,|VLC|FRA|TSE|URC|KWE|
KWE|BKK,|BKK|NNG|KWE|
KWE|ADD,|ADD|IST|URC|KWE|
KWE|FRA,|FRA|TSE|URC|KWE|
KWE|IST,|IST|URC|KWE|
KWE|EBB,|EBB|KGL|IST|URC|KWE|
KWE|YLW,|YLW|YVR|PEK|KWE|
KWE|YYT,|YYT|LHR|IST|URC|KWE|
KWE|GUA,|GUA|IAH|PEK|KWE|
KWE|EWR,|EWR|PEK|KWE|
KWE|IAD,|IAD|PEK|KWE|
KWE|IAH,|IAH|PEK|KWE|
KWE|ORD,|ORD|PEK|KWE|
KWE|SOF,|SOF|IST|URC|KWE|
KWE|YQB,|YQB|YYZ|PEK|KWE|
KWE|YXU,|YXU|YYZ|PEK|KWE|
KWE|EZE,|EZE|GRU|IST|URC|KWE|
KWE|YYJ,|YYJ|YVR|PEK|KWE|
KWE|YYY,|YYY|YUL|YYZ|PEK|KWE|
KWE|YQQ,|YQQ|YBL|YVR|PEK|KWE|
KWE|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|KWE|
KWE|LHR,|LHR|IST|URC|KWE|
KWE|SFO,|SFO|PEK|KWE|
